fila_bronze,sistema,fecha_exportacion,camion_id,evento_id,timestamp,tipo,severidad,valor_lectura,reconocido,umbral_temp_cabina_c,geocerca_radio_km,ultimo_mantenimiento,sistema_en_cuarentena,sistema_motivo,fecha_exportacion_en_cuarentena,fecha_exportacion_motivo,camion_id_en_cuarentena,camion_id_motivo,evento_id_en_cuarentena,evento_id_motivo,timestamp_en_cuarentena,timestamp_motivo,tipo_en_cuarentena,tipo_motivo,severidad_en_cuarentena,severidad_motivo,valor_lectura_en_cuarentena,valor_lectura_motivo,reconocido_en_cuarentena,reconocido_motivo,umbral_temp_cabina_c_en_cuarentena,umbral_temp_cabina_c_motivo,geocerca_radio_km_en_cuarentena,geocerca_radio_km_motivo,ultimo_mantenimiento_en_cuarentena,ultimo_mantenimiento_motivo,en_cuarentena
28,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-05,EVT-ALOG-00028,2026-08-19T05:29:00,MANTENIMIENTO_PROGRAMADO,Alta,57.61,False,8.2,52.7,2026-06-12,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
29,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-05,EVT-ALOG-00029,2026-08-04T15:12:00,EXCESO_VELOCIDAD,Alta,55.65,True,8.2,52.7,2026-06-12,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
30,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-05,EVT-ALOG-00030,2026-08-19T06:43:00,EXCESO_VELOCIDAD,Baja,65.57,True,8.2,52.7,2026-06-12,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
31,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-05,EVT-ALOG-00031,2026-08-14T16:11:00,ALERTA_TEMP_CADENA_FRIO,Media,47.76,True,8.2,52.7,2026-06-12,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
32,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-06,EVT-ALOG-00032,2026-08-07T23:37:00,FALLA_MOTOR,Media,53.98,True,7.0,59.7,2026-08-08,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
33,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-06,EVT-ALOG-00033,2026-08-27T12:13:00,EXCESO_VELOCIDAD,Baja,84.81,True,7.0,59.7,2026-08-08,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
34,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-06,EVT-ALOG-00034,2026-08-23T08:45:00,EXCESO_VELOCIDAD,Baja,60.12,True,7.0,59.7,2026-08-08,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
35,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-06,EVT-ALOG-00035,2026-08-05T09:35:00,FALLA_MOTOR,Media,50.4,True,7.0,59.7,2026-08-08,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
36,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-06,EVT-ALOG-00036,2026-08-22T06:21:00,FALLA_MOTOR,Media,N/D,False,7.0,59.7,2026-08-08,False,,False,,False,,False,,False,,False,,False,,False,Lectura no disponible; conservar como nulo analítico,False,,False,,False,,False,,False
37,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-06,EVT-ALOG-00037,2026-08-18T18:21:00,FALLA_MOTOR,Baja,35.34,,7.0,59.7,2026-08-08,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,Estado de reconocimiento no informado,False,,False,,False,,False
38,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-06,EVT-ALOG-00038,2026-08-28T18:17:00,ALERTA_TEMP_CADENA_FRIO,Media,65.61,True,7.0,59.7,2026-08-08,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
39,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-06,EVT-ALOG-00039,2026-08-04T22:23:00,ALERTA_TEMP_CADENA_FRIO,Baja,42.94,True,7.0,59.7,2026-08-08,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
40,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-06,EVT-ALOG-00032,2026-08-07T23:37:00,FALLA_MOTOR,Media,53.98,True,7.0,59.7,2026-08-08,False,,False,,False,,True,Copia exacta posterior del evento,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,True
41,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-07,EVT-ALOG-00040,2026-08-13T08:24:00,GEOCERCA_SALIDA,Media,73.29,False,8.4,22.4,2026-08-18,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
42,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-07,EVT-ALOG-00041,2026-08-05T02:33:00,FALLA_MOTOR,Media,51.28,False,8.4,22.4,2026-08-18,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
43,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-07,EVT-ALOG-00042,2026-08-08T23:29:00,GEOCERCA_SALIDA,Baja,72.37,True,8.4,22.4,2026-08-18,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
44,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-07,EVT-ALOG-00043,2026-08-28T04:48:00,GEOCERCA_SALIDA,Baja,64.17,True,8.4,22.4,2026-08-18,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
45,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-07,EVT-ALOG-00044,2026-08-11T23:45:00,ALERTA_TEMP_CADENA_FRIO,Media,25.32,True,8.4,22.4,2026-08-18,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
46,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-07,EVT-ALOG-00045,2026-08-22T09:22:00,ALERTA_TEMP_CADENA_FRIO,Alta,59.64,True,8.4,22.4,2026-08-18,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
47,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-07,EVT-ALOG-00046,2026-08-18T15:59:00,MANTENIMIENTO_PROGRAMADO,Baja,58.81,True,8.4,22.4,2026-08-18,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
48,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-07,EVT-ALOG-00047,2026-08-04T01:12:00,EXCESO_VELOCIDAD,Baja,34.75,True,8.4,22.4,2026-08-18,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
49,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-08,EVT-ALOG-00048,2026-08-06T09:56:00,EXCESO_VELOCIDAD,Alta,55.59,False,7.7,30.4,2026-07-10,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
50,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-08,EVT-ALOG-00049,2026-08-29T08:02:00,GEOCERCA_SALIDA,Baja,59.82,False,7.7,30.4,2026-07-10,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
51,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-08,EVT-ALOG-00050,2026-08-14T03:38:00,MANTENIMIENTO_PROGRAMADO,Alta,N/D,True,7.7,30.4,2026-07-10,False,,False,,False,,False,,False,,False,,False,,False,Lectura no disponible; conservar como nulo analítico,False,,False,,False,,False,,False
52,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-08,EVT-ALOG-00051,2026-08-01T02:32:00,ALERTA_TEMP_CADENA_FRIO,Media,36.87,True,7.7,30.4,2026-07-10,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
53,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-08,EVT-ALOG-00048,2026-08-06T09:56:00,EXCESO_VELOCIDAD,Alta,55.59,False,7.7,30.4,2026-07-10,False,,False,,False,,True,Copia exacta posterior del evento,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,True
54,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-09,EVT-ALOG-00052,2026-08-01T12:50:00,MANTENIMIENTO_PROGRAMADO,Media,N/D,True,8.8,58.6,2026-07-19,False,,False,,False,,False,,False,,False,,False,,False,Lectura no disponible; conservar como nulo analítico,False,,False,,False,,False,,False
55,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-09,EVT-ALOG-00053,2026-08-27T01:14:00,EXCESO_VELOCIDAD,Alta,81.38,True,8.8,58.6,2026-07-19,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
56,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-09,EVT-ALOG-00054,2026-08-24T19:56:00,EXCESO_VELOCIDAD,Media,65.69,False,8.8,58.6,2026-07-19,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
57,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-09,EVT-ALOG-00055,2026-08-04T17:35:00,GEOCERCA_SALIDA,Baja,97.78,True,8.8,58.6,2026-07-19,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
58,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-09,EVT-ALOG-00056,2026-08-23T23:41:00,MANTENIMIENTO_PROGRAMADO,Baja,75.82,True,8.8,58.6,2026-07-19,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
59,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-09,EVT-ALOG-00057,2026-08-01T12:21:00,ALERTA_TEMP_CADENA_FRIO,Media,52.99,True,8.8,58.6,2026-07-19,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
60,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-09,EVT-ALOG-00058,28/08/2026 21:53,EXCESO_VELOCIDAD,Baja,88.33,True,8.8,58.6,2026-07-19,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
61,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-10,EVT-ALOG-00059,2026-08-20T07:12:00,MANTENIMIENTO_PROGRAMADO,Media,46.35,,6.4,24.5,2026-07-02,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,Estado de reconocimiento no informado,False,,False,,False,,False
62,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-10,EVT-ALOG-00060,2026-08-25T15:13:00,GEOCERCA_SALIDA,Baja,51.4,True,6.4,24.5,2026-07-02,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
63,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-10,EVT-ALOG-00061,2026-08-27T14:09:00,MANTENIMIENTO_PROGRAMADO,Media,58.21,True,6.4,24.5,2026-07-02,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
64,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-10,EVT-ALOG-00062,2026-08-21T22:13:00,FALLA_MOTOR,Media,46.0,,6.4,24.5,2026-07-02,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,Estado de reconocimiento no informado,False,,False,,False,,False
65,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-10,EVT-ALOG-00063,2026-08-20T11:17:00,MANTENIMIENTO_PROGRAMADO,Baja,44.74,False,6.4,24.5,2026-07-02,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
66,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-10,EVT-ALOG-00064,2026-08-19T19:22:00,GEOCERCA_SALIDA,Baja,64.67,True,6.4,24.5,2026-07-02,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
67,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-10,EVT-ALOG-00065,2026-08-06T00:22:00,ALERTA_TEMP_CADENA_FRIO,Baja,57.71,False,6.4,24.5,2026-07-02,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
68,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-10,EVT-ALOG-00066,07/08/2026 12:42,EXCESO_VELOCIDAD,Media,85.73,True,6.4,24.5,2026-07-02,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
69,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-10,EVT-ALOG-00059,2026-08-20T07:12:00,MANTENIMIENTO_PROGRAMADO,Media,46.35,,6.4,24.5,2026-07-02,False,,False,,False,,True,Copia exacta posterior del evento,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,Estado de reconocimiento no informado,False,,False,,False,,True
70,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-11,EVT-ALOG-00067,2026-08-06T13:02:00,EXCESO_VELOCIDAD,Baja,65.07,False,7.7,28.4,2026-07-28,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
71,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-11,EVT-ALOG-00068,2026-08-21T18:27:00,MANTENIMIENTO_PROGRAMADO,Alta,N/D,False,7.7,28.4,2026-07-28,False,,False,,False,,False,,False,,False,,False,,False,Lectura no disponible; conservar como nulo analítico,False,,False,,False,,False,,False
72,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-11,EVT-ALOG-00069,2026-08-04T07:35:00,EXCESO_VELOCIDAD,Baja,46.37,True,7.7,28.4,2026-07-28,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
73,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-11,EVT-ALOG-00070,2026-08-13T07:01:00,ALERTA_TEMP_CADENA_FRIO,Baja,58.23,True,7.7,28.4,2026-07-28,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
74,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-11,EVT-ALOG-00071,2026-08-24T21:03:00,ALERTA_TEMP_CADENA_FRIO,Baja,55.18,True,7.7,28.4,2026-07-28,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
75,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-12,EVT-ALOG-00072,2026-08-02T12:52:00,EXCESO_VELOCIDAD,Media,69.61,True,6.4,49.8,2026-08-17,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
76,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-12,EVT-ALOG-00073,2026-08-15T00:29:00,EXCESO_VELOCIDAD,Media,60.52,True,6.4,49.8,2026-08-17,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
77,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-12,EVT-ALOG-00074,2026-08-20T12:02:00,MANTENIMIENTO_PROGRAMADO,Media,64.9,True,6.4,49.8,2026-08-17,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
78,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-12,EVT-ALOG-00075,2026-08-20T15:38:00,GEOCERCA_SALIDA,Alta,56.14,False,6.4,49.8,2026-08-17,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
79,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-12,EVT-ALOG-00076,2026-08-15T21:37:00,ALERTA_TEMP_CADENA_FRIO,Baja,49.65,False,6.4,49.8,2026-08-17,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
80,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-12,EVT-ALOG-00077,2026-08-28T08:39:00,GEOCERCA_SALIDA,Baja,93.7,True,6.4,49.8,2026-08-17,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
81,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-12,EVT-ALOG-00078,2026-08-12T20:50:00,MANTENIMIENTO_PROGRAMADO,Baja,79.52,False,6.4,49.8,2026-08-17,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
