fila_bronze,producto_id,nombre_producto,categoria_logistica,temperatura_conservacion_requerida_c,tolerancia_temperatura_c,precio_unitario_bob,costo_unitario_bob,producto_id_en_cuarentena,producto_id_motivo,nombre_producto_en_cuarentena,nombre_producto_motivo,categoria_logistica_en_cuarentena,categoria_logistica_motivo,temperatura_conservacion_requerida_c_en_cuarentena,temperatura_conservacion_requerida_c_motivo,tolerancia_temperatura_c_en_cuarentena,tolerancia_temperatura_c_motivo,precio_unitario_bob_en_cuarentena,precio_unitario_bob_motivo,costo_unitario_bob_en_cuarentena,costo_unitario_bob_motivo,en_cuarentena_diagnostico,producto_id_tratado,vida_util_observada_dias,lotes_respaldo_vida_util,acciones_tratamiento,motivos_tratamiento,producto_id_normalizado,categoria_logistica_tratada,temperatura_conservacion_requerida_c_tratada,tolerancia_temperatura_c_tratada,precio_unitario_bob_tratado,costo_unitario_bob_tratado,categoria_imputada,temperatura_imputada,motivo_cuarentena_final,precio_menor_costo,en_cuarentena_final,decision_tratamiento,apto_umbral_termico_observado
11,PROD-011,Producto Logistico 011,Congelado,-18.0,2.0,39.78,32.86,False,,False,,False,,False,,False,,False,,False,,False,PROD-011,180.0,109,,,False,Congelado,-18.0,2.0,39.78,32.86,False,False,,False,False,SILVER,True
12,PROD-012,Producto Logistico 012,Seco,20.0,5.0,70.51,59.96,False,,False,,False,,False,,False,,False,,False,,False,PROD-012,365.0,98,,,False,Seco,20.0,5.0,70.51,59.96,False,False,,False,False,SILVER,True
13,PROD-013,Producto Logistico 013,Fresco,4.0,2.0,53.93,46.59,False,,False,,False,,False,,False,,False,,False,,False,PROD-013,18.0,103,,,False,Fresco,4.0,2.0,53.93,46.59,False,False,,False,False,SILVER,True
14,PROD-014,Producto Logistico 014,Seco,20.0,5.0,89.65,74.91,False,,False,,False,,False,,False,,False,,False,,False,PROD-014,365.0,92,,,False,Seco,20.0,5.0,89.65,74.91,False,False,,False,False,SILVER,True
15,PROD-015,Producto Logistico 015,Fresco,4.0,2.0,80.47,68.74,False,,False,,False,,False,,False,,False,,False,,False,PROD-015,18.0,98,,,False,Fresco,4.0,2.0,80.47,68.74,False,False,,False,False,SILVER,True
16, prod-016 ,Producto Logistico 016,Seco,20.0,5.0,31.14,25.77,True,Formato esperado: PROD-###,False,,False,,False,,False,,False,,False,,True,PROD-016,365.0,99,NORMALIZAR_PRODUCTO_ID,Espacios y mayúsculas normalizados,True,Seco,20.0,5.0,31.14,25.77,False,False,,False,False,SILVER,True
17,PROD-017,Producto Logistico 017,Seco,20.0,5.0,41.23,34.67,False,,False,,False,,False,,False,,False,,False,,False,PROD-017,365.0,103,,,False,Seco,20.0,5.0,41.23,34.67,False,False,,False,False,SILVER,True
18,PROD-018,Producto Logistico 018,Seco,,5.0,39.73,33.66,False,,False,,False,,True,Valor faltante,False,,False,,False,,True,PROD-018,365.0,107,IMPUTAR_TEMPERATURA_OBJETIVO,"Objetivo estimado por categoría, tolerancia y vida útil observada del producto",False,Seco,20.0,5.0,39.73,33.66,False,True,,False,False,SILVER,False
19,PROD-019,Producto Logistico 019,Seco,20.0,5.0,77.58,62.3,False,,False,,False,,False,,False,,False,,False,,False,PROD-019,365.0,103,,,False,Seco,20.0,5.0,77.58,62.3,False,False,,False,False,SILVER,True
20,PROD-020,Producto Logistico 020,Seco,20.0,5.0,70.64,59.96,False,,False,,False,,False,,False,,False,,False,,False,PROD-020,365.0,99,,,False,Seco,20.0,5.0,70.64,59.96,False,False,,False,False,SILVER,True
21,PROD-021,Producto Logistico 021,Fresco,4.0,2.0,103.68,83.07,False,,False,,False,,False,,False,,False,,False,,False,PROD-021,18.0,95,,,False,Fresco,4.0,2.0,103.68,83.07,False,False,,False,False,SILVER,True
22, prod-022 ,Producto Logistico 022,Fresco,4.0,2.0,29.94,24.66,True,Formato esperado: PROD-###,False,,False,,False,,False,,False,,False,,True,PROD-022,18.0,114,NORMALIZAR_PRODUCTO_ID,Espacios y mayúsculas normalizados,True,Fresco,4.0,2.0,29.94,24.66,False,False,,False,False,SILVER,True
23,PROD-023,Producto Logistico 023,Fresco,4.0,2.0,27.1,22.32,False,,False,,False,,False,,False,,False,,False,,False,PROD-023,18.0,89,,,False,Fresco,4.0,2.0,27.1,22.32,False,False,,False,False,SILVER,True
24,PROD-024,Producto Logistico 024,Seco,20.0,5.0,19.63,16.74,False,ID equivalente a otro registro después de normalizar,False,,False,,False,,False,,False,,False,,False,PROD-024,365.0,102,,,False,Seco,20.0,5.0,19.63,16.74,False,False,,False,False,SILVER,True
25,PROD-025,Producto Logistico 025,Congelado,-18.0,2.0,66.82,54.32,False,,False,,False,,False,,False,,False,,False,,False,PROD-025,180.0,94,,,False,Congelado,-18.0,2.0,66.82,54.32,False,False,,False,False,SILVER,True
26,PROD-026,Producto Logistico 026,conjelado,4.0,2.0,35.41,28.64,False,,False,,True,"Categoría fuera de Fresco, Congelado o Seco",False,No se valida coherencia térmica con categoría no reconocida,False,No se valida coherencia térmica con categoría no reconocida,False,,False,,True,PROD-026,18.0,104,IMPUTAR_CATEGORIA,"Categoría inferida por objetivo, tolerancia y vida útil observada del producto",False,Fresco,4.0,2.0,35.41,28.64,True,False,,False,False,SILVER,False
27,PROD-027,Producto Logistico 027,Fresco,4.0,2.0,77.31,64.06,False,,False,,False,,False,,False,,False,,False,,False,PROD-027,18.0,96,,,False,Fresco,4.0,2.0,77.31,64.06,False,False,,False,False,SILVER,True
28,PROD-028,Producto Logistico 028,conjelado,20.0,5.0,32.63,27.13,False,,False,,True,"Categoría fuera de Fresco, Congelado o Seco",False,No se valida coherencia térmica con categoría no reconocida,False,No se valida coherencia térmica con categoría no reconocida,False,,False,,True,PROD-028,365.0,97,IMPUTAR_CATEGORIA,"Categoría inferida por objetivo, tolerancia y vida útil observada del producto",False,Seco,20.0,5.0,32.63,27.13,True,False,,False,False,SILVER,False
29,PROD-029,Producto Logistico 029,Seco,20.0,5.0,96.01,81.05,False,,False,,False,,False,,False,,False,,False,,False,PROD-029,365.0,97,,,False,Seco,20.0,5.0,96.01,81.05,False,False,,False,False,SILVER,True
30,PROD-030,Producto Logistico 030,Seco,20.0,5.0,43.07,34.93,False,,False,,False,,False,,False,,False,,False,,False,PROD-030,365.0,101,,,False,Seco,20.0,5.0,43.07,34.93,False,False,,False,False,SILVER,True
31, prod-031 ,Producto Logistico 031,Seco,20.0,5.0,60.3,50.89,True,Formato esperado: PROD-###,False,,False,,False,,False,,False,,False,,True,PROD-031,365.0,99,NORMALIZAR_PRODUCTO_ID,Espacios y mayúsculas normalizados,True,Seco,20.0,5.0,60.3,50.89,False,False,,False,False,SILVER,True
32,PROD-032,Producto Logistico 032,Seco,20.0,5.0,40.9,33.13,False,,False,,False,,False,,False,,False,,False,,False,PROD-032,365.0,107,,,False,Seco,20.0,5.0,40.9,33.13,False,False,,False,False,SILVER,True
33,PROD-033,Producto Logistico 033,Seco,20.0,5.0,37.93,30.56,False,,False,,False,,False,,False,,False,,False,,False,PROD-033,365.0,92,,,False,Seco,20.0,5.0,37.93,30.56,False,False,,False,False,SILVER,True
34,PROD-034,Producto Logistico 034,Fresco,4.0,2.0,65.96,54.4,False,,False,,False,,False,,False,,False,,False,,False,PROD-034,18.0,98,,,False,Fresco,4.0,2.0,65.96,54.4,False,False,,False,False,SILVER,True
35,PROD-035,Producto Logistico 035,Congelado,-18.0,2.0,45.08,37.84,False,,False,,False,,False,,False,,False,,False,,False,PROD-035,180.0,98,,,False,Congelado,-18.0,2.0,45.08,37.84,False,False,,False,False,SILVER,True
36,PROD-036,Producto Logistico 036,conjelado,4.0,2.0,67.93,58.54,False,,False,,True,"Categoría fuera de Fresco, Congelado o Seco",False,No se valida coherencia térmica con categoría no reconocida,False,No se valida coherencia térmica con categoría no reconocida,False,,False,,True,PROD-036,18.0,89,IMPUTAR_CATEGORIA,"Categoría inferida por objetivo, tolerancia y vida útil observada del producto",False,Fresco,4.0,2.0,67.93,58.54,True,False,,False,False,SILVER,False
37,PROD-037,Producto Logistico 037,Fresco,4.0,2.0,31.41,25.76,False,,False,,False,,False,,False,,False,,False,,False,PROD-037,18.0,103,,,False,Fresco,4.0,2.0,31.41,25.76,False,False,,False,False,SILVER,True
38,PROD-038,Producto Logistico 038,Seco,20.0,5.0,31.96,26.68,False,,False,,False,,False,,False,,False,,False,,False,PROD-038,365.0,90,,,False,Seco,20.0,5.0,31.96,26.68,False,False,,False,False,SILVER,True
39,PROD-039,Producto Logistico 039,Seco,20.0,5.0,61.51,53.27,False,,False,,False,,False,,False,,False,,False,,False,PROD-039,365.0,91,,,False,Seco,20.0,5.0,61.51,53.27,False,False,,False,False,SILVER,True
40,PROD-040,Producto Logistico 040,Seco,20.0,5.0,47.78,40.19,False,,False,,False,,False,,False,,False,,False,,False,PROD-040,365.0,102,,,False,Seco,20.0,5.0,47.78,40.19,False,False,,False,False,SILVER,True
41,PROD-041,Producto Logistico 041,Congelado,-18.0,2.0,57.88,48.44,False,,False,,False,,False,,False,,False,,False,,False,PROD-041,180.0,104,,,False,Congelado,-18.0,2.0,57.88,48.44,False,False,,False,False,SILVER,True
42,PROD-042,Producto Logistico 042,Seco,20.0,5.0,65.92,55.74,False,,False,,False,,False,,False,,False,,False,,False,PROD-042,365.0,101,,,False,Seco,20.0,5.0,65.92,55.74,False,False,,False,False,SILVER,True
43,PROD-043,Producto Logistico 043,Congelado,-18.0,2.0,19.19,16.46,False,,False,,False,,False,,False,,False,,False,,False,PROD-043,180.0,107,,,False,Congelado,-18.0,2.0,19.19,16.46,False,False,,False,False,SILVER,True
44,PROD-044,Producto Logistico 044,Fresco,4.0,2.0,44.85,38.35,False,,False,,False,,False,,False,,False,,False,,False,PROD-044,18.0,112,,,False,Fresco,4.0,2.0,44.85,38.35,False,False,,False,False,SILVER,True
45,PROD-045,Producto Logistico 045,Fresco,4.0,2.0,33.35,27.1,False,,False,,False,,False,,False,,False,,False,,False,PROD-045,18.0,83,,,False,Fresco,4.0,2.0,33.35,27.1,False,False,,False,False,SILVER,True
46, prod-046 ,Producto Logistico 046,Seco,20.0,5.0,31.46,25.66,True,Formato esperado: PROD-###,False,,False,,False,,False,,False,,False,,True,PROD-046,365.0,104,NORMALIZAR_PRODUCTO_ID,Espacios y mayúsculas normalizados,True,Seco,20.0,5.0,31.46,25.66,False,False,,False,False,SILVER,True
47,PROD-047,Producto Logistico 047,Fresco,4.0,2.0,82.63,68.27,False,,False,,False,,False,,False,,False,,False,,False,PROD-047,18.0,105,,,False,Fresco,4.0,2.0,82.63,68.27,False,False,,False,False,SILVER,True
48,PROD-048,Producto Logistico 048,Seco,20.0,5.0,58.99,49.21,False,,False,,False,,False,,False,,False,,False,,False,PROD-048,365.0,82,,,False,Seco,20.0,5.0,58.99,49.21,False,False,,False,False,SILVER,True
49,PROD-049,Producto Logistico 049,Fresco,,2.0,65.44,53.71,False,,False,,False,,True,Valor faltante,False,,False,,False,,True,PROD-049,18.0,92,IMPUTAR_TEMPERATURA_OBJETIVO,"Objetivo estimado por categoría, tolerancia y vida útil observada del producto",False,Fresco,4.0,2.0,65.44,53.71,False,True,,False,False,SILVER,False
50,PROD-050,Producto Logistico 050,Seco,20.0,5.0,56.92,46.57,False,,False,,False,,False,,False,,False,,False,,False,PROD-050,365.0,101,,,False,Seco,20.0,5.0,56.92,46.57,False,False,,False,False,SILVER,True
51,PROD-051,Producto Logistico 051,Congelado,-18.0,2.0,28.88,24.83,False,,False,,False,,False,,False,,False,,False,,False,PROD-051,180.0,108,,,False,Congelado,-18.0,2.0,28.88,24.83,False,False,,False,False,SILVER,True
52,PROD-052,Producto Logistico 052,Fresco,4.0,2.0,48.09,41.48,False,,False,,False,,False,,False,,False,,False,,False,PROD-052,18.0,102,,,False,Fresco,4.0,2.0,48.09,41.48,False,False,,False,False,SILVER,True
53,PROD-053,Producto Logistico 053,Fresco,4.0,2.0,62.8,52.38,False,,False,,False,,False,,False,,False,,False,,False,PROD-053,18.0,85,,,False,Fresco,4.0,2.0,62.8,52.38,False,False,,False,False,SILVER,True
54,PROD-054,Producto Logistico 054,Congelado,-18.0,2.0,98.56,79.92,False,,False,,False,,False,,False,,False,,False,,False,PROD-054,180.0,116,,,False,Congelado,-18.0,2.0,98.56,79.92,False,False,,False,False,SILVER,True
55,PROD-055,Producto Logistico 055,Seco,20.0,5.0,82.15,69.47,False,,False,,False,,False,,False,,False,,False,,False,PROD-055,365.0,94,,,False,Seco,20.0,5.0,82.15,69.47,False,False,,False,False,SILVER,True
56,PROD-056,Producto Logistico 056,Fresco,4.0,2.0,41.14,33.35,False,,False,,False,,False,,False,,False,,False,,False,PROD-056,18.0,120,,,False,Fresco,4.0,2.0,41.14,33.35,False,False,,False,False,SILVER,True
57,PROD-057,Producto Logistico 057,Seco,20.0,5.0,19.64,16.73,False,,False,,False,,False,,False,,False,,False,,False,PROD-057,365.0,99,,,False,Seco,20.0,5.0,19.64,16.73,False,False,,False,False,SILVER,True
58,PROD-058,Producto Logistico 058,Congelado,-18.0,2.0,98.86,82.19,False,,False,,False,,False,,False,,False,,False,,False,PROD-058,180.0,101,,,False,Congelado,-18.0,2.0,98.86,82.19,False,False,,False,False,SILVER,True
59,PROD-059,Producto Logistico 059,Seco,20.0,5.0,58.59,49.31,False,,False,,False,,False,,False,,False,,False,,False,PROD-059,365.0,89,,,False,Seco,20.0,5.0,58.59,49.31,False,False,,False,False,SILVER,True
60,PROD-060,Producto Logistico 060,Congelado,-18.0,2.0,35.8,30.63,False,,False,,False,,False,,False,,False,,False,,False,PROD-060,180.0,97,,,False,Congelado,-18.0,2.0,35.8,30.63,False,False,,False,False,SILVER,True
