fila_bronze,producto_id,nombre_producto,categoria_logistica,temperatura_conservacion_requerida_c,tolerancia_temperatura_c,precio_unitario_bob,costo_unitario_bob,producto_id_estado,producto_id_motivo,nombre_producto_estado,nombre_producto_motivo,categoria_logistica_estado,categoria_logistica_motivo,temperatura_conservacion_requerida_c_estado,temperatura_conservacion_requerida_c_motivo,tolerancia_temperatura_c_estado,tolerancia_temperatura_c_motivo,precio_unitario_bob_estado,precio_unitario_bob_motivo,costo_unitario_bob_estado,costo_unitario_bob_motivo,cantidad_columnas_con_problemas,en_cuarentena,severidad_maxima,columnas_con_problemas,motivos_fila,version_diagnostico,sha256_bronze,producto_id_tratado,vida_util_observada_dias,lotes_respaldo_vida_util,acciones_tratamiento,motivos_tratamiento,producto_id_normalizado,categoria_logistica_tratada,temperatura_conservacion_requerida_c_tratada,tolerancia_temperatura_c_tratada,precio_unitario_bob_tratado,costo_unitario_bob_tratado,categoria_imputada,temperatura_imputada,motivo_cuarentena_final,precio_menor_costo,en_cuarentena_final,decision_tratamiento,apto_umbral_termico_observado,version_tratamiento,sha256_inventario_referencia
37,PROD-037,Producto Logistico 037,Fresco,4.0,2.0,31.41,25.76,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-037,18.0,103,,,False,Fresco,4.0,2.0,31.41,25.76,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
38,PROD-038,Producto Logistico 038,Seco,20.0,5.0,31.96,26.68,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-038,365.0,90,,,False,Seco,20.0,5.0,31.96,26.68,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
39,PROD-039,Producto Logistico 039,Seco,20.0,5.0,61.51,53.27,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-039,365.0,91,,,False,Seco,20.0,5.0,61.51,53.27,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
40,PROD-040,Producto Logistico 040,Seco,20.0,5.0,47.78,40.19,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-040,365.0,102,,,False,Seco,20.0,5.0,47.78,40.19,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
41,PROD-041,Producto Logistico 041,Congelado,-18.0,2.0,57.88,48.44,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-041,180.0,104,,,False,Congelado,-18.0,2.0,57.88,48.44,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
42,PROD-042,Producto Logistico 042,Seco,20.0,5.0,65.92,55.74,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-042,365.0,101,,,False,Seco,20.0,5.0,65.92,55.74,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
43,PROD-043,Producto Logistico 043,Congelado,-18.0,2.0,19.19,16.46,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-043,180.0,107,,,False,Congelado,-18.0,2.0,19.19,16.46,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
44,PROD-044,Producto Logistico 044,Fresco,4.0,2.0,44.85,38.35,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-044,18.0,112,,,False,Fresco,4.0,2.0,44.85,38.35,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
45,PROD-045,Producto Logistico 045,Fresco,4.0,2.0,33.35,27.1,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-045,18.0,83,,,False,Fresco,4.0,2.0,33.35,27.1,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
46, prod-046 ,Producto Logistico 046,Seco,20.0,5.0,31.46,25.66,CRITICO,Formato esperado: PROD-###,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,producto_id,producto_id: Formato esperado: PROD-###,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-046,365.0,104,NORMALIZAR_PRODUCTO_ID,Espacios y mayúsculas normalizados,True,Seco,20.0,5.0,31.46,25.66,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
47,PROD-047,Producto Logistico 047,Fresco,4.0,2.0,82.63,68.27,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-047,18.0,105,,,False,Fresco,4.0,2.0,82.63,68.27,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
48,PROD-048,Producto Logistico 048,Seco,20.0,5.0,58.99,49.21,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-048,365.0,82,,,False,Seco,20.0,5.0,58.99,49.21,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
49,PROD-049,Producto Logistico 049,Fresco,,2.0,65.44,53.71,OK,,OK,,OK,,CRITICO,Valor faltante,OK,,OK,,OK,,1,True,CRITICO,temperatura_conservacion_requerida_c,temperatura_conservacion_requerida_c: Valor faltante,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-049,18.0,92,IMPUTAR_TEMPERATURA_OBJETIVO,"Objetivo estimado por categoría, tolerancia y vida útil observada del producto",False,Fresco,4.0,2.0,65.44,53.71,False,True,,False,False,SILVER,False,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
50,PROD-050,Producto Logistico 050,Seco,20.0,5.0,56.92,46.57,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-050,365.0,101,,,False,Seco,20.0,5.0,56.92,46.57,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
51,PROD-051,Producto Logistico 051,Congelado,-18.0,2.0,28.88,24.83,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-051,180.0,108,,,False,Congelado,-18.0,2.0,28.88,24.83,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
52,PROD-052,Producto Logistico 052,Fresco,4.0,2.0,48.09,41.48,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-052,18.0,102,,,False,Fresco,4.0,2.0,48.09,41.48,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
53,PROD-053,Producto Logistico 053,Fresco,4.0,2.0,62.8,52.38,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-053,18.0,85,,,False,Fresco,4.0,2.0,62.8,52.38,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
54,PROD-054,Producto Logistico 054,Congelado,-18.0,2.0,98.56,79.92,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-054,180.0,116,,,False,Congelado,-18.0,2.0,98.56,79.92,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
55,PROD-055,Producto Logistico 055,Seco,20.0,5.0,82.15,69.47,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-055,365.0,94,,,False,Seco,20.0,5.0,82.15,69.47,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
56,PROD-056,Producto Logistico 056,Fresco,4.0,2.0,41.14,33.35,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-056,18.0,120,,,False,Fresco,4.0,2.0,41.14,33.35,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
57,PROD-057,Producto Logistico 057,Seco,20.0,5.0,19.64,16.73,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-057,365.0,99,,,False,Seco,20.0,5.0,19.64,16.73,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
58,PROD-058,Producto Logistico 058,Congelado,-18.0,2.0,98.86,82.19,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-058,180.0,101,,,False,Congelado,-18.0,2.0,98.86,82.19,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
59,PROD-059,Producto Logistico 059,Seco,20.0,5.0,58.59,49.31,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-059,365.0,89,,,False,Seco,20.0,5.0,58.59,49.31,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
60,PROD-060,Producto Logistico 060,Congelado,-18.0,2.0,35.8,30.63,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-060,180.0,97,,,False,Congelado,-18.0,2.0,35.8,30.63,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
