fila_bronze,columna_afectada,codigo_error,valor_original,version_diagnostico,estado_tratamiento,tratamiento_aplicado,detalle_resultado
1614,fecha_ingreso,FORMATO_FECHA_DISTINTO,12/07/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
1651,fecha_salida,FECHA_INVALIDA,2026-02-31,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
1664,fecha_ingreso,FORMATO_FECHA_DISTINTO,15/07/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
1685,producto_id,FORMATO_INVALIDO, prod-052 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
1786,producto_id,FORMATO_INVALIDO, prod-048 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
1872,cantidad_merma,NEGATIVA,-50,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
1883,fecha_ingreso,FORMATO_FECHA_DISTINTO,29/06/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
1900,fecha_ingreso,FORMATO_FECHA_DISTINTO,23/08/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
1950,producto_id,FORMATO_INVALIDO, prod-028 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
1994,producto_id,FORMATO_INVALIDO, prod-022 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
2055,cantidad_ingreso,NO_NUMERICA,cien,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
2063,producto_id,FORMATO_INVALIDO, prod-055 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
2110,fecha_ingreso,FORMATO_FECHA_DISTINTO,11/05/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
2204,fecha_ingreso,FORMATO_FECHA_DISTINTO,22/07/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
2208,cantidad_ingreso,NO_NUMERICA,cien,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
2250,cantidad_ingreso,NO_NUMERICA,cien,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
2265,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
2267,fecha_ingreso,FORMATO_FECHA_DISTINTO,12/06/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
2341,producto_id,FORMATO_INVALIDO, prod-032 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
2472,fecha_ingreso,FORMATO_FECHA_DISTINTO,31/05/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
2531,producto_id,FORMATO_INVALIDO, prod-019 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
2534,producto_id,FORMATO_INVALIDO, prod-036 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
2654,fecha_ingreso,FORMATO_FECHA_DISTINTO,13/08/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
2654,movimiento_id,CLAVE_EN_CONFLICTO,MOV-002654,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
2672,cantidad_ingreso,NO_NUMERICA,cien,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
2793,cantidad_merma,NEGATIVA,-3,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
2817,fecha_ingreso,FORMATO_FECHA_DISTINTO,24/06/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
2934,fecha_ingreso,FORMATO_FECHA_DISTINTO,19/06/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
2946,producto_id,FORMATO_INVALIDO, prod-046 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
2953,producto_id,FORMATO_INVALIDO, prod-050 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
3019,fecha_ingreso,FORMATO_FECHA_DISTINTO,09/08/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
3029,fecha_ingreso,FORMATO_FECHA_DISTINTO,27/08/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
3063,fecha_ingreso,FORMATO_FECHA_DISTINTO,16/07/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
3226,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
3246,cantidad_ingreso,NO_NUMERICA,cien,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
3271,producto_id,FORMATO_INVALIDO, prod-052 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
3323,fecha_ingreso,FORMATO_FECHA_DISTINTO,16/05/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
3421,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
3461,producto_id,FORMATO_INVALIDO, prod-017 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
3574,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
3585,fecha_ingreso,FORMATO_FECHA_DISTINTO,04/05/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
3609,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
3861,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
3900,fecha_ingreso,FORMATO_FECHA_DISTINTO,06/07/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
3974,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
4180,producto_id,FORMATO_INVALIDO, prod-024 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
4195,producto_id,FORMATO_INVALIDO, prod-045 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
4203,producto_id,FORMATO_INVALIDO, prod-054 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
4439,fecha_ingreso,FORMATO_FECHA_DISTINTO,13/06/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
4459,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
4700,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
4884,producto_id,FORMATO_INVALIDO, prod-048 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
4900,cantidad_merma,NEGATIVA,-3,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
4915,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
4930,fecha_ingreso,FORMATO_FECHA_DISTINTO,17/05/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
4939,fecha_ingreso,FORMATO_FECHA_DISTINTO,09/07/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
4971,fecha_salida,FECHA_INVALIDA,2026-02-31,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
4978,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
4988,producto_id,FORMATO_INVALIDO, prod-053 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
5016,fecha_ingreso,FORMATO_FECHA_DISTINTO,28/06/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
5096,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
5227,cantidad_ingreso,NO_NUMERICA,cien,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
5254,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
5265,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
5282,cantidad_ingreso,NO_NUMERICA,cien,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
5369,producto_id,FORMATO_INVALIDO, prod-004 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
5378,producto_id,FORMATO_INVALIDO, prod-037 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
5468,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
5524,producto_id,FORMATO_INVALIDO, prod-040 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
5603,producto_id,FORMATO_INVALIDO, prod-054 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
5660,producto_id,FORMATO_INVALIDO, prod-032 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
5732,producto_id,FORMATO_INVALIDO, prod-016 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
5769,fecha_salida,FECHA_INVALIDA,2026-02-31,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
5854,producto_id,FORMATO_INVALIDO, prod-045 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
5894,fecha_ingreso,FORMATO_FECHA_DISTINTO,07/07/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
5909,cantidad_ingreso,NO_NUMERICA,cien,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
5913,fecha_ingreso,FORMATO_FECHA_DISTINTO,07/07/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
5943,producto_id,FORMATO_INVALIDO, prod-041 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
6001,movimiento_id,DUPLICADO_IDENTICO,MOV-004748,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6002,movimiento_id,DUPLICADO_IDENTICO,MOV-001735,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6003,movimiento_id,DUPLICADO_IDENTICO,MOV-003073,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6004,movimiento_id,DUPLICADO_IDENTICO,MOV-003016,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6005,movimiento_id,DUPLICADO_IDENTICO,MOV-003990,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6006,movimiento_id,DUPLICADO_IDENTICO,MOV-001055,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6007,movimiento_id,DUPLICADO_IDENTICO,MOV-004746,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6008,movimiento_id,DUPLICADO_IDENTICO,MOV-004614,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6009,movimiento_id,DUPLICADO_IDENTICO,MOV-000978,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6010,movimiento_id,DUPLICADO_IDENTICO,MOV-005017,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6011,movimiento_id,DUPLICADO_IDENTICO,MOV-000102,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6012,movimiento_id,DUPLICADO_IDENTICO,MOV-004597,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6013,movimiento_id,DUPLICADO_IDENTICO,MOV-004997,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6014,movimiento_id,DUPLICADO_IDENTICO,MOV-003224,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6015,movimiento_id,DUPLICADO_IDENTICO,MOV-004399,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6016,movimiento_id,DUPLICADO_IDENTICO,MOV-005441,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6017,movimiento_id,DUPLICADO_IDENTICO,MOV-005588,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6018,movimiento_id,DUPLICADO_IDENTICO,MOV-003592,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6019,movimiento_id,DUPLICADO_IDENTICO,MOV-003014,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6020,movimiento_id,DUPLICADO_IDENTICO,MOV-004061,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6021,movimiento_id,DUPLICADO_IDENTICO,MOV-000734,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6022,movimiento_id,DUPLICADO_IDENTICO,MOV-002648,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6023,movimiento_id,DUPLICADO_IDENTICO,MOV-002305,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6024,movimiento_id,DUPLICADO_IDENTICO,MOV-001648,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6025,movimiento_id,DUPLICADO_IDENTICO,MOV-001094,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6026,movimiento_id,DUPLICADO_IDENTICO,MOV-005267,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6027,movimiento_id,DUPLICADO_IDENTICO,MOV-004534,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6028,movimiento_id,DUPLICADO_IDENTICO,MOV-000190,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6029,movimiento_id,DUPLICADO_IDENTICO,MOV-000904,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6030,movimiento_id,DUPLICADO_IDENTICO,MOV-002656,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6031,movimiento_id,CLAVE_EN_CONFLICTO,MOV-002654,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
6032,movimiento_id,DUPLICADO_IDENTICO,MOV-003560,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6033,movimiento_id,DUPLICADO_IDENTICO,MOV-005749,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6034,movimiento_id,DUPLICADO_IDENTICO,MOV-004374,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6035,movimiento_id,DUPLICADO_IDENTICO,MOV-004588,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6036,movimiento_id,DUPLICADO_IDENTICO,MOV-004400,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6037,movimiento_id,DUPLICADO_IDENTICO,MOV-000486,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6038,movimiento_id,DUPLICADO_IDENTICO,MOV-005819,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6039,movimiento_id,DUPLICADO_IDENTICO,MOV-003665,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
6040,movimiento_id,DUPLICADO_IDENTICO,MOV-004092,GIAD-M3-S4-INVENTORY-diagnostico-v1,EXCLUIDO_COMO_COPIA,COPIA_EXCLUIDA,Copia conservada para auditoría; fuera de Silver
