fila_bronze,clave_lectura,tipo_duplicado,decision_duplicado,fila_canonica,justificacion_duplicado
6030,MOV-002656,IDENTICO,COPIA_EXCLUIDA,2656,Las doce columnas originales son idénticas
3014,MOV-003014,IDENTICO,CANONICA,3014,Las doce columnas originales son idénticas
6019,MOV-003014,IDENTICO,COPIA_EXCLUIDA,3014,Las doce columnas originales son idénticas
3016,MOV-003016,IDENTICO,CANONICA,3016,Las doce columnas originales son idénticas
6004,MOV-003016,IDENTICO,COPIA_EXCLUIDA,3016,Las doce columnas originales son idénticas
3073,MOV-003073,IDENTICO,CANONICA,3073,Las doce columnas originales son idénticas
6003,MOV-003073,IDENTICO,COPIA_EXCLUIDA,3073,Las doce columnas originales son idénticas
3224,MOV-003224,IDENTICO,CANONICA,3224,Las doce columnas originales son idénticas
6014,MOV-003224,IDENTICO,COPIA_EXCLUIDA,3224,Las doce columnas originales son idénticas
3560,MOV-003560,IDENTICO,CANONICA,3560,Las doce columnas originales son idénticas
6032,MOV-003560,IDENTICO,COPIA_EXCLUIDA,3560,Las doce columnas originales son idénticas
3592,MOV-003592,IDENTICO,CANONICA,3592,Las doce columnas originales son idénticas
6018,MOV-003592,IDENTICO,COPIA_EXCLUIDA,3592,Las doce columnas originales son idénticas
3665,MOV-003665,COMPLEMENTARIO,COPIA_EXCLUIDA,6039,Una fila presenta fecha_ingreso en formato ISO estándar
6039,MOV-003665,COMPLEMENTARIO,CANONICA,6039,Una fila presenta fecha_ingreso en formato ISO estándar
3990,MOV-003990,IDENTICO,CANONICA,3990,Las doce columnas originales son idénticas
6005,MOV-003990,IDENTICO,COPIA_EXCLUIDA,3990,Las doce columnas originales son idénticas
4061,MOV-004061,IDENTICO,CANONICA,4061,Las doce columnas originales son idénticas
6020,MOV-004061,IDENTICO,COPIA_EXCLUIDA,4061,Las doce columnas originales son idénticas
4092,MOV-004092,IDENTICO,CANONICA,4092,Las doce columnas originales son idénticas
6040,MOV-004092,IDENTICO,COPIA_EXCLUIDA,4092,Las doce columnas originales son idénticas
4374,MOV-004374,IDENTICO,CANONICA,4374,Las doce columnas originales son idénticas
6034,MOV-004374,IDENTICO,COPIA_EXCLUIDA,4374,Las doce columnas originales son idénticas
4399,MOV-004399,IDENTICO,CANONICA,4399,Las doce columnas originales son idénticas
6015,MOV-004399,IDENTICO,COPIA_EXCLUIDA,4399,Las doce columnas originales son idénticas
4400,MOV-004400,IDENTICO,CANONICA,4400,Las doce columnas originales son idénticas
6036,MOV-004400,IDENTICO,COPIA_EXCLUIDA,4400,Las doce columnas originales son idénticas
4534,MOV-004534,IDENTICO,CANONICA,4534,Las doce columnas originales son idénticas
6027,MOV-004534,IDENTICO,COPIA_EXCLUIDA,4534,Las doce columnas originales son idénticas
4588,MOV-004588,IDENTICO,CANONICA,4588,Las doce columnas originales son idénticas
6035,MOV-004588,IDENTICO,COPIA_EXCLUIDA,4588,Las doce columnas originales son idénticas
4597,MOV-004597,IDENTICO,CANONICA,4597,Las doce columnas originales son idénticas
6012,MOV-004597,IDENTICO,COPIA_EXCLUIDA,4597,Las doce columnas originales son idénticas
4614,MOV-004614,IDENTICO,CANONICA,4614,Las doce columnas originales son idénticas
6008,MOV-004614,IDENTICO,COPIA_EXCLUIDA,4614,Las doce columnas originales son idénticas
4746,MOV-004746,IDENTICO,CANONICA,4746,Las doce columnas originales son idénticas
6007,MOV-004746,IDENTICO,COPIA_EXCLUIDA,4746,Las doce columnas originales son idénticas
4748,MOV-004748,IDENTICO,CANONICA,4748,Las doce columnas originales son idénticas
6001,MOV-004748,IDENTICO,COPIA_EXCLUIDA,4748,Las doce columnas originales son idénticas
4997,MOV-004997,IDENTICO,CANONICA,4997,Las doce columnas originales son idénticas
6013,MOV-004997,IDENTICO,COPIA_EXCLUIDA,4997,Las doce columnas originales son idénticas
5017,MOV-005017,IDENTICO,CANONICA,5017,Las doce columnas originales son idénticas
6010,MOV-005017,IDENTICO,COPIA_EXCLUIDA,5017,Las doce columnas originales son idénticas
5267,MOV-005267,IDENTICO,CANONICA,5267,Las doce columnas originales son idénticas
6026,MOV-005267,IDENTICO,COPIA_EXCLUIDA,5267,Las doce columnas originales son idénticas
5441,MOV-005441,IDENTICO,CANONICA,5441,Las doce columnas originales son idénticas
6016,MOV-005441,IDENTICO,COPIA_EXCLUIDA,5441,Las doce columnas originales son idénticas
5588,MOV-005588,IDENTICO,CANONICA,5588,Las doce columnas originales son idénticas
6017,MOV-005588,IDENTICO,COPIA_EXCLUIDA,5588,Las doce columnas originales son idénticas
5749,MOV-005749,IDENTICO,CANONICA,5749,Las doce columnas originales son idénticas
6033,MOV-005749,IDENTICO,COPIA_EXCLUIDA,5749,Las doce columnas originales son idénticas
5819,MOV-005819,IDENTICO,CANONICA,5819,Las doce columnas originales son idénticas
6038,MOV-005819,IDENTICO,COPIA_EXCLUIDA,5819,Las doce columnas originales son idénticas
