fila_bronze,timestamp,viaje_id,order_id,camion_id,producto_id,temperatura_cabina_c,temp_unit,humedad_cabina_pct,desviacion_termica_flag,desviacion_proximos_60min_flag,columnas_con_problemas,en_cuarentena,temperatura_c_preparada,tratamiento_temperatura,en_cuarentena_inicial,columnas_problema_iniciales,motivos_finales,en_cuarentena_final,tratamientos_aplicados,version_tratamiento
1169,2026-08-11 23:24:00,VIA-00049,ORD-2026-02871,CAM-03,PROD-010,,C,51.4,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
1276,2026-08-14 06:38:00,VIA-00054,ORD-2026-05811,CAM-03,PROD-031,-18.25,C,-75.7,0,0,humedad_cabina_pct,True,-18.25,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FUERA_RANGO,True,,GIAD-M3-S4-IOT-tratamiento-v1
1286,2026-08-14 11:38:00,VIA-00054,ORD-2026-05811,CAM-03,PROD-031,,C,76.8,1,1,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
1336,2026-08-02 07:13:00,VIA-00056,ORD-2026-06250,CAM-08,PROD-042,,C,53.4,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
1469,2026-08-15 11:39:00,VIA-00062,ORD-2026-02581,CAM-04,PROD-009,,C,49.7,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
1730,2026-08-14 21:08:00,VIA-00073,ORD-2026-01330,CAM-23,PROD-012,,C,64.6,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
1798,2026-08-16 07:27:00,VIA-00075,ORD-2026-03282,CAM-09,PROD-036,-18.44,C,,0,0,humedad_cabina_pct,True,-18.44,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
1967,2026-08-13 02:26:00,VIA-00082,ORD-2026-06630,CAM-05,PROD-022,,C,65.7,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
2346,2026-08-27 23:04:00,VIA-00098,ORD-2026-01622,CAM-09,PROD-030,,C,45.8,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
2356,2026-08-20 09:15:00,VIA-00099,ORD-2026-03689,CAM-01,PROD-057,,C,46.1,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
2583,2026-08-15 11:12:00,VIA-00108,ORD-2026-04673,CAM-28,PROD-039,,C,45.8,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
2601,2026-08-19 19:32:00,VIA-00109,ORD-2026-06621,CAM-05,PROD-019,4.39,C,,0,0,humedad_cabina_pct,True,4.39,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
2788,2026-08-05 15:34:00,VIA-00117,ORD-2026-00035,CAM-05,PROD-053,16.73,C,,0,0,humedad_cabina_pct,True,16.73,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
2990,2026-08-16 12:39:00,VIA-00125,ORD-2026-07330,CAM-24,PROD-004,,C,40.9,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
3019,2026-08-11 23:55:00,VIA-00126,ORD-2026-00648,CAM-03,PROD-014,20.01,C,,0,0,humedad_cabina_pct,True,20.01,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
3060,2026-08-02 11:38:00,VIA-00128,ORD-2026-02317,CAM-13,PROD-057,,C,52.1,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
3106,2026-08-28 08:03:00,VIA-00130,ORD-2026-06615,CAM-09,PROD-056,4.23,C,,0,0,humedad_cabina_pct,True,4.23,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
3201,2026-08-10 00:02:00,VIA-00134,ORD-2026-00288,CAM-04,PROD-033,18.73,C,,0,0,humedad_cabina_pct,True,18.73,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
3272,2026-08-17 11:37:00,VIA-00137,ORD-2026-06375,CAM-15,PROD-054,19.14,C,,0,0,humedad_cabina_pct,True,19.14,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
3300,2026-08-16 01:02:00,VIA-00138,ORD-2026-05332,CAM-23,PROD-040,4.78,C,,0,0,humedad_cabina_pct,True,4.78,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
3343,2026-08-23 07:05:00,VIA-00140,ORD-2026-03911,CAM-21,PROD-044,19.91,C,,0,0,humedad_cabina_pct,True,19.91,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
3349,2026-08-23 10:05:00,VIA-00140,ORD-2026-03911,CAM-21,PROD-044,20.15,C,,0,0,humedad_cabina_pct,True,20.15,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
3617,2026-08-07 23:19:00,VIA-00151,ORD-2026-05731,CAM-13,PROD-040,,C,88.5,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
4059,2026-08-23 06:41:00,VIA-00170,ORD-2026-04828,CAM-02,PROD-038,17.92,C,,0,0,humedad_cabina_pct,True,17.92,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
4065,2026-08-23 09:41:00,VIA-00170,ORD-2026-04828,CAM-02,PROD-038,18.24,C,,0,0,humedad_cabina_pct,True,18.24,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
4067,2026-08-23 10:41:00,VIA-00170,ORD-2026-04828,CAM-02,PROD-038,19.84,C,,0,0,humedad_cabina_pct,True,19.84,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
4102,2026-08-02 02:36:00,VIA-00171,ORD-2026-04015,CAM-28,PROD-018,,C,38.5,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
4423,2026-08-02 00:54:00,VIA-00185,ORD-2026-00226,CAM-07,PROD-046,18.37,C,,0,0,humedad_cabina_pct,True,18.37,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
4537,2026-02-31 09:15:00,VIA-00190,ORD-2026-07185,CAM-05,PROD-035,3.82,C,68.9,0,0,timestamp,True,3.82,C_ORIGINAL,True,timestamp,timestamp:FECHA_INVALIDA,True,,GIAD-M3-S4-IOT-tratamiento-v1
4576,2026-08-14 00:56:00,VIA-00191,ORD-2026-06851,CAM-14,PROD-038,19.43,C,,0,0,humedad_cabina_pct,True,19.43,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
4593,2026-08-15 21:06:00,VIA-00192,ORD-2026-05621,CAM-05,PROD-003,,C,84.3,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
4599,2026-08-16 00:06:00,VIA-00192,ORD-2026-05621,CAM-05,PROD-003,,C,80.0,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
4674,2026-08-12 03:59:00,VIA-00195,ORD-2026-01977,CAM-02,PROD-029,,C,43.1,1,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
4768,2026-02-31 09:15:00,VIA-00199,ORD-2026-04716,CAM-09,PROD-052,-17.1,C,74.5,0,0,timestamp,True,-17.1,C_ORIGINAL,True,timestamp,timestamp:FECHA_INVALIDA,True,,GIAD-M3-S4-IOT-tratamiento-v1
4907,2026-08-24 16:47:00,VIA-00205,ORD-2026-02007,CAM-19,PROD-039,22.58,C,,0,0,humedad_cabina_pct,True,22.58,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
5113,2026-08-11 05:38:00,VIA-00214,ORD-2026-00997,CAM-27,PROD-060,4.78,C,,0,0,humedad_cabina_pct,True,4.78,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
5307,2026-08-21 02:43:00,VIA-00222,ORD-2026-02741,CAM-07,PROD-004,18.6,C,,0,0,humedad_cabina_pct,True,18.6,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
5316,2026-08-21 07:13:00,VIA-00222,ORD-2026-02741,CAM-07,PROD-004,,C,55.4,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
5371,2026-08-28 23:39:00,VIA-00224,ORD-2026-04902,CAM-16,PROD-029,24.52,C,,0,0,humedad_cabina_pct,True,24.52,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
5468,2026-08-18 08:57:00,VIA-00228,ORD-2026-02255,CAM-02,PROD-032,21.44,C,,0,0,humedad_cabina_pct,True,21.44,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
5609,2026-08-03 18:52:00,VIA-00234,ORD-2026-01178,CAM-22,PROD-007,,C,56.9,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
5823,2026-02-31 09:15:00,VIA-00243,ORD-2026-02147,CAM-10,PROD-006,20.67,C,48.8,0,0,timestamp,True,20.67,C_ORIGINAL,True,timestamp,timestamp:FECHA_INVALIDA,True,,GIAD-M3-S4-IOT-tratamiento-v1
5856,2026-08-14 22:00:00,VIA-00244,ORD-2026-06776,CAM-09,PROD-024,,C,50.7,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
6397,2026-08-07 21:07:00,VIA-00267,ORD-2026-07158,CAM-23,PROD-027,,C,49.6,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
6473,2026-08-11 12:58:00,VIA-00270,ORD-2026-02523,CAM-19,PROD-044,21.87,C,,0,0,humedad_cabina_pct,True,21.87,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
6767,2026-08-16 11:57:00,VIA-00282,ORD-2026-02946,CAM-03,PROD-038,25.53,C,,1,0,humedad_cabina_pct,True,25.53,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
6832,2026-08-02 04:18:00,VIA-00285,ORD-2026-05247,CAM-25,PROD-024,18.07,C,,0,0,humedad_cabina_pct,True,18.07,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
7173,2026-08-20 23:44:00,VIA-00299,ORD-2026-05162,CAM-13,PROD-018,22.52,C,-58.6,0,0,humedad_cabina_pct,True,22.52,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FUERA_RANGO,True,,GIAD-M3-S4-IOT-tratamiento-v1
7245,2026-08-29 20:11:00,VIA-00302,ORD-2026-00057,CAM-14,PROD-034,17.76,C,,0,0,humedad_cabina_pct,True,17.76,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
7256,2026-08-06 14:06:00,VIA-00303,ORD-2026-03846,CAM-28,PROD-013,-18.44,C,,0,0,humedad_cabina_pct,True,-18.44,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
7391,2026-08-16 07:42:00,VIA-00308,ORD-2026-02207,CAM-01,PROD-050,,C,72.0,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
7455,2026-08-13 04:51:00,VIA-00311,ORD-2026-02949,CAM-08,PROD-030,19.43,C,,0,0,humedad_cabina_pct,True,19.43,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
7583,2026-08-03 06:59:00,VIA-00316,ORD-2026-04476,CAM-05,PROD-026,,C,46.9,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
7681,2026-08-25 17:59:00,VIA-00321,ORD-2026-04625,CAM-13,PROD-049,2.91,C,-80.5,0,0,humedad_cabina_pct,True,2.91,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FUERA_RANGO,True,,GIAD-M3-S4-IOT-tratamiento-v1
7776,2026-08-26 18:27:00,VIA-00324,ORD-2026-05843,CAM-03,PROD-013,,C,69.9,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
7782,2026-08-07 21:01:00,VIA-00325,ORD-2026-00169,CAM-07,PROD-027,,C,54.6,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
7941,2026-08-25 19:55:00,VIA-00331,ORD-2026-03610,CAM-03,PROD-028,19.02,C,,0,0,humedad_cabina_pct,True,19.02,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
8028,2026-08-29 16:06:00,VIA-00335,ORD-2026-07179,CAM-05,PROD-036,,C,76.4,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
8232,2026-08-12 06:03:00,VIA-00343,ORD-2026-06413,CAM-18,PROD-017,5.51,C,,0,0,humedad_cabina_pct,True,5.51,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
8696,2026-02-31 09:15:00,VIA-00363,ORD-2026-07429,CAM-09,PROD-033,18.99,C,53.9,0,0,timestamp,True,18.99,C_ORIGINAL,True,timestamp,timestamp:FECHA_INVALIDA,True,,GIAD-M3-S4-IOT-tratamiento-v1
9333,2026-08-18 05:48:00,VIA-00389,ORD-2026-02236,CAM-17,PROD-045,,C,46.3,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
9412,2026-08-11 22:46:00,VIA-00393,ORD-2026-02901,CAM-05,PROD-031,-19.46,C,,0,0,humedad_cabina_pct,True,-19.46,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
9456,2026-02-31 09:15:00,VIA-00394,ORD-2026-07231,CAM-03,PROD-049,4.01,C,88.1,0,0,timestamp,True,4.01,C_ORIGINAL,True,timestamp,timestamp:FECHA_INVALIDA,True,,GIAD-M3-S4-IOT-tratamiento-v1
9968,2026-08-01 06:34:00,VIA-00416,ORD-2026-01855,CAM-28,PROD-059,2.49,C,,0,0,humedad_cabina_pct,True,2.49,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
10021,2026-08-04 21:45:00,VIA-00418,ORD-2026-05862,CAM-10,PROD-033,,C,42.4,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
10080,2026-08-09 01:32:00,VIA-00420,ORD-2026-02885,CAM-08,PROD-011,,C,78.9,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
10123,2026-02-31 09:15:00,VIA-00422,ORD-2026-00525,CAM-09,PROD-050,4.56,C,83.8,0,0,timestamp,True,4.56,C_ORIGINAL,True,timestamp,timestamp:FECHA_INVALIDA,True,,GIAD-M3-S4-IOT-tratamiento-v1
10240,2026-08-10 03:20:00,VIA-00427,ORD-2026-04049,CAM-22,PROD-033,19.43,C,,0,0,humedad_cabina_pct,True,19.43,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
10309,2026-08-05 13:32:00,VIA-00430,ORD-2026-02197,CAM-28,PROD-002,4.48,C,,0,0,humedad_cabina_pct,True,4.48,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
10372,2026-08-10 15:26:00,VIA-00433,ORD-2026-00959,CAM-07,PROD-045,,C,43.9,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
10385,2026-08-10 21:56:00,VIA-00433,ORD-2026-00959,CAM-07,PROD-045,18.26,C,,0,0,humedad_cabina_pct,True,18.26,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
10599,2026-08-21 19:14:00,VIA-00442,ORD-2026-02381,CAM-13,PROD-035,4.07,C,,0,0,humedad_cabina_pct,True,4.07,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
10714,2026-08-29 20:15:00,VIA-00447,ORD-2026-05229,CAM-22,PROD-060,5.07,C,,0,0,humedad_cabina_pct,True,5.07,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
11002,2026-08-25 22:34:00,VIA-00459,ORD-2026-07455,CAM-27,PROD-028,18.8,C,,0,0,humedad_cabina_pct,True,18.8,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
11185,2026-08-03 02:46:00,VIA-00467,ORD-2026-07428,CAM-26,PROD-029,22.1,C,,0,0,humedad_cabina_pct,True,22.1,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
11242,2026-08-13 20:47:00,VIA-00469,ORD-2026-01442,CAM-26,PROD-018,22.42,C,,0,0,humedad_cabina_pct,True,22.42,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
11375,2026-08-29 04:07:00,VIA-00474,ORD-2026-05908,CAM-24,PROD-047,19.11,C,,0,0,humedad_cabina_pct,True,19.11,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
11387,2026-08-22 23:28:00,VIA-00475,ORD-2026-01792,CAM-05,PROD-052,,C,57.9,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
11464,2026-08-22 16:32:00,VIA-00478,ORD-2026-00466,CAM-08,PROD-013,-19.76,C,,0,0,humedad_cabina_pct,True,-19.76,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
11804,2026-08-27 06:35:00,VIA-00492,ORD-2026-01737,CAM-05,PROD-002,3.3,C,,0,0,humedad_cabina_pct,True,3.3,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
11822,2026-08-16 13:02:00,VIA-00493,ORD-2026-00167,CAM-05,PROD-001,,C,74.8,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
11926,2026-08-15 03:00:00,VIA-00497,ORD-2026-02619,CAM-23,PROD-001,,C,55.2,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
12450,2026-08-24 20:04:00,VIA-00519,ORD-2026-03330,CAM-18,PROD-053,20.23,C,,0,0,humedad_cabina_pct,True,20.23,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
12678,2026-08-16 14:55:00,VIA-00529,ORD-2026-05310,CAM-17,PROD-006,,C,53.3,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
12757,2026-08-02 20:37:00,VIA-00532,ORD-2026-04733,CAM-20,PROD-021,,C,46.3,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
12771,2026-08-16 13:09:00,VIA-00533,ORD-2026-06751,CAM-06,PROD-034,,C,55.3,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
