fila_bronze,viaje_id,order_id,camion_id_tratado,producto_id,timestamp_bolivia,temp_c,humedad_pct,objetivo_c,tolerancia_c,desvio_respecto_umbral_c,temp_lag1_c,temp_lag2_c,cambio_temp_c,pendiente_c_por_min,temp_media_historica_3,temp_max_historica_3,minutos_desde_inicio,categoria_logistica_tratada,tipo_camion_tratado,capacidad_kg_tratada,centro_distribucion_tratado,cantidad_solicitada_tratado,tiempo_entrega_prometido_hrs_tratado,temperatura_imputada_x,humedad_imputada,clasificacion_objetivo_60min,max_desvio_termico_proximos_60min_c,n_lecturas_futuras_60min,apta_clasificacion_60min,apta_regresion_60min,eventos_previos_60m,eventos_previos_180m,eventos_previos_24h,alertas_temp_previas_60m,alertas_temp_previas_180m,alertas_temp_previas_24h,fallas_motor_previas_24h,eventos_alta_previos_24h,eventos_no_reconocidos_previos_24h,reconocimiento_faltante_previos_24h,minutos_desde_ultimo_evento,minutos_desde_ultima_alerta_temp,umbral_eventos_temp_cabina_c,geocerca_eventos_radio_km,ultimo_mantenimiento_eventos,dias_desde_ultimo_mantenimiento_eventos,tiene_evento_previo_24h,tiene_alerta_temp_previa_24h
39,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 06:30:00,21.02,51.9,20.0,5.0,-3.98,18.43,21.61,2.59,0.0863333333333333,20.35333333333333,21.61,420.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-3.280000000000001,2,True,True,0,0,1,0,0,0,0,0,1,0,580.0,,6.4,49.8,2026-08-17,-3.7291666666666665,True,False
40,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 07:00:00,19.71,41.7,20.0,5.0,-4.710000000000001,21.02,18.43,-1.3099999999999987,-0.0436666666666666,19.72,21.02,450.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-3.280000000000001,2,True,True,0,0,1,0,0,0,0,0,1,0,610.0,,6.4,49.8,2026-08-17,-3.7083333333333335,True,False
41,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 07:30:00,18.28,64.6,20.0,5.0,-3.280000000000001,19.71,21.02,-1.4299999999999995,-0.0476666666666666,19.67,21.02,480.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-3.8299999999999983,2,True,True,0,0,1,0,0,0,0,0,1,0,640.0,,6.4,49.8,2026-08-17,-3.6875,True,False
42,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 08:00:00,19.56,55.9,20.0,5.0,-4.559999999999999,18.28,19.71,1.2799999999999976,0.0426666666666665,19.183333333333334,19.71,510.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-2.7600000000000016,2,True,True,0,0,1,0,0,0,0,0,1,0,670.0,,6.4,49.8,2026-08-17,-3.6666666666666665,True,False
43,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 08:30:00,18.83,45.8,20.0,5.0,-3.8299999999999983,19.56,18.28,-0.7300000000000004,-0.0243333333333333,18.89,19.56,540.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-2.530000000000001,2,True,True,0,0,1,0,0,0,0,0,1,0,700.0,,6.4,49.8,2026-08-17,-3.6458333333333335,True,False
44,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 09:00:00,17.76,40.1,20.0,5.0,-2.7600000000000016,18.83,19.56,-1.0699999999999967,-0.0356666666666665,18.716666666666665,19.56,570.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-2.530000000000001,2,True,True,0,0,1,0,0,0,0,0,1,0,730.0,,6.4,49.8,2026-08-17,-3.625,True,False
45,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 09:30:00,17.53,41.9,20.0,5.0,-2.530000000000001,17.76,18.83,-0.2300000000000004,-0.0076666666666666,18.040000000000003,18.83,600.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-4.210000000000001,2,True,True,0,0,1,0,0,0,0,0,1,0,760.0,,6.4,49.8,2026-08-17,-3.6041666666666665,True,False
46,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 10:00:00,19.94,36.5,20.0,5.0,-4.940000000000001,17.53,17.76,2.41,0.0803333333333333,18.41,19.94,630.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-2.5700000000000003,2,True,True,0,0,1,0,0,0,0,0,1,0,790.0,,6.4,49.8,2026-08-17,-3.5833333333333335,True,False
47,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 10:30:00,19.21,43.6,20.0,5.0,-4.210000000000001,19.94,17.53,-0.7300000000000004,-0.0243333333333333,18.89333333333333,19.94,660.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-2.5700000000000003,1,True,True,0,0,1,0,0,0,0,0,1,0,820.0,,6.4,49.8,2026-08-17,-3.5625,True,False
48,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 11:00:00,17.57,61.6,20.0,5.0,-2.5700000000000003,19.21,19.94,-1.6400000000000006,-0.0546666666666666,18.906666666666663,19.94,690.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,,0,True,False,0,0,1,0,0,0,0,0,1,0,850.0,,6.4,49.8,2026-08-17,-3.5416666666666665,True,False
49,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 13:15:00,22.59,42.4,20.0,5.0,-2.41,,,,,22.59,22.59,0.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-3.5100000000000016,2,True,True,0,0,0,0,0,0,0,0,0,0,1818.0,1818.0,8.7,53.5,2026-06-02,61.552083333333336,False,False
50,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 13:45:00,18.51,47.1,20.0,5.0,-3.5100000000000016,22.59,,-4.079999999999998,-0.1359999999999999,20.55,22.59,30.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-3.3099999999999987,2,True,True,0,0,0,0,0,0,0,0,0,0,1848.0,1848.0,8.7,53.5,2026-06-02,61.572916666666664,False,False
51,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 14:15:00,18.84,53.5,20.0,5.0,-3.84,18.51,22.59,0.3299999999999983,0.0109999999999999,19.98,22.59,60.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-3.3099999999999987,2,True,True,0,0,0,0,0,0,0,0,0,0,1878.0,1878.0,8.7,53.5,2026-06-02,61.59375,False,False
52,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 14:45:00,18.31,55.5,20.0,5.0,-3.3099999999999987,18.84,18.51,-0.5300000000000011,-0.0176666666666667,18.55333333333333,18.84,90.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-3.530000000000001,2,True,True,0,0,0,0,0,0,0,0,0,0,1908.0,1908.0,8.7,53.5,2026-06-02,61.614583333333336,False,False
53,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 15:15:00,21.12,46.9,20.0,5.0,-3.879999999999999,18.31,18.84,2.8100000000000023,0.0936666666666667,19.42333333333333,21.12,120.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-3.530000000000001,2,True,True,0,0,0,0,0,0,0,0,0,0,1938.0,1938.0,8.7,53.5,2026-06-02,61.635416666666664,False,False
54,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 15:45:00,21.47,32.1,20.0,5.0,-3.530000000000001,21.12,18.31,0.3499999999999978,0.0116666666666665,20.3,21.47,150.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-4.550000000000001,2,True,True,0,0,0,0,0,0,0,0,0,0,1968.0,1968.0,8.7,53.5,2026-06-02,61.65625,False,False
55,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 16:15:00,20.45,61.0,20.0,5.0,-4.550000000000001,21.47,21.12,-1.0199999999999996,-0.0339999999999999,21.01333333333333,21.47,180.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-2.3599999999999994,2,True,True,0,0,0,0,0,0,0,0,0,0,1998.0,1998.0,8.7,53.5,2026-06-02,61.677083333333336,False,False
56,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 16:45:00,19.81,46.0,20.0,5.0,-4.809999999999999,20.45,21.47,-0.6400000000000006,-0.0213333333333333,20.576666666666668,21.47,210.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-2.3599999999999994,2,True,True,0,0,0,0,0,0,0,0,0,0,2028.0,2028.0,8.7,53.5,2026-06-02,61.697916666666664,False,False
57,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 17:15:00,22.64,57.0,20.0,5.0,-2.3599999999999994,19.81,20.45,2.830000000000002,0.0943333333333334,20.96666666666667,22.64,240.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-3.7399999999999984,2,True,True,0,0,0,0,0,0,0,0,0,0,2058.0,2058.0,8.7,53.5,2026-06-02,61.71875,False,False
58,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 17:45:00,20.35,41.1,20.0,5.0,-4.649999999999999,22.64,19.81,-2.289999999999999,-0.0763333333333333,20.933333333333334,22.64,270.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-3.0,2,True,True,0,0,0,0,0,0,0,0,0,0,2088.0,2088.0,8.7,53.5,2026-06-02,61.739583333333336,False,False
59,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 18:15:00,21.26,57.6,20.0,5.0,-3.7399999999999984,20.35,22.64,0.91,0.0303333333333333,21.416666666666668,22.64,300.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-3.0,2,True,True,0,0,0,0,0,0,0,0,0,0,2118.0,2118.0,8.7,53.5,2026-06-02,61.760416666666664,False,False
60,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 18:45:00,22.0,50.0,20.0,5.0,-3.0,21.26,20.35,0.7399999999999984,0.0246666666666666,21.203333333333333,22.0,330.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-4.059999999999999,2,True,True,0,0,0,0,0,0,0,0,0,0,2148.0,2148.0,8.7,53.5,2026-06-02,61.78125,False,False
61,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 19:15:00,19.06,44.4,20.0,5.0,-4.059999999999999,22.0,21.26,-2.9400000000000013,-0.098,20.773333333333337,22.0,360.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-2.52,2,True,True,0,0,0,0,0,0,0,0,0,0,2178.0,2178.0,8.7,53.5,2026-06-02,61.802083333333336,False,False
62,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 19:45:00,20.59,43.0,20.0,5.0,-4.41,19.06,22.0,1.5300000000000011,0.051,20.55,22.0,390.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-2.52,2,True,True,0,0,0,0,0,0,0,0,0,0,2208.0,2208.0,8.7,53.5,2026-06-02,61.822916666666664,False,False
