fila_bronze,sistema,camion_id,evento_id,tipo,severidad,reconocido,umbral_temp_cabina_c,geocerca_radio_km,ultimo_mantenimiento,timestamp_bolivia,fecha_exportacion_bolivia,valor_lectura_numerico,valor_lectura_no_disponible,valor_lectura_unidad_declarada,reconocido_faltante,dias_desde_ultimo_mantenimiento,sistema_original,fecha_exportacion_original,camion_id_original,evento_id_original,timestamp_original,tipo_original,severidad_original,valor_lectura_original,reconocido_original,umbral_temp_cabina_c_original,geocerca_radio_km_original,ultimo_mantenimiento_original
12,TELEMATICA-AndinaLog,CAM-02,EVT-ALOG-00012,GEOCERCA_SALIDA,Baja,False,7.8,42.6,2026-07-16,2026-08-25 09:33:00,2026-08-30 00:00:00,72.54,False,False,False,40.39791666666667,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-02,EVT-ALOG-00012,2026-08-25T09:33:00,GEOCERCA_SALIDA,Baja,72.54,False,7.8,42.6,2026-07-16
13,TELEMATICA-AndinaLog,CAM-02,EVT-ALOG-00013,MANTENIMIENTO_PROGRAMADO,Media,True,7.8,42.6,2026-07-16,2026-08-13 23:22:00,2026-08-30 00:00:00,42.67,False,False,False,28.97361111111111,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-02,EVT-ALOG-00013,2026-08-13T23:22:00,MANTENIMIENTO_PROGRAMADO,Media,42.67,True,7.8,42.6,2026-07-16
14,TELEMATICA-AndinaLog,CAM-02,EVT-ALOG-00014,EXCESO_VELOCIDAD,Media,True,7.8,42.6,2026-07-16,2026-08-12 21:19:00,2026-08-30 00:00:00,76.08,False,False,False,27.888194444444444,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-02,EVT-ALOG-00014,2026-08-12T21:19:00,EXCESO_VELOCIDAD,Media,76.08,True,7.8,42.6,2026-07-16
15,TELEMATICA-AndinaLog,CAM-02,EVT-ALOG-00015,ALERTA_TEMP_CADENA_FRIO,Media,True,7.8,42.6,2026-07-16,2026-08-17 08:51:00,2026-08-30 00:00:00,41.59,False,False,False,32.36875,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-02,EVT-ALOG-00015,2026-08-17T08:51:00,ALERTA_TEMP_CADENA_FRIO,Media,41.59,True,7.8,42.6,2026-07-16
16,TELEMATICA-AndinaLog,CAM-03,EVT-ALOG-00016,FALLA_MOTOR,Media,False,8.0,36.6,2026-07-17,2026-08-27 16:14:00,2026-08-30 00:00:00,105.17,False,False,False,41.67638888888889,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-03,EVT-ALOG-00016,2026-08-27T16:14:00,FALLA_MOTOR,Media,105.17,False,8.0,36.6,2026-07-17
17,TELEMATICA-AndinaLog,CAM-03,EVT-ALOG-00017,GEOCERCA_SALIDA,Baja,True,8.0,36.6,2026-07-17,2026-08-27 06:15:00,2026-08-30 00:00:00,82.36,False,False,False,41.260416666666664,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-03,EVT-ALOG-00017,2026-08-27T06:15:00,GEOCERCA_SALIDA,Baja,82.36,True,8.0,36.6,2026-07-17
18,TELEMATICA-AndinaLog,CAM-03,EVT-ALOG-00018,ALERTA_TEMP_CADENA_FRIO,Baja,False,8.0,36.6,2026-07-17,2026-08-18 16:33:00,2026-08-30 00:00:00,45.24,False,False,False,32.68958333333333,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-03,EVT-ALOG-00018,2026-08-18T16:33:00,ALERTA_TEMP_CADENA_FRIO,Baja,45.24,False,8.0,36.6,2026-07-17
19,TELEMATICA-AndinaLog,CAM-03,EVT-ALOG-00019,ALERTA_TEMP_CADENA_FRIO,Baja,,8.0,36.6,2026-07-17,2026-08-29 01:41:00,2026-08-30 00:00:00,43.6,False,False,True,43.07013888888889,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-03,EVT-ALOG-00019,2026-08-29T01:41:00,ALERTA_TEMP_CADENA_FRIO,Baja,43.6,,8.0,36.6,2026-07-17
20,TELEMATICA-AndinaLog,CAM-03,EVT-ALOG-00020,ALERTA_TEMP_CADENA_FRIO,Media,True,8.0,36.6,2026-07-17,2026-08-08 14:15:00,2026-08-30 00:00:00,50.03,False,False,False,22.59375,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-03,EVT-ALOG-00020,2026-08-08T14:15:00,ALERTA_TEMP_CADENA_FRIO,Media,50.03,True,8.0,36.6,2026-07-17
21,TELEMATICA-AndinaLog,CAM-04,EVT-ALOG-00021,FALLA_MOTOR,Baja,False,7.0,21.5,2026-08-03,2026-08-01 13:50:00,2026-08-30 00:00:00,56.43,False,False,False,-1.4236111111111112,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-04,EVT-ALOG-00021,2026-08-01T13:50:00,FALLA_MOTOR,Baja,56.43,False,7.0,21.5,2026-08-03
22,TELEMATICA-AndinaLog,CAM-04,EVT-ALOG-00022,ALERTA_TEMP_CADENA_FRIO,Baja,False,7.0,21.5,2026-08-03,2026-08-04 19:33:00,2026-08-30 00:00:00,54.6,False,False,False,1.8145833333333334,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-04,EVT-ALOG-00022,2026-08-04T19:33:00,ALERTA_TEMP_CADENA_FRIO,Baja,54.6,False,7.0,21.5,2026-08-03
23,TELEMATICA-AndinaLog,CAM-04,EVT-ALOG-00023,ALERTA_TEMP_CADENA_FRIO,Baja,True,7.0,21.5,2026-08-03,2026-08-23 01:03:00,2026-08-30 00:00:00,,True,False,False,20.04375,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-04,EVT-ALOG-00023,2026-08-23T01:03:00,ALERTA_TEMP_CADENA_FRIO,Baja,N/D,True,7.0,21.5,2026-08-03
24,TELEMATICA-AndinaLog,CAM-05,EVT-ALOG-00024,FALLA_MOTOR,Alta,True,8.2,52.7,2026-06-12,2026-08-16 23:18:00,2026-08-30 00:00:00,58.51,False,False,False,65.97083333333333,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-05,EVT-ALOG-00024,2026-08-16T23:18:00,FALLA_MOTOR,Alta,58.51,True,8.2,52.7,2026-06-12
25,TELEMATICA-AndinaLog,CAM-05,EVT-ALOG-00025,EXCESO_VELOCIDAD,Media,True,8.2,52.7,2026-06-12,2026-08-05 01:39:00,2026-08-30 00:00:00,75.21,False,False,False,54.06875,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-05,EVT-ALOG-00025,05/08/2026 01:39,EXCESO_VELOCIDAD,Media,75.21,True,8.2,52.7,2026-06-12
26,TELEMATICA-AndinaLog,CAM-05,EVT-ALOG-00026,EXCESO_VELOCIDAD,Baja,True,8.2,52.7,2026-06-12,2026-08-15 00:17:00,2026-08-30 00:00:00,51.83,False,False,False,64.01180555555555,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-05,EVT-ALOG-00026,2026-08-15T00:17:00,EXCESO_VELOCIDAD,Baja,51.83,True,8.2,52.7,2026-06-12
27,TELEMATICA-AndinaLog,CAM-05,EVT-ALOG-00027,MANTENIMIENTO_PROGRAMADO,Baja,,8.2,52.7,2026-06-12,2026-08-29 17:42:00,2026-08-30 00:00:00,56.84,False,False,True,78.7375,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-05,EVT-ALOG-00027,2026-08-29T17:42:00,MANTENIMIENTO_PROGRAMADO,Baja,56.84,,8.2,52.7,2026-06-12
28,TELEMATICA-AndinaLog,CAM-05,EVT-ALOG-00028,MANTENIMIENTO_PROGRAMADO,Alta,False,8.2,52.7,2026-06-12,2026-08-19 05:29:00,2026-08-30 00:00:00,57.61,False,False,False,68.22847222222222,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-05,EVT-ALOG-00028,2026-08-19T05:29:00,MANTENIMIENTO_PROGRAMADO,Alta,57.61,False,8.2,52.7,2026-06-12
29,TELEMATICA-AndinaLog,CAM-05,EVT-ALOG-00029,EXCESO_VELOCIDAD,Alta,True,8.2,52.7,2026-06-12,2026-08-04 15:12:00,2026-08-30 00:00:00,55.65,False,False,False,53.63333333333333,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-05,EVT-ALOG-00029,2026-08-04T15:12:00,EXCESO_VELOCIDAD,Alta,55.65,True,8.2,52.7,2026-06-12
30,TELEMATICA-AndinaLog,CAM-05,EVT-ALOG-00030,EXCESO_VELOCIDAD,Baja,True,8.2,52.7,2026-06-12,2026-08-19 06:43:00,2026-08-30 00:00:00,65.57,False,False,False,68.27986111111112,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-05,EVT-ALOG-00030,2026-08-19T06:43:00,EXCESO_VELOCIDAD,Baja,65.57,True,8.2,52.7,2026-06-12
31,TELEMATICA-AndinaLog,CAM-05,EVT-ALOG-00031,ALERTA_TEMP_CADENA_FRIO,Media,True,8.2,52.7,2026-06-12,2026-08-14 16:11:00,2026-08-30 00:00:00,47.76,False,False,False,63.674305555555556,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-05,EVT-ALOG-00031,2026-08-14T16:11:00,ALERTA_TEMP_CADENA_FRIO,Media,47.76,True,8.2,52.7,2026-06-12
32,TELEMATICA-AndinaLog,CAM-06,EVT-ALOG-00032,FALLA_MOTOR,Media,True,7.0,59.7,2026-08-08,2026-08-07 23:37:00,2026-08-30 00:00:00,53.98,False,False,False,-0.01597222222222222,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-06,EVT-ALOG-00032,2026-08-07T23:37:00,FALLA_MOTOR,Media,53.98,True,7.0,59.7,2026-08-08
33,TELEMATICA-AndinaLog,CAM-06,EVT-ALOG-00033,EXCESO_VELOCIDAD,Baja,True,7.0,59.7,2026-08-08,2026-08-27 12:13:00,2026-08-30 00:00:00,84.81,False,False,False,19.509027777777778,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-06,EVT-ALOG-00033,2026-08-27T12:13:00,EXCESO_VELOCIDAD,Baja,84.81,True,7.0,59.7,2026-08-08
34,TELEMATICA-AndinaLog,CAM-06,EVT-ALOG-00034,EXCESO_VELOCIDAD,Baja,True,7.0,59.7,2026-08-08,2026-08-23 08:45:00,2026-08-30 00:00:00,60.12,False,False,False,15.364583333333334,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-06,EVT-ALOG-00034,2026-08-23T08:45:00,EXCESO_VELOCIDAD,Baja,60.12,True,7.0,59.7,2026-08-08
35,TELEMATICA-AndinaLog,CAM-06,EVT-ALOG-00035,FALLA_MOTOR,Media,True,7.0,59.7,2026-08-08,2026-08-05 09:35:00,2026-08-30 00:00:00,50.4,False,False,False,-2.6006944444444446,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-06,EVT-ALOG-00035,2026-08-05T09:35:00,FALLA_MOTOR,Media,50.4,True,7.0,59.7,2026-08-08
36,TELEMATICA-AndinaLog,CAM-06,EVT-ALOG-00036,FALLA_MOTOR,Media,False,7.0,59.7,2026-08-08,2026-08-22 06:21:00,2026-08-30 00:00:00,,True,False,False,14.264583333333333,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-06,EVT-ALOG-00036,2026-08-22T06:21:00,FALLA_MOTOR,Media,N/D,False,7.0,59.7,2026-08-08
37,TELEMATICA-AndinaLog,CAM-06,EVT-ALOG-00037,FALLA_MOTOR,Baja,,7.0,59.7,2026-08-08,2026-08-18 18:21:00,2026-08-30 00:00:00,35.34,False,False,True,10.764583333333333,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-06,EVT-ALOG-00037,2026-08-18T18:21:00,FALLA_MOTOR,Baja,35.34,,7.0,59.7,2026-08-08
38,TELEMATICA-AndinaLog,CAM-06,EVT-ALOG-00038,ALERTA_TEMP_CADENA_FRIO,Media,True,7.0,59.7,2026-08-08,2026-08-28 18:17:00,2026-08-30 00:00:00,65.61,False,False,False,20.761805555555554,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-06,EVT-ALOG-00038,2026-08-28T18:17:00,ALERTA_TEMP_CADENA_FRIO,Media,65.61,True,7.0,59.7,2026-08-08
39,TELEMATICA-AndinaLog,CAM-06,EVT-ALOG-00039,ALERTA_TEMP_CADENA_FRIO,Baja,True,7.0,59.7,2026-08-08,2026-08-04 22:23:00,2026-08-30 00:00:00,42.94,False,False,False,-3.067361111111111,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-06,EVT-ALOG-00039,2026-08-04T22:23:00,ALERTA_TEMP_CADENA_FRIO,Baja,42.94,True,7.0,59.7,2026-08-08
41,TELEMATICA-AndinaLog,CAM-07,EVT-ALOG-00040,GEOCERCA_SALIDA,Media,False,8.4,22.4,2026-08-18,2026-08-13 08:24:00,2026-08-30 00:00:00,73.29,False,False,False,-4.65,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-07,EVT-ALOG-00040,2026-08-13T08:24:00,GEOCERCA_SALIDA,Media,73.29,False,8.4,22.4,2026-08-18
42,TELEMATICA-AndinaLog,CAM-07,EVT-ALOG-00041,FALLA_MOTOR,Media,False,8.4,22.4,2026-08-18,2026-08-05 02:33:00,2026-08-30 00:00:00,51.28,False,False,False,-12.89375,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-07,EVT-ALOG-00041,2026-08-05T02:33:00,FALLA_MOTOR,Media,51.28,False,8.4,22.4,2026-08-18
43,TELEMATICA-AndinaLog,CAM-07,EVT-ALOG-00042,GEOCERCA_SALIDA,Baja,True,8.4,22.4,2026-08-18,2026-08-08 23:29:00,2026-08-30 00:00:00,72.37,False,False,False,-9.021527777777777,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-07,EVT-ALOG-00042,2026-08-08T23:29:00,GEOCERCA_SALIDA,Baja,72.37,True,8.4,22.4,2026-08-18
44,TELEMATICA-AndinaLog,CAM-07,EVT-ALOG-00043,GEOCERCA_SALIDA,Baja,True,8.4,22.4,2026-08-18,2026-08-28 04:48:00,2026-08-30 00:00:00,64.17,False,False,False,10.2,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-07,EVT-ALOG-00043,2026-08-28T04:48:00,GEOCERCA_SALIDA,Baja,64.17,True,8.4,22.4,2026-08-18
45,TELEMATICA-AndinaLog,CAM-07,EVT-ALOG-00044,ALERTA_TEMP_CADENA_FRIO,Media,True,8.4,22.4,2026-08-18,2026-08-11 23:45:00,2026-08-30 00:00:00,25.32,False,False,False,-6.010416666666667,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-07,EVT-ALOG-00044,2026-08-11T23:45:00,ALERTA_TEMP_CADENA_FRIO,Media,25.32,True,8.4,22.4,2026-08-18
46,TELEMATICA-AndinaLog,CAM-07,EVT-ALOG-00045,ALERTA_TEMP_CADENA_FRIO,Alta,True,8.4,22.4,2026-08-18,2026-08-22 09:22:00,2026-08-30 00:00:00,59.64,False,False,False,4.3902777777777775,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-07,EVT-ALOG-00045,2026-08-22T09:22:00,ALERTA_TEMP_CADENA_FRIO,Alta,59.64,True,8.4,22.4,2026-08-18
47,TELEMATICA-AndinaLog,CAM-07,EVT-ALOG-00046,MANTENIMIENTO_PROGRAMADO,Baja,True,8.4,22.4,2026-08-18,2026-08-18 15:59:00,2026-08-30 00:00:00,58.81,False,False,False,0.6659722222222222,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-07,EVT-ALOG-00046,2026-08-18T15:59:00,MANTENIMIENTO_PROGRAMADO,Baja,58.81,True,8.4,22.4,2026-08-18
48,TELEMATICA-AndinaLog,CAM-07,EVT-ALOG-00047,EXCESO_VELOCIDAD,Baja,True,8.4,22.4,2026-08-18,2026-08-04 01:12:00,2026-08-30 00:00:00,34.75,False,False,False,-13.95,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-07,EVT-ALOG-00047,2026-08-04T01:12:00,EXCESO_VELOCIDAD,Baja,34.75,True,8.4,22.4,2026-08-18
49,TELEMATICA-AndinaLog,CAM-08,EVT-ALOG-00048,EXCESO_VELOCIDAD,Alta,False,7.7,30.4,2026-07-10,2026-08-06 09:56:00,2026-08-30 00:00:00,55.59,False,False,False,27.413888888888888,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-08,EVT-ALOG-00048,2026-08-06T09:56:00,EXCESO_VELOCIDAD,Alta,55.59,False,7.7,30.4,2026-07-10
50,TELEMATICA-AndinaLog,CAM-08,EVT-ALOG-00049,GEOCERCA_SALIDA,Baja,False,7.7,30.4,2026-07-10,2026-08-29 08:02:00,2026-08-30 00:00:00,59.82,False,False,False,50.334722222222226,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-08,EVT-ALOG-00049,2026-08-29T08:02:00,GEOCERCA_SALIDA,Baja,59.82,False,7.7,30.4,2026-07-10
51,TELEMATICA-AndinaLog,CAM-08,EVT-ALOG-00050,MANTENIMIENTO_PROGRAMADO,Alta,True,7.7,30.4,2026-07-10,2026-08-14 03:38:00,2026-08-30 00:00:00,,True,False,False,35.15138888888889,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-08,EVT-ALOG-00050,2026-08-14T03:38:00,MANTENIMIENTO_PROGRAMADO,Alta,N/D,True,7.7,30.4,2026-07-10
52,TELEMATICA-AndinaLog,CAM-08,EVT-ALOG-00051,ALERTA_TEMP_CADENA_FRIO,Media,True,7.7,30.4,2026-07-10,2026-08-01 02:32:00,2026-08-30 00:00:00,36.87,False,False,False,22.105555555555554,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-08,EVT-ALOG-00051,2026-08-01T02:32:00,ALERTA_TEMP_CADENA_FRIO,Media,36.87,True,7.7,30.4,2026-07-10
54,TELEMATICA-AndinaLog,CAM-09,EVT-ALOG-00052,MANTENIMIENTO_PROGRAMADO,Media,True,8.8,58.6,2026-07-19,2026-08-01 12:50:00,2026-08-30 00:00:00,,True,False,False,13.534722222222221,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-09,EVT-ALOG-00052,2026-08-01T12:50:00,MANTENIMIENTO_PROGRAMADO,Media,N/D,True,8.8,58.6,2026-07-19
55,TELEMATICA-AndinaLog,CAM-09,EVT-ALOG-00053,EXCESO_VELOCIDAD,Alta,True,8.8,58.6,2026-07-19,2026-08-27 01:14:00,2026-08-30 00:00:00,81.38,False,False,False,39.05138888888889,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-09,EVT-ALOG-00053,2026-08-27T01:14:00,EXCESO_VELOCIDAD,Alta,81.38,True,8.8,58.6,2026-07-19
56,TELEMATICA-AndinaLog,CAM-09,EVT-ALOG-00054,EXCESO_VELOCIDAD,Media,False,8.8,58.6,2026-07-19,2026-08-24 19:56:00,2026-08-30 00:00:00,65.69,False,False,False,36.830555555555556,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-09,EVT-ALOG-00054,2026-08-24T19:56:00,EXCESO_VELOCIDAD,Media,65.69,False,8.8,58.6,2026-07-19
57,TELEMATICA-AndinaLog,CAM-09,EVT-ALOG-00055,GEOCERCA_SALIDA,Baja,True,8.8,58.6,2026-07-19,2026-08-04 17:35:00,2026-08-30 00:00:00,97.78,False,False,False,16.73263888888889,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-09,EVT-ALOG-00055,2026-08-04T17:35:00,GEOCERCA_SALIDA,Baja,97.78,True,8.8,58.6,2026-07-19
58,TELEMATICA-AndinaLog,CAM-09,EVT-ALOG-00056,MANTENIMIENTO_PROGRAMADO,Baja,True,8.8,58.6,2026-07-19,2026-08-23 23:41:00,2026-08-30 00:00:00,75.82,False,False,False,35.986805555555556,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-09,EVT-ALOG-00056,2026-08-23T23:41:00,MANTENIMIENTO_PROGRAMADO,Baja,75.82,True,8.8,58.6,2026-07-19
59,TELEMATICA-AndinaLog,CAM-09,EVT-ALOG-00057,ALERTA_TEMP_CADENA_FRIO,Media,True,8.8,58.6,2026-07-19,2026-08-01 12:21:00,2026-08-30 00:00:00,52.99,False,False,False,13.514583333333333,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-09,EVT-ALOG-00057,2026-08-01T12:21:00,ALERTA_TEMP_CADENA_FRIO,Media,52.99,True,8.8,58.6,2026-07-19
60,TELEMATICA-AndinaLog,CAM-09,EVT-ALOG-00058,EXCESO_VELOCIDAD,Baja,True,8.8,58.6,2026-07-19,2026-08-28 21:53:00,2026-08-30 00:00:00,88.33,False,False,False,40.91180555555555,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-09,EVT-ALOG-00058,28/08/2026 21:53,EXCESO_VELOCIDAD,Baja,88.33,True,8.8,58.6,2026-07-19
61,TELEMATICA-AndinaLog,CAM-10,EVT-ALOG-00059,MANTENIMIENTO_PROGRAMADO,Media,,6.4,24.5,2026-07-02,2026-08-20 07:12:00,2026-08-30 00:00:00,46.35,False,False,True,49.3,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-10,EVT-ALOG-00059,2026-08-20T07:12:00,MANTENIMIENTO_PROGRAMADO,Media,46.35,,6.4,24.5,2026-07-02
62,TELEMATICA-AndinaLog,CAM-10,EVT-ALOG-00060,GEOCERCA_SALIDA,Baja,True,6.4,24.5,2026-07-02,2026-08-25 15:13:00,2026-08-30 00:00:00,51.4,False,False,False,54.634027777777774,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-10,EVT-ALOG-00060,2026-08-25T15:13:00,GEOCERCA_SALIDA,Baja,51.4,True,6.4,24.5,2026-07-02
63,TELEMATICA-AndinaLog,CAM-10,EVT-ALOG-00061,MANTENIMIENTO_PROGRAMADO,Media,True,6.4,24.5,2026-07-02,2026-08-27 14:09:00,2026-08-30 00:00:00,58.21,False,False,False,56.58958333333333,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-10,EVT-ALOG-00061,2026-08-27T14:09:00,MANTENIMIENTO_PROGRAMADO,Media,58.21,True,6.4,24.5,2026-07-02
64,TELEMATICA-AndinaLog,CAM-10,EVT-ALOG-00062,FALLA_MOTOR,Media,,6.4,24.5,2026-07-02,2026-08-21 22:13:00,2026-08-30 00:00:00,46.0,False,False,True,50.925694444444446,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-10,EVT-ALOG-00062,2026-08-21T22:13:00,FALLA_MOTOR,Media,46.0,,6.4,24.5,2026-07-02
