viaje_id,inicio,fin,particion,motivo
VIA-01054,2026-08-01 18:26:00,2026-08-02 05:26:00,AJUSTE,
VIA-00821,2026-08-01 18:53:00,2026-08-02 05:53:00,AJUSTE,
VIA-00348,2026-08-01 19:29:00,2026-08-02 06:29:00,AJUSTE,
VIA-00011,2026-08-01 19:34:00,2026-08-02 06:34:00,AJUSTE,
VIA-00583,2026-08-01 20:47:00,2026-08-02 07:47:00,AJUSTE,
VIA-01172,2026-08-01 21:15:00,2026-08-02 08:15:00,AJUSTE,
VIA-00698,2026-08-01 22:31:00,2026-08-02 09:01:00,AJUSTE,
VIA-00172,2026-08-01 23:08:00,2026-08-02 10:08:00,AJUSTE,
VIA-00725,2026-08-01 23:22:00,2026-08-02 10:22:00,AJUSTE,
VIA-00436,2026-08-01 23:27:00,2026-08-02 10:27:00,AJUSTE,
VIA-01183,2026-08-02 00:01:00,2026-08-02 11:01:00,AJUSTE,
VIA-00502,2026-08-02 00:59:00,2026-08-02 11:59:00,AJUSTE,
VIA-00211,2026-08-02 01:10:00,2026-08-02 12:10:00,AJUSTE,
VIA-00555,2026-08-02 02:24:00,2026-08-02 13:24:00,AJUSTE,
VIA-00424,2026-08-02 02:40:00,2026-08-02 13:40:00,AJUSTE,
VIA-01069,2026-08-02 03:35:00,2026-08-02 14:35:00,AJUSTE,
VIA-00074,2026-08-02 04:52:00,2026-08-02 15:52:00,AJUSTE,
VIA-00914,2026-08-02 05:19:00,2026-08-02 15:49:00,AJUSTE,
VIA-00837,2026-08-02 05:25:00,2026-08-02 16:25:00,AJUSTE,
VIA-00597,2026-08-02 07:15:00,2026-08-02 18:15:00,AJUSTE,
VIA-00082,2026-08-02 08:35:00,2026-08-02 19:35:00,AJUSTE,
VIA-00414,2026-08-02 08:35:00,2026-08-02 19:35:00,AJUSTE,
VIA-00492,2026-08-02 09:19:00,2026-08-02 20:19:00,AJUSTE,
VIA-00033,2026-08-02 09:22:00,2026-08-02 20:22:00,AJUSTE,
VIA-00238,2026-08-02 10:06:00,2026-08-02 21:06:00,AJUSTE,
VIA-00214,2026-08-02 10:52:00,2026-08-02 21:22:00,AJUSTE,
VIA-00623,2026-08-02 11:56:00,2026-08-02 22:56:00,AJUSTE,
VIA-01060,2026-08-02 12:38:00,2026-08-02 23:38:00,AJUSTE,
VIA-00508,2026-08-02 12:44:00,2026-08-02 23:44:00,AJUSTE,
VIA-00978,2026-08-02 13:15:00,2026-08-03 00:15:00,AJUSTE,
VIA-00003,2026-08-02 13:15:00,2026-08-03 00:15:00,AJUSTE,
VIA-01051,2026-08-02 15:02:00,2026-08-03 02:02:00,AJUSTE,
VIA-00440,2026-08-02 15:36:00,2026-08-03 02:36:00,AJUSTE,
VIA-00931,2026-08-02 16:00:00,2026-08-03 03:00:00,AJUSTE,
VIA-00178,2026-08-02 16:18:00,2026-08-03 03:18:00,AJUSTE,
VIA-00402,2026-08-02 16:41:00,2026-08-03 03:41:00,AJUSTE,
VIA-00144,2026-08-02 17:20:00,2026-08-03 04:20:00,AJUSTE,
VIA-01027,2026-08-02 17:51:00,2026-08-03 04:21:00,AJUSTE,
VIA-01173,2026-08-02 18:47:00,2026-08-03 05:47:00,AJUSTE,
VIA-00870,2026-08-02 18:57:00,2026-08-03 05:57:00,AJUSTE,
VIA-00548,2026-08-02 19:09:00,2026-08-03 06:09:00,AJUSTE,
VIA-00004,2026-08-02 19:25:00,2026-08-03 06:25:00,AJUSTE,
VIA-00528,2026-08-02 19:45:00,2026-08-03 06:45:00,AJUSTE,
VIA-01084,2026-08-02 19:51:00,2026-08-03 06:51:00,AJUSTE,
VIA-00963,2026-08-02 20:08:00,2026-08-03 07:08:00,AJUSTE,
VIA-00231,2026-08-02 20:27:00,2026-08-03 07:27:00,AJUSTE,
VIA-00260,2026-08-02 21:04:00,2026-08-03 08:04:00,AJUSTE,
VIA-00823,2026-08-02 22:34:00,2026-08-03 09:34:00,AJUSTE,
VIA-00309,2026-08-02 22:57:00,2026-08-03 09:57:00,AJUSTE,
VIA-00638,2026-08-03 00:00:00,2026-08-03 11:00:00,AJUSTE,
VIA-00210,2026-08-03 00:37:00,2026-08-03 11:37:00,AJUSTE,
VIA-00595,2026-08-03 01:07:00,2026-08-03 12:07:00,AJUSTE,
VIA-00819,2026-08-03 02:02:00,2026-08-03 13:02:00,AJUSTE,
VIA-01108,2026-08-03 02:51:00,2026-08-03 13:51:00,AJUSTE,
VIA-01164,2026-08-03 03:15:00,2026-08-03 13:45:00,AJUSTE,
VIA-00146,2026-08-03 03:40:00,2026-08-03 14:40:00,AJUSTE,
VIA-00864,2026-08-03 03:48:00,2026-08-03 14:48:00,AJUSTE,
VIA-00590,2026-08-03 04:44:00,2026-08-03 15:44:00,AJUSTE,
VIA-00886,2026-08-03 05:38:00,2026-08-03 16:38:00,AJUSTE,
VIA-00598,2026-08-03 06:00:00,2026-08-03 17:00:00,AJUSTE,
VIA-01025,2026-08-03 07:03:00,2026-08-03 18:03:00,AJUSTE,
VIA-00430,2026-08-03 08:12:00,2026-08-03 19:12:00,AJUSTE,
VIA-00294,2026-08-03 08:16:00,2026-08-03 19:16:00,AJUSTE,
VIA-00480,2026-08-03 08:51:00,2026-08-03 19:51:00,AJUSTE,
VIA-00170,2026-08-03 09:07:00,2026-08-03 20:07:00,AJUSTE,
VIA-00420,2026-08-03 10:21:00,2026-08-03 20:51:00,AJUSTE,
VIA-00312,2026-08-03 12:00:00,2026-08-03 23:00:00,AJUSTE,
VIA-00785,2026-08-03 12:48:00,2026-08-03 23:48:00,AJUSTE,
VIA-00478,2026-08-03 12:56:00,2026-08-03 23:56:00,AJUSTE,
VIA-00730,2026-08-03 13:01:00,2026-08-04 00:01:00,AJUSTE,
VIA-00738,2026-08-03 13:27:00,2026-08-04 00:27:00,AJUSTE,
VIA-00164,2026-08-03 14:26:00,2026-08-04 01:26:00,AJUSTE,
VIA-01113,2026-08-03 14:35:00,2026-08-04 01:35:00,AJUSTE,
VIA-00426,2026-08-03 14:59:00,2026-08-04 01:59:00,AJUSTE,
VIA-01124,2026-08-03 15:02:00,2026-08-04 02:02:00,AJUSTE,
VIA-00449,2026-08-03 15:25:00,2026-08-04 02:25:00,AJUSTE,
VIA-00731,2026-08-03 15:25:00,2026-08-04 02:25:00,AJUSTE,
VIA-00513,2026-08-03 16:22:00,2026-08-04 03:22:00,AJUSTE,
VIA-00512,2026-08-03 16:43:00,2026-08-04 03:43:00,AJUSTE,
VIA-00767,2026-08-03 17:23:00,2026-08-04 04:23:00,AJUSTE,
VIA-00208,2026-08-03 17:46:00,2026-08-04 04:46:00,AJUSTE,
VIA-00207,2026-08-03 18:34:00,2026-08-04 05:34:00,AJUSTE,
VIA-00896,2026-08-03 19:11:00,2026-08-04 06:11:00,AJUSTE,
VIA-00400,2026-08-03 20:12:00,2026-08-04 07:12:00,AJUSTE,
VIA-00417,2026-08-03 20:40:00,2026-08-04 07:40:00,AJUSTE,
VIA-00123,2026-08-03 20:47:00,2026-08-04 07:47:00,AJUSTE,
VIA-00652,2026-08-03 21:14:00,2026-08-04 08:14:00,AJUSTE,
VIA-00699,2026-08-03 21:53:00,2026-08-04 08:53:00,AJUSTE,
VIA-00008,2026-08-03 22:24:00,2026-08-04 09:24:00,AJUSTE,
VIA-00396,2026-08-03 23:19:00,2026-08-04 10:19:00,AJUSTE,
VIA-00350,2026-08-03 23:36:00,2026-08-04 10:36:00,AJUSTE,
VIA-00637,2026-08-04 00:13:00,2026-08-04 11:13:00,AJUSTE,
VIA-01121,2026-08-04 02:08:00,2026-08-04 13:08:00,AJUSTE,
VIA-00117,2026-08-04 02:19:00,2026-08-04 13:19:00,AJUSTE,
VIA-00749,2026-08-04 02:51:00,2026-08-04 13:51:00,AJUSTE,
VIA-00765,2026-08-04 03:11:00,2026-08-04 14:11:00,AJUSTE,
VIA-00694,2026-08-04 03:40:00,2026-08-04 14:40:00,AJUSTE,
VIA-01188,2026-08-04 03:54:00,2026-08-04 14:54:00,AJUSTE,
VIA-00890,2026-08-04 05:54:00,2026-08-04 16:54:00,AJUSTE,
VIA-01136,2026-08-04 06:27:00,2026-08-04 17:27:00,AJUSTE,
VIA-00359,2026-08-04 06:36:00,2026-08-04 17:36:00,AJUSTE,
VIA-00751,2026-08-04 06:52:00,2026-08-04 17:52:00,AJUSTE,
VIA-00458,2026-08-04 06:54:00,2026-08-04 17:54:00,AJUSTE,
VIA-00793,2026-08-04 08:03:00,2026-08-04 19:03:00,AJUSTE,
VIA-01150,2026-08-04 08:22:00,2026-08-04 19:22:00,AJUSTE,
VIA-00135,2026-08-04 08:56:00,2026-08-04 19:56:00,AJUSTE,
VIA-00873,2026-08-04 08:57:00,2026-08-04 19:57:00,AJUSTE,
VIA-00357,2026-08-04 12:26:00,2026-08-04 23:26:00,AJUSTE,
VIA-01097,2026-08-04 12:38:00,2026-08-04 23:38:00,AJUSTE,
VIA-00416,2026-08-04 12:49:00,2026-08-04 23:49:00,AJUSTE,
VIA-00607,2026-08-04 13:29:00,2026-08-05 00:29:00,AJUSTE,
VIA-00985,2026-08-04 13:49:00,2026-08-05 00:49:00,AJUSTE,
VIA-00729,2026-08-04 15:06:00,2026-08-05 02:06:00,AJUSTE,
VIA-00477,2026-08-04 15:10:00,2026-08-05 02:10:00,AJUSTE,
VIA-00550,2026-08-04 15:11:00,2026-08-05 02:11:00,AJUSTE,
VIA-01177,2026-08-04 18:01:00,2026-08-05 05:01:00,AJUSTE,
VIA-00903,2026-08-04 18:18:00,2026-08-05 05:18:00,AJUSTE,
VIA-00374,2026-08-04 18:31:00,2026-08-05 05:31:00,AJUSTE,
VIA-00918,2026-08-04 18:35:00,2026-08-05 05:35:00,AJUSTE,
VIA-00351,2026-08-04 20:16:00,2026-08-05 07:16:00,AJUSTE,
VIA-00954,2026-08-04 20:23:00,2026-08-05 07:23:00,AJUSTE,
VIA-01133,2026-08-04 22:36:00,2026-08-05 09:36:00,AJUSTE,
VIA-00672,2026-08-04 23:29:00,2026-08-05 10:29:00,AJUSTE,
VIA-00913,2026-08-04 23:42:00,2026-08-05 10:42:00,AJUSTE,
VIA-00306,2026-08-05 00:12:00,2026-08-05 11:12:00,AJUSTE,
VIA-00182,2026-08-05 00:27:00,2026-08-05 11:27:00,AJUSTE,
VIA-00418,2026-08-05 02:02:00,2026-08-05 13:02:00,AJUSTE,
VIA-00737,2026-08-05 02:09:00,2026-08-05 13:09:00,AJUSTE,
VIA-00893,2026-08-05 02:47:00,2026-08-05 13:17:00,AJUSTE,
VIA-00534,2026-08-05 02:50:00,2026-08-05 13:50:00,AJUSTE,
VIA-00830,2026-08-05 04:31:00,2026-08-05 15:31:00,AJUSTE,
VIA-00404,2026-08-05 06:26:00,2026-08-05 17:26:00,AJUSTE,
VIA-00311,2026-08-05 06:28:00,2026-08-05 17:28:00,AJUSTE,
VIA-01029,2026-08-05 06:49:00,2026-08-05 17:49:00,AJUSTE,
VIA-00600,2026-08-05 07:46:00,2026-08-05 18:46:00,AJUSTE,
VIA-00926,2026-08-05 09:00:00,2026-08-05 20:00:00,AJUSTE,
VIA-00566,2026-08-05 09:02:00,2026-08-05 20:02:00,AJUSTE,
VIA-00813,2026-08-05 09:38:00,2026-08-05 20:38:00,AJUSTE,
VIA-00121,2026-08-05 10:06:00,2026-08-05 21:06:00,AJUSTE,
VIA-00367,2026-08-05 10:08:00,2026-08-05 21:08:00,AJUSTE,
VIA-00529,2026-08-05 10:45:00,2026-08-05 21:45:00,AJUSTE,
VIA-00980,2026-08-05 11:02:00,2026-08-05 22:02:00,AJUSTE,
VIA-01153,2026-08-05 11:33:00,2026-08-05 22:33:00,AJUSTE,
VIA-00524,2026-08-05 12:15:00,2026-08-05 23:15:00,AJUSTE,
VIA-00569,2026-08-05 12:57:00,2026-08-05 23:57:00,AJUSTE,
VIA-01181,2026-08-05 13:21:00,2026-08-06 00:21:00,AJUSTE,
VIA-00105,2026-08-05 13:43:00,2026-08-06 00:43:00,AJUSTE,
VIA-01145,2026-08-05 14:04:00,2026-08-06 01:04:00,AJUSTE,
VIA-00936,2026-08-05 14:28:00,2026-08-06 01:28:00,AJUSTE,
VIA-00640,2026-08-05 14:29:00,2026-08-06 01:29:00,AJUSTE,
VIA-01165,2026-08-05 15:16:00,2026-08-06 02:16:00,AJUSTE,
VIA-01010,2026-08-05 15:23:00,2026-08-06 02:23:00,AJUSTE,
VIA-01043,2026-08-05 15:30:00,2026-08-06 02:30:00,AJUSTE,
VIA-00650,2026-08-05 15:33:00,2026-08-06 02:33:00,AJUSTE,
VIA-00912,2026-08-05 16:35:00,2026-08-06 03:35:00,AJUSTE,
VIA-00100,2026-08-05 17:01:00,2026-08-06 04:01:00,AJUSTE,
VIA-00668,2026-08-05 17:13:00,2026-08-06 04:13:00,AJUSTE,
VIA-00482,2026-08-05 18:20:00,2026-08-06 05:20:00,AJUSTE,
VIA-00336,2026-08-05 19:03:00,2026-08-06 06:03:00,AJUSTE,
VIA-00388,2026-08-05 19:07:00,2026-08-06 06:07:00,AJUSTE,
VIA-00779,2026-08-05 19:15:00,2026-08-06 06:15:00,AJUSTE,
VIA-01154,2026-08-05 19:32:00,2026-08-06 06:32:00,AJUSTE,
VIA-01143,2026-08-05 22:01:00,2026-08-06 09:01:00,AJUSTE,
VIA-00625,2026-08-05 23:07:00,2026-08-06 10:07:00,AJUSTE,
VIA-00363,2026-08-05 23:41:00,2026-08-06 10:41:00,AJUSTE,
VIA-00617,2026-08-06 00:31:00,2026-08-06 11:31:00,AJUSTE,
VIA-00273,2026-08-06 00:32:00,2026-08-06 11:32:00,AJUSTE,
VIA-00360,2026-08-06 00:41:00,2026-08-06 11:41:00,AJUSTE,
VIA-00445,2026-08-06 01:15:00,2026-08-06 12:15:00,AJUSTE,
VIA-00613,2026-08-06 01:44:00,2026-08-06 12:44:00,AJUSTE,
VIA-01179,2026-08-06 02:02:00,2026-08-06 13:02:00,AJUSTE,
VIA-00762,2026-08-06 03:29:00,2026-08-06 14:29:00,AJUSTE,
VIA-01090,2026-08-06 04:08:00,2026-08-06 15:08:00,AJUSTE,
VIA-00435,2026-08-06 04:34:00,2026-08-06 15:34:00,AJUSTE,
VIA-00051,2026-08-06 04:54:00,2026-08-06 15:54:00,AJUSTE,
VIA-00329,2026-08-06 05:01:00,2026-08-06 16:01:00,AJUSTE,
VIA-00671,2026-08-06 07:31:00,2026-08-06 18:31:00,AJUSTE,
VIA-00456,2026-08-06 08:04:00,2026-08-06 19:04:00,AJUSTE,
VIA-00992,2026-08-06 08:33:00,2026-08-06 19:33:00,AJUSTE,
VIA-00691,2026-08-06 09:22:00,2026-08-06 20:22:00,AJUSTE,
VIA-00679,2026-08-06 09:24:00,2026-08-06 20:24:00,AJUSTE,
VIA-00251,2026-08-06 09:55:00,2026-08-06 20:55:00,AJUSTE,
VIA-01125,2026-08-06 10:16:00,2026-08-06 21:16:00,AJUSTE,
VIA-00986,2026-08-06 10:58:00,2026-08-06 21:58:00,AJUSTE,
VIA-00134,2026-08-06 12:08:00,2026-08-06 23:08:00,AJUSTE,
VIA-01187,2026-08-06 12:50:00,2026-08-06 23:50:00,AJUSTE,
VIA-00611,2026-08-06 13:20:00,2026-08-07 00:20:00,AJUSTE,
VIA-01171,2026-08-06 14:34:00,2026-08-07 01:34:00,AJUSTE,
VIA-01126,2026-08-06 15:17:00,2026-08-07 02:17:00,AJUSTE,
VIA-00504,2026-08-06 16:04:00,2026-08-07 03:04:00,AJUSTE,
VIA-00187,2026-08-06 17:52:00,2026-08-07 04:52:00,AJUSTE,
VIA-00760,2026-08-06 17:53:00,2026-08-07 04:53:00,AJUSTE,
VIA-00542,2026-08-06 18:29:00,2026-08-07 05:29:00,AJUSTE,
VIA-00005,2026-08-06 18:41:00,2026-08-07 05:41:00,AJUSTE,
VIA-01141,2026-08-06 18:53:00,2026-08-07 05:53:00,AJUSTE,
VIA-00078,2026-08-06 19:24:00,2026-08-07 06:24:00,AJUSTE,
VIA-00461,2026-08-06 19:30:00,2026-08-07 06:30:00,AJUSTE,
VIA-00604,2026-08-06 20:58:00,2026-08-07 07:58:00,AJUSTE,
VIA-00675,2026-08-06 21:02:00,2026-08-07 08:02:00,AJUSTE,
VIA-01012,2026-08-06 21:33:00,2026-08-07 08:33:00,AJUSTE,
VIA-00463,2026-08-06 22:55:00,2026-08-07 09:55:00,AJUSTE,
VIA-01018,2026-08-06 23:04:00,2026-08-07 10:04:00,AJUSTE,
VIA-00545,2026-08-06 23:11:00,2026-08-07 10:11:00,AJUSTE,
VIA-00531,2026-08-06 23:25:00,2026-08-07 10:25:00,AJUSTE,
VIA-01071,2026-08-07 00:08:00,2026-08-07 11:08:00,AJUSTE,
VIA-00323,2026-08-07 00:26:00,2026-08-07 11:26:00,AJUSTE,
VIA-00040,2026-08-07 01:59:00,2026-08-07 12:59:00,AJUSTE,
VIA-01134,2026-08-07 02:09:00,2026-08-07 13:09:00,AJUSTE,
VIA-01156,2026-08-07 02:14:00,2026-08-07 13:14:00,AJUSTE,
VIA-00303,2026-08-07 02:54:00,2026-08-07 13:54:00,AJUSTE,
VIA-00949,2026-08-07 05:02:00,2026-08-07 16:02:00,AJUSTE,
VIA-00889,2026-08-07 05:11:00,2026-08-07 16:11:00,AJUSTE,
VIA-00042,2026-08-07 05:29:00,2026-08-07 16:29:00,AJUSTE,
VIA-00378,2026-08-07 05:50:00,2026-08-07 16:50:00,AJUSTE,
VIA-00806,2026-08-07 06:18:00,2026-08-07 17:18:00,AJUSTE,
VIA-00651,2026-08-07 07:24:00,2026-08-07 18:24:00,AJUSTE,
VIA-00811,2026-08-07 07:45:00,2026-08-07 18:45:00,AJUSTE,
VIA-00451,2026-08-07 09:41:00,2026-08-07 20:41:00,AJUSTE,
VIA-01155,2026-08-07 10:13:00,2026-08-07 21:13:00,AJUSTE,
VIA-00009,2026-08-07 10:50:00,2026-08-07 21:50:00,AJUSTE,
VIA-01068,2026-08-07 11:58:00,2026-08-07 22:58:00,AJUSTE,
VIA-01061,2026-08-07 12:13:00,2026-08-07 23:13:00,AJUSTE,
VIA-00578,2026-08-07 12:58:00,2026-08-07 23:58:00,AJUSTE,
VIA-00290,2026-08-07 14:08:00,2026-08-08 01:08:00,AJUSTE,
VIA-01127,2026-08-07 14:09:00,2026-08-08 01:09:00,AJUSTE,
VIA-00866,2026-08-07 14:23:00,2026-08-08 01:23:00,AJUSTE,
VIA-01038,2026-08-07 14:27:00,2026-08-08 01:27:00,AJUSTE,
VIA-00685,2026-08-07 14:56:00,2026-08-08 01:56:00,AJUSTE,
VIA-00321,2026-08-07 15:10:00,2026-08-08 01:40:00,AJUSTE,
VIA-00067,2026-08-07 16:10:00,2026-08-08 03:10:00,AJUSTE,
VIA-01162,2026-08-07 16:20:00,2026-08-08 03:20:00,AJUSTE,
VIA-00539,2026-08-07 17:52:00,2026-08-08 04:52:00,AJUSTE,
VIA-00721,2026-08-07 19:57:00,2026-08-08 06:57:00,AJUSTE,
VIA-00842,2026-08-07 20:33:00,2026-08-08 07:33:00,AJUSTE,
VIA-00877,2026-08-07 21:14:00,2026-08-08 08:14:00,AJUSTE,
VIA-00596,2026-08-07 21:46:00,2026-08-08 08:46:00,AJUSTE,
VIA-00406,2026-08-07 22:57:00,2026-08-08 09:57:00,AJUSTE,
VIA-00019,2026-08-07 23:07:00,2026-08-08 10:07:00,AJUSTE,
VIA-00352,2026-08-07 23:09:00,2026-08-08 10:09:00,AJUSTE,
VIA-00790,2026-08-07 23:14:00,2026-08-08 10:14:00,AJUSTE,
VIA-00812,2026-08-08 00:02:00,2026-08-08 11:02:00,AJUSTE,
VIA-00049,2026-08-08 00:14:00,2026-08-08 11:14:00,AJUSTE,
VIA-00674,2026-08-08 01:33:00,2026-08-08 12:33:00,AJUSTE,
VIA-00723,2026-08-08 03:35:00,2026-08-08 14:35:00,AJUSTE,
VIA-00928,2026-08-08 03:52:00,2026-08-08 14:52:00,AJUSTE,
VIA-00971,2026-08-08 04:20:00,2026-08-08 15:20:00,AJUSTE,
VIA-00228,2026-08-08 04:34:00,2026-08-08 15:34:00,AJUSTE,
VIA-00642,2026-08-08 04:47:00,2026-08-08 15:47:00,AJUSTE,
VIA-00878,2026-08-08 05:10:00,2026-08-08 16:10:00,AJUSTE,
VIA-01140,2026-08-08 05:36:00,2026-08-08 16:36:00,AJUSTE,
VIA-01146,2026-08-08 08:22:00,2026-08-08 19:22:00,AJUSTE,
VIA-00975,2026-08-08 09:10:00,2026-08-08 20:10:00,AJUSTE,
VIA-00175,2026-08-08 09:10:00,2026-08-08 20:10:00,AJUSTE,
VIA-00362,2026-08-08 10:23:00,2026-08-08 21:23:00,AJUSTE,
VIA-00407,2026-08-08 11:17:00,2026-08-08 22:17:00,AJUSTE,
VIA-00957,2026-08-08 11:35:00,2026-08-08 22:35:00,AJUSTE,
VIA-00627,2026-08-08 12:12:00,2026-08-08 23:12:00,AJUSTE,
VIA-00343,2026-08-08 12:30:00,2026-08-08 23:00:00,AJUSTE,
VIA-00984,2026-08-08 12:52:00,2026-08-08 23:52:00,AJUSTE,
VIA-00826,2026-08-08 13:33:00,2026-08-09 00:33:00,AJUSTE,
VIA-00168,2026-08-08 14:20:00,2026-08-09 01:20:00,AJUSTE,
VIA-00724,2026-08-08 14:39:00,2026-08-09 01:39:00,AJUSTE,
VIA-00345,2026-08-08 15:10:00,2026-08-09 02:10:00,AJUSTE,
VIA-00476,2026-08-08 16:31:00,2026-08-09 03:31:00,AJUSTE,
VIA-00446,2026-08-08 16:43:00,2026-08-09 03:43:00,AJUSTE,
VIA-00665,2026-08-08 16:59:00,2026-08-09 03:59:00,AJUSTE,
VIA-00844,2026-08-08 16:59:00,2026-08-09 03:59:00,AJUSTE,
VIA-01015,2026-08-08 18:27:00,2026-08-09 05:27:00,AJUSTE,
VIA-00109,2026-08-08 18:28:00,2026-08-09 05:28:00,AJUSTE,
VIA-00788,2026-08-08 18:48:00,2026-08-09 05:48:00,AJUSTE,
VIA-00472,2026-08-08 19:20:00,2026-08-09 06:20:00,AJUSTE,
VIA-00293,2026-08-08 19:35:00,2026-08-09 06:35:00,AJUSTE,
VIA-00375,2026-08-08 19:42:00,2026-08-09 06:42:00,AJUSTE,
VIA-01161,2026-08-08 19:55:00,2026-08-09 06:55:00,AJUSTE,
VIA-00962,2026-08-08 20:13:00,2026-08-09 07:13:00,AJUSTE,
VIA-00628,2026-08-08 21:00:00,2026-08-09 08:00:00,AJUSTE,
VIA-00527,2026-08-08 21:43:00,2026-08-09 08:43:00,AJUSTE,
VIA-00999,2026-08-08 22:42:00,2026-08-09 09:42:00,AJUSTE,
VIA-00626,2026-08-09 00:04:00,2026-08-09 11:04:00,AJUSTE,
VIA-00330,2026-08-09 01:50:00,2026-08-09 12:50:00,AJUSTE,
VIA-00489,2026-08-09 03:31:00,2026-08-09 14:31:00,AJUSTE,
VIA-01123,2026-08-09 03:52:00,2026-08-09 14:52:00,AJUSTE,
VIA-01186,2026-08-09 04:07:00,2026-08-09 15:07:00,AJUSTE,
VIA-00911,2026-08-09 04:15:00,2026-08-09 15:15:00,AJUSTE,
VIA-00072,2026-08-09 04:33:00,2026-08-09 15:33:00,AJUSTE,
VIA-00950,2026-08-09 04:38:00,2026-08-09 15:38:00,AJUSTE,
VIA-00496,2026-08-09 04:59:00,2026-08-09 15:59:00,AJUSTE,
VIA-00643,2026-08-09 05:04:00,2026-08-09 16:04:00,AJUSTE,
VIA-00385,2026-08-09 05:45:00,2026-08-09 16:45:00,AJUSTE,
VIA-00515,2026-08-09 05:46:00,2026-08-09 16:46:00,AJUSTE,
VIA-00924,2026-08-09 06:00:00,2026-08-09 17:00:00,AJUSTE,
VIA-00341,2026-08-09 06:07:00,2026-08-09 17:07:00,AJUSTE,
VIA-00232,2026-08-09 06:10:00,2026-08-09 17:10:00,AJUSTE,
VIA-00139,2026-08-09 06:20:00,2026-08-09 17:20:00,AJUSTE,
VIA-00976,2026-08-09 06:53:00,2026-08-09 17:53:00,AJUSTE,
VIA-00226,2026-08-09 07:31:00,2026-08-09 18:31:00,AJUSTE,
VIA-00486,2026-08-09 07:32:00,2026-08-09 18:32:00,AJUSTE,
VIA-00746,2026-08-09 08:06:00,2026-08-09 19:06:00,AJUSTE,
VIA-00200,2026-08-09 08:20:00,2026-08-09 19:20:00,AJUSTE,
VIA-00929,2026-08-09 09:36:00,2026-08-09 20:36:00,AJUSTE,
VIA-00081,2026-08-09 10:19:00,2026-08-09 21:19:00,AJUSTE,
VIA-00462,2026-08-09 11:36:00,2026-08-09 22:36:00,AJUSTE,
VIA-00902,2026-08-09 12:35:00,2026-08-09 23:35:00,AJUSTE,
VIA-00292,2026-08-09 13:18:00,2026-08-10 00:18:00,AJUSTE,
VIA-00581,2026-08-09 13:23:00,2026-08-10 00:23:00,AJUSTE,
VIA-00495,2026-08-09 13:40:00,2026-08-10 00:40:00,AJUSTE,
VIA-00636,2026-08-09 15:24:00,2026-08-10 02:24:00,AJUSTE,
VIA-00635,2026-08-09 16:00:00,2026-08-10 03:00:00,AJUSTE,
VIA-00053,2026-08-09 16:54:00,2026-08-10 03:54:00,AJUSTE,
VIA-00857,2026-08-09 17:08:00,2026-08-10 04:08:00,AJUSTE,
VIA-00507,2026-08-09 17:32:00,2026-08-10 04:32:00,AJUSTE,
VIA-00898,2026-08-09 18:05:00,2026-08-10 05:05:00,AJUSTE,
