fila_bronze,viaje_id,order_id,camion_id_tratado,producto_id,timestamp_bolivia,temp_c,humedad_pct,objetivo_c,tolerancia_c,desvio_respecto_umbral_c,temp_lag1_c,temp_lag2_c,cambio_temp_c,pendiente_c_por_min,temp_media_historica_3,temp_max_historica_3,minutos_desde_inicio,categoria_logistica_tratada,tipo_camion_tratado,capacidad_kg_tratada,centro_distribucion_tratado,cantidad_solicitada_tratado,tiempo_entrega_prometido_hrs_tratado,temperatura_imputada_x,humedad_imputada,clasificacion_objetivo_60min,max_desvio_termico_proximos_60min_c,n_lecturas_futuras_60min,apta_clasificacion_60min,apta_regresion_60min
15,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 21:11:00,4.11,81.7,4.0,2.0,-1.8899999999999997,2.13,3.63,1.9800000000000004,0.06600000000000002,3.2900000000000005,4.11,420.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,1,2.9299999999999997,2,True,True
16,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 21:41:00,5.29,76.7,4.0,2.0,-0.71,4.11,2.13,1.1799999999999997,0.039333333333333324,3.8433333333333337,5.29,450.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,1,3.42,2,True,True
17,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 22:11:00,8.93,80.2,4.0,2.0,2.9299999999999997,5.29,4.11,3.6399999999999997,0.12133333333333332,6.11,8.93,480.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,1,3.9000000000000004,2,True,True
18,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 22:41:00,9.42,75.2,4.0,2.0,3.42,8.93,5.29,0.4900000000000002,0.016333333333333342,7.88,9.42,510.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,1,3.9000000000000004,2,True,True
19,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 23:11:00,9.9,87.9,4.0,2.0,3.9000000000000004,9.42,8.93,0.4800000000000004,0.016000000000000014,9.416666666666666,9.9,540.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,1,3.3900000000000006,2,True,True
20,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 23:41:00,9.28,87.0,4.0,2.0,3.2799999999999994,9.9,9.42,-0.620000000000001,-0.0206666666666667,9.533333333333333,9.9,570.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,1,3.3900000000000006,2,True,True
21,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-12 00:11:00,9.39,79.3,4.0,2.0,3.3900000000000006,9.28,9.9,0.11000000000000121,0.003666666666666707,9.523333333333333,9.9,600.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-1.3900000000000001,2,True,True
22,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-12 00:41:00,3.39,82.1,4.0,2.0,-1.3900000000000001,9.39,9.28,-6.0,-0.2,7.353333333333334,9.39,630.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-0.8700000000000001,2,True,True
23,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-12 01:11:00,4.33,85.4,4.0,2.0,-1.67,3.39,9.39,0.94,0.03133333333333333,5.703333333333334,9.39,660.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-0.8700000000000001,1,True,True
24,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-12 01:41:00,5.13,85.7,4.0,2.0,-0.8700000000000001,4.33,3.39,0.7999999999999998,0.02666666666666666,4.283333333333334,5.13,690.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,,0,True,False
25,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-12 23:30:00,19.62,52.0,20.0,5.0,-4.620000000000001,,,,,19.62,19.62,0.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-0.6799999999999997,2,True,True
26,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 00:00:00,19.82,43.4,20.0,5.0,-4.82,19.62,,0.1999999999999993,0.006666666666666643,19.72,19.82,30.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-0.6799999999999997,2,True,True
27,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 00:30:00,24.32,51.9,20.0,5.0,-0.6799999999999997,19.82,19.62,4.5,0.15,21.253333333333334,24.32,60.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-4.16,2,True,True
28,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 01:00:00,19.16,55.7,20.0,5.0,-4.16,24.32,19.82,-5.16,-0.17200000000000001,21.099999999999998,24.32,90.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-3.0500000000000007,2,True,True
29,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 01:30:00,19.5,47.1,20.0,5.0,-4.5,19.16,24.32,0.33999999999999986,0.011333333333333329,20.993333333333336,24.32,120.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-3.0500000000000007,2,True,True
30,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 02:00:00,18.05,53.7,20.0,5.0,-3.0500000000000007,19.5,19.16,-1.4499999999999993,-0.04833333333333331,18.903333333333332,19.5,150.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-3.59,2,True,True
31,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 02:30:00,18.97,57.2,20.0,5.0,-3.969999999999999,18.05,19.5,0.9199999999999982,0.030666666666666606,18.84,19.5,180.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-3.59,2,True,True
32,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 03:00:00,18.59,46.7,20.0,5.0,-3.59,18.97,18.05,-0.379999999999999,-0.012666666666666633,18.536666666666665,18.97,210.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-4.489999999999998,2,True,True
33,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 03:30:00,19.49,58.9,20.0,5.0,-4.489999999999998,18.59,18.97,0.8999999999999986,0.029999999999999954,19.016666666666666,19.49,240.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-4.43,2,True,True
34,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 04:00:00,19.63,59.6,20.0,5.0,-4.629999999999999,19.49,18.59,0.14000000000000057,0.004666666666666685,19.236666666666668,19.63,270.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-2.120000000000001,2,True,True
35,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 04:30:00,19.43,50.5,20.0,5.0,-4.43,19.63,19.49,-0.1999999999999993,-0.006666666666666643,19.516666666666666,19.63,300.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-2.120000000000001,2,True,True
36,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 05:00:00,17.12,61.2,20.0,5.0,-2.120000000000001,19.43,19.63,-2.3099999999999987,-0.07699999999999996,18.72666666666667,19.63,330.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-3.3900000000000006,2,True,True
37,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 05:30:00,21.61,41.0,20.0,5.0,-3.3900000000000006,17.12,19.43,4.489999999999998,0.14966666666666661,19.386666666666667,21.61,360.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-3.4299999999999997,2,True,True
38,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 06:00:00,18.43,48.0,20.0,5.0,-3.4299999999999997,21.61,17.12,-3.1799999999999997,-0.106,19.05333333333333,21.61,390.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-3.9800000000000004,2,True,True
39,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 06:30:00,21.02,51.9,20.0,5.0,-3.9800000000000004,18.43,21.61,2.59,0.08633333333333333,20.35333333333333,21.61,420.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-3.280000000000001,2,True,True
40,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 07:00:00,19.71,41.7,20.0,5.0,-4.710000000000001,21.02,18.43,-1.3099999999999987,-0.043666666666666624,19.720000000000002,21.02,450.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-3.280000000000001,2,True,True
41,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 07:30:00,18.28,64.6,20.0,5.0,-3.280000000000001,19.71,21.02,-1.4299999999999997,-0.047666666666666656,19.67,21.02,480.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-3.8299999999999983,2,True,True
42,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 08:00:00,19.56,55.9,20.0,5.0,-4.559999999999999,18.28,19.71,1.2799999999999976,0.04266666666666659,19.183333333333334,19.71,510.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-2.7600000000000016,2,True,True
43,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 08:30:00,18.83,45.8,20.0,5.0,-3.8299999999999983,19.56,18.28,-0.7300000000000004,-0.02433333333333335,18.89,19.56,540.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-2.530000000000001,2,True,True
44,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 09:00:00,17.76,40.1,20.0,5.0,-2.7600000000000016,18.83,19.56,-1.0699999999999967,-0.035666666666666555,18.716666666666665,19.56,570.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-2.530000000000001,2,True,True
45,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 09:30:00,17.53,41.9,20.0,5.0,-2.530000000000001,17.76,18.83,-0.23000000000000043,-0.007666666666666681,18.040000000000003,18.83,600.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-4.210000000000001,2,True,True
46,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 10:00:00,19.94,36.5,20.0,5.0,-4.940000000000001,17.53,17.76,2.41,0.08033333333333334,18.41,19.94,630.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-2.5700000000000003,2,True,True
47,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 10:30:00,19.21,43.6,20.0,5.0,-4.210000000000001,19.94,17.53,-0.7300000000000004,-0.02433333333333335,18.893333333333334,19.94,660.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-2.5700000000000003,1,True,True
48,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 11:00:00,17.57,61.6,20.0,5.0,-2.5700000000000003,19.21,19.94,-1.6400000000000006,-0.05466666666666668,18.906666666666666,19.94,690.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,,0,True,False
49,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 13:15:00,22.59,42.4,20.0,5.0,-2.41,,,,,22.59,22.59,0.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-3.5100000000000016,2,True,True
50,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 13:45:00,18.51,47.1,20.0,5.0,-3.5100000000000016,22.59,,-4.079999999999998,-0.13599999999999995,20.55,22.59,30.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-3.3099999999999987,2,True,True
51,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 14:15:00,18.84,53.5,20.0,5.0,-3.84,18.51,22.59,0.3299999999999983,0.010999999999999944,19.98,22.59,60.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-3.3099999999999987,2,True,True
52,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 14:45:00,18.31,55.5,20.0,5.0,-3.3099999999999987,18.84,18.51,-0.5300000000000011,-0.017666666666666705,18.55333333333333,18.84,90.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-3.530000000000001,2,True,True
53,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 15:15:00,21.12,46.9,20.0,5.0,-3.879999999999999,18.31,18.84,2.8100000000000023,0.09366666666666675,19.423333333333332,21.12,120.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-3.530000000000001,2,True,True
54,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 15:45:00,21.47,32.1,20.0,5.0,-3.530000000000001,21.12,18.31,0.34999999999999787,0.011666666666666596,20.299999999999997,21.47,150.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-4.550000000000001,2,True,True
55,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 16:15:00,20.45,61.0,20.0,5.0,-4.550000000000001,21.47,21.12,-1.0199999999999996,-0.03399999999999999,21.013333333333332,21.47,180.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-2.3599999999999994,2,True,True
56,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 16:45:00,19.81,46.0,20.0,5.0,-4.809999999999999,20.45,21.47,-0.6400000000000006,-0.021333333333333353,20.576666666666668,21.47,210.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-2.3599999999999994,2,True,True
57,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 17:15:00,22.64,57.0,20.0,5.0,-2.3599999999999994,19.81,20.45,2.830000000000002,0.0943333333333334,20.96666666666667,22.64,240.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-3.7399999999999984,2,True,True
58,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 17:45:00,20.35,41.1,20.0,5.0,-4.649999999999999,22.64,19.81,-2.289999999999999,-0.07633333333333331,20.933333333333334,22.64,270.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-3.0,2,True,True
59,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 18:15:00,21.26,57.6,20.0,5.0,-3.7399999999999984,20.35,22.64,0.9100000000000001,0.030333333333333337,21.416666666666668,22.64,300.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-3.0,2,True,True
60,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 18:45:00,22.0,50.0,20.0,5.0,-3.0,21.26,20.35,0.7399999999999984,0.024666666666666615,21.203333333333333,22.0,330.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-4.059999999999999,2,True,True
61,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 19:15:00,19.06,44.4,20.0,5.0,-4.059999999999999,22.0,21.26,-2.9400000000000013,-0.09800000000000005,20.773333333333337,22.0,360.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-2.5199999999999996,2,True,True
62,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 19:45:00,20.59,43.0,20.0,5.0,-4.41,19.06,22.0,1.5300000000000011,0.05100000000000004,20.55,22.0,390.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-2.5199999999999996,2,True,True
63,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 20:15:00,17.52,36.2,20.0,5.0,-2.5199999999999996,20.59,19.06,-3.0700000000000003,-0.10233333333333335,19.05666666666667,20.59,420.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-3.8299999999999983,2,True,True
64,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 20:45:00,21.16,47.9,20.0,5.0,-3.84,17.52,20.59,3.6400000000000006,0.12133333333333335,19.756666666666664,21.16,450.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-3.8299999999999983,2,True,True
65,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 21:15:00,18.83,49.9,20.0,5.0,-3.8299999999999983,21.16,17.52,-2.330000000000002,-0.07766666666666673,19.169999999999998,21.16,480.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-2.969999999999999,2,True,True
66,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 21:45:00,19.87,44.7,20.0,5.0,-4.870000000000001,18.83,21.16,1.0400000000000027,0.034666666666666755,19.953333333333333,21.16,510.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-1.6700000000000017,2,True,True
67,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 22:15:00,17.97,42.1,20.0,5.0,-2.969999999999999,19.87,18.83,-1.9000000000000021,-0.06333333333333341,18.89,19.87,540.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-1.6700000000000017,2,True,True
68,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 22:45:00,16.67,48.3,20.0,5.0,-1.6700000000000017,17.97,19.87,-1.2999999999999972,-0.04333333333333324,18.17,19.87,570.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-3.59,2,True,True
69,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 23:15:00,20.87,44.4,20.0,5.0,-4.129999999999999,16.67,17.97,4.199999999999999,0.13999999999999999,18.503333333333334,20.87,600.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-3.1900000000000013,2,True,True
70,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 23:45:00,18.59,53.6,20.0,5.0,-3.59,20.87,16.67,-2.280000000000001,-0.07600000000000004,18.710000000000004,20.87,630.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-3.1900000000000013,2,True,True
71,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-03 00:15:00,21.81,52.7,20.0,5.0,-3.1900000000000013,18.59,20.87,3.219999999999999,0.1073333333333333,20.423333333333336,21.81,660.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,-4.670000000000002,1,True,True
72,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-03 00:45:00,19.67,58.9,20.0,5.0,-4.670000000000002,21.81,18.59,-2.139999999999997,-0.07133333333333323,20.023333333333333,21.81,690.0,Seco,Seco,5000,Santa Cruz,275.0,72.0,False,False,0,,0,True,False
73,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,2026-08-02 19:25:00,20.85,39.7,20.0,5.0,-4.149999999999999,,,,,20.85,20.85,0.0,Seco,Refrigerado,12000,La Paz,72.0,72.0,False,False,0,-4.530000000000001,2,True,True
74,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,2026-08-02 19:55:00,20.47,52.9,20.0,5.0,-4.530000000000001,20.85,,-0.38000000000000256,-0.012666666666666751,20.66,20.85,30.0,Seco,Refrigerado,12000,La Paz,72.0,72.0,False,False,0,-3.3099999999999987,2,True,True
75,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,2026-08-02 20:25:00,19.89,54.0,20.0,5.0,-4.890000000000001,20.47,20.85,-0.5799999999999983,-0.019333333333333275,20.403333333333332,20.85,60.0,Seco,Refrigerado,12000,La Paz,72.0,72.0,False,False,0,-3.3099999999999987,2,True,True
76,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,2026-08-02 20:55:00,18.31,57.7,20.0,5.0,-3.3099999999999987,19.89,20.47,-1.5800000000000018,-0.05266666666666673,19.55666666666667,20.47,90.0,Seco,Refrigerado,12000,La Paz,72.0,72.0,False,False,0,-3.5700000000000003,2,True,True
77,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,2026-08-02 21:25:00,18.69,53.2,20.0,5.0,-3.6900000000000013,18.31,19.89,0.38000000000000256,0.012666666666666751,18.963333333333335,19.89,120.0,Seco,Refrigerado,12000,La Paz,72.0,72.0,False,False,0,-3.5700000000000003,2,True,True
78,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,2026-08-02 21:55:00,18.57,34.8,20.0,5.0,-3.5700000000000003,18.69,18.31,-0.120000000000001,-0.004000000000000033,18.523333333333333,18.69,150.0,Seco,Refrigerado,12000,La Paz,72.0,72.0,False,False,0,-4.48,2,True,True
79,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,2026-08-02 22:25:00,20.52,46.7,20.0,5.0,-4.48,18.57,18.69,1.9499999999999993,0.06499999999999997,19.26,20.52,180.0,Seco,Refrigerado,12000,La Paz,72.0,72.0,False,False,0,-2.6000000000000014,2,True,True
80,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,2026-08-02 22:55:00,19.97,54.1,20.0,5.0,-4.969999999999999,20.52,18.57,-0.5500000000000007,-0.018333333333333358,19.686666666666667,20.52,210.0,Seco,Refrigerado,12000,La Paz,72.0,72.0,False,False,0,-2.6000000000000014,2,True,True
81,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,2026-08-02 23:25:00,17.6,48.9,20.0,5.0,-2.6000000000000014,19.97,20.52,-2.3699999999999974,-0.07899999999999992,19.363333333333333,20.52,240.0,Seco,Refrigerado,12000,La Paz,72.0,72.0,False,False,0,-1.0799999999999983,2,True,True
82,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,2026-08-02 23:55:00,18.12,48.0,20.0,5.0,-3.120000000000001,17.6,19.97,0.5199999999999996,0.01733333333333332,18.563333333333336,19.97,270.0,Seco,Refrigerado,12000,La Paz,72.0,72.0,False,False,0,-1.0799999999999983,2,True,True
83,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,2026-08-03 00:25:00,23.92,53.8,20.0,5.0,-1.0799999999999983,18.12,17.6,5.800000000000001,0.19333333333333336,19.88,23.92,300.0,Seco,Refrigerado,12000,La Paz,72.0,72.0,False,False,0,-3.2600000000000016,2,True,True
84,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,2026-08-03 00:55:00,19.92,41.7,20.0,5.0,-4.920000000000002,23.92,18.12,-4.0,-0.13333333333333333,20.653333333333336,23.92,330.0,Seco,Refrigerado,12000,La Paz,72.0,72.0,False,False,0,-2.5,2,True,True
85,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,2026-08-03 01:25:00,18.26,47.1,20.0,5.0,-3.2600000000000016,19.92,23.92,-1.6600000000000001,-0.05533333333333334,20.700000000000003,23.92,360.0,Seco,Refrigerado,12000,La Paz,72.0,72.0,False,False,0,-2.5,2,True,True
