viaje_id,order_id,camion_id_tratado,producto_id,inicio_viaje,fin_viaje,n_lecturas,n_lecturas_observadas,temperatura_promedio_c,temperatura_maxima_c,n_desviaciones,categoria_logistica,tipo_camion,centro_distribucion,tuvo_desviacion,apto_kpi_termico_observado
VIA-00016,ORD-2026-02623,CAM-06,PROD-031,2026-08-29 00:00:00,2026-08-29 11:30:00,24,24,19.799583333333334,22.72,0,Seco,Seco,Cochabamba,False,True
VIA-00017,ORD-2026-02226,CAM-03,PROD-059,2026-08-19 17:20:00,2026-08-20 04:50:00,24,24,20.175416666666667,25.63,1,Seco,Seco,Oruro,True,True
VIA-00018,ORD-2026-03390,CAM-08,PROD-052,2026-08-18 18:41:00,2026-08-19 06:11:00,24,23,3.756086956521739,4.99,1,Fresco,Refrigerado,Santa Cruz,True,True
VIA-00019,ORD-2026-02371,CAM-21,PROD-017,2026-08-07 23:07:00,2026-08-08 10:37:00,24,24,19.93162037037037,22.69,0,Seco,Seco,Tarija,False,True
VIA-00020,ORD-2026-01231,CAM-20,PROD-039,2026-08-25 20:24:00,2026-08-26 07:54:00,23,21,19.959047619047617,23.02,0,Seco,Refrigerado,Oruro,False,True
VIA-00021,ORD-2026-02240,CAM-02,PROD-027,2026-08-22 04:48:00,2026-08-22 16:18:00,24,24,4.08625,5.49,0,Fresco,Refrigerado,Cochabamba,False,True
VIA-00022,ORD-2026-05581,CAM-23,PROD-056,2026-08-26 23:02:00,2026-08-27 10:32:00,24,24,5.439490740740741,11.68,5,Fresco,Seco,Santa Cruz,True,True
VIA-00023,ORD-2026-01360,CAM-12,PROD-012,2026-08-14 16:18:00,2026-08-15 03:48:00,24,24,20.221666666666668,23.4,0,Seco,Seco,La Paz,False,True
VIA-00024,ORD-2026-00869,CAM-24,PROD-059,2026-08-22 14:18:00,2026-08-23 01:48:00,24,24,20.10884259259259,23.9,0,Seco,Refrigerado,Oruro,False,True
VIA-00025,ORD-2026-06241,CAM-24,PROD-052,2026-08-13 17:51:00,2026-08-14 05:21:00,23,23,4.009130434782609,5.24,0,Fresco,Refrigerado,Oruro,False,True
VIA-00026,ORD-2026-05130,CAM-08,PROD-035,2026-08-21 15:05:00,2026-08-22 02:35:00,24,24,-18.09,-16.14,0,Congelado,Refrigerado,Santa Cruz,False,True
VIA-00027,ORD-2026-05466,CAM-20,PROD-026,2026-08-29 23:27:00,2026-08-30 10:57:00,24,0,,,0,Fresco,Refrigerado,Oruro,False,False
VIA-00028,ORD-2026-06929,CAM-08,PROD-021,2026-08-30 04:55:00,2026-08-30 16:25:00,24,24,4.0616666666666665,5.46,0,Fresco,Refrigerado,Santa Cruz,False,True
VIA-00029,ORD-2026-05552,CAM-21,PROD-038,2026-08-13 20:42:00,2026-08-14 08:12:00,24,24,19.682083333333335,22.42,0,Seco,Seco,Tarija,False,True
VIA-00030,ORD-2026-03547,CAM-16,PROD-012,2026-08-12 15:03:00,2026-08-13 02:33:00,24,24,19.60875,23.57,0,Seco,Seco,Oruro,False,True
VIA-00031,ORD-2026-01034,CAM-19,PROD-012,2026-08-29 22:20:00,2026-08-30 09:50:00,24,24,20.188333333333333,23.64,0,Seco,Refrigerado,Tarija,False,True
VIA-00032,ORD-2026-01878,CAM-24,PROD-058,2026-08-27 20:29:00,2026-08-28 07:59:00,24,23,-18.01086956521739,-16.38,0,Congelado,Refrigerado,Oruro,False,True
VIA-00033,ORD-2026-01117,CAM-19,PROD-035,2026-08-02 09:22:00,2026-08-02 20:52:00,24,24,-18.089583333333334,-16.8,0,Congelado,Refrigerado,Tarija,False,True
VIA-00034,ORD-2026-05255,CAM-19,PROD-045,2026-08-22 06:41:00,2026-08-22 18:11:00,24,24,3.9904166666666665,5.61,1,Fresco,Refrigerado,Tarija,True,True
VIA-00035,ORD-2026-03774,CAM-17,PROD-055,2026-08-21 19:43:00,2026-08-22 07:13:00,24,24,19.944675925925925,21.68,0,Seco,Seco,Cochabamba,False,True
VIA-00036,ORD-2026-03362,CAM-26,PROD-051,2026-08-28 05:35:00,2026-08-28 17:05:00,24,24,-16.537499999999998,-9.11,5,Congelado,Refrigerado,Tarija,True,True
VIA-00037,ORD-2026-01721,CAM-01,PROD-001,2026-08-01 00:26:00,2026-08-01 11:56:00,24,24,3.9025,5.46,0,Fresco,Refrigerado,Cochabamba,False,True
VIA-00038,ORD-2026-05727,CAM-29,PROD-005,2026-08-29 21:44:00,2026-08-30 09:14:00,24,23,20.024347826086956,22.74,0,Seco,Seco,Santa Cruz,False,True
VIA-00039,ORD-2026-02641,CAM-30,PROD-039,2026-08-16 15:46:00,2026-08-17 03:16:00,24,24,19.267500000000002,22.61,0,Seco,Seco,Cochabamba,False,True
VIA-00040,ORD-2026-02804,CAM-20,PROD-060,2026-08-07 01:59:00,2026-08-07 13:29:00,24,24,-17.791666666666668,-15.04,1,Congelado,Refrigerado,Oruro,True,True
VIA-00041,ORD-2026-01604,CAM-24,PROD-026,2026-08-10 03:33:00,2026-08-10 15:03:00,24,0,,,0,Fresco,Refrigerado,Oruro,False,False
VIA-00042,ORD-2026-00277,CAM-26,PROD-058,2026-08-07 05:29:00,2026-08-07 16:59:00,24,24,-17.832916666666666,-16.34,0,Congelado,Refrigerado,Tarija,False,True
VIA-00043,ORD-2026-07074,CAM-19,PROD-034,2026-08-20 10:07:00,2026-08-20 21:37:00,24,24,3.6666666666666665,5.43,0,Fresco,Refrigerado,Tarija,False,True
VIA-00044,ORD-2026-00171,CAM-24,PROD-051,2026-08-23 16:07:00,2026-08-24 03:37:00,24,24,-17.872916666666665,-16.47,0,Congelado,Refrigerado,Oruro,False,True
VIA-00045,ORD-2026-01164,CAM-22,PROD-039,2026-08-14 18:16:00,2026-08-15 05:46:00,24,23,19.750434782608696,22.36,0,Seco,Refrigerado,Cochabamba,False,True
VIA-00046,ORD-2026-00641,CAM-09,PROD-033,2026-08-19 23:07:00,2026-08-20 10:37:00,23,23,19.869565217391305,23.24,0,Seco,Seco,Santa Cruz,False,True
VIA-00047,ORD-2026-03263,CAM-20,PROD-028,2026-08-29 03:43:00,2026-08-29 15:13:00,24,0,,,0,Seco,Refrigerado,Oruro,False,False
VIA-00048,ORD-2026-03376,CAM-03,PROD-051,2026-08-17 04:57:00,2026-08-17 16:27:00,24,24,-18.209629629629628,-15.94,1,Congelado,Seco,Oruro,True,True
VIA-00049,ORD-2026-02871,CAM-08,PROD-016,2026-08-08 00:14:00,2026-08-08 11:44:00,24,23,19.709565217391305,24.12,0,Seco,Refrigerado,Santa Cruz,False,True
VIA-00050,ORD-2026-06609,CAM-26,PROD-032,2026-08-25 21:40:00,2026-08-26 09:10:00,24,24,20.337083333333332,23.63,0,Seco,Refrigerado,Tarija,False,True
VIA-00051,ORD-2026-04075,CAM-28,PROD-025,2026-08-06 04:54:00,2026-08-06 16:24:00,23,22,-15.989545454545453,-8.17,5,Congelado,Refrigerado,La Paz,True,True
VIA-00052,ORD-2026-02691,CAM-10,PROD-060,2026-08-21 01:29:00,2026-08-21 12:59:00,24,23,-17.79304347826087,-15.96,1,Congelado,Refrigerado,La Paz,True,True
VIA-00053,ORD-2026-03071,CAM-19,PROD-011,2026-08-09 16:54:00,2026-08-10 04:24:00,24,24,-18.22791666666667,-16.86,0,Congelado,Refrigerado,Tarija,False,True
VIA-00054,ORD-2026-05811,CAM-10,PROD-041,2026-08-18 00:42:00,2026-08-18 12:12:00,23,23,-16.315217391304348,-9.75,5,Congelado,Refrigerado,La Paz,True,True
VIA-00055,ORD-2026-05378,CAM-20,PROD-025,2026-08-14 09:33:00,2026-08-14 21:03:00,24,24,-18.00916666666667,-16.18,1,Congelado,Refrigerado,Oruro,True,True
VIA-00056,ORD-2026-06250,CAM-11,PROD-006,2026-08-15 03:26:00,2026-08-15 14:56:00,23,23,19.918695652173913,24.21,0,Seco,Refrigerado,Cochabamba,False,True
VIA-00057,ORD-2026-07410,CAM-19,PROD-022,2026-08-20 23:47:00,2026-08-21 11:17:00,24,24,5.0874999999999995,10.2,5,Fresco,Refrigerado,Tarija,True,True
VIA-00058,ORD-2026-02632,CAM-20,PROD-038,2026-08-27 19:08:00,2026-08-28 06:38:00,24,24,20.392500000000002,26.37,1,Seco,Refrigerado,Oruro,True,True
VIA-00059,ORD-2026-02676,CAM-07,PROD-055,2026-08-20 15:53:00,2026-08-21 03:23:00,23,23,18.887826086956522,21.48,0,Seco,Seco,La Paz,False,True
VIA-00060,ORD-2026-00606,CAM-27,PROD-006,2026-08-19 19:48:00,2026-08-20 07:18:00,24,24,20.29375,23.61,0,Seco,Refrigerado,Cochabamba,False,True
VIA-00061,ORD-2026-01677,CAM-21,PROD-028,2026-08-23 02:28:00,2026-08-23 13:58:00,24,0,,,0,Seco,Seco,Tarija,False,False
VIA-00062,ORD-2026-02581,CAM-28,PROD-028,2026-08-23 10:32:00,2026-08-23 22:02:00,24,0,,,0,Seco,Refrigerado,La Paz,False,False
VIA-00063,ORD-2026-05952,CAM-23,PROD-031,2026-08-20 20:00:00,2026-08-21 07:30:00,24,24,21.380416666666665,29.16,6,Seco,Seco,Santa Cruz,True,True
VIA-00064,ORD-2026-05523,CAM-04,PROD-030,2026-08-30 22:11:00,2026-08-31 09:41:00,24,24,19.63375,22.75,0,Seco,Seco,La Paz,False,True
VIA-00065,ORD-2026-00816,CAM-08,PROD-019,2026-08-09 21:56:00,2026-08-10 09:26:00,24,24,19.77,23.32,0,Seco,Refrigerado,Santa Cruz,False,True
VIA-00066,ORD-2026-02610,CAM-23,PROD-046,2026-08-11 02:20:00,2026-08-11 13:50:00,24,24,20.031666666666666,24.23,0,Seco,Seco,Santa Cruz,False,True
VIA-00067,ORD-2026-06592,CAM-20,PROD-014,2026-08-07 16:10:00,2026-08-08 03:40:00,24,24,19.807083333333335,21.67,0,Seco,Refrigerado,Oruro,False,True
VIA-00068,ORD-2026-06340,CAM-10,PROD-042,2026-08-14 07:43:00,2026-08-14 19:13:00,24,24,19.935,23.54,0,Seco,Refrigerado,La Paz,False,True
VIA-00069,ORD-2026-01240,CAM-19,PROD-027,2026-08-17 21:28:00,2026-08-18 08:58:00,24,24,3.7883333333333336,5.6,0,Fresco,Refrigerado,Tarija,False,True
VIA-00070,ORD-2026-06154,CAM-19,PROD-040,2026-08-28 18:23:00,2026-08-29 05:53:00,23,23,19.87695652173913,23.04,0,Seco,Refrigerado,Tarija,False,True
VIA-00071,ORD-2026-02585,CAM-10,PROD-026,2026-08-13 16:26:00,2026-08-14 03:56:00,24,0,,,0,Fresco,Refrigerado,La Paz,False,False
VIA-00072,ORD-2026-01494,CAM-21,PROD-046,2026-08-09 04:33:00,2026-08-09 16:03:00,24,24,20.333333333333332,24.07,0,Seco,Seco,Tarija,False,True
VIA-00073,ORD-2026-01330,CAM-13,PROD-018,2026-08-17 05:26:00,2026-08-17 16:56:00,24,0,,,0,Seco,Seco,Cochabamba,False,False
VIA-00074,ORD-2026-04869,CAM-15,PROD-032,2026-08-02 04:52:00,2026-08-02 16:22:00,24,24,19.69125,25.23,1,Seco,Refrigerado,La Paz,True,True
VIA-00075,ORD-2026-03282,CAM-08,PROD-057,2026-08-11 05:59:00,2026-08-11 17:29:00,24,24,19.802083333333332,23.34,0,Seco,Refrigerado,Santa Cruz,False,True
VIA-00076,ORD-2026-06520,CAM-01,PROD-024,2026-08-12 07:32:00,2026-08-12 19:02:00,24,24,20.705833333333334,28.6,4,Seco,Refrigerado,Cochabamba,True,True
VIA-00077,ORD-2026-01544,CAM-24,PROD-022,2026-08-14 17:55:00,2026-08-15 05:25:00,24,24,4.0975,5.53,0,Fresco,Refrigerado,Oruro,False,True
VIA-00078,ORD-2026-05805,CAM-10,PROD-036,2026-08-06 19:24:00,2026-08-07 06:54:00,24,0,,,0,Fresco,Refrigerado,La Paz,False,False
VIA-00079,ORD-2026-03382,CAM-30,PROD-016,2026-08-12 11:45:00,2026-08-12 23:15:00,24,24,19.603333333333335,23.91,1,Seco,Seco,Cochabamba,True,True
VIA-00080,ORD-2026-05535,CAM-13,PROD-005,2026-08-15 07:24:00,2026-08-15 18:54:00,24,24,20.223333333333333,22.12,0,Seco,Seco,Cochabamba,False,True
VIA-00081,ORD-2026-01750,CAM-19,PROD-007,2026-08-09 10:19:00,2026-08-09 21:49:00,24,24,20.025833333333335,23.58,0,Seco,Refrigerado,Tarija,False,True
VIA-00082,ORD-2026-06630,CAM-18,PROD-033,2026-08-02 08:35:00,2026-08-02 20:05:00,24,23,19.65434782608696,23.09,0,Seco,Seco,Santa Cruz,False,True
VIA-00083,ORD-2026-04808,CAM-29,PROD-038,2026-08-12 06:22:00,2026-08-12 17:52:00,24,24,19.725833333333334,23.02,0,Seco,Seco,Santa Cruz,False,True
VIA-00084,ORD-2026-05859,CAM-05,PROD-039,2026-08-11 11:18:00,2026-08-11 22:48:00,24,24,19.858333333333334,23.72,0,Seco,Seco,Cochabamba,False,True
VIA-00085,ORD-2026-02404,CAM-19,PROD-056,2026-08-12 18:55:00,2026-08-13 06:25:00,24,24,4.103750000000001,5.61,0,Fresco,Refrigerado,Tarija,False,True
VIA-00086,ORD-2026-06526,CAM-20,PROD-054,2026-08-10 16:45:00,2026-08-11 04:15:00,24,24,-16.334166666666665,-8.53,5,Congelado,Refrigerado,Oruro,True,True
VIA-00087,ORD-2026-01006,CAM-28,PROD-056,2026-08-25 10:00:00,2026-08-25 21:30:00,24,24,5.457083333333333,11.26,7,Fresco,Refrigerado,La Paz,True,True
VIA-00088,ORD-2026-06561,CAM-18,PROD-014,2026-08-12 04:18:00,2026-08-12 15:48:00,24,24,20.654166666666665,24.5,0,Seco,Seco,Santa Cruz,False,True
VIA-00089,ORD-2026-02131,CAM-15,PROD-047,2026-08-27 02:02:00,2026-08-27 13:32:00,24,24,3.6558333333333333,5.06,0,Fresco,Refrigerado,La Paz,False,True
VIA-00090,ORD-2026-03691,CAM-08,PROD-060,2026-08-27 13:45:00,2026-08-28 01:15:00,24,24,-18.097083333333334,-16.55,0,Congelado,Refrigerado,Santa Cruz,False,True
VIA-00091,ORD-2026-05940,CAM-26,PROD-053,2026-08-20 08:52:00,2026-08-20 19:52:00,23,23,4.046956521739131,5.17,0,Fresco,Refrigerado,Tarija,False,True
VIA-00092,ORD-2026-01125,CAM-28,PROD-060,2026-08-19 00:38:00,2026-08-19 12:08:00,24,24,-17.955000000000002,-16.21,1,Congelado,Refrigerado,La Paz,True,True
VIA-00093,ORD-2026-05418,CAM-24,PROD-021,2026-08-20 16:43:00,2026-08-21 04:13:00,24,24,4.05875,5.37,0,Fresco,Refrigerado,Oruro,False,True
VIA-00094,ORD-2026-00303,CAM-08,PROD-060,2026-08-25 00:21:00,2026-08-25 11:51:00,24,24,-17.986250000000002,-15.96,1,Congelado,Refrigerado,Santa Cruz,True,True
VIA-00095,ORD-2026-02555,CAM-11,PROD-036,2026-08-27 09:01:00,2026-08-27 20:31:00,24,0,,,0,Fresco,Refrigerado,Cochabamba,False,False
VIA-00096,ORD-2026-03275,CAM-24,PROD-041,2026-08-18 01:29:00,2026-08-18 12:59:00,24,24,-18.02875,-17.0,0,Congelado,Refrigerado,Oruro,False,True
VIA-00097,ORD-2026-07145,CAM-20,PROD-054,2026-08-17 08:43:00,2026-08-17 20:13:00,24,24,-17.903333333333332,-16.61,0,Congelado,Refrigerado,Oruro,False,True
VIA-00098,ORD-2026-01622,CAM-20,PROD-009,2026-08-26 12:25:00,2026-08-26 23:55:00,24,23,4.122608695652174,5.96,0,Fresco,Refrigerado,Oruro,False,True
VIA-00099,ORD-2026-03689,CAM-25,PROD-050,2026-08-16 04:23:00,2026-08-16 15:53:00,24,23,19.760434782608694,22.91,0,Seco,Refrigerado,Cochabamba,False,True
VIA-00100,ORD-2026-03979,CAM-26,PROD-044,2026-08-05 17:01:00,2026-08-06 04:31:00,24,24,3.973333333333333,6.01,1,Fresco,Refrigerado,Tarija,True,True
VIA-00101,ORD-2026-04951,CAM-12,PROD-029,2026-08-22 14:34:00,2026-08-23 02:04:00,24,24,19.757083333333334,24.14,0,Seco,Seco,La Paz,False,True
VIA-00102,ORD-2026-01213,CAM-07,PROD-002,2026-08-15 16:02:00,2026-08-16 03:32:00,24,24,20.114166666666666,23.76,0,Seco,Seco,La Paz,False,True
VIA-00103,ORD-2026-03162,CAM-28,PROD-008,2026-08-18 13:03:00,2026-08-19 00:33:00,24,24,-16.41,-9.38,5,Congelado,Refrigerado,La Paz,True,True
VIA-00104,ORD-2026-01190,CAM-08,PROD-053,2026-08-30 01:28:00,2026-08-30 12:58:00,24,24,4.289583333333334,6.55,1,Fresco,Refrigerado,Santa Cruz,True,True
VIA-00105,ORD-2026-04359,CAM-01,PROD-034,2026-08-05 13:43:00,2026-08-06 01:13:00,24,24,3.827083333333333,6.29,1,Fresco,Refrigerado,Cochabamba,True,True
VIA-00106,ORD-2026-00879,CAM-16,PROD-018,2026-08-27 16:17:00,2026-08-28 03:47:00,24,0,,,0,Seco,Seco,Oruro,False,False
VIA-00107,ORD-2026-06376,CAM-08,PROD-025,2026-08-19 14:05:00,2026-08-20 01:35:00,24,24,-17.995416666666667,-16.24,0,Congelado,Refrigerado,Santa Cruz,False,True
VIA-00108,ORD-2026-04673,CAM-08,PROD-049,2026-08-30 23:41:00,2026-08-31 11:11:00,24,0,,,0,Fresco,Refrigerado,Santa Cruz,False,False
VIA-00109,ORD-2026-06621,CAM-18,PROD-005,2026-08-08 18:28:00,2026-08-09 05:58:00,24,24,20.16175925925926,23.21,0,Seco,Seco,Santa Cruz,False,True
VIA-00110,ORD-2026-03079,CAM-28,PROD-015,2026-08-15 04:14:00,2026-08-15 15:44:00,24,24,4.095416666666667,5.72,0,Fresco,Refrigerado,La Paz,False,True
VIA-00111,ORD-2026-06314,CAM-10,PROD-008,2026-08-10 14:31:00,2026-08-11 02:01:00,24,24,-17.91875,-16.49,0,Congelado,Refrigerado,La Paz,False,True
VIA-00112,ORD-2026-04045,CAM-25,PROD-056,2026-08-01 09:35:00,2026-08-01 21:05:00,24,24,5.3308333333333335,12.1,5,Fresco,Refrigerado,Cochabamba,True,True
VIA-00113,ORD-2026-01339,CAM-20,PROD-036,2026-08-25 03:06:00,2026-08-25 14:36:00,24,0,,,0,Fresco,Refrigerado,Oruro,False,False
VIA-00114,ORD-2026-05224,CAM-08,PROD-001,2026-08-21 00:50:00,2026-08-21 12:20:00,24,24,4.209583333333334,5.89,0,Fresco,Refrigerado,Santa Cruz,False,True
VIA-00115,ORD-2026-01736,CAM-10,PROD-003,2026-08-12 12:44:00,2026-08-13 00:14:00,24,24,20.365,24.33,0,Seco,Refrigerado,La Paz,False,True
VIA-00116,ORD-2026-06106,CAM-03,PROD-019,2026-08-22 15:22:00,2026-08-23 02:52:00,24,24,20.289583333333333,24.0,0,Seco,Seco,Oruro,False,True
VIA-00117,ORD-2026-00035,CAM-26,PROD-036,2026-08-04 02:19:00,2026-08-04 13:49:00,24,0,,,0,Fresco,Refrigerado,Tarija,False,False
VIA-00118,ORD-2026-02737,CAM-23,PROD-014,2026-08-18 06:04:00,2026-08-18 17:34:00,24,24,19.92657407407407,23.78,0,Seco,Seco,Santa Cruz,False,True
VIA-00119,ORD-2026-02312,CAM-26,PROD-053,2026-08-23 01:30:00,2026-08-23 13:00:00,24,24,4.001666666666666,5.66,0,Fresco,Refrigerado,Tarija,False,True
VIA-00120,ORD-2026-05757,CAM-22,PROD-011,2026-08-26 02:41:00,2026-08-26 14:11:00,24,24,-17.80125,-16.96,0,Congelado,Refrigerado,Cochabamba,False,True
VIA-00121,ORD-2026-06281,CAM-27,PROD-015,2026-08-05 10:06:00,2026-08-05 21:36:00,24,24,4.1325,5.79,0,Fresco,Refrigerado,Cochabamba,False,True
VIA-00122,ORD-2026-04337,CAM-04,PROD-039,2026-08-23 11:16:00,2026-08-23 22:46:00,23,23,20.017391304347825,22.97,0,Seco,Seco,La Paz,False,True
VIA-00123,ORD-2026-03892,CAM-10,PROD-054,2026-08-03 20:47:00,2026-08-04 08:17:00,24,24,-18.18166666666667,-17.0,0,Congelado,Refrigerado,La Paz,False,True
VIA-00124,ORD-2026-03143,CAM-18,PROD-029,2026-08-19 10:56:00,2026-08-19 22:26:00,23,23,20.08608695652174,23.12,0,Seco,Seco,Santa Cruz,False,True
VIA-00125,ORD-2026-07330,CAM-19,PROD-010,2026-08-22 21:53:00,2026-08-23 09:23:00,24,23,20.020869565217392,24.26,0,Seco,Refrigerado,Tarija,False,True
VIA-00126,ORD-2026-00648,CAM-20,PROD-036,2026-08-10 03:46:00,2026-08-10 15:16:00,24,0,,,0,Fresco,Refrigerado,Oruro,False,False
VIA-00127,ORD-2026-03218,CAM-04,PROD-003,2026-08-12 01:43:00,2026-08-12 13:13:00,24,24,19.995833333333334,22.03,0,Seco,Seco,La Paz,False,True
VIA-00128,ORD-2026-02317,CAM-06,PROD-019,2026-08-20 10:33:00,2026-08-20 22:03:00,24,23,21.035217391304347,24.4,0,Seco,Seco,Cochabamba,False,True
VIA-00129,ORD-2026-02055,CAM-29,PROD-039,2026-08-20 19:28:00,2026-08-21 06:58:00,24,24,20.441666666666666,23.27,0,Seco,Seco,Santa Cruz,False,True
VIA-00130,ORD-2026-06615,CAM-10,PROD-010,2026-08-18 12:16:00,2026-08-18 23:46:00,24,24,19.722916666666666,21.94,0,Seco,Refrigerado,La Paz,False,True
VIA-00131,ORD-2026-00304,CAM-02,PROD-058,2026-08-17 13:18:00,2026-08-18 00:48:00,24,24,-17.909583333333334,-16.62,0,Congelado,Refrigerado,Cochabamba,False,True
VIA-00132,ORD-2026-01329,CAM-24,PROD-060,2026-08-26 12:15:00,2026-08-26 23:45:00,24,24,-18.310833333333335,-16.85,0,Congelado,Refrigerado,Oruro,False,True
VIA-00133,ORD-2026-02602,CAM-01,PROD-011,2026-08-27 22:01:00,2026-08-28 09:31:00,24,24,-17.875,-16.18,0,Congelado,Refrigerado,Cochabamba,False,True
VIA-00134,ORD-2026-00288,CAM-04,PROD-030,2026-08-06 12:08:00,2026-08-06 23:38:00,24,24,20.552916666666665,23.74,0,Seco,Seco,La Paz,False,True
VIA-00135,ORD-2026-02724,CAM-12,PROD-010,2026-08-04 08:56:00,2026-08-04 20:26:00,24,24,20.315,23.86,0,Seco,Seco,La Paz,False,True
VIA-00136,ORD-2026-03524,CAM-05,PROD-052,2026-08-15 16:45:00,2026-08-16 04:15:00,24,24,5.07,11.14,5,Fresco,Seco,Cochabamba,True,True
VIA-00137,ORD-2026-06375,CAM-08,PROD-054,2026-08-29 13:29:00,2026-08-30 00:59:00,24,23,-17.95695652173913,-16.79,0,Congelado,Refrigerado,Santa Cruz,False,True
VIA-00138,ORD-2026-05332,CAM-25,PROD-060,2026-08-28 12:27:00,2026-08-28 23:57:00,23,22,-17.632727272727273,-15.97,1,Congelado,Refrigerado,Cochabamba,True,True
VIA-00139,ORD-2026-02761,CAM-23,PROD-002,2026-08-09 06:20:00,2026-08-09 17:50:00,24,24,19.936666666666667,22.23,0,Seco,Seco,Santa Cruz,False,True
VIA-00140,ORD-2026-03911,CAM-15,PROD-027,2026-08-15 20:23:00,2026-08-16 07:53:00,23,23,3.962173913043478,5.08,0,Fresco,Refrigerado,La Paz,False,True
VIA-00141,ORD-2026-04098,CAM-17,PROD-006,2026-08-09 19:10:00,2026-08-10 06:40:00,24,24,21.426666666666666,29.18,4,Seco,Seco,Cochabamba,True,True
VIA-00142,ORD-2026-04235,CAM-06,PROD-017,2026-08-15 18:56:00,2026-08-16 06:26:00,24,24,20.032083333333333,24.12,0,Seco,Seco,Cochabamba,False,True
VIA-00143,ORD-2026-01542,CAM-19,PROD-047,2026-08-11 05:01:00,2026-08-11 16:31:00,24,23,4.026859903381642,5.15,0,Fresco,Refrigerado,Tarija,False,True
VIA-00144,ORD-2026-05021,CAM-19,PROD-026,2026-08-02 17:20:00,2026-08-03 04:50:00,24,0,,,0,Fresco,Refrigerado,Tarija,False,False
VIA-00145,ORD-2026-05825,CAM-10,PROD-058,2026-08-29 17:24:00,2026-08-30 04:54:00,24,24,-18.05666666666667,-16.55,0,Congelado,Refrigerado,La Paz,False,True
VIA-00146,ORD-2026-03574,CAM-01,PROD-027,2026-08-03 03:40:00,2026-08-03 15:10:00,24,24,5.049166666666667,9.98,5,Fresco,Refrigerado,Cochabamba,True,True
VIA-00147,ORD-2026-01449,CAM-18,PROD-051,2026-08-19 06:23:00,2026-08-19 17:53:00,24,24,-16.618750000000002,-9.98,6,Congelado,Seco,Santa Cruz,True,True
VIA-00148,ORD-2026-03475,CAM-01,PROD-054,2026-08-30 22:08:00,2026-08-31 09:38:00,24,24,-17.889583333333334,-15.74,1,Congelado,Refrigerado,Cochabamba,True,True
