fila_bronze,order_id,fila_canonica,decision,regla_id,justificacion
7537,ORD-2026-02597,2597,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7522,ORD-2026-02799,2799,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7513,ORD-2026-02996,2996,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7532,ORD-2026-03160,3160,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7507,ORD-2026-03394,3394,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7524,ORD-2026-03487,3487,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7504,ORD-2026-03573,3573,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7528,ORD-2026-03584,3584,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7545,ORD-2026-03955,3955,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7549,ORD-2026-04209,4209,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7535,ORD-2026-04279,4279,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7503,ORD-2026-04429,4429,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7530,ORD-2026-04440,4440,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7527,ORD-2026-04468,4468,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7546,ORD-2026-04759,4759,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7510,ORD-2026-04855,4855,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7544,ORD-2026-04965,4965,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7517,ORD-2026-05397,5397,PENDIENTE,DUPLICADO_CONFLICTIVO,Las filas no son idénticas o la regla aplicable no está aprobada
7515,ORD-2026-05440,5440,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7523,ORD-2026-05945,5945,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7550,ORD-2026-05949,5949,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7521,ORD-2026-06102,6102,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7525,ORD-2026-06587,6587,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7509,ORD-2026-06785,6785,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7502,ORD-2026-06883,6883,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7542,ORD-2026-06953,6953,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7529,ORD-2026-06978,6978,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7538,ORD-2026-07407,7407,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
