fila_bronze,columna_afectada,codigo_error,valor_original,version_diagnostico,regla_id,estado_accion,valor_preparado,justificacion,version_tratamiento
1539,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1584,order_id,FORMATO_INVALIDO, ord-2026-01584 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-01584 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1654,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1680,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1702,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1724,fecha_despacho,FECHA_INVALIDA,17/08/2026 20:37,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,17/08/2026 20:37,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1791,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1804,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1814,producto_id,FORMATO_INVALIDO, prod-040 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, prod-040 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1827,order_id,FORMATO_INVALIDO, ord-2026-01827 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-01827 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1844,producto_id,FORMATO_INVALIDO, prod-016 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, prod-016 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1866,order_id,FORMATO_INVALIDO, ord-2026-01866 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-01866 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1886,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1907,cantidad_solicitada,NO_NUMERICA,cincuenta,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,cincuenta,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1922,fecha_despacho,FECHA_INVALIDA,15/08/2026 03:24,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,15/08/2026 03:24,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1924,order_id,FORMATO_INVALIDO, ord-2026-01924 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-01924 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1966,cantidad_solicitada,NO_NUMERICA,cincuenta,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,cincuenta,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2054,order_id,FORMATO_INVALIDO, ord-2026-02054 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-02054 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2061,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2072,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2078,producto_id,FORMATO_INVALIDO, prod-038 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, prod-038 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2122,order_id,FORMATO_INVALIDO, ord-2026-02122 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-02122 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2134,order_id,FORMATO_INVALIDO, ord-2026-02134 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-02134 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2154,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2202,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2266,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2278,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2326,order_id,FORMATO_INVALIDO, ord-2026-02326 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-02326 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2327,tiempo_entrega_real_hrs,NEGATIVO,-62.1,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,-62.1,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2351,tiempo_entrega_real_hrs,NEGATIVO,-34.3,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,-34.3,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2356,fecha_despacho,FECHA_INVALIDA,11/08/2026 20:57,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,11/08/2026 20:57,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2403,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2432,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2438,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2443,order_id,FORMATO_INVALIDO, ord-2026-02443 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-02443 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2446,tiempo_entrega_real_hrs,NEGATIVO,-19.0,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,-19.0,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2456,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2490,fecha_despacho,FECHA_INVALIDA,05/08/2026 03:57,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,05/08/2026 03:57,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2503,cliente_id,FORMATO_INVALIDO, cli-034 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, cli-034 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2511,order_id,FORMATO_INVALIDO, ord-2026-02511 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-02511 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2547,order_id,FORMATO_INVALIDO, ord-2026-02547 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-02547 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2548,cliente_id,FORMATO_INVALIDO, cli-075 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, cli-075 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2578,cliente_id,FORMATO_INVALIDO, cli-023 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, cli-023 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2584,order_id,FORMATO_INVALIDO, ord-2026-02584 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-02584 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2606,order_id,FORMATO_INVALIDO, ord-2026-02606 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-02606 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2623,order_id,FORMATO_INVALIDO, ord-2026-02623 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-02623 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2631,order_id,FORMATO_INVALIDO, ord-2026-02631 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-02631 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2641,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2683,order_id,FORMATO_INVALIDO, ord-2026-02683 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-02683 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2739,order_id,FORMATO_INVALIDO, ord-2026-02739 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-02739 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2784,fecha_despacho,FECHA_INVALIDA,2026-02-31 08:00:00,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,2026-02-31 08:00:00,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2838,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
2954,tiempo_entrega_real_hrs,NEGATIVO,-21.1,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,-21.1,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3015,fecha_despacho,FECHA_INVALIDA,24/08/2026 13:09,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,24/08/2026 13:09,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3082,fecha_despacho,FECHA_INVALIDA,2026-02-31 08:00:00,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,2026-02-31 08:00:00,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3083,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3124,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3141,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3176,order_id,FORMATO_INVALIDO, ord-2026-03176 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-03176 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3188,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3194,order_id,FORMATO_INVALIDO, ord-2026-03194 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-03194 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3228,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3242,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3247,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3265,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3324,order_id,FORMATO_INVALIDO, ord-2026-03324 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-03324 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3385,producto_id,FORMATO_INVALIDO, prod-056 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, prod-056 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3498,cantidad_solicitada,NO_NUMERICA,cincuenta,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,cincuenta,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3544,producto_id,FORMATO_INVALIDO, prod-023 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, prod-023 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3565,cliente_id,FORMATO_INVALIDO, cli-009 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, cli-009 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3679,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3781,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3781,cantidad_solicitada,NO_NUMERICA,cincuenta,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,cincuenta,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3791,order_id,FORMATO_INVALIDO, ord-2026-03791 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-03791 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3809,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
3844,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
