fila_bronze,order_id,cliente_id,producto_id,fecha_despacho,centro_distribucion,camion_id,chofer_id,cantidad_solicitada,cantidad_entregada,tiempo_entrega_prometido_hrs,tiempo_entrega_real_hrs,otif_on_time,otif_in_full,otif,order_id_en_cuarentena,order_id_motivo,cliente_id_en_cuarentena,cliente_id_motivo,producto_id_en_cuarentena,producto_id_motivo,fecha_despacho_en_cuarentena,fecha_despacho_motivo,centro_distribucion_en_cuarentena,centro_distribucion_motivo,camion_id_en_cuarentena,camion_id_motivo,chofer_id_en_cuarentena,chofer_id_motivo,cantidad_solicitada_en_cuarentena,cantidad_solicitada_motivo,cantidad_entregada_en_cuarentena,cantidad_entregada_motivo,tiempo_entrega_prometido_hrs_en_cuarentena,tiempo_entrega_prometido_hrs_motivo,tiempo_entrega_real_hrs_en_cuarentena,tiempo_entrega_real_hrs_motivo,otif_on_time_en_cuarentena,otif_on_time_motivo,otif_in_full_en_cuarentena,otif_in_full_motivo,otif_en_cuarentena,otif_motivo,en_cuarentena_diagnostico,acciones_tratamiento,motivos_tratamiento,order_id_tratado,cliente_id_tratado,producto_id_tratado,camion_id_tratado,chofer_id_tratado,centro_distribucion_tratado,fecha_despacho_bolivia_tratada,fecha_normalizada,cantidad_solicitada_corregida_texto,cantidad_solicitada_tratado,cantidad_entregada_tratado,tiempo_entrega_prometido_hrs_tratado,tiempo_entrega_real_hrs_tratado,otif_on_time_tratado,otif_in_full_tratado,otif_tratado,cantidad_entregada_ausente,motivo_cuarentena_final,apta_kpi_otif,apta_modelo_predespacho,en_cuarentena_final,decision_tratamiento
2351,ORD-2026-02351,CLI-013,PROD-024,2026-08-16 20:51:00,Cochabamba,CAM-30,CHO-081,483,483.0,24,-18.3,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True,,,ORD-2026-02351,CLI-013,PROD-024,CAM-30,CHO-081,Cochabamba,2026-08-16 20:51:00,False,False,483,483.0,24,-18.3,1,1,1,False,Tiempo real inválido,False,False,True,CUARENTENA
2446,ORD-2026-02446,CLI-093,PROD-048,2026-08-06 16:04:00,Oruro,CAM-20,CHO-038,278,278.0,48,-54.9,0,1,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True,,,ORD-2026-02446,CLI-093,PROD-048,CAM-20,CHO-038,Oruro,2026-08-06 16:04:00,False,False,278,278.0,48,-54.9,0,1,0,False,Tiempo real inválido,False,False,True,CUARENTENA
2784,ORD-2026-02784,CLI-025,PROD-012,2026-02-31 08:00:00,Tarija,CAM-19,CHO-010,73,73.0,48,36.8,1,1,1,False,,False,,False,,True,Fecha imposible o formato no reconocido,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,,ORD-2026-02784,CLI-025,PROD-012,CAM-19,CHO-010,Tarija,,False,False,73,73.0,48,36.8,1,1,1,False,Fecha de despacho imposible,False,False,True,CUARENTENA
2954,ORD-2026-02954,CLI-002,PROD-004,2026-08-16 01:35:00,Cochabamba,CAM-02,CHO-070,279,279.0,48,-41.9,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True,,,ORD-2026-02954,CLI-002,PROD-004,CAM-02,CHO-070,Cochabamba,2026-08-16 01:35:00,False,False,279,279.0,48,-41.9,1,1,1,False,Tiempo real inválido,False,False,True,CUARENTENA
3082,ORD-2026-03082,CLI-088,PROD-014,2026-02-31 08:00:00,Santa Cruz,CAM-08,CHO-132,351,351.0,24,21.4,1,1,1,False,,False,,False,,True,Fecha imposible o formato no reconocido,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,,ORD-2026-03082,CLI-088,PROD-014,CAM-08,CHO-132,Santa Cruz,,False,False,351,351.0,24,21.4,1,1,1,False,Fecha de despacho imposible,False,False,True,CUARENTENA
3498,ORD-2026-03498,CLI-099,PROD-006,2026-08-10 05:29:00,La Paz,CAM-04,CHO-023,cincuenta,138.0,72,74.0,0,1,0,False,,False,,False,,False,,False,,False,,False,,True,Valor no numérico,False,,False,,False,,False,,False,,False,,True,CONVERTIR_CANTIDAD_SOLICITADA_TEXTO,Conversión determinista de cincuenta a 50 unidades,ORD-2026-03498,CLI-099,PROD-006,CAM-04,CHO-023,La Paz,2026-08-10 05:29:00,False,True,50,138.0,72,74.0,0,1,0,False,Cantidad entregada inválida,False,False,True,CUARENTENA
4343,ORD-2026-04343,CLI-081,PROD-045,2026-08-01 22:31:00,La Paz,CAM-10,CHO-018,cincuenta,299.0,72,69.9,1,0,0,False,,False,,False,,False,,False,,False,,False,,True,Valor no numérico,False,,False,,False,,False,,False,,False,,True,CONVERTIR_CANTIDAD_SOLICITADA_TEXTO,Conversión determinista de cincuenta a 50 unidades,ORD-2026-04343,CLI-081,PROD-045,CAM-10,CHO-018,La Paz,2026-08-01 22:31:00,False,True,50,299.0,72,69.9,1,0,0,False,Cantidad entregada inválida,False,False,True,CUARENTENA
4539,ORD-2026-04539,CLI-015,PROD-048,2026-08-30 14:29:00,Cochabamba,CAM-17,CHO-096,cincuenta,70.0,24,19.6,1,1,1,False,,False,,False,,False,,False,,False,,False,,True,Valor no numérico,False,,False,,False,,False,,False,,False,,True,CONVERTIR_CANTIDAD_SOLICITADA_TEXTO,Conversión determinista de cincuenta a 50 unidades,ORD-2026-04539,CLI-015,PROD-048,CAM-17,CHO-096,Cochabamba,2026-08-30 14:29:00,False,True,50,70.0,24,19.6,1,1,1,False,Cantidad entregada inválida,False,False,True,CUARENTENA
4784,ORD-2026-04784,CLI-065,PROD-023,2026-08-13 07:58:00,Oruro,CAM-24,CHO-095,173,173.0,24,-25.1,0,1,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True,,,ORD-2026-04784,CLI-065,PROD-023,CAM-24,CHO-095,Oruro,2026-08-13 07:58:00,False,False,173,173.0,24,-25.1,0,1,0,False,Tiempo real inválido,False,False,True,CUARENTENA
4885,ORD-2026-04885,CLI-082,PROD-050,2026-08-26 08:22:00,La Paz,CAM-04,CHO-056,cincuenta,231.0,24,22.0,1,1,1,False,,False,,False,,False,,False,,False,,False,,True,Valor no numérico,False,,False,,False,,False,,False,,False,,True,CONVERTIR_CANTIDAD_SOLICITADA_TEXTO,Conversión determinista de cincuenta a 50 unidades,ORD-2026-04885,CLI-082,PROD-050,CAM-04,CHO-056,La Paz,2026-08-26 08:22:00,False,True,50,231.0,24,22.0,1,1,1,False,Cantidad entregada inválida,False,False,True,CUARENTENA
4967,ORD-2026-04967,CLI-087,PROD-052,2026-08-28 06:09:00,Tarija,CAM-21,CHO-068,cincuenta,71.0,48,39.3,1,1,1,False,,False,,False,,False,,False,,False,,False,,True,Valor no numérico,False,,False,,False,,False,,False,,False,,True,CONVERTIR_CANTIDAD_SOLICITADA_TEXTO,Conversión determinista de cincuenta a 50 unidades,ORD-2026-04967,CLI-087,PROD-052,CAM-21,CHO-068,Tarija,2026-08-28 06:09:00,False,True,50,71.0,48,39.3,1,1,1,False,Cantidad entregada inválida,False,False,True,CUARENTENA
5120,ORD-2026-05120,CLI-069,PROD-028,2026-02-31 08:00:00,La Paz,CAM-10,CHO-001,222,222.0,72,67.7,1,1,1,False,,False,,False,,True,Fecha imposible o formato no reconocido,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,,ORD-2026-05120,CLI-069,PROD-028,CAM-10,CHO-001,La Paz,,False,False,222,222.0,72,67.7,1,1,1,False,Fecha de despacho imposible,False,False,True,CUARENTENA
5177,ORD-2026-05177,CLI-091,PROD-045,2026-08-14 22:56:00,Oruro,CAM-24,CHO-066,cincuenta,223.0,72,60.2,1,1,1,False,,False,,False,,False,,False,,False,,False,,True,Valor no numérico,False,,False,,False,,False,,False,,False,,True,CONVERTIR_CANTIDAD_SOLICITADA_TEXTO,Conversión determinista de cincuenta a 50 unidades,ORD-2026-05177,CLI-091,PROD-045,CAM-24,CHO-066,Oruro,2026-08-14 22:56:00,False,True,50,223.0,72,60.2,1,1,1,False,Cantidad entregada inválida,False,False,True,CUARENTENA
5437,ORD-2026-05437,CLI-064,PROD-056,2026-08-24 04:08:00,Oruro,CAM-20,CHO-046,113,113.0,72,-59.1,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True,,,ORD-2026-05437,CLI-064,PROD-056,CAM-20,CHO-046,Oruro,2026-08-24 04:08:00,False,False,113,113.0,72,-59.1,1,1,1,False,Tiempo real inválido,False,False,True,CUARENTENA
5893,ORD-2026-05893,CLI-089,PROD-021,2026-08-30 17:36:00,Cochabamba,CAM-02,CHO-131,381,381.0,24,-27.1,0,1,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True,,,ORD-2026-05893,CLI-089,PROD-021,CAM-02,CHO-131,Cochabamba,2026-08-30 17:36:00,False,False,381,381.0,24,-27.1,0,1,0,False,Tiempo real inválido,False,False,True,CUARENTENA
6149,ORD-2026-06149,CLI-086,PROD-044,2026-08-29 17:27:00,Cochabamba,CAM-01,CHO-016,cincuenta,342.0,24,17.4,1,1,1,False,,False,,False,,False,,False,,False,,False,,True,Valor no numérico,False,,False,,False,,False,,False,,False,,True,CONVERTIR_CANTIDAD_SOLICITADA_TEXTO,Conversión determinista de cincuenta a 50 unidades,ORD-2026-06149,CLI-086,PROD-044,CAM-01,CHO-016,Cochabamba,2026-08-29 17:27:00,False,True,50,342.0,24,17.4,1,1,1,False,Cantidad entregada inválida,False,False,True,CUARENTENA
6368,ORD-2026-06368,CLI-077,PROD-015,2026-08-02 21:55:00,La Paz,CAM-10,CHO-001,142,142.0,24,-21.2,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True,,,ORD-2026-06368,CLI-077,PROD-015,CAM-10,CHO-001,La Paz,2026-08-02 21:55:00,False,False,142,142.0,24,-21.2,1,1,1,False,Tiempo real inválido,False,False,True,CUARENTENA
6530,ORD-2026-06530,CLI-093,PROD-028,2026-08-18 21:53:00,La Paz,CAM-15,CHO-073,cincuenta,405.0,48,48.2,0,1,0,False,,False,,False,,False,,False,,False,,False,,True,Valor no numérico,False,,False,,False,,False,,False,,False,,True,CONVERTIR_CANTIDAD_SOLICITADA_TEXTO,Conversión determinista de cincuenta a 50 unidades,ORD-2026-06530,CLI-093,PROD-028,CAM-15,CHO-073,La Paz,2026-08-18 21:53:00,False,True,50,405.0,48,48.2,0,1,0,False,Cantidad entregada inválida,False,False,True,CUARENTENA
7015,ORD-2026-07015,CLI-036,PROD-040,2026-08-28 09:07:00,Oruro,CAM-16,CHO-038,cincuenta,58.0,24,24.7,0,1,0,False,,False,,False,,False,,False,,False,,False,,True,Valor no numérico,False,,False,,False,,False,,False,,False,,True,CONVERTIR_CANTIDAD_SOLICITADA_TEXTO,Conversión determinista de cincuenta a 50 unidades,ORD-2026-07015,CLI-036,PROD-040,CAM-16,CHO-038,Oruro,2026-08-28 09:07:00,False,True,50,58.0,24,24.7,0,1,0,False,Cantidad entregada inválida,False,False,True,CUARENTENA
7200,ORD-2026-07200,CLI-050,PROD-004,2026-08-16 20:11:00,Cochabamba,CAM-27,CHO-007,73,57.0,48,-52.9,0,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True,,,ORD-2026-07200,CLI-050,PROD-004,CAM-27,CHO-007,Cochabamba,2026-08-16 20:11:00,False,False,73,57.0,48,-52.9,0,0,0,False,Tiempo real inválido,False,False,True,CUARENTENA
7324,ORD-2026-07324,CLI-042,PROD-036,2026-02-31 08:00:00,Oruro,CAM-24,CHO-066,465,465.0,72,52.3,1,1,1,False,,False,,False,,True,Fecha imposible o formato no reconocido,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,,ORD-2026-07324,CLI-042,PROD-036,CAM-24,CHO-066,Oruro,,False,False,465,465.0,72,52.3,1,1,1,False,Fecha de despacho imposible,False,False,True,CUARENTENA
7490,ORD-2026-07490,CLI-006,PROD-019,2026-08-06 14:57:00,Santa Cruz,CAM-29,CHO-093,101,101.0,72,-58.3,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True,,,ORD-2026-07490,CLI-006,PROD-019,CAM-29,CHO-093,Santa Cruz,2026-08-06 14:57:00,False,False,101,101.0,72,-58.3,1,1,1,False,Tiempo real inválido,False,False,True,CUARENTENA
7501,ORD-2026-00866,CLI-086,PROD-005,2026-08-30 17:04:00,Cochabamba,CAM-05,CHO-077,164,164.0,72,74.2,0,1,0,True,Copia exacta posterior,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,,ORD-2026-00866,CLI-086,PROD-005,CAM-05,CHO-077,Cochabamba,2026-08-30 17:04:00,False,False,164,164.0,72,74.2,0,1,0,False,Copia exacta posterior,False,False,True,CUARENTENA
7502,ORD-2026-06883,CLI-062,PROD-060,2026-08-03 05:37:00,Cochabamba,CAM-22,CHO-044,221,221.0,48,41.3,1,1,1,True,Copia exacta posterior,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,,ORD-2026-06883,CLI-062,PROD-060,CAM-22,CHO-044,Cochabamba,2026-08-03 05:37:00,False,False,221,221.0,48,41.3,1,1,1,False,Copia exacta posterior,False,False,True,CUARENTENA
7503,ORD-2026-04429,CLI-075,PROD-027,2026-08-16 00:07:00,La Paz,CAM-28,CHO-147,59,59.0,72,44.0,1,1,1,True,Copia exacta posterior,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,,ORD-2026-04429,CLI-075,PROD-027,CAM-28,CHO-147,La Paz,2026-08-16 00:07:00,False,False,59,59.0,72,44.0,1,1,1,False,Copia exacta posterior,False,False,True,CUARENTENA
7504,ORD-2026-03573,CLI-090,PROD-013,2026-08-11 23:38:00,Tarija,CAM-19,CHO-014,305,305.0,24,22.2,1,1,1,True,Copia exacta posterior,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,,ORD-2026-03573,CLI-090,PROD-013,CAM-19,CHO-014,Tarija,2026-08-11 23:38:00,False,False,305,305.0,24,22.2,1,1,1,False,Copia exacta posterior,False,False,True,CUARENTENA
7505,ORD-2026-01161,CLI-072,PROD-053,2026-08-30 19:17:00,Tarija,CAM-26,CHO-025,338,319.0,72,57.3,1,0,0,True,Copia exacta posterior,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,,ORD-2026-01161,CLI-072,PROD-053,CAM-26,CHO-025,Tarija,2026-08-30 19:17:00,False,False,338,319.0,72,57.3,1,0,0,False,Copia exacta posterior,False,False,True,CUARENTENA
7506,ORD-2026-00505,CLI-048,PROD-043,2026-08-15 12:57:00,Cochabamba,CAM-02,CHO-120,137,137.0,48,37.4,1,1,1,True,Copia exacta posterior,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,,ORD-2026-00505,CLI-048,PROD-043,CAM-02,CHO-120,Cochabamba,2026-08-15 12:57:00,False,False,137,137.0,48,37.4,1,1,1,False,Copia exacta posterior,False,False,True,CUARENTENA
7507,ORD-2026-03394,CLI-041,PROD-034,2026-08-03 05:33:00,Tarija,CAM-26,CHO-067,343,343.0,72,42.6,1,1,1,True,Copia exacta posterior,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,,ORD-2026-03394,CLI-041,PROD-034,CAM-26,CHO-067,Tarija,2026-08-03 05:33:00,False,False,343,343.0,72,42.6,1,1,1,False,Copia exacta posterior,False,False,True,CUARENTENA
7508,ORD-2026-02354,CLI-030,PROD-044,2026-08-02 14:24:00,Cochabamba,CAM-25,CHO-148,165,165.0,48,30.0,1,1,1,True,Copia exacta posterior,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,,ORD-2026-02354,CLI-030,PROD-044,CAM-25,CHO-148,Cochabamba,2026-08-02 14:24:00,False,False,165,165.0,48,30.0,1,1,1,False,Copia exacta posterior,False,False,True,CUARENTENA
7509,ORD-2026-06785,CLI-003,PROD-028,2026-08-16 18:15:00,Santa Cruz,CAM-29,CHO-052,407,407.0,72,55.2,1,1,1,True,Copia exacta posterior,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,,ORD-2026-06785,CLI-003,PROD-028,CAM-29,CHO-052,Santa Cruz,2026-08-16 18:15:00,False,False,407,407.0,72,55.2,1,1,1,False,Copia exacta posterior,False,False,True,CUARENTENA
7510,ORD-2026-04855,CLI-020,PROD-036,2026-08-15 19:57:00,Tarija,CAM-19,CHO-010,87,87.0,72,59.0,1,1,1,True,Copia exacta posterior,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,,ORD-2026-04855,CLI-020,PROD-036,CAM-19,CHO-010,Tarija,2026-08-15 19:57:00,False,False,87,87.0,72,59.0,1,1,1,False,Copia exacta posterior,False,False,True,CUARENTENA
7511,ORD-2026-00959,CLI-024,PROD-023,2026-08-29 20:53:00,La Paz,CAM-10,CHO-013,166,166.0,72,65.4,1,1,1,True,Copia exacta posterior,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,,ORD-2026-00959,CLI-024,PROD-023,CAM-10,CHO-013,La Paz,2026-08-29 20:53:00,False,False,166,166.0,72,65.4,1,1,1,False,Copia exacta posterior,False,False,True,CUARENTENA
7512,ORD-2026-00634,CLI-055,PROD-044,2026-08-08 10:23:00,La Paz,CAM-10,CHO-147,121,121.0,72,88.3,0,1,0,True,Copia exacta posterior,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,,ORD-2026-00634,CLI-055,PROD-044,CAM-10,CHO-147,La Paz,2026-08-08 10:23:00,False,False,121,121.0,72,88.3,0,1,0,False,Copia exacta posterior,False,False,True,CUARENTENA
7513,ORD-2026-02996,CLI-030,PROD-049,2026-08-04 14:27:00,Oruro,CAM-24,CHO-095,87,87.0,72,67.9,1,1,1,True,Copia exacta posterior,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,,ORD-2026-02996,CLI-030,PROD-049,CAM-24,CHO-095,Oruro,2026-08-04 14:27:00,False,False,87,87.0,72,67.9,1,1,1,False,Copia exacta posterior,False,False,True,CUARENTENA
7514,ORD-2026-01428,CLI-094,PROD-009,2026-08-23 03:45:00,Oruro,CAM-20,CHO-095,42,42.0,24,16.1,1,1,1,True,Copia exacta posterior,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,,ORD-2026-01428,CLI-094,PROD-009,CAM-20,CHO-095,Oruro,2026-08-23 03:45:00,False,False,42,42.0,24,16.1,1,1,1,False,Copia exacta posterior,False,False,True,CUARENTENA
7515,ORD-2026-05440,CLI-040,PROD-031,2026-08-27 22:20:00,Santa Cruz,CAM-08,CHO-052,51,51.0,48,43.6,1,1,1,True,Copia exacta posterior,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,,ORD-2026-05440,CLI-040,PROD-031,CAM-08,CHO-052,Santa Cruz,2026-08-27 22:20:00,False,False,51,51.0,48,43.6,1,1,1,False,Copia exacta posterior,False,False,True,CUARENTENA
7516,ORD-2026-01466,CLI-048,PROD-060,2026-08-19 03:08:00,Cochabamba,CAM-01,CHO-087,99,99.0,48,32.2,1,1,1,True,Copia exacta posterior,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,,ORD-2026-01466,CLI-048,PROD-060,CAM-01,CHO-087,Cochabamba,2026-08-19 03:08:00,False,False,99,99.0,48,32.2,1,1,1,False,Copia exacta posterior,False,False,True,CUARENTENA
7517,ORD-2026-05397,CLI-090,PROD-016,2026-08-22 13:38:00,Tarija,CAM-19,CHO-074,70,66.0,72,49.9,1,0,0,True,Copia exacta posterior,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,,ORD-2026-05397,CLI-090,PROD-016,CAM-19,CHO-074,Tarija,2026-08-22 13:38:00,False,False,70,66.0,72,49.9,1,0,0,False,Copia exacta posterior,False,False,True,CUARENTENA
7518,ORD-2026-00963,CLI-031,PROD-002,2026-08-03 06:49:00,La Paz,CAM-15,CHO-054,305,305.0,48,30.7,1,1,1,True,Copia exacta posterior,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,,ORD-2026-00963,CLI-031,PROD-002,CAM-15,CHO-054,La Paz,2026-08-03 06:49:00,False,False,305,305.0,48,30.7,1,1,1,False,Copia exacta posterior,False,False,True,CUARENTENA
