fila_bronze,movimiento_id,lote_id,producto_id,centro_distribucion,fecha_ingreso,fecha_salida,fecha_vencimiento,cantidad_ingreso,cantidad_salida,cantidad_merma,dias_en_almacen,costo_unitario_bob,movimiento_id_en_cuarentena,movimiento_id_motivo,lote_id_en_cuarentena,lote_id_motivo,producto_id_en_cuarentena,producto_id_motivo,centro_distribucion_en_cuarentena,centro_distribucion_motivo,fecha_ingreso_en_cuarentena,fecha_ingreso_motivo,fecha_salida_en_cuarentena,fecha_salida_motivo,fecha_vencimiento_en_cuarentena,fecha_vencimiento_motivo,cantidad_ingreso_en_cuarentena,cantidad_ingreso_motivo,cantidad_salida_en_cuarentena,cantidad_salida_motivo,cantidad_merma_en_cuarentena,cantidad_merma_motivo,dias_en_almacen_en_cuarentena,dias_en_almacen_motivo,costo_unitario_bob_en_cuarentena,costo_unitario_bob_motivo,en_cuarentena_diagnostico,acciones_tratamiento,motivos_tratamiento,fecha_ingreso_tratada,fecha_salida_tratada,fecha_vencimiento_tratada,producto_id_tratado,cantidad_ingreso_tratada,cantidad_salida_tratada,cantidad_merma_tratada,dias_en_almacen_tratada,costo_unitario_bob_tratada,vida_util_producto_dias_usada,vencimiento_imputado,motivo_cuarentena_final,saldo_unidades_inventario,riesgo_salida_post_vencimiento,riesgo_basado_en_vencimiento_imputado,en_cuarentena_final,decision_tratamiento,apto_kpi_vencimiento_observado
37,MOV-000037,LOT-2026-00037,PROD-029,Tarija,2026-08-28,2026-09-19,2027-08-28,482,477,3,22,81.05,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-08-28,2026-09-19,2027-08-28,PROD-029,482,477,3,22,81.05,365.0,False,,2,False,False,False,SILVER,True
38,MOV-000038,LOT-2026-00038,PROD-052,Tarija,2026-06-30,2026-07-16,2026-07-18,884,850,28,16,41.48,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-06-30,2026-07-16,2026-07-18,PROD-052,884,850,28,16,41.48,18.0,False,,6,False,False,False,SILVER,True
39,MOV-000039,LOT-2026-00039,PROD-002,La Paz,2026-06-05,2026-06-29,2027-06-05,65,59,0,24,82.37,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-06-05,2026-06-29,2027-06-05,PROD-002,65,59,0,24,82.37,365.0,False,,6,False,False,False,SILVER,True
40,MOV-000040,LOT-2026-00040,PROD-019,Oruro,2026-05-21,2026-06-07,2027-05-21,331,323,3,17,62.3,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-05-21,2026-06-07,2027-05-21,PROD-019,331,323,3,17,62.3,365.0,False,,5,False,False,False,SILVER,True
41,MOV-000041,LOT-2026-00041,PROD-036,Cochabamba,2026-07-02,2026-07-30,2026-07-20,303,287,15,28,58.54,False,,False,,False,,False,,False,,False,Salida posterior al vencimiento (riesgo de negocio),False,,False,,False,,False,,False,,False,,False,,,2026-07-02,2026-07-30,2026-07-20,PROD-036,303,287,15,28,58.54,18.0,False,,1,True,False,False,SILVER,True
42,MOV-000042,LOT-2026-00042,PROD-029,La Paz,2026-08-14,2026-09-03,2027-08-14,503,496,3,20,81.05,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-08-14,2026-09-03,2027-08-14,PROD-029,503,496,3,20,81.05,365.0,False,,4,False,False,False,SILVER,True
43,MOV-000043,LOT-2026-00043,PROD-055,Santa Cruz,2026-06-08,2026-06-28,2027-06-08,57,53,0,20,69.47,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-06-08,2026-06-28,2027-06-08,PROD-055,57,53,0,20,69.47,365.0,False,,4,False,False,False,SILVER,True
44,MOV-000044,LOT-2026-00044,PROD-060,La Paz,2026-06-29,2026-07-19,2026-12-26,263,258,4,20,30.63,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-06-29,2026-07-19,2026-12-26,PROD-060,263,258,4,20,30.63,180.0,False,,1,False,False,False,SILVER,True
45,MOV-000045,LOT-2026-00045,PROD-015,Santa Cruz,2026-06-14,2026-07-04,2026-07-02,648,616,26,20,68.74,False,,False,,False,,False,,False,,False,Salida posterior al vencimiento (riesgo de negocio),False,,False,,False,,False,,False,,False,,False,,,2026-06-14,2026-07-04,2026-07-02,PROD-015,648,616,26,20,68.74,18.0,False,,6,True,False,False,SILVER,True
46,MOV-000046,LOT-2026-00046,PROD-044,Cochabamba,2026-08-24,2026-08-30,2026-09-11,728,706,20,6,38.35,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-08-24,2026-08-30,2026-09-11,PROD-044,728,706,20,6,38.35,18.0,False,,2,False,False,False,SILVER,True
47,MOV-000047,LOT-2026-00047,PROD-031,Tarija,2026-06-05,2026-06-16,2027-06-05,668,660,4,11,50.89,False,,False,,False,Sin correspondencia en Productos Silver de cobertura parcial,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-06-05,2026-06-16,2027-06-05,PROD-031,668,660,4,11,50.89,365.0,False,,4,False,False,False,SILVER,True
48,MOV-000048,LOT-2026-00048,PROD-013,Tarija,2026-07-09,2026-07-13,2026-07-27,290,275,8,4,46.59,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-07-09,2026-07-13,2026-07-27,PROD-013,290,275,8,4,46.59,18.0,False,,7,False,False,False,SILVER,True
49,MOV-000049,LOT-2026-00049,PROD-013,La Paz,2026-06-25,2026-07-06,2026-07-13,279,265,8,11,46.59,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-06-25,2026-07-06,2026-07-13,PROD-013,279,265,8,11,46.59,18.0,False,,6,False,False,False,SILVER,True
50,MOV-000050,LOT-2026-00050,PROD-048,La Paz,2026-08-25,2026-09-22,2027-08-25,734,727,5,28,49.21,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-08-25,2026-09-22,2027-08-25,PROD-048,734,727,5,28,49.21,365.0,False,,2,False,False,False,SILVER,True
51,MOV-000051,LOT-2026-00051,PROD-025,Santa Cruz,2026-06-10,2026-06-12,2026-12-07,784,769,12,2,54.32,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-06-10,2026-06-12,2026-12-07,PROD-025,784,769,12,2,54.32,180.0,False,,3,False,False,False,SILVER,True
52,MOV-000052,LOT-2026-00052,PROD-011,Santa Cruz,2026-07-25,2026-07-28,2027-01-21,310,302,4,3,32.86,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-07-25,2026-07-28,2027-01-21,PROD-011,310,302,4,3,32.86,180.0,False,,4,False,False,False,SILVER,True
53,MOV-000053,LOT-2026-00053,PROD-020,Santa Cruz,2026-06-29,2026-07-24,2027-06-29,442,433,2,25,59.96,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-06-29,2026-07-24,2027-06-29,PROD-020,442,433,2,25,59.96,365.0,False,,7,False,False,False,SILVER,True
54,MOV-000054,LOT-2026-00054,PROD-002,Cochabamba,2026-05-30,2026-06-09,2027-05-30,510,501,4,10,82.37,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-05-30,2026-06-09,2027-05-30,PROD-002,510,501,4,10,82.37,365.0,False,,5,False,False,False,SILVER,True
55,MOV-000055,LOT-2026-00055,PROD-015,Santa Cruz,2026-07-22,2026-07-27,2026-08-09,610,589,16,5,68.74,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-07-22,2026-07-27,2026-08-09,PROD-015,610,589,16,5,68.74,18.0,False,,5,False,False,False,SILVER,True
56,MOV-000056,LOT-2026-00056,PROD-020,Santa Cruz,2026-06-26,2026-07-17,2027-06-26,715,711,4,21,59.96,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-06-26,2026-07-17,2027-06-26,PROD-020,715,711,4,21,59.96,365.0,False,,0,False,False,False,SILVER,True
57,MOV-000057,LOT-2026-00057,PROD-057,Tarija,2026-05-01,2026-05-15,2027-05-01,676,667,5,14,16.73,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-05-01,2026-05-15,2027-05-01,PROD-057,676,667,5,14,16.73,365.0,False,,4,False,False,False,SILVER,True
58,MOV-000058,LOT-2026-00058,PROD-059,Tarija,2026-07-31,2026-08-12,2027-07-31,578,571,5,12,49.31,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-07-31,2026-08-12,2027-07-31,PROD-059,578,571,5,12,49.31,365.0,False,,2,False,False,False,SILVER,True
59,MOV-000059,LOT-2026-00059,PROD-004,Oruro,2026-07-22,2026-07-25,2026-08-09,137,126,4,3,16.27,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-07-22,2026-07-25,2026-08-09,PROD-004,137,126,4,3,16.27,18.0,False,,7,False,False,False,SILVER,True
60,MOV-000060,LOT-2026-00060,PROD-028,Cochabamba,2026-05-30,2026-06-12,2027-05-30,676,667,5,13,27.13,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-05-30,2026-06-12,2027-05-30,PROD-028,676,667,5,13,27.13,365.0,False,,4,False,False,False,SILVER,True
61,MOV-000061,LOT-2026-00061,PROD-043,Santa Cruz,2026-05-10,2026-05-17,2026-11-06,57,51,1,7,16.46,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-05-10,2026-05-17,2026-11-06,PROD-043,57,51,1,7,16.46,180.0,False,,5,False,False,False,SILVER,True
62,MOV-000062,LOT-2026-00062,PROD-008,Oruro,2026-06-21,2026-07-12,2026-12-18,498,486,7,21,79.52,False,,False,,False,Sin correspondencia en Productos Silver de cobertura parcial,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-06-21,2026-07-12,2026-12-18,PROD-008,498,486,7,21,79.52,180.0,False,,5,False,False,False,SILVER,True
63,MOV-000063,LOT-2026-00063,PROD-008,La Paz,2026-07-28,2026-08-14,2027-01-24,670,659,8,17,79.52,False,,False,,False,Sin correspondencia en Productos Silver de cobertura parcial,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-07-28,2026-08-14,2027-01-24,PROD-008,670,659,8,17,79.52,180.0,False,,3,False,False,False,SILVER,True
64,MOV-000064,LOT-2026-00064,PROD-058,Cochabamba,2026-07-18,2026-08-01,2027-01-14,371,364,6,14,82.19,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-07-18,2026-08-01,2027-01-14,PROD-058,371,364,6,14,82.19,180.0,False,,1,False,False,False,SILVER,True
65,MOV-000065,LOT-2026-00065,PROD-058,Oruro,2026-05-18,2026-05-30,2026-11-14,368,355,6,12,82.19,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-05-18,2026-05-30,2026-11-14,PROD-058,368,355,6,12,82.19,180.0,False,,7,False,False,False,SILVER,True
66,MOV-000066,LOT-2026-00066,PROD-031,Tarija,2026-05-10,2026-05-23,2027-05-10,643,637,6,13,50.89,False,,False,,False,Sin correspondencia en Productos Silver de cobertura parcial,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-05-10,2026-05-23,2027-05-10,PROD-031,643,637,6,13,50.89,365.0,False,,0,False,False,False,SILVER,True
67,MOV-000067,LOT-2026-00067,PROD-018,Oruro,2026-07-15,2026-08-11,2027-07-15,880,869,5,27,33.66,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-07-15,2026-08-11,2027-07-15,PROD-018,880,869,5,27,33.66,365.0,False,,6,False,False,False,SILVER,True
68,MOV-000068,LOT-2026-00068,PROD-016,Cochabamba,2026-05-09,2026-05-21,2027-05-09,771,760,4,12,25.77,False,,False,,False,Sin correspondencia en Productos Silver de cobertura parcial,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-05-09,2026-05-21,2027-05-09,PROD-016,771,760,4,12,25.77,365.0,False,,7,False,False,False,SILVER,True
69,MOV-000069,LOT-2026-00069,PROD-033,Oruro,2026-05-14,2026-05-28,2027-05-14,204,197,3,14,30.56,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-05-14,2026-05-28,2027-05-14,PROD-033,204,197,3,14,30.56,365.0,False,,4,False,False,False,SILVER,True
70,MOV-000070,LOT-2026-00070,PROD-058,Santa Cruz,2026-05-28,2026-06-25,2026-11-24,221,218,3,28,82.19,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-05-28,2026-06-25,2026-11-24,PROD-058,221,218,3,28,82.19,180.0,False,,0,False,False,False,SILVER,True
71,MOV-000071,LOT-2026-00071,PROD-054,Oruro,2026-07-10,2026-07-16,2027-01-06,54,50,1,6,79.92,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-07-10,2026-07-16,2027-01-06,PROD-054,54,50,1,6,79.92,180.0,False,,3,False,False,False,SILVER,True
72,MOV-000072,LOT-2026-00072,PROD-034,Oruro,2026-07-24,2026-08-12,2026-08-11,289,277,11,19,54.4,False,,False,,False,,False,,False,,False,Salida posterior al vencimiento (riesgo de negocio),False,,False,,False,,False,,False,,False,,False,,,2026-07-24,2026-08-12,2026-08-11,PROD-034,289,277,11,19,54.4,18.0,False,,1,True,False,False,SILVER,True
73,MOV-000073,LOT-2026-00073,PROD-005,Oruro,2026-07-10,2026-08-03,2027-07-10,950,941,7,24,35.68,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-07-10,2026-08-03,2027-07-10,PROD-005,950,941,7,24,35.68,365.0,False,,2,False,False,False,SILVER,True
74,MOV-000074,LOT-2026-00074,PROD-017,Oruro,2026-07-06,2026-08-07,2027-07-06,56,53,0,32,34.67,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-07-06,2026-08-07,2027-07-06,PROD-017,56,53,0,32,34.67,365.0,False,,3,False,False,False,SILVER,True
