fila_bronze,movimiento_id,lote_id,producto_id,centro_distribucion,fecha_ingreso,fecha_salida,fecha_vencimiento,cantidad_ingreso,cantidad_salida,cantidad_merma,dias_en_almacen,costo_unitario_bob,movimiento_id_estado,movimiento_id_motivo,lote_id_estado,lote_id_motivo,producto_id_estado,producto_id_motivo,centro_distribucion_estado,centro_distribucion_motivo,fecha_ingreso_estado,fecha_ingreso_motivo,fecha_salida_estado,fecha_salida_motivo,fecha_vencimiento_estado,fecha_vencimiento_motivo,cantidad_ingreso_estado,cantidad_ingreso_motivo,cantidad_salida_estado,cantidad_salida_motivo,cantidad_merma_estado,cantidad_merma_motivo,dias_en_almacen_estado,dias_en_almacen_motivo,costo_unitario_bob_estado,costo_unitario_bob_motivo,cantidad_columnas_con_problemas,en_cuarentena,severidad_maxima,columnas_con_problemas,motivos_fila,version_diagnostico,sha256_bronze,acciones_tratamiento,motivos_tratamiento,fecha_ingreso_tratada,fecha_salida_tratada,fecha_vencimiento_tratada,producto_id_tratado,cantidad_ingreso_tratada,cantidad_salida_tratada,cantidad_merma_tratada,dias_en_almacen_tratada,costo_unitario_bob_tratada,vida_util_producto_dias_usada,vencimiento_imputado,motivo_cuarentena_final,saldo_unidades_inventario,riesgo_salida_post_vencimiento,riesgo_basado_en_vencimiento_imputado,en_cuarentena_final,decision_tratamiento,apto_kpi_vencimiento_observado,version_tratamiento
2250,MOV-002250,LOT-2026-02250,PROD-001,Tarija,2026-08-11,2026-08-27,2026-08-29,cien,258,8,16,20.26,OK,,OK,,OK,,OK,,OK,,OK,,OK,,CRITICO,Valor no numérico,OK,,OK,,OK,,OK,,1,True,CRITICO,cantidad_ingreso,cantidad_ingreso: Valor no numérico,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,,,2026-08-11,2026-08-27,2026-08-29,PROD-001,,258,8,16,20.26,18.0,False,cantidad_ingreso inválida,,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
2672,MOV-002672,LOT-2026-02672,PROD-020,Tarija,2026-06-08,2026-06-20,2027-06-08,cien,421,3,12,59.96,OK,,OK,,OK,,OK,,OK,,OK,,OK,,CRITICO,Valor no numérico,OK,,OK,,OK,,OK,,1,True,CRITICO,cantidad_ingreso,cantidad_ingreso: Valor no numérico,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,,,2026-06-08,2026-06-20,2027-06-08,PROD-020,,421,3,12,59.96,365.0,False,cantidad_ingreso inválida,,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
2793,MOV-002793,LOT-2026-02793,PROD-050,Cochabamba,2026-07-26,2026-08-24,2027-07-26,517,510,-3,29,46.57,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,CRITICO,Valor negativo no permitido,OK,,OK,,1,True,CRITICO,cantidad_merma,cantidad_merma: Valor negativo no permitido,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,,,2026-07-26,2026-08-24,2027-07-26,PROD-050,517,510,-3,29,46.57,365.0,False,cantidad_merma inválida,10,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
3246,MOV-003246,LOT-2026-03246,PROD-026,Santa Cruz,2026-06-04,2026-06-30,2026-06-22,cien,434,21,26,28.64,OK,,OK,,REVISAR,Sin correspondencia en Productos Silver de cobertura parcial,OK,,OK,,REVISAR,Salida posterior al vencimiento (riesgo de negocio),OK,,CRITICO,Valor no numérico,OK,,OK,,OK,,OK,,3,True,CRITICO,producto_id|fecha_salida|cantidad_ingreso,producto_id: Sin correspondencia en Productos Silver de cobertura parcial | fecha_salida: Salida posterior al vencimiento (riesgo de negocio) | cantidad_ingreso: Valor no numérico,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,,,2026-06-04,2026-06-30,2026-06-22,PROD-026,,434,21,26,28.64,18.0,False,cantidad_ingreso inválida,,True,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
4900,MOV-004900,LOT-2026-04900,PROD-040,La Paz,2026-07-07,2026-07-19,2027-07-07,367,358,-3,12,40.19,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,CRITICO,Valor negativo no permitido,OK,,OK,,1,True,CRITICO,cantidad_merma,cantidad_merma: Valor negativo no permitido,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,,,2026-07-07,2026-07-19,2027-07-07,PROD-040,367,358,-3,12,40.19,365.0,False,cantidad_merma inválida,12,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
4971,MOV-004971,LOT-2026-04971,PROD-007,La Paz,2026-07-26,2026-02-31,2027-07-26,411,407,3,12,20.78,OK,,OK,,OK,,OK,,OK,,CRITICO,Fecha imposible o formato no interpretable,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,fecha_salida,fecha_salida: Fecha imposible o formato no interpretable,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,,,2026-07-26,,2027-07-26,PROD-007,411,407,3,12,20.78,365.0,False,Fecha de salida inválida,1,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
5227,MOV-005227,LOT-2026-05227,PROD-035,Cochabamba,2026-08-19,2026-08-30,2027-02-15,cien,388,5,11,37.84,OK,,OK,,OK,,OK,,OK,,OK,,OK,,CRITICO,Valor no numérico,OK,,OK,,OK,,OK,,1,True,CRITICO,cantidad_ingreso,cantidad_ingreso: Valor no numérico,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,,,2026-08-19,2026-08-30,2027-02-15,PROD-035,,388,5,11,37.84,180.0,False,cantidad_ingreso inválida,,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
5282,MOV-005282,LOT-2026-05282,PROD-002,Cochabamba,2026-07-05,2026-07-25,2027-07-05,cien,95,1,20,82.37,OK,,OK,,OK,,OK,,OK,,OK,,OK,,CRITICO,Valor no numérico,OK,,OK,,OK,,OK,,1,True,CRITICO,cantidad_ingreso,cantidad_ingreso: Valor no numérico,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,,,2026-07-05,2026-07-25,2027-07-05,PROD-002,,95,1,20,82.37,365.0,False,cantidad_ingreso inválida,,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
5769,MOV-005769,LOT-2026-05769,PROD-017,Cochabamba,2026-07-30,2026-02-31,2027-07-30,431,422,3,14,34.67,OK,,OK,,OK,,OK,,OK,,CRITICO,Fecha imposible o formato no interpretable,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,fecha_salida,fecha_salida: Fecha imposible o formato no interpretable,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,,,2026-07-30,,2027-07-30,PROD-017,431,422,3,14,34.67,365.0,False,Fecha de salida inválida,6,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
5909,MOV-005909,LOT-2026-05909,PROD-050,La Paz,2026-06-15,2026-06-26,2027-06-15,cien,389,2,11,46.57,OK,,OK,,OK,,OK,,OK,,OK,,OK,,CRITICO,Valor no numérico,OK,,OK,,OK,,OK,,1,True,CRITICO,cantidad_ingreso,cantidad_ingreso: Valor no numérico,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,,,2026-06-15,2026-06-26,2027-06-15,PROD-050,,389,2,11,46.57,365.0,False,cantidad_ingreso inválida,,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6001,MOV-004748,LOT-2026-04748,PROD-047,Tarija,2026-06-14,2026-06-28,2026-07-02,679,658,21,14,68.27,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-06-14,2026-06-28,2026-07-02,PROD-047,679,658,21,14,68.27,18.0,False,Copia excluida del Silver,0,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6002,MOV-001735,LOT-2026-01735,PROD-022,Oruro,2026-07-24,2026-08-03,2026-08-11,958,933,24,10,24.66,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,REVISAR,Sin correspondencia en Productos Silver de cobertura parcial,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,3,True,CRITICO,movimiento_id|lote_id|producto_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze | producto_id: Sin correspondencia en Productos Silver de cobertura parcial,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-07-24,2026-08-03,2026-08-11,PROD-022,958,933,24,10,24.66,18.0,False,Copia excluida del Silver,1,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6003,MOV-003073,LOT-2026-03073,PROD-039,Santa Cruz,2026-05-27,2026-06-26,2027-05-27,343,335,4,30,53.27,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-05-27,2026-06-26,2027-05-27,PROD-039,343,335,4,30,53.27,365.0,False,Copia excluida del Silver,4,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6004,MOV-003016,LOT-2026-03016,PROD-012,La Paz,2026-07-21,2026-08-08,2027-07-21,108,107,1,18,59.96,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-07-21,2026-08-08,2027-07-21,PROD-012,108,107,1,18,59.96,365.0,False,Copia excluida del Silver,0,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6005,MOV-003990,LOT-2026-03990,PROD-004,Cochabamba,2026-05-21,2026-06-01,2026-06-08,150,145,4,11,16.27,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-05-21,2026-06-01,2026-06-08,PROD-004,150,145,4,11,16.27,18.0,False,Copia excluida del Silver,1,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6006,MOV-001055,LOT-2026-01055,PROD-001,Tarija,2026-08-09,2026-08-19,2026-08-27,105,99,3,10,20.26,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-08-09,2026-08-19,2026-08-27,PROD-001,105,99,3,10,20.26,18.0,False,Copia excluida del Silver,3,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6007,MOV-004746,LOT-2026-04746,PROD-051,Tarija,2026-08-27,2026-09-02,2027-02-23,222,215,3,6,24.83,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-08-27,2026-09-02,2027-02-23,PROD-051,222,215,3,6,24.83,180.0,False,Copia excluida del Silver,4,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6008,MOV-004614,LOT-2026-04614,PROD-039,Cochabamba,2026-06-01,2026-07-09,2027-06-01,244,238,2,38,53.27,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-06-01,2026-07-09,2027-06-01,PROD-039,244,238,2,38,53.27,365.0,False,Copia excluida del Silver,4,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6009,MOV-000978,LOT-2026-00978,PROD-006,Santa Cruz,2026-08-28,2026-09-10,2027-08-28,235,232,1,13,29.49,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-08-28,2026-09-10,2027-08-28,PROD-006,235,232,1,13,29.49,365.0,False,Copia excluida del Silver,2,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6010,MOV-005017,LOT-2026-05017,PROD-045,La Paz,2026-07-27,2026-08-21,2026-08-14,768,731,36,25,27.1,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,REVISAR,Salida posterior al vencimiento (riesgo de negocio),OK,,OK,,OK,,OK,,OK,,OK,,3,True,CRITICO,movimiento_id|lote_id|fecha_salida,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze | fecha_salida: Salida posterior al vencimiento (riesgo de negocio),GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-07-27,2026-08-21,2026-08-14,PROD-045,768,731,36,25,27.1,18.0,False,Copia excluida del Silver,1,True,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6011,MOV-000102,LOT-2026-00102,PROD-037,Tarija,2026-07-23,2026-08-16,2026-08-10,737,700,35,24,25.76,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,REVISAR,Salida posterior al vencimiento (riesgo de negocio),OK,,OK,,OK,,OK,,OK,,OK,,3,True,CRITICO,movimiento_id|lote_id|fecha_salida,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze | fecha_salida: Salida posterior al vencimiento (riesgo de negocio),GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-07-23,2026-08-16,2026-08-10,PROD-037,737,700,35,24,25.76,18.0,False,Copia excluida del Silver,2,True,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6012,MOV-004597,LOT-2026-04597,PROD-037,La Paz,2026-06-15,2026-07-13,2026-07-03,230,218,12,28,25.76,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,REVISAR,Salida posterior al vencimiento (riesgo de negocio),OK,,OK,,OK,,OK,,OK,,OK,,3,True,CRITICO,movimiento_id|lote_id|fecha_salida,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze | fecha_salida: Salida posterior al vencimiento (riesgo de negocio),GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-06-15,2026-07-13,2026-07-03,PROD-037,230,218,12,28,25.76,18.0,False,Copia excluida del Silver,0,True,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
