fila_bronze,producto_id,nombre_producto,categoria_logistica,temperatura_conservacion_requerida_c,tolerancia_temperatura_c,precio_unitario_bob,costo_unitario_bob,columnas_con_problemas,en_cuarentena
42,PROD-042,Producto Logistico 042,Seco,20.0,5.0,65.92,55.74,,False
43,PROD-043,Producto Logistico 043,Congelado,-18.0,2.0,19.19,16.46,,False
44,PROD-044,Producto Logistico 044,Fresco,4.0,2.0,44.85,38.35,,False
45,PROD-045,Producto Logistico 045,Fresco,4.0,2.0,33.35,27.1,,False
46, prod-046 ,Producto Logistico 046,Seco,20.0,5.0,31.46,25.66,producto_id,True
47,PROD-047,Producto Logistico 047,Fresco,4.0,2.0,82.63,68.27,,False
48,PROD-048,Producto Logistico 048,Seco,20.0,5.0,58.99,49.21,,False
49,PROD-049,Producto Logistico 049,Fresco,,2.0,65.44,53.71,temperatura_conservacion_requerida_c,True
50,PROD-050,Producto Logistico 050,Seco,20.0,5.0,56.92,46.57,,False
51,PROD-051,Producto Logistico 051,Congelado,-18.0,2.0,28.88,24.83,,False
52,PROD-052,Producto Logistico 052,Fresco,4.0,2.0,48.09,41.48,,False
53,PROD-053,Producto Logistico 053,Fresco,4.0,2.0,62.8,52.38,,False
54,PROD-054,Producto Logistico 054,Congelado,-18.0,2.0,98.56,79.92,,False
55,PROD-055,Producto Logistico 055,Seco,20.0,5.0,82.15,69.47,,False
56,PROD-056,Producto Logistico 056,Fresco,4.0,2.0,41.14,33.35,,False
57,PROD-057,Producto Logistico 057,Seco,20.0,5.0,19.64,16.73,,False
58,PROD-058,Producto Logistico 058,Congelado,-18.0,2.0,98.86,82.19,,False
59,PROD-059,Producto Logistico 059,Seco,20.0,5.0,58.59,49.31,,False
60,PROD-060,Producto Logistico 060,Congelado,-18.0,2.0,35.8,30.63,,False
61,PROD-010,Producto Logistico 010,Seco,20.0,5.0,21.93,18.97,producto_id,True
62, prod-024 ,Producto Logistico 024,Seco,20.0,5.0,19.63,16.74,producto_id,True
63,PROD-014,Producto Logistico 014,Seco,20.0,5.0,89.65,74.91,producto_id,True
