fila_bronze,producto_id,nombre_producto,categoria_logistica,temperatura_conservacion_requerida_c,tolerancia_temperatura_c,precio_unitario_bob,costo_unitario_bob,producto_id_estado,producto_id_motivo,nombre_producto_estado,nombre_producto_motivo,categoria_logistica_estado,categoria_logistica_motivo,temperatura_conservacion_requerida_c_estado,temperatura_conservacion_requerida_c_motivo,tolerancia_temperatura_c_estado,tolerancia_temperatura_c_motivo,precio_unitario_bob_estado,precio_unitario_bob_motivo,costo_unitario_bob_estado,costo_unitario_bob_motivo,cantidad_columnas_con_problemas,en_cuarentena,severidad_maxima,columnas_con_problemas,motivos_fila,version_diagnostico,sha256_bronze
30,PROD-030,Producto Logistico 030,Seco,20.0,5.0,43.07,34.93,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
31, prod-031 ,Producto Logistico 031,Seco,20.0,5.0,60.3,50.89,CRITICO,Formato esperado: PROD-###,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,producto_id,producto_id: Formato esperado: PROD-###,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
32,PROD-032,Producto Logistico 032,Seco,20.0,5.0,40.9,33.13,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
33,PROD-033,Producto Logistico 033,Seco,20.0,5.0,37.93,30.56,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
34,PROD-034,Producto Logistico 034,Fresco,4.0,2.0,65.96,54.4,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
35,PROD-035,Producto Logistico 035,Congelado,-18.0,2.0,45.08,37.84,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
36,PROD-036,Producto Logistico 036,conjelado,4.0,2.0,67.93,58.54,OK,,OK,,CRITICO,"Categoría fuera de Fresco, Congelado o Seco",NO_EVALUABLE,No se valida coherencia térmica con categoría no reconocida,NO_EVALUABLE,No se valida coherencia térmica con categoría no reconocida,OK,,OK,,3,True,CRITICO,categoria_logistica|temperatura_conservacion_requerida_c|tolerancia_temperatura_c,"categoria_logistica: Categoría fuera de Fresco, Congelado o Seco | temperatura_conservacion_requerida_c: No se valida coherencia térmica con categoría no reconocida | tolerancia_temperatura_c: No se valida coherencia térmica con categoría no reconocida",GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
37,PROD-037,Producto Logistico 037,Fresco,4.0,2.0,31.41,25.76,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
38,PROD-038,Producto Logistico 038,Seco,20.0,5.0,31.96,26.68,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
39,PROD-039,Producto Logistico 039,Seco,20.0,5.0,61.51,53.27,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
40,PROD-040,Producto Logistico 040,Seco,20.0,5.0,47.78,40.19,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
41,PROD-041,Producto Logistico 041,Congelado,-18.0,2.0,57.88,48.44,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
42,PROD-042,Producto Logistico 042,Seco,20.0,5.0,65.92,55.74,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
43,PROD-043,Producto Logistico 043,Congelado,-18.0,2.0,19.19,16.46,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
44,PROD-044,Producto Logistico 044,Fresco,4.0,2.0,44.85,38.35,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
45,PROD-045,Producto Logistico 045,Fresco,4.0,2.0,33.35,27.1,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
46, prod-046 ,Producto Logistico 046,Seco,20.0,5.0,31.46,25.66,CRITICO,Formato esperado: PROD-###,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,producto_id,producto_id: Formato esperado: PROD-###,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
47,PROD-047,Producto Logistico 047,Fresco,4.0,2.0,82.63,68.27,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
48,PROD-048,Producto Logistico 048,Seco,20.0,5.0,58.99,49.21,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
49,PROD-049,Producto Logistico 049,Fresco,,2.0,65.44,53.71,OK,,OK,,OK,,CRITICO,Valor faltante,OK,,OK,,OK,,1,True,CRITICO,temperatura_conservacion_requerida_c,temperatura_conservacion_requerida_c: Valor faltante,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
50,PROD-050,Producto Logistico 050,Seco,20.0,5.0,56.92,46.57,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
51,PROD-051,Producto Logistico 051,Congelado,-18.0,2.0,28.88,24.83,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
52,PROD-052,Producto Logistico 052,Fresco,4.0,2.0,48.09,41.48,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
53,PROD-053,Producto Logistico 053,Fresco,4.0,2.0,62.8,52.38,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
54,PROD-054,Producto Logistico 054,Congelado,-18.0,2.0,98.56,79.92,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
55,PROD-055,Producto Logistico 055,Seco,20.0,5.0,82.15,69.47,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
56,PROD-056,Producto Logistico 056,Fresco,4.0,2.0,41.14,33.35,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
57,PROD-057,Producto Logistico 057,Seco,20.0,5.0,19.64,16.73,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
58,PROD-058,Producto Logistico 058,Congelado,-18.0,2.0,98.86,82.19,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
59,PROD-059,Producto Logistico 059,Seco,20.0,5.0,58.59,49.31,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
60,PROD-060,Producto Logistico 060,Congelado,-18.0,2.0,35.8,30.63,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
61,PROD-010,Producto Logistico 010,Seco,20.0,5.0,21.93,18.97,CRITICO,Copia exacta posterior,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,producto_id,producto_id: Copia exacta posterior,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
62, prod-024 ,Producto Logistico 024,Seco,20.0,5.0,19.63,16.74,CRITICO,Formato esperado: PROD-###; ID equivalente a otro registro después de normalizar,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,producto_id,producto_id: Formato esperado: PROD-### | producto_id: ID equivalente a otro registro después de normalizar,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
63,PROD-014,Producto Logistico 014,Seco,20.0,5.0,89.65,74.91,CRITICO,Copia exacta posterior,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,producto_id,producto_id: Copia exacta posterior,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
