fila_bronze,producto_id,nombre_producto,categoria_logistica,temperatura_conservacion_requerida_c,tolerancia_temperatura_c,precio_unitario_bob,costo_unitario_bob,columnas_con_problemas,en_cuarentena,producto_id_preparado,categoria_logistica_preparada,tipo_duplicado,decision_duplicado,fila_canonica,justificacion,en_cuarentena_inicial,motivos_finales,en_cuarentena_final,version_tratamiento
17,PROD-017,Producto Logistico 017,Seco,20.0,5.0,41.23,34.67,,False,PROD-017,Seco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
18,PROD-018,Producto Logistico 018,Seco,,5.0,39.73,33.66,temperatura_conservacion_requerida_c,True,PROD-018,Seco,,,,,True,temperatura_conservacion_requerida_c:FALTANTE,True,GIAD-M3-S4-productos-tratamiento-v1
19,PROD-019,Producto Logistico 019,Seco,20.0,5.0,77.58,62.3,,False,PROD-019,Seco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
20,PROD-020,Producto Logistico 020,Seco,20.0,5.0,70.64,59.96,,False,PROD-020,Seco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
21,PROD-021,Producto Logistico 021,Fresco,4.0,2.0,103.68,83.07,,False,PROD-021,Fresco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
22, prod-022 ,Producto Logistico 022,Fresco,4.0,2.0,29.94,24.66,producto_id,True, prod-022 ,Fresco,,,,,True,producto_id:FORMATO_INVALIDO,True,GIAD-M3-S4-productos-tratamiento-v1
23,PROD-023,Producto Logistico 023,Fresco,4.0,2.0,27.1,22.32,,False,PROD-023,Fresco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
24,PROD-024,Producto Logistico 024,Seco,20.0,5.0,19.63,16.74,,False,PROD-024,Seco,ID_EQUIVALENTE,PENDIENTE,,Sin regla aprobada o datos en conflicto,False,,False,GIAD-M3-S4-productos-tratamiento-v1
25,PROD-025,Producto Logistico 025,Congelado,-18.0,2.0,66.82,54.32,,False,PROD-025,Congelado,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
26,PROD-026,Producto Logistico 026,conjelado,4.0,2.0,35.41,28.64,categoria_logistica,True,PROD-026,conjelado,,,,,True,categoria_logistica:VALOR_NO_RECONOCIDO,True,GIAD-M3-S4-productos-tratamiento-v1
27,PROD-027,Producto Logistico 027,Fresco,4.0,2.0,77.31,64.06,,False,PROD-027,Fresco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
28,PROD-028,Producto Logistico 028,conjelado,20.0,5.0,32.63,27.13,categoria_logistica,True,PROD-028,conjelado,,,,,True,categoria_logistica:VALOR_NO_RECONOCIDO,True,GIAD-M3-S4-productos-tratamiento-v1
29,PROD-029,Producto Logistico 029,Seco,20.0,5.0,96.01,81.05,,False,PROD-029,Seco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
30,PROD-030,Producto Logistico 030,Seco,20.0,5.0,43.07,34.93,,False,PROD-030,Seco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
31, prod-031 ,Producto Logistico 031,Seco,20.0,5.0,60.3,50.89,producto_id,True, prod-031 ,Seco,,,,,True,producto_id:FORMATO_INVALIDO,True,GIAD-M3-S4-productos-tratamiento-v1
32,PROD-032,Producto Logistico 032,Seco,20.0,5.0,40.9,33.13,,False,PROD-032,Seco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
33,PROD-033,Producto Logistico 033,Seco,20.0,5.0,37.93,30.56,,False,PROD-033,Seco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
34,PROD-034,Producto Logistico 034,Fresco,4.0,2.0,65.96,54.4,,False,PROD-034,Fresco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
35,PROD-035,Producto Logistico 035,Congelado,-18.0,2.0,45.08,37.84,,False,PROD-035,Congelado,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
36,PROD-036,Producto Logistico 036,conjelado,4.0,2.0,67.93,58.54,categoria_logistica,True,PROD-036,conjelado,,,,,True,categoria_logistica:VALOR_NO_RECONOCIDO,True,GIAD-M3-S4-productos-tratamiento-v1
37,PROD-037,Producto Logistico 037,Fresco,4.0,2.0,31.41,25.76,,False,PROD-037,Fresco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
38,PROD-038,Producto Logistico 038,Seco,20.0,5.0,31.96,26.68,,False,PROD-038,Seco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
39,PROD-039,Producto Logistico 039,Seco,20.0,5.0,61.51,53.27,,False,PROD-039,Seco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
40,PROD-040,Producto Logistico 040,Seco,20.0,5.0,47.78,40.19,,False,PROD-040,Seco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
41,PROD-041,Producto Logistico 041,Congelado,-18.0,2.0,57.88,48.44,,False,PROD-041,Congelado,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
42,PROD-042,Producto Logistico 042,Seco,20.0,5.0,65.92,55.74,,False,PROD-042,Seco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
43,PROD-043,Producto Logistico 043,Congelado,-18.0,2.0,19.19,16.46,,False,PROD-043,Congelado,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
44,PROD-044,Producto Logistico 044,Fresco,4.0,2.0,44.85,38.35,,False,PROD-044,Fresco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
45,PROD-045,Producto Logistico 045,Fresco,4.0,2.0,33.35,27.1,,False,PROD-045,Fresco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
46, prod-046 ,Producto Logistico 046,Seco,20.0,5.0,31.46,25.66,producto_id,True, prod-046 ,Seco,,,,,True,producto_id:FORMATO_INVALIDO,True,GIAD-M3-S4-productos-tratamiento-v1
47,PROD-047,Producto Logistico 047,Fresco,4.0,2.0,82.63,68.27,,False,PROD-047,Fresco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
48,PROD-048,Producto Logistico 048,Seco,20.0,5.0,58.99,49.21,,False,PROD-048,Seco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
49,PROD-049,Producto Logistico 049,Fresco,,2.0,65.44,53.71,temperatura_conservacion_requerida_c,True,PROD-049,Fresco,,,,,True,temperatura_conservacion_requerida_c:FALTANTE,True,GIAD-M3-S4-productos-tratamiento-v1
50,PROD-050,Producto Logistico 050,Seco,20.0,5.0,56.92,46.57,,False,PROD-050,Seco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
51,PROD-051,Producto Logistico 051,Congelado,-18.0,2.0,28.88,24.83,,False,PROD-051,Congelado,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
52,PROD-052,Producto Logistico 052,Fresco,4.0,2.0,48.09,41.48,,False,PROD-052,Fresco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
53,PROD-053,Producto Logistico 053,Fresco,4.0,2.0,62.8,52.38,,False,PROD-053,Fresco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
54,PROD-054,Producto Logistico 054,Congelado,-18.0,2.0,98.56,79.92,,False,PROD-054,Congelado,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
55,PROD-055,Producto Logistico 055,Seco,20.0,5.0,82.15,69.47,,False,PROD-055,Seco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
56,PROD-056,Producto Logistico 056,Fresco,4.0,2.0,41.14,33.35,,False,PROD-056,Fresco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
57,PROD-057,Producto Logistico 057,Seco,20.0,5.0,19.64,16.73,,False,PROD-057,Seco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
58,PROD-058,Producto Logistico 058,Congelado,-18.0,2.0,98.86,82.19,,False,PROD-058,Congelado,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
59,PROD-059,Producto Logistico 059,Seco,20.0,5.0,58.59,49.31,,False,PROD-059,Seco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
60,PROD-060,Producto Logistico 060,Congelado,-18.0,2.0,35.8,30.63,,False,PROD-060,Congelado,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
61,PROD-010,Producto Logistico 010,Seco,20.0,5.0,21.93,18.97,producto_id,True,PROD-010,Seco,IDENTICO,PENDIENTE,,Sin regla aprobada o datos en conflicto,True,producto_id:DUPLICADO,True,GIAD-M3-S4-productos-tratamiento-v1
62, prod-024 ,Producto Logistico 024,Seco,20.0,5.0,19.63,16.74,producto_id,True, prod-024 ,Seco,ID_EQUIVALENTE,PENDIENTE,,Sin regla aprobada o datos en conflicto,True,producto_id:COLISION_ID_NORMALIZADO|producto_id:FORMATO_INVALIDO,True,GIAD-M3-S4-productos-tratamiento-v1
63,PROD-014,Producto Logistico 014,Seco,20.0,5.0,89.65,74.91,producto_id,True,PROD-014,Seco,IDENTICO,PENDIENTE,,Sin regla aprobada o datos en conflicto,True,producto_id:DUPLICADO,True,GIAD-M3-S4-productos-tratamiento-v1
