_fila_bronze,timestamp,viaje_id,order_id,camion_id,producto_id,temperatura_cabina_c,humedad_cabina_pct,desviacion_termica_flag,temperatura_anterior,ts_temperatura_anterior,variacion_temperatura_30min,ts_base_variacion,motivo_temperatura_anterior,motivo_variacion_30min,desviacion_proximos_60min_flag,ventana_objetivo_evaluable,objetivo_coincide_con_silver,calidad_estado,calidad_motivo
20,2026-08-12 03:11:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,9.9,87.9,1,9.42,2026-08-12 02:41:00+00:00,0.4800000000000004,2026-08-12 02:41:00+00:00,,,1.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
21,2026-08-12 03:41:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,9.28,87.0,1,9.9,2026-08-12 03:11:00+00:00,-0.620000000000001,2026-08-12 03:11:00+00:00,,,1.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
22,2026-08-12 04:11:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,9.39,79.3,1,9.28,2026-08-12 03:41:00+00:00,0.11000000000000121,2026-08-12 03:41:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
23,2026-08-12 04:41:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.39,82.1,0,9.39,2026-08-12 04:11:00+00:00,-6.0,2026-08-12 04:11:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
24,2026-08-12 05:11:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.33,85.4,0,3.39,2026-08-12 04:41:00+00:00,0.94,2026-08-12 04:41:00+00:00,,,,False,False,objetivo_no_evaluable,sin_cobertura_futura_hasta_60min_en_la_entidad
25,2026-08-12 05:41:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,5.13,85.7,0,4.33,2026-08-12 05:11:00+00:00,0.7999999999999998,2026-08-12 05:11:00+00:00,,,,False,False,objetivo_no_evaluable,sin_cobertura_futura_hasta_60min_en_la_entidad
26,2026-08-13 03:30:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.62,52.0,0,,,,,primera_lectura_del_viaje,primera_lectura_del_viaje,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
27,2026-08-13 04:00:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.82,43.4,0,19.62,2026-08-13 03:30:00+00:00,0.1999999999999993,2026-08-13 03:30:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
28,2026-08-13 04:30:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,24.32,51.9,0,19.82,2026-08-13 04:00:00+00:00,4.5,2026-08-13 04:00:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
29,2026-08-13 05:00:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.16,55.7,0,24.32,2026-08-13 04:30:00+00:00,-5.16,2026-08-13 04:30:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
30,2026-08-13 05:30:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.5,47.1,0,19.16,2026-08-13 05:00:00+00:00,0.33999999999999986,2026-08-13 05:00:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
31,2026-08-13 06:00:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,18.05,53.7,0,19.5,2026-08-13 05:30:00+00:00,-1.4499999999999993,2026-08-13 05:30:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
32,2026-08-13 06:30:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,18.97,57.2,0,18.05,2026-08-13 06:00:00+00:00,0.9199999999999982,2026-08-13 06:00:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
33,2026-08-13 07:00:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,18.59,46.7,0,18.97,2026-08-13 06:30:00+00:00,-0.379999999999999,2026-08-13 06:30:00+00:00,,,,False,False,objetivo_no_evaluable,sin_cobertura_futura_hasta_60min_en_la_entidad
34,2026-08-13 07:30:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.49,58.9,0,18.59,2026-08-13 07:00:00+00:00,0.8999999999999986,2026-08-13 07:00:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
36,2026-08-13 08:30:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.43,50.5,0,19.49,2026-08-13 07:30:00+00:00,,,,"sin_lectura_en_[t-45,t-30]_minutos",0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
37,2026-08-13 09:00:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,17.12,61.2,0,19.43,2026-08-13 08:30:00+00:00,-2.3099999999999987,2026-08-13 08:30:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
38,2026-08-13 09:30:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,21.61,41.0,0,17.12,2026-08-13 09:00:00+00:00,4.489999999999998,2026-08-13 09:00:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
39,2026-08-13 10:00:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,18.43,48.0,0,21.61,2026-08-13 09:30:00+00:00,-3.1799999999999997,2026-08-13 09:30:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
40,2026-08-13 10:30:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,21.02,51.9,0,18.43,2026-08-13 10:00:00+00:00,2.59,2026-08-13 10:00:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
41,2026-08-13 11:00:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.71,41.7,0,21.02,2026-08-13 10:30:00+00:00,-1.3099999999999987,2026-08-13 10:30:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
42,2026-08-13 11:30:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,18.28,64.6,0,19.71,2026-08-13 11:00:00+00:00,-1.4299999999999997,2026-08-13 11:00:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
43,2026-08-13 12:00:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.56,55.9,0,18.28,2026-08-13 11:30:00+00:00,1.2799999999999976,2026-08-13 11:30:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
44,2026-08-13 12:30:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,18.83,45.8,0,19.56,2026-08-13 12:00:00+00:00,-0.7300000000000004,2026-08-13 12:00:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
45,2026-08-13 13:00:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,17.76,40.1,0,18.83,2026-08-13 12:30:00+00:00,-1.0699999999999967,2026-08-13 12:30:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
46,2026-08-13 13:30:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,17.53,41.9,0,17.76,2026-08-13 13:00:00+00:00,-0.23000000000000043,2026-08-13 13:00:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
47,2026-08-13 14:00:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.94,36.5,0,17.53,2026-08-13 13:30:00+00:00,2.41,2026-08-13 13:30:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
48,2026-08-13 14:30:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.21,43.6,0,19.94,2026-08-13 14:00:00+00:00,-0.7300000000000004,2026-08-13 14:00:00+00:00,,,,False,False,objetivo_no_evaluable,sin_cobertura_futura_hasta_60min_en_la_entidad
49,2026-08-13 15:00:00+00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,17.57,61.6,0,19.21,2026-08-13 14:30:00+00:00,-1.6400000000000006,2026-08-13 14:30:00+00:00,,,,False,False,objetivo_no_evaluable,sin_cobertura_futura_hasta_60min_en_la_entidad
50,2026-08-02 17:15:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,22.59,42.4,0,,,,,primera_lectura_del_viaje,primera_lectura_del_viaje,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
51,2026-08-02 17:45:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,18.51,47.1,0,22.59,2026-08-02 17:15:00+00:00,-4.079999999999998,2026-08-02 17:15:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
52,2026-08-02 18:15:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,18.84,53.5,0,18.51,2026-08-02 17:45:00+00:00,0.3299999999999983,2026-08-02 17:45:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
53,2026-08-02 18:45:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,18.31,55.5,0,18.84,2026-08-02 18:15:00+00:00,-0.5300000000000011,2026-08-02 18:15:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
54,2026-08-02 19:15:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,21.12,46.9,0,18.31,2026-08-02 18:45:00+00:00,2.8100000000000023,2026-08-02 18:45:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
55,2026-08-02 19:45:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,21.47,32.1,0,21.12,2026-08-02 19:15:00+00:00,0.34999999999999787,2026-08-02 19:15:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
56,2026-08-02 20:15:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,20.45,61.0,0,21.47,2026-08-02 19:45:00+00:00,-1.0199999999999996,2026-08-02 19:45:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
57,2026-08-02 20:45:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,19.81,46.0,0,20.45,2026-08-02 20:15:00+00:00,-0.6400000000000006,2026-08-02 20:15:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
58,2026-08-02 21:15:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,22.64,57.0,0,19.81,2026-08-02 20:45:00+00:00,2.830000000000002,2026-08-02 20:45:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
59,2026-08-02 21:45:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,20.35,41.1,0,22.64,2026-08-02 21:15:00+00:00,-2.289999999999999,2026-08-02 21:15:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
60,2026-08-02 22:15:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,21.26,57.6,0,20.35,2026-08-02 21:45:00+00:00,0.9100000000000001,2026-08-02 21:45:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
61,2026-08-02 22:45:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,22.0,50.0,0,21.26,2026-08-02 22:15:00+00:00,0.7399999999999984,2026-08-02 22:15:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
62,2026-08-02 23:15:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,19.06,44.4,0,22.0,2026-08-02 22:45:00+00:00,-2.9400000000000013,2026-08-02 22:45:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
63,2026-08-02 23:45:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,20.59,43.0,0,19.06,2026-08-02 23:15:00+00:00,1.5300000000000011,2026-08-02 23:15:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
64,2026-08-03 00:15:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,17.52,36.2,0,20.59,2026-08-02 23:45:00+00:00,-3.0700000000000003,2026-08-02 23:45:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
65,2026-08-03 00:45:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,21.16,47.9,0,17.52,2026-08-03 00:15:00+00:00,3.6400000000000006,2026-08-03 00:15:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
66,2026-08-03 01:15:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,18.83,49.9,0,21.16,2026-08-03 00:45:00+00:00,-2.330000000000002,2026-08-03 00:45:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
67,2026-08-03 01:45:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,19.87,44.7,0,18.83,2026-08-03 01:15:00+00:00,1.0400000000000027,2026-08-03 01:15:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
68,2026-08-03 02:15:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,17.97,42.1,0,19.87,2026-08-03 01:45:00+00:00,-1.9000000000000021,2026-08-03 01:45:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
69,2026-08-03 02:45:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,16.67,48.3,0,17.97,2026-08-03 02:15:00+00:00,-1.2999999999999972,2026-08-03 02:15:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
70,2026-08-03 03:15:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,20.87,44.4,0,16.67,2026-08-03 02:45:00+00:00,4.199999999999999,2026-08-03 02:45:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
71,2026-08-03 03:45:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,18.59,53.6,0,20.87,2026-08-03 03:15:00+00:00,-2.280000000000001,2026-08-03 03:15:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
72,2026-08-03 04:15:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,21.81,52.7,0,18.59,2026-08-03 03:45:00+00:00,3.219999999999999,2026-08-03 03:45:00+00:00,,,,False,False,objetivo_no_evaluable,sin_cobertura_futura_hasta_60min_en_la_entidad
73,2026-08-03 04:45:00+00:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,19.67,58.9,0,21.81,2026-08-03 04:15:00+00:00,-2.139999999999997,2026-08-03 04:15:00+00:00,,,,False,False,objetivo_no_evaluable,sin_cobertura_futura_hasta_60min_en_la_entidad
74,2026-08-02 23:25:00+00:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,20.85,39.7,0,,,,,primera_lectura_del_viaje,primera_lectura_del_viaje,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
75,2026-08-02 23:55:00+00:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,20.47,52.9,0,20.85,2026-08-02 23:25:00+00:00,-0.38000000000000256,2026-08-02 23:25:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
76,2026-08-03 00:25:00+00:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,19.89,54.0,0,20.47,2026-08-02 23:55:00+00:00,-0.5799999999999983,2026-08-02 23:55:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
77,2026-08-03 00:55:00+00:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,18.31,57.7,0,19.89,2026-08-03 00:25:00+00:00,-1.5800000000000018,2026-08-03 00:25:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
78,2026-08-03 01:25:00+00:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,18.69,53.2,0,18.31,2026-08-03 00:55:00+00:00,0.38000000000000256,2026-08-03 00:55:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
79,2026-08-03 01:55:00+00:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,18.57,34.8,0,18.69,2026-08-03 01:25:00+00:00,-0.120000000000001,2026-08-03 01:25:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
80,2026-08-03 02:25:00+00:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,20.52,46.7,0,18.57,2026-08-03 01:55:00+00:00,1.9499999999999993,2026-08-03 01:55:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
81,2026-08-03 02:55:00+00:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,19.97,54.1,0,20.52,2026-08-03 02:25:00+00:00,-0.5500000000000007,2026-08-03 02:25:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
82,2026-08-03 03:25:00+00:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,17.6,48.9,0,19.97,2026-08-03 02:55:00+00:00,-2.3699999999999974,2026-08-03 02:55:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
83,2026-08-03 03:55:00+00:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,18.12,48.0,0,17.6,2026-08-03 03:25:00+00:00,0.5199999999999996,2026-08-03 03:25:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
84,2026-08-03 04:25:00+00:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,23.92,53.8,0,18.12,2026-08-03 03:55:00+00:00,5.800000000000001,2026-08-03 03:55:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
85,2026-08-03 04:55:00+00:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,19.92,41.7,0,23.92,2026-08-03 04:25:00+00:00,-4.0,2026-08-03 04:25:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
86,2026-08-03 05:25:00+00:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,18.26,47.1,0,19.92,2026-08-03 04:55:00+00:00,-1.6600000000000001,2026-08-03 04:55:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
87,2026-08-03 05:55:00+00:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,17.5,45.0,0,18.26,2026-08-03 05:25:00+00:00,-0.7600000000000016,2026-08-03 05:25:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
88,2026-08-03 06:25:00+00:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,19.29,45.6,0,17.5,2026-08-03 05:55:00+00:00,1.7899999999999991,2026-08-03 05:55:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
89,2026-08-03 06:55:00+00:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,20.37,52.6,0,19.29,2026-08-03 06:25:00+00:00,1.0800000000000018,2026-08-03 06:25:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
90,2026-08-03 07:25:00+00:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,22.9,59.2,0,20.37,2026-08-03 06:55:00+00:00,2.5299999999999976,2026-08-03 06:55:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
91,2026-08-03 07:55:00+00:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,22.97,41.7,0,22.9,2026-08-03 07:25:00+00:00,0.07000000000000028,2026-08-03 07:25:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
92,2026-08-03 08:25:00+00:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,19.8,48.0,0,22.97,2026-08-03 07:55:00+00:00,-3.169999999999998,2026-08-03 07:55:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
93,2026-08-03 08:55:00+00:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,20.42,56.4,0,19.8,2026-08-03 08:25:00+00:00,0.620000000000001,2026-08-03 08:25:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
94,2026-08-03 09:25:00+00:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,15.99,57.3,0,20.42,2026-08-03 08:55:00+00:00,-4.4300000000000015,2026-08-03 08:55:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
95,2026-08-03 09:55:00+00:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,18.63,43.0,0,15.99,2026-08-03 09:25:00+00:00,2.639999999999999,2026-08-03 09:25:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
