fila_bronze,camion_id,centro_distribucion_base,capacidad_kg,tipo_camion,camion_id_estado,camion_id_motivo,centro_distribucion_base_estado,centro_distribucion_base_motivo,capacidad_kg_estado,capacidad_kg_motivo,tipo_camion_estado,tipo_camion_motivo,cantidad_columnas_con_problemas,en_cuarentena,severidad_maxima,columnas_con_problemas,motivos_fila,version_diagnostico,sha256_bronze
12,CAM-12,La Paz,8000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
13,CAM-13,Cochabamba,12000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
14,CAM-14,Cochabamba,8000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
15,CAM-15,La Paz,2000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
16,CAM-16,Oruro,5000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
17,CAM-17,Cochabamba,8000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
18,CAM-18,Santa Cruz,2000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
19,CAM-19,Tarija,2000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
20, cam-20 ,Oruro,12000,Refrigerado,CRITICO,Formato esperado: CAM-##,OK,,OK,,OK,,1,True,CRITICO,camion_id,camion_id: Formato esperado: CAM-##,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
21,CAM-21,Tarija,12000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
22,CAM-22,Cochabamba,8000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
23,CAM-23,Santa Cruz,5000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
24,CAM-24,Oruro,2000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
25,CAM-25,Cochabamba,2000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
26,CAM-26,Tarija,8000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
27,CAM-27,Cochabamba,5000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
28,CAM-28,La Paz,2000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
29,CAM-29,Santa Cruz,5000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
30, cam-30 ,Cochabamba,8000,Seco,CRITICO,Formato esperado: CAM-##,OK,,OK,,OK,,1,True,CRITICO,camion_id,camion_id: Formato esperado: CAM-##,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
31,CAM-01,Cochabamba,5000,Refrigerado,CRITICO,Copia exacta posterior (no contar dos veces),OK,,OK,,OK,,1,True,CRITICO,camion_id,camion_id: Copia exacta posterior (no contar dos veces),GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
32,CAM-27,Cochabamba,5000,Refrigerado,CRITICO,Copia exacta posterior (no contar dos veces),OK,,OK,,OK,,1,True,CRITICO,camion_id,camion_id: Copia exacta posterior (no contar dos veces),GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
