fila_bronze,rule_id,dimension_calidad,severidad,accion,tipo_problema,columna_afectada,codigo_error,valor_original,detalle,version_catalogo,version_diagnostico
18,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
19,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
20,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
21,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
22,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
23,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
24,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
121,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
125,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
146,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-19 ,Formato esperado CAM-00,1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
146,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE, cam-19 ,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
193,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
194,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
195,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
196,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
197,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
198,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
199,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
200,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
201,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
202,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
203,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
204,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
205,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
206,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
207,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
208,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
209,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
210,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
211,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
212,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
213,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
213,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
214,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
215,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
216,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
229,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 es centinela: lectura no evaluable para rangos térmicos,1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
238,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
265,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
266,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
267,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
268,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
269,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
270,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
271,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
272,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
273,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
274,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
275,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
276,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
277,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
278,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
279,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
280,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
281,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
282,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
283,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
284,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
285,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
286,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
287,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
288,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
361,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
362,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
363,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
364,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
365,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
366,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
367,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
368,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
369,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
370,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
371,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
372,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
373,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
374,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
375,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
376,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
377,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
378,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
379,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
380,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
381,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
382,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
383,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
384,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
