fila_bronze,movimiento_id,lote_id,producto_id,centro_distribucion,fecha_ingreso,fecha_salida,fecha_vencimiento,cantidad_ingreso,cantidad_salida,cantidad_merma,dias_en_almacen,costo_unitario_bob,columnas_con_problemas,en_cuarentena
3421,MOV-003421,LOT-2026-03421,PROD-051,Santa Cruz,2026-06-02,2026-06-12,,374,363,5,10,21.14,fecha_vencimiento,True
3574,MOV-003574,LOT-2026-03574,PROD-049,Santa Cruz,2026-06-21,2026-07-10,,745,718,27,19,25.49,fecha_vencimiento,True
3609,MOV-003609,LOT-2026-03609,PROD-005,Cochabamba,2026-07-28,2026-08-16,,673,668,5,19,76.84,fecha_vencimiento,True
3665,MOV-003665,LOT-2026-03665,PROD-058,Santa Cruz,04/07/2026,2026-07-31,2027-07-04,294,287,2,27,83.63,fecha_ingreso,True
3685,MOV-003685,LOT-2026-03685,PROD-003,Tarija,19/05/2026,2026-06-08,2026-06-06,951,910,36,20,27.19,fecha_ingreso,True
3861,MOV-003861,LOT-2026-03861,PROD-017,Oruro,2026-08-01,2026-08-17,,887,858,28,16,19.81,fecha_vencimiento,True
3882,MOV-003882,LOT-2026-03882,PROD-057,Tarija,23/06/2026,2026-07-08,2027-06-23,790,782,7,15,39.61,fecha_ingreso,True
3974,MOV-003974,LOT-2026-03974,PROD-046,Santa Cruz,2026-06-25,2026-07-24,,742,736,4,29,12.64,fecha_vencimiento,True
4249,MOV-004249,LOT-2026-04249,PROD-043,Cochabamba,18/08/2026,2026-09-02,2026-09-05,606,583,19,15,71.11,fecha_ingreso,True
4459,MOV-004459,LOT-2026-04459,PROD-013,Santa Cruz,2026-06-22,2026-07-06,,229,219,4,14,33.05,fecha_vencimiento,True
4700,MOV-004700,LOT-2026-04700,PROD-020,Santa Cruz,2026-05-30,2026-06-21,,284,265,12,22,26.82,fecha_vencimiento,True
4702,MOV-004702,LOT-2026-04702,PROD-007,Santa Cruz,27/05/2026,2026-06-14,2027-05-27,630,621,4,18,23.87,fecha_ingreso,True
4869,MOV-004869,LOT-2026-04869,PROD-026,Santa Cruz,07/07/2026,2026-07-24,2027-07-07,960,951,5,17,66.47,fecha_ingreso,True
4900,MOV-004900,LOT-2026-04900,PROD-040,Cochabamba,2026-05-03,2026-05-07,2026-05-21,411,396,-11,4,82.17,cantidad_merma,True
4915,MOV-004915,LOT-2026-04915,PROD-017,Cochabamba,2026-07-10,2026-07-22,,346,330,10,12,19.81,fecha_vencimiento,True
4971,MOV-004971,LOT-2026-04971,PROD-031,Oruro,2026-08-25,2026-02-31,2027-02-21,848,833,11,7,14.93,fecha_salida,True
4978,MOV-004978,LOT-2026-04978,PROD-030,Cochabamba,2026-06-26,2026-07-17,,293,289,2,21,24.51,fecha_vencimiento,True
4995,MOV-004995,LOT-2026-04995,PROD-012,Tarija,22/07/2026,2026-07-28,2027-01-18,592,581,8,6,80.8,fecha_ingreso,True
5096,MOV-005096,LOT-2026-05096,PROD-028,Cochabamba,2026-08-08,2026-08-28,,311,305,3,20,55.4,fecha_vencimiento,True
5104,MOV-005104,LOT-2026-05104,PROD-036,Santa Cruz,30/05/2026,2026-06-07,2026-11-26,403,393,5,8,53.28,fecha_ingreso,True
5214,MOV-005214,LOT-2026-05214,PROD-002,La Paz,2026-08-05,2026-08-08,2026-08-23,238,227,-6,3,33.75,cantidad_merma,True
5227,MOV-005227,LOT-2026-05227,PROD-051,Santa Cruz,2026-08-04,2026-08-08,2027-01-31,cien,574,11,4,21.14,cantidad_ingreso,True
5254,MOV-005254,LOT-2026-05254,PROD-014,Tarija,2026-07-21,2026-08-07,,983,977,6,17,21.61,fecha_vencimiento,True
5265,MOV-005265,LOT-2026-05265,PROD-046,La Paz,2026-05-01,2026-05-15,,369,367,2,14,12.64,fecha_vencimiento,True
5282,MOV-005282,LOT-2026-05282,PROD-049,Tarija,2026-07-20,2026-07-22,2026-08-07,cien,706,22,2,25.49,cantidad_ingreso,True
5463,MOV-005463,LOT-2026-05463,PROD-024,Santa Cruz,13/06/2026,2026-07-08,2027-06-13,938,927,7,25,23.48,fecha_ingreso,True
5468,MOV-005468,LOT-2026-05468,PROD-030,La Paz,2026-08-23,2026-09-28,,961,949,8,36,24.51,fecha_vencimiento,True
5769,MOV-005769,LOT-2026-05769,PROD-019,Santa Cruz,2026-07-25,2026-02-31,2026-08-12,307,295,8,4,62.22,fecha_salida,True
5909,MOV-005909,LOT-2026-05909,PROD-056,Tarija,2026-08-04,2026-08-17,2026-08-22,cien,599,17,13,36.51,cantidad_ingreso,True
6001,MOV-004748,LOT-2026-04748,PROD-036,Cochabamba,2026-05-26,2026-06-24,2026-11-22,408,402,6,29,53.28,movimiento_id,True
6002,MOV-001735,LOT-2026-01735,PROD-018,Santa Cruz,2026-06-29,2026-07-25,2027-06-29,654,648,5,26,20.82,movimiento_id,True
6003,MOV-003073,LOT-2026-03073,PROD-058,La Paz,2026-08-23,2026-09-13,2027-08-23,717,709,6,21,83.63,movimiento_id,True
6004,MOV-003016,LOT-2026-03016,PROD-042,Oruro,2026-07-10,2026-07-21,2027-07-10,161,154,1,11,73.69,movimiento_id,True
6005,MOV-003990,LOT-2026-03990,PROD-051,Tarija,2026-07-09,2026-07-26,2027-01-05,970,952,13,17,21.14,movimiento_id,True
6006,MOV-001055,LOT-2026-01055,PROD-038,Cochabamba,2026-05-05,2026-05-25,2027-05-05,745,736,6,20,13.49,movimiento_id,True
6007,MOV-004746,LOT-2026-04746,PROD-003,Cochabamba,2026-06-25,2026-07-08,2026-07-13,287,279,8,13,27.19,movimiento_id,True
6008,MOV-004614,LOT-2026-04614,PROD-040,Tarija,2026-05-30,2026-06-09,2026-06-17,163,152,4,10,82.17,movimiento_id,True
6009,MOV-000978,LOT-2026-00978,PROD-060,Oruro,2026-08-27,2026-09-01,2026-09-14,399,389,10,5,37.99,movimiento_id,True
6010,MOV-005017,LOT-2026-05017,PROD-004,La Paz,2026-06-28,2026-07-21,2027-06-28,946,940,6,23,27.26,movimiento_id,True
6011,MOV-000102,LOT-2026-00102,PROD-006,Santa Cruz,2026-06-14,2026-07-08,2027-06-14,708,698,7,24,23.32,movimiento_id,True
6012,MOV-004597,LOT-2026-04597,PROD-053,Cochabamba,2026-05-04,2026-05-21,2027-05-04,305,300,2,17,73.12,movimiento_id,True
6013,MOV-004997,LOT-2026-04997,PROD-011,Santa Cruz,2026-07-29,2026-07-30,2026-08-16,429,417,12,1,14.4,movimiento_id,True
6014,MOV-003224,LOT-2026-03224,PROD-045,Santa Cruz,2026-08-11,2026-08-25,2027-08-11,815,806,5,14,61.85,movimiento_id,True
6015,MOV-004399,LOT-2026-04399,PROD-051,Tarija,2026-06-17,2026-07-03,2026-12-14,627,618,8,16,21.14,movimiento_id,True
6016,MOV-005441,LOT-2026-05441,PROD-047,Tarija,2026-05-23,2026-07-02,2027-05-23,306,300,4,40,21.58,movimiento_id,True
6017,MOV-005588,LOT-2026-05588,PROD-006,Oruro,2026-07-14,2026-07-29,2027-07-14,777,766,7,15,23.32,movimiento_id,True
6018,MOV-003592,LOT-2026-03592,PROD-047,La Paz,2026-05-12,2026-05-25,2027-05-12,489,486,3,13,21.58,movimiento_id,True
6019,MOV-003014,LOT-2026-03014,PROD-032,La Paz,2026-07-21,2026-09-03,2027-07-21,357,345,7,44,63.21,movimiento_id,True
6020,MOV-004061,LOT-2026-04061,PROD-051,Tarija,2026-05-12,2026-06-19,2026-11-08,446,437,8,38,21.14,movimiento_id,True
6021,MOV-000734,LOT-2026-00734,PROD-042,Oruro,2026-05-24,2026-06-13,2027-05-24,566,558,4,20,73.69,movimiento_id,True
6022,MOV-002648,LOT-2026-02648,PROD-039,Santa Cruz,2026-07-09,2026-07-21,2027-07-09,725,715,5,12,56.75,movimiento_id,True
6023,MOV-002305,LOT-2026-02305,PROD-019,Oruro,2026-07-21,2026-08-03,2026-08-08,887,861,24,13,62.22,movimiento_id,True
6024,MOV-001648,LOT-2026-01648,PROD-041,La Paz,2026-06-25,2026-07-09,2027-06-25,159,153,1,14,14.19,movimiento_id,True
6025,MOV-001094,LOT-2026-01094,PROD-044,Tarija,2026-07-06,2026-07-23,2027-07-06,944,938,5,17,65.12,movimiento_id,True
6026,MOV-005267,LOT-2026-05267,PROD-046,Oruro,2026-05-27,2026-06-08,2027-05-27,545,538,5,12,12.64,movimiento_id,True
6027,MOV-004534,LOT-2026-04534,PROD-047,Tarija,2026-06-28,2026-07-25,2027-06-28,561,556,5,27,21.58,movimiento_id,True
6028,MOV-000190,LOT-2026-00190,PROD-019,Santa Cruz,2026-05-22,2026-06-17,2026-06-09,648,613,31,26,62.22,movimiento_id,True
6029,MOV-000904,LOT-2026-00904,PROD-024,Cochabamba,2026-05-20,2026-06-08,2027-05-20,365,355,3,19,23.48,movimiento_id,True
6030,MOV-002656,LOT-2026-02656,PROD-040,Santa Cruz,2026-06-06,2026-06-20,2026-06-24,773,744,24,14,82.17,movimiento_id,True
6031,MOV-002654,LOT-2026-02654,PROD-056,Tarija,2026-07-02,2026-07-18,2026-07-20,124,114,4,16,36.51,movimiento_id,True
6032,MOV-003560,LOT-2026-03560,PROD-054,La Paz,2026-07-10,2026-07-29,2027-07-10,899,894,5,19,81.98,movimiento_id,True
6033,MOV-005749,LOT-2026-05749,PROD-047,Tarija,2026-08-01,2026-08-24,2027-08-01,224,223,1,23,21.58,movimiento_id,True
6034,MOV-004374,LOT-2026-04374,PROD-022,Tarija,2026-08-23,2026-09-26,2027-02-19,740,730,9,34,67.52,movimiento_id,True
6035,MOV-004588,LOT-2026-04588,PROD-003,Cochabamba,2026-07-14,2026-08-01,2026-08-01,625,594,24,18,27.19,movimiento_id,True
6036,MOV-004400,LOT-2026-04400,PROD-023,Cochabamba,2026-07-04,2026-07-22,2026-12-31,87,83,1,18,64.4,movimiento_id,True
6037,MOV-000486,LOT-2026-00486,PROD-048,La Paz,2026-08-23,2026-09-10,2027-08-23,988,978,8,18,24.01,movimiento_id,True
6038,MOV-005819,LOT-2026-05819,PROD-012,Tarija,2026-05-31,2026-06-04,2026-11-27,698,683,9,4,80.8,movimiento_id,True
6039,MOV-003665,LOT-2026-03665,PROD-058,Santa Cruz,2026-07-04,2026-07-31,2027-07-04,294,287,2,27,83.63,movimiento_id,True
6040,MOV-004092,LOT-2026-04092,PROD-051,La Paz,2026-05-29,2026-06-06,2026-11-25,348,341,4,8,21.14,movimiento_id,True
