evento_tec_id,camion_id,posicion_evento,sistema,fecha_exportacion,evento_id,timestamp,tipo,severidad,valor_lectura,reconocido,umbral_temp_cabina_c,geocerca_radio_km,ultimo_mantenimiento,camion_id_original,evento_id_original,timestamp_original,tipo_original,severidad_original,valor_lectura_original,reconocido_original,errores_bloqueantes,motivos_transformacion,motivos_imputacion,fue_transformada,fue_imputada,valor_lectura_no_aplica,valor_lectura_conversion_invalida,valor_lectura_centinela_detectado,reconocido_normalizado,reconocido_ausente,timestamp_utc,timestamp_tratado,timestamp_formato_detectado,timestamp_transformado,timestamp_conversion_invalida,tipo_valido,severidad_valida,camion_corresponde_flota_silver,duplicado_evento_id,duplicado_exacto,conflicto_evento,copia_duplicada,calidad_motivo,calidad_estado,conteo_transformaciones,conteo_imputaciones,imputacion_metodo,imputacion_motivo
11,CAM-02,5,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00011,2026-08-05T13:17:00,ALERTA_TEMP_CADENA_FRIO,Media,51.66,False,7.8,42.6,2026-07-16,CAM-02,EVT-ALOG-00011,2026-08-05T13:17:00,ALERTA_TEMP_CADENA_FRIO,Media,51.66,False,,,,False,False,False,False,False,False,False,2026-08-05 17:17:00+00:00,2026-08-05T17:17:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
12,CAM-02,6,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00012,2026-08-25T09:33:00,GEOCERCA_SALIDA,Baja,72.54,False,7.8,42.6,2026-07-16,CAM-02,EVT-ALOG-00012,2026-08-25T09:33:00,GEOCERCA_SALIDA,Baja,72.54,False,,,,False,False,False,False,False,False,False,2026-08-25 13:33:00+00:00,2026-08-25T13:33:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
13,CAM-02,7,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00013,2026-08-13T23:22:00,MANTENIMIENTO_PROGRAMADO,Media,42.67,True,7.8,42.6,2026-07-16,CAM-02,EVT-ALOG-00013,2026-08-13T23:22:00,MANTENIMIENTO_PROGRAMADO,Media,42.67,True,,,,False,False,False,False,False,True,False,2026-08-14 03:22:00+00:00,2026-08-14T03:22:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
14,CAM-02,8,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00014,2026-08-12T21:19:00,EXCESO_VELOCIDAD,Media,76.08,True,7.8,42.6,2026-07-16,CAM-02,EVT-ALOG-00014,2026-08-12T21:19:00,EXCESO_VELOCIDAD,Media,76.08,True,,,,False,False,False,False,False,True,False,2026-08-13 01:19:00+00:00,2026-08-13T01:19:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
15,CAM-02,9,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00015,2026-08-17T08:51:00,ALERTA_TEMP_CADENA_FRIO,Media,41.59,True,7.8,42.6,2026-07-16,CAM-02,EVT-ALOG-00015,2026-08-17T08:51:00,ALERTA_TEMP_CADENA_FRIO,Media,41.59,True,,,,False,False,False,False,False,True,False,2026-08-17 12:51:00+00:00,2026-08-17T12:51:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
16,CAM-03,1,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00016,2026-08-27T16:14:00,FALLA_MOTOR,Media,105.17,False,8.0,36.6,2026-07-17,CAM-03,EVT-ALOG-00016,2026-08-27T16:14:00,FALLA_MOTOR,Media,105.17,False,,,,False,False,False,False,False,False,False,2026-08-27 20:14:00+00:00,2026-08-27T20:14:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
17,CAM-03,2,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00017,2026-08-27T06:15:00,GEOCERCA_SALIDA,Baja,82.36,True,8.0,36.6,2026-07-17,CAM-03,EVT-ALOG-00017,2026-08-27T06:15:00,GEOCERCA_SALIDA,Baja,82.36,True,,,,False,False,False,False,False,True,False,2026-08-27 10:15:00+00:00,2026-08-27T10:15:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
18,CAM-03,3,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00018,2026-08-18T16:33:00,ALERTA_TEMP_CADENA_FRIO,Baja,45.24,False,8.0,36.6,2026-07-17,CAM-03,EVT-ALOG-00018,2026-08-18T16:33:00,ALERTA_TEMP_CADENA_FRIO,Baja,45.24,False,,,,False,False,False,False,False,False,False,2026-08-18 20:33:00+00:00,2026-08-18T20:33:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
19,CAM-03,4,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00019,2026-08-29T01:41:00,ALERTA_TEMP_CADENA_FRIO,Baja,43.6,,8.0,36.6,2026-07-17,CAM-03,EVT-ALOG-00019,2026-08-29T01:41:00,ALERTA_TEMP_CADENA_FRIO,Baja,43.6,,,,,False,False,False,False,False,,True,2026-08-29 05:41:00+00:00,2026-08-29T05:41:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
20,CAM-03,5,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00020,2026-08-08T14:15:00,ALERTA_TEMP_CADENA_FRIO,Media,50.03,True,8.0,36.6,2026-07-17,CAM-03,EVT-ALOG-00020,2026-08-08T14:15:00,ALERTA_TEMP_CADENA_FRIO,Media,50.03,True,,,,False,False,False,False,False,True,False,2026-08-08 18:15:00+00:00,2026-08-08T18:15:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
21,CAM-04,1,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00021,2026-08-01T13:50:00,FALLA_MOTOR,Baja,56.43,False,7.0,21.5,2026-08-03,CAM-04,EVT-ALOG-00021,2026-08-01T13:50:00,FALLA_MOTOR,Baja,56.43,False,,,,False,False,False,False,False,False,False,2026-08-01 17:50:00+00:00,2026-08-01T17:50:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
22,CAM-04,2,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00022,2026-08-04T19:33:00,ALERTA_TEMP_CADENA_FRIO,Baja,54.6,False,7.0,21.5,2026-08-03,CAM-04,EVT-ALOG-00022,2026-08-04T19:33:00,ALERTA_TEMP_CADENA_FRIO,Baja,54.6,False,,,,False,False,False,False,False,False,False,2026-08-04 23:33:00+00:00,2026-08-04T23:33:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
23,CAM-04,3,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00023,2026-08-23T01:03:00,ALERTA_TEMP_CADENA_FRIO,Baja,,True,7.0,21.5,2026-08-03,CAM-04,EVT-ALOG-00023,2026-08-23T01:03:00,ALERTA_TEMP_CADENA_FRIO,Baja,N/D,True,,,,,False,True,False,False,True,False,2026-08-23 05:03:00+00:00,2026-08-23T05:03:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
24,CAM-05,1,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00024,2026-08-16T23:18:00,FALLA_MOTOR,Alta,58.51,True,8.2,52.7,2026-06-12,CAM-05,EVT-ALOG-00024,2026-08-16T23:18:00,FALLA_MOTOR,Alta,58.51,True,,,,False,False,False,False,False,True,False,2026-08-17 03:18:00+00:00,2026-08-17T03:18:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
25,CAM-05,2,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00025,05/08/2026 01:39,EXCESO_VELOCIDAD,Media,75.21,True,8.2,52.7,2026-06-12,CAM-05,EVT-ALOG-00025,05/08/2026 01:39,EXCESO_VELOCIDAD,Media,75.21,True,,,,True,False,False,False,False,True,False,2026-08-05 05:39:00+00:00,2026-08-05T05:39:00+0000,DD/MM/YYYY HH:MM,True,False,True,True,True,False,False,False,False,sin_incidencias,valida,1,0,,
26,CAM-05,3,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00026,2026-08-15T00:17:00,EXCESO_VELOCIDAD,Baja,51.83,True,8.2,52.7,2026-06-12,CAM-05,EVT-ALOG-00026,2026-08-15T00:17:00,EXCESO_VELOCIDAD,Baja,51.83,True,,,,False,False,False,False,False,True,False,2026-08-15 04:17:00+00:00,2026-08-15T04:17:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
27,CAM-05,4,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00027,2026-08-29T17:42:00,MANTENIMIENTO_PROGRAMADO,Baja,56.84,,8.2,52.7,2026-06-12,CAM-05,EVT-ALOG-00027,2026-08-29T17:42:00,MANTENIMIENTO_PROGRAMADO,Baja,56.84,,,,,False,False,False,False,False,,True,2026-08-29 21:42:00+00:00,2026-08-29T21:42:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
28,CAM-05,5,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00028,2026-08-19T05:29:00,MANTENIMIENTO_PROGRAMADO,Alta,57.61,False,8.2,52.7,2026-06-12,CAM-05,EVT-ALOG-00028,2026-08-19T05:29:00,MANTENIMIENTO_PROGRAMADO,Alta,57.61,False,,,,False,False,False,False,False,False,False,2026-08-19 09:29:00+00:00,2026-08-19T09:29:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
29,CAM-05,6,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00029,2026-08-04T15:12:00,EXCESO_VELOCIDAD,Alta,55.65,True,8.2,52.7,2026-06-12,CAM-05,EVT-ALOG-00029,2026-08-04T15:12:00,EXCESO_VELOCIDAD,Alta,55.65,True,,,,False,False,False,False,False,True,False,2026-08-04 19:12:00+00:00,2026-08-04T19:12:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
30,CAM-05,7,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00030,2026-08-19T06:43:00,EXCESO_VELOCIDAD,Baja,65.57,True,8.2,52.7,2026-06-12,CAM-05,EVT-ALOG-00030,2026-08-19T06:43:00,EXCESO_VELOCIDAD,Baja,65.57,True,,,,False,False,False,False,False,True,False,2026-08-19 10:43:00+00:00,2026-08-19T10:43:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
31,CAM-05,8,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00031,2026-08-14T16:11:00,ALERTA_TEMP_CADENA_FRIO,Media,47.76,True,8.2,52.7,2026-06-12,CAM-05,EVT-ALOG-00031,2026-08-14T16:11:00,ALERTA_TEMP_CADENA_FRIO,Media,47.76,True,,,,False,False,False,False,False,True,False,2026-08-14 20:11:00+00:00,2026-08-14T20:11:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
33,CAM-06,2,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00033,2026-08-27T12:13:00,EXCESO_VELOCIDAD,Baja,84.81,True,7.0,59.7,2026-08-08,CAM-06,EVT-ALOG-00033,2026-08-27T12:13:00,EXCESO_VELOCIDAD,Baja,84.81,True,,,,False,False,False,False,False,True,False,2026-08-27 16:13:00+00:00,2026-08-27T16:13:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
34,CAM-06,3,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00034,2026-08-23T08:45:00,EXCESO_VELOCIDAD,Baja,60.12,True,7.0,59.7,2026-08-08,CAM-06,EVT-ALOG-00034,2026-08-23T08:45:00,EXCESO_VELOCIDAD,Baja,60.12,True,,,,False,False,False,False,False,True,False,2026-08-23 12:45:00+00:00,2026-08-23T12:45:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
35,CAM-06,4,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00035,2026-08-05T09:35:00,FALLA_MOTOR,Media,50.4,True,7.0,59.7,2026-08-08,CAM-06,EVT-ALOG-00035,2026-08-05T09:35:00,FALLA_MOTOR,Media,50.4,True,,,,False,False,False,False,False,True,False,2026-08-05 13:35:00+00:00,2026-08-05T13:35:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
36,CAM-06,5,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00036,2026-08-22T06:21:00,FALLA_MOTOR,Media,,False,7.0,59.7,2026-08-08,CAM-06,EVT-ALOG-00036,2026-08-22T06:21:00,FALLA_MOTOR,Media,N/D,False,,,,,False,True,False,False,False,False,2026-08-22 10:21:00+00:00,2026-08-22T10:21:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
37,CAM-06,6,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00037,2026-08-18T18:21:00,FALLA_MOTOR,Baja,35.34,,7.0,59.7,2026-08-08,CAM-06,EVT-ALOG-00037,2026-08-18T18:21:00,FALLA_MOTOR,Baja,35.34,,,,,False,False,False,False,False,,True,2026-08-18 22:21:00+00:00,2026-08-18T22:21:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
38,CAM-06,7,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00038,2026-08-28T18:17:00,ALERTA_TEMP_CADENA_FRIO,Media,65.61,True,7.0,59.7,2026-08-08,CAM-06,EVT-ALOG-00038,2026-08-28T18:17:00,ALERTA_TEMP_CADENA_FRIO,Media,65.61,True,,,,False,False,False,False,False,True,False,2026-08-28 22:17:00+00:00,2026-08-28T22:17:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
39,CAM-06,8,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00039,2026-08-04T22:23:00,ALERTA_TEMP_CADENA_FRIO,Baja,42.94,True,7.0,59.7,2026-08-08,CAM-06,EVT-ALOG-00039,2026-08-04T22:23:00,ALERTA_TEMP_CADENA_FRIO,Baja,42.94,True,,,,False,False,False,False,False,True,False,2026-08-05 02:23:00+00:00,2026-08-05T02:23:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
40,CAM-06,9,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00032,2026-08-07T23:37:00,FALLA_MOTOR,Media,53.98,True,7.0,59.7,2026-08-08,CAM-06,EVT-ALOG-00032,2026-08-07T23:37:00,FALLA_MOTOR,Media,53.98,True,,,,False,False,False,False,False,True,False,2026-08-08 03:37:00+00:00,2026-08-08T03:37:00+0000,ISO,False,False,True,True,True,True,True,False,False,sin_incidencias,valida,0,0,,
41,CAM-07,1,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00040,2026-08-13T08:24:00,GEOCERCA_SALIDA,Media,73.29,False,8.4,22.4,2026-08-18,CAM-07,EVT-ALOG-00040,2026-08-13T08:24:00,GEOCERCA_SALIDA,Media,73.29,False,,,,False,False,False,False,False,False,False,2026-08-13 12:24:00+00:00,2026-08-13T12:24:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
42,CAM-07,2,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00041,2026-08-05T02:33:00,FALLA_MOTOR,Media,51.28,False,8.4,22.4,2026-08-18,CAM-07,EVT-ALOG-00041,2026-08-05T02:33:00,FALLA_MOTOR,Media,51.28,False,,,,False,False,False,False,False,False,False,2026-08-05 06:33:00+00:00,2026-08-05T06:33:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
43,CAM-07,3,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00042,2026-08-08T23:29:00,GEOCERCA_SALIDA,Baja,72.37,True,8.4,22.4,2026-08-18,CAM-07,EVT-ALOG-00042,2026-08-08T23:29:00,GEOCERCA_SALIDA,Baja,72.37,True,,,,False,False,False,False,False,True,False,2026-08-09 03:29:00+00:00,2026-08-09T03:29:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
44,CAM-07,4,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00043,2026-08-28T04:48:00,GEOCERCA_SALIDA,Baja,64.17,True,8.4,22.4,2026-08-18,CAM-07,EVT-ALOG-00043,2026-08-28T04:48:00,GEOCERCA_SALIDA,Baja,64.17,True,,,,False,False,False,False,False,True,False,2026-08-28 08:48:00+00:00,2026-08-28T08:48:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
45,CAM-07,5,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00044,2026-08-11T23:45:00,ALERTA_TEMP_CADENA_FRIO,Media,25.32,True,8.4,22.4,2026-08-18,CAM-07,EVT-ALOG-00044,2026-08-11T23:45:00,ALERTA_TEMP_CADENA_FRIO,Media,25.32,True,,,,False,False,False,False,False,True,False,2026-08-12 03:45:00+00:00,2026-08-12T03:45:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
46,CAM-07,6,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00045,2026-08-22T09:22:00,ALERTA_TEMP_CADENA_FRIO,Alta,59.64,True,8.4,22.4,2026-08-18,CAM-07,EVT-ALOG-00045,2026-08-22T09:22:00,ALERTA_TEMP_CADENA_FRIO,Alta,59.64,True,,,,False,False,False,False,False,True,False,2026-08-22 13:22:00+00:00,2026-08-22T13:22:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
47,CAM-07,7,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00046,2026-08-18T15:59:00,MANTENIMIENTO_PROGRAMADO,Baja,58.81,True,8.4,22.4,2026-08-18,CAM-07,EVT-ALOG-00046,2026-08-18T15:59:00,MANTENIMIENTO_PROGRAMADO,Baja,58.81,True,,,,False,False,False,False,False,True,False,2026-08-18 19:59:00+00:00,2026-08-18T19:59:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
48,CAM-07,8,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00047,2026-08-04T01:12:00,EXCESO_VELOCIDAD,Baja,34.75,True,8.4,22.4,2026-08-18,CAM-07,EVT-ALOG-00047,2026-08-04T01:12:00,EXCESO_VELOCIDAD,Baja,34.75,True,,,,False,False,False,False,False,True,False,2026-08-04 05:12:00+00:00,2026-08-04T05:12:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
50,CAM-08,2,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00049,2026-08-29T08:02:00,GEOCERCA_SALIDA,Baja,59.82,False,7.7,30.4,2026-07-10,CAM-08,EVT-ALOG-00049,2026-08-29T08:02:00,GEOCERCA_SALIDA,Baja,59.82,False,,,,False,False,False,False,False,False,False,2026-08-29 12:02:00+00:00,2026-08-29T12:02:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
51,CAM-08,3,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00050,2026-08-14T03:38:00,MANTENIMIENTO_PROGRAMADO,Alta,,True,7.7,30.4,2026-07-10,CAM-08,EVT-ALOG-00050,2026-08-14T03:38:00,MANTENIMIENTO_PROGRAMADO,Alta,N/D,True,,,,,False,True,False,False,True,False,2026-08-14 07:38:00+00:00,2026-08-14T07:38:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
52,CAM-08,4,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00051,2026-08-01T02:32:00,ALERTA_TEMP_CADENA_FRIO,Media,36.87,True,7.7,30.4,2026-07-10,CAM-08,EVT-ALOG-00051,2026-08-01T02:32:00,ALERTA_TEMP_CADENA_FRIO,Media,36.87,True,,,,False,False,False,False,False,True,False,2026-08-01 06:32:00+00:00,2026-08-01T06:32:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
53,CAM-08,5,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00048,2026-08-06T09:56:00,EXCESO_VELOCIDAD,Alta,55.59,False,7.7,30.4,2026-07-10,CAM-08,EVT-ALOG-00048,2026-08-06T09:56:00,EXCESO_VELOCIDAD,Alta,55.59,False,,,,False,False,False,False,False,False,False,2026-08-06 13:56:00+00:00,2026-08-06T13:56:00+0000,ISO,False,False,True,True,True,True,True,False,False,sin_incidencias,valida,0,0,,
54,CAM-09,1,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00052,2026-08-01T12:50:00,MANTENIMIENTO_PROGRAMADO,Media,,True,8.8,58.6,2026-07-19,CAM-09,EVT-ALOG-00052,2026-08-01T12:50:00,MANTENIMIENTO_PROGRAMADO,Media,N/D,True,,,,,False,True,False,False,True,False,2026-08-01 16:50:00+00:00,2026-08-01T16:50:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
