_fila_bronze,movimiento_id,lote_id,producto_id,centro_distribucion,fecha_ingreso,fecha_salida,fecha_vencimiento,cantidad_ingreso,cantidad_salida,cantidad_merma,dias_en_almacen,costo_unitario_bob,movimiento_id_original,lote_id_original,producto_id_original,centro_distribucion_original,fecha_ingreso_original,fecha_salida_original,fecha_vencimiento_original,cantidad_ingreso_original,cantidad_salida_original,cantidad_merma_original,dias_en_almacen_original,costo_unitario_bob_original,errores_bloqueantes,motivos_transformacion,motivos_imputacion,fue_transformada,fue_imputada,cantidad_ingreso_conversion_invalida,cantidad_ingreso_centinela_detectado,cantidad_salida_conversion_invalida,cantidad_salida_centinela_detectado,cantidad_merma_conversion_invalida,cantidad_merma_centinela_detectado,dias_en_almacen_conversion_invalida,dias_en_almacen_centinela_detectado,costo_unitario_bob_conversion_invalida,costo_unitario_bob_centinela_detectado,fecha_ingreso_timestamp_detectado,fecha_ingreso_timestamp_utc,fecha_salida_timestamp_detectado,fecha_salida_timestamp_utc,fecha_vencimiento_timestamp_detectado,fecha_vencimiento_timestamp_utc,fecha_ingreso_conversion_determinista,fecha_ingreso_conversion_invalida,fecha_salida_conversion_determinista,fecha_salida_conversion_invalida,fecha_vencimiento_conversion_determinista,fecha_vencimiento_conversion_invalida,fecha_salida_vacia,centro_distribucion_valido,salida_incoherente,cantidad_restante_calculada,dias_vencimiento_calculado,vence_dentro_30_dias,duplicado_clave,duplicado_exacto,conflicto_clave,conservar_copia_duplicada,producto_id_corresponde_productos_silver,fecha_vencimiento_fuente,wms_lote_id_disponible,calidad_motivo,calidad_estado,conteo_transformaciones,conteo_imputaciones,imputacion_metodo,imputacion_motivo
11,MOV-000011,LOT-2026-00011,PROD-034,La Paz,2026-05-31,2026-06-08,2026-06-18,429.0,410.0,12.0,8.0,54.4,MOV-000011,LOT-2026-00011,PROD-034,La Paz,2026-05-31,2026-06-08,2026-06-18,429,410,12,8,54.4,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,7.0,74.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
12,MOV-000012,LOT-2026-00012,PROD-020,La Paz,2026-08-24,2026-09-10,2027-08-24,306.0,301.0,2.0,17.0,59.96,MOV-000012,LOT-2026-00012,PROD-020,La Paz,2026-08-24,2026-09-10,2027-08-24,306,301,2,17,59.96,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,3.0,-358.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
13,MOV-000013,LOT-2026-00013,PROD-057,Tarija,2026-06-20,2026-07-12,2027-06-20,236.0,229.0,1.0,22.0,16.73,MOV-000013,LOT-2026-00013,PROD-057,Tarija,2026-06-20,2026-07-12,2027-06-20,236,229,1,22,16.73,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,6.0,-293.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
14,MOV-000014,LOT-2026-00014,PROD-012,Oruro,2026-06-08,2026-07-01,2027-06-08,578.0,569.0,5.0,23.0,59.96,MOV-000014,LOT-2026-00014,PROD-012,Oruro,2026-06-08,2026-07-01,2027-06-08,578,569,5,23,59.96,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,4.0,-281.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
15,MOV-000015,LOT-2026-00015,PROD-057,Santa Cruz,2026-06-16,2026-07-02,2027-06-16,873.0,856.0,10.0,16.0,16.73,MOV-000015,LOT-2026-00015,PROD-057,Santa Cruz,2026-06-16,2026-07-02,2027-06-16,873,856,10,16,16.73,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,7.0,-289.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
16,MOV-000016,LOT-2026-00016,PROD-041,Tarija,2026-07-04,2026-07-18,2026-12-31,73.0,70.0,1.0,14.0,48.44,MOV-000016,LOT-2026-00016,PROD-041,Tarija,2026-07-04,2026-07-18,2026-12-31,73,70,1,14,48.44,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,2.0,-122.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
17,MOV-000017,LOT-2026-00017,PROD-015,Santa Cruz,2026-05-15,2026-06-10,2026-06-02,131.0,121.0,6.0,26.0,68.74,MOV-000017,LOT-2026-00017,PROD-015,Santa Cruz,2026-05-15,2026-06-10,2026-06-02,131,121,6,26,68.74,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,4.0,90.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
18,MOV-000018,LOT-2026-00018,PROD-016,Santa Cruz,2026-08-28,2026-10-05,2027-08-28,276.0,269.0,3.0,38.0,25.77,MOV-000018,LOT-2026-00018,PROD-016,Santa Cruz,2026-08-28,2026-10-05,2027-08-28,276,269,3,38,25.77,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,4.0,-362.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
19,MOV-000019,LOT-2026-00019,PROD-004,Tarija,2026-06-27,2026-07-06,2026-07-15,59.0,57.0,2.0,9.0,16.27,MOV-000019,LOT-2026-00019,PROD-004,Tarija,2026-06-27,2026-07-06,2026-07-15,59,57,2,9,16.27,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,0.0,47.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
20,MOV-000020,LOT-2026-00020,PROD-054,Santa Cruz,2026-06-07,2026-06-28,2026-12-04,73.0,70.0,1.0,21.0,79.92,MOV-000020,LOT-2026-00020,PROD-054,Santa Cruz,2026-06-07,2026-06-28,2026-12-04,73,70,1,21,79.92,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,2.0,-95.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
21,MOV-000021,LOT-2026-00021,PROD-043,Tarija,2026-06-13,2026-06-22,2026-12-10,496.0,485.0,6.0,9.0,16.46,MOV-000021,LOT-2026-00021,PROD-043,Tarija,2026-06-13,2026-06-22,2026-12-10,496,485,6,9,16.46,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,5.0,-101.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
22,MOV-000022,LOT-2026-00022,PROD-016,Cochabamba,2026-08-11,2026-08-28,2027-08-11,719.0,715.0,4.0,17.0,25.77,MOV-000022,LOT-2026-00022,PROD-016,Cochabamba,2026-08-11,2026-08-28,2027-08-11,719,715,4,17,25.77,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,0.0,-345.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
23,MOV-000023,LOT-2026-00023,PROD-050,Oruro,2026-07-06,2026-07-24,2027-07-06,165.0,162.0,1.0,18.0,46.57,MOV-000023,LOT-2026-00023,PROD-050,Oruro,2026-07-06,2026-07-24,2027-07-06,165,162,1,18,46.57,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,2.0,-309.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
24,MOV-000024,LOT-2026-00024,PROD-045,Tarija,2026-07-30,2026-08-05,2026-08-17,333.0,320.0,10.0,6.0,27.1,MOV-000024,LOT-2026-00024,PROD-045,Tarija,2026-07-30,2026-08-05,2026-08-17,333,320,10,6,27.1,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,3.0,14.0,True,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
25,MOV-000025,LOT-2026-00025,PROD-057,Cochabamba,2026-07-05,2026-07-29,2027-07-05,406.0,395.0,5.0,24.0,16.73,MOV-000025,LOT-2026-00025,PROD-057,Cochabamba,2026-07-05,2026-07-29,2027-07-05,406,395,5,24,16.73,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,6.0,-308.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
26,MOV-000026,LOT-2026-00026,PROD-020,Tarija,2026-08-14,2026-08-26,2027-08-14,187.0,186.0,1.0,12.0,59.96,MOV-000026,LOT-2026-00026,PROD-020,Tarija,2026-08-14,2026-08-26,2027-08-14,187,186,1,12,59.96,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,0.0,-348.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
27,MOV-000027,LOT-2026-00027,PROD-055,Cochabamba,2026-07-25,2026-08-14,2027-07-25,833.0,824.0,5.0,20.0,69.47,MOV-000027,LOT-2026-00027,PROD-055,Cochabamba,2026-07-25,2026-08-14,2027-07-25,833,824,5,20,69.47,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,4.0,-328.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
28,MOV-000028,LOT-2026-00028,PROD-011,La Paz,2026-06-19,2026-06-28,2026-12-16,980.0,961.0,13.0,9.0,32.86,MOV-000028,LOT-2026-00028,PROD-011,La Paz,2026-06-19,2026-06-28,2026-12-16,980,961,13,9,32.86,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,6.0,-107.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
29,MOV-000029,LOT-2026-00029,PROD-033,Tarija,2026-05-01,2026-05-19,2027-05-01,145.0,143.0,1.0,18.0,30.56,MOV-000029,LOT-2026-00029,PROD-033,Tarija,2026-05-01,2026-05-19,2027-05-01,145,143,1,18,30.56,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,1.0,-243.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
30,MOV-000030,LOT-2026-00030,PROD-049,Oruro,2026-05-08,2026-05-19,2026-05-26,900.0,873.0,24.0,11.0,53.71,MOV-000030,LOT-2026-00030,PROD-049,Oruro,2026-05-08,2026-05-19,2026-05-26,900,873,24,11,53.71,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,3.0,97.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
31,MOV-000031,LOT-2026-00031,PROD-032,Santa Cruz,2026-06-27,2026-07-13,2027-06-27,345.0,343.0,2.0,16.0,33.13,MOV-000031,LOT-2026-00031,PROD-032,Santa Cruz,2026-06-27,2026-07-13,2027-06-27,345,343,2,16,33.13,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,0.0,-300.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
32,MOV-000032,LOT-2026-00032,PROD-030,Cochabamba,2026-06-06,2026-06-26,2027-06-06,909.0,896.0,6.0,20.0,34.93,MOV-000032,LOT-2026-00032,PROD-030,Cochabamba,2026-06-06,2026-06-26,2027-06-06,909,896,6,20,34.93,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,7.0,-279.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
33,MOV-000033,LOT-2026-00033,PROD-023,Cochabamba,2026-05-09,2026-06-14,2026-05-27,191.0,175.0,12.0,36.0,22.32,MOV-000033,LOT-2026-00033,PROD-023,Cochabamba,2026-05-09,2026-06-14,2026-05-27,191,175,12,36,22.32,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,4.0,96.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
34,MOV-000034,LOT-2026-00034,PROD-010,Tarija,2026-08-11,2026-08-28,2027-08-11,740.0,733.0,5.0,17.0,18.97,MOV-000034,LOT-2026-00034,PROD-010,Tarija,2026-08-11,2026-08-28,2027-08-11,740,733,5,17,18.97,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,2.0,-345.0,False,False,False,False,False,False,bronze_observada,False,sin_incidencias,valida,0,0,,
35,MOV-000035,LOT-2026-00035,PROD-059,Santa Cruz,2026-08-27,2026-09-09,2027-08-27,191.0,185.0,2.0,13.0,49.31,MOV-000035,LOT-2026-00035,PROD-059,Santa Cruz,2026-08-27,2026-09-09,2027-08-27,191,185,2,13,49.31,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,4.0,-361.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
36,MOV-000036,LOT-2026-00036,PROD-014,Santa Cruz,2026-07-17,2026-08-04,2027-07-17,199.0,192.0,1.0,18.0,74.91,MOV-000036,LOT-2026-00036,PROD-014,Santa Cruz,2026-07-17,2026-08-04,2027-07-17,199,192,1,18,74.91,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,6.0,-320.0,False,False,False,False,False,False,bronze_observada,False,sin_incidencias,valida,0,0,,
37,MOV-000037,LOT-2026-00037,PROD-029,Tarija,2026-08-28,2026-09-19,2027-08-28,482.0,477.0,3.0,22.0,81.05,MOV-000037,LOT-2026-00037,PROD-029,Tarija,2026-08-28,2026-09-19,2027-08-28,482,477,3,22,81.05,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,2.0,-362.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
38,MOV-000038,LOT-2026-00038,PROD-052,Tarija,2026-06-30,2026-07-16,2026-07-18,884.0,850.0,28.0,16.0,41.48,MOV-000038,LOT-2026-00038,PROD-052,Tarija,2026-06-30,2026-07-16,2026-07-18,884,850,28,16,41.48,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,6.0,44.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
39,MOV-000039,LOT-2026-00039,PROD-002,La Paz,2026-06-05,2026-06-29,2027-06-05,65.0,59.0,0.0,24.0,82.37,MOV-000039,LOT-2026-00039,PROD-002,La Paz,2026-06-05,2026-06-29,2027-06-05,65,59,0,24,82.37,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,6.0,-278.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
40,MOV-000040,LOT-2026-00040,PROD-019,Oruro,2026-05-21,2026-06-07,2027-05-21,331.0,323.0,3.0,17.0,62.3,MOV-000040,LOT-2026-00040,PROD-019,Oruro,2026-05-21,2026-06-07,2027-05-21,331,323,3,17,62.3,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,5.0,-263.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
41,MOV-000041,LOT-2026-00041,PROD-036,Cochabamba,2026-07-02,2026-07-30,2026-07-20,303.0,287.0,15.0,28.0,58.54,MOV-000041,LOT-2026-00041,PROD-036,Cochabamba,2026-07-02,2026-07-30,2026-07-20,303,287,15,28,58.54,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,1.0,42.0,False,False,False,False,False,False,bronze_observada,False,sin_incidencias,valida,0,0,,
42,MOV-000042,LOT-2026-00042,PROD-029,La Paz,2026-08-14,2026-09-03,2027-08-14,503.0,496.0,3.0,20.0,81.05,MOV-000042,LOT-2026-00042,PROD-029,La Paz,2026-08-14,2026-09-03,2027-08-14,503,496,3,20,81.05,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,4.0,-348.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
43,MOV-000043,LOT-2026-00043,PROD-055,Santa Cruz,2026-06-08,2026-06-28,2027-06-08,57.0,53.0,0.0,20.0,69.47,MOV-000043,LOT-2026-00043,PROD-055,Santa Cruz,2026-06-08,2026-06-28,2027-06-08,57,53,0,20,69.47,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,4.0,-281.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
44,MOV-000044,LOT-2026-00044,PROD-060,La Paz,2026-06-29,2026-07-19,2026-12-26,263.0,258.0,4.0,20.0,30.63,MOV-000044,LOT-2026-00044,PROD-060,La Paz,2026-06-29,2026-07-19,2026-12-26,263,258,4,20,30.63,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,1.0,-117.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
45,MOV-000045,LOT-2026-00045,PROD-015,Santa Cruz,2026-06-14,2026-07-04,2026-07-02,648.0,616.0,26.0,20.0,68.74,MOV-000045,LOT-2026-00045,PROD-015,Santa Cruz,2026-06-14,2026-07-04,2026-07-02,648,616,26,20,68.74,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,6.0,60.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
46,MOV-000046,LOT-2026-00046,PROD-044,Cochabamba,2026-08-24,2026-08-30,2026-09-11,728.0,706.0,20.0,6.0,38.35,MOV-000046,LOT-2026-00046,PROD-044,Cochabamba,2026-08-24,2026-08-30,2026-09-11,728,706,20,6,38.35,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,2.0,-11.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
47,MOV-000047,LOT-2026-00047,PROD-031,Tarija,2026-06-05,2026-06-16,2027-06-05,668.0,660.0,4.0,11.0,50.89,MOV-000047,LOT-2026-00047,PROD-031,Tarija,2026-06-05,2026-06-16,2027-06-05,668,660,4,11,50.89,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,4.0,-278.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
48,MOV-000048,LOT-2026-00048,PROD-013,Tarija,2026-07-09,2026-07-13,2026-07-27,290.0,275.0,8.0,4.0,46.59,MOV-000048,LOT-2026-00048,PROD-013,Tarija,2026-07-09,2026-07-13,2026-07-27,290,275,8,4,46.59,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,7.0,35.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
49,MOV-000049,LOT-2026-00049,PROD-013,La Paz,2026-06-25,2026-07-06,2026-07-13,279.0,265.0,8.0,11.0,46.59,MOV-000049,LOT-2026-00049,PROD-013,La Paz,2026-06-25,2026-07-06,2026-07-13,279,265,8,11,46.59,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,6.0,49.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
50,MOV-000050,LOT-2026-00050,PROD-048,La Paz,2026-08-25,2026-09-22,2027-08-25,734.0,727.0,5.0,28.0,49.21,MOV-000050,LOT-2026-00050,PROD-048,La Paz,2026-08-25,2026-09-22,2027-08-25,734,727,5,28,49.21,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,2.0,-359.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
51,MOV-000051,LOT-2026-00051,PROD-025,Santa Cruz,2026-06-10,2026-06-12,2026-12-07,784.0,769.0,12.0,2.0,54.32,MOV-000051,LOT-2026-00051,PROD-025,Santa Cruz,2026-06-10,2026-06-12,2026-12-07,784,769,12,2,54.32,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,3.0,-98.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
52,MOV-000052,LOT-2026-00052,PROD-011,Santa Cruz,2026-07-25,2026-07-28,2027-01-21,310.0,302.0,4.0,3.0,32.86,MOV-000052,LOT-2026-00052,PROD-011,Santa Cruz,2026-07-25,2026-07-28,2027-01-21,310,302,4,3,32.86,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,4.0,-143.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
