producto_id,nombre_producto,categoria_logistica,temperatura_conservacion_requerida_c,tolerancia_temperatura_c,precio_unitario_bob,costo_unitario_bob,_fila_bronze,errores_bloqueantes,motivos_transformacion,motivos_imputacion,producto_id_original,nombre_producto_original,categoria_logistica_original,temperatura_conservacion_requerida_c_original,tolerancia_temperatura_c_original,precio_unitario_bob_original,costo_unitario_bob_original,producto_id_tratado,nombre_producto_tratado,categoria_logistica_tratado,producto_id_transformado,nombre_producto_transformado,categoria_logistica_transformado,temperatura_conservacion_requerida_c_tratado,temperatura_conservacion_requerida_c_conversion_invalida,temperatura_conservacion_requerida_c_centinela_detectado,tolerancia_temperatura_c_tratado,tolerancia_temperatura_c_conversion_invalida,tolerancia_temperatura_c_centinela_detectado,precio_unitario_bob_tratado,precio_unitario_bob_conversion_invalida,precio_unitario_bob_centinela_detectado,costo_unitario_bob_tratado,costo_unitario_bob_conversion_invalida,costo_unitario_bob_centinela_detectado,temperatura_conservacion_requerida_c_imputada,temperatura_conservacion_requerida_c_imputacion_metodo,imputacion_metodo,imputacion_motivo,fue_transformada,fue_imputada,conteo_transformaciones,conteo_imputaciones,calidad_motivo,calidad_estado
PROD-021,Producto Logistico 021,Fresco,4.0,2.0,103.68,83.07,22,,,,PROD-021,Producto Logistico 021,Fresco,4.0,2.0,103.68,83.07,PROD-021,Producto Logistico 021,Fresco,False,False,False,4.0,False,False,2.0,False,False,103.68,False,False,83.07,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-022,Producto Logistico 022,Fresco,4.0,2.0,29.94,24.66,23,,identificador_normalizado,, prod-022 ,Producto Logistico 022,Fresco,4.0,2.0,29.94,24.66,PROD-022,Producto Logistico 022,Fresco,True,False,False,4.0,False,False,2.0,False,False,29.94,False,False,24.66,False,False,False,,,,True,False,1,0,sin_incidencias,valida_con_transformacion
PROD-023,Producto Logistico 023,Fresco,4.0,2.0,27.1,22.32,24,,,,PROD-023,Producto Logistico 023,Fresco,4.0,2.0,27.1,22.32,PROD-023,Producto Logistico 023,Fresco,False,False,False,4.0,False,False,2.0,False,False,27.1,False,False,22.32,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-025,Producto Logistico 025,Congelado,-18.0,2.0,66.82,54.32,26,,,,PROD-025,Producto Logistico 025,Congelado,-18.0,2.0,66.82,54.32,PROD-025,Producto Logistico 025,Congelado,False,False,False,-18.0,False,False,2.0,False,False,66.82,False,False,54.32,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-027,Producto Logistico 027,Fresco,4.0,2.0,77.31,64.06,28,,,,PROD-027,Producto Logistico 027,Fresco,4.0,2.0,77.31,64.06,PROD-027,Producto Logistico 027,Fresco,False,False,False,4.0,False,False,2.0,False,False,77.31,False,False,64.06,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-029,Producto Logistico 029,Seco,20.0,5.0,96.01,81.05,30,,,,PROD-029,Producto Logistico 029,Seco,20.0,5.0,96.01,81.05,PROD-029,Producto Logistico 029,Seco,False,False,False,20.0,False,False,5.0,False,False,96.01,False,False,81.05,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-030,Producto Logistico 030,Seco,20.0,5.0,43.07,34.93,31,,,,PROD-030,Producto Logistico 030,Seco,20.0,5.0,43.07,34.93,PROD-030,Producto Logistico 030,Seco,False,False,False,20.0,False,False,5.0,False,False,43.07,False,False,34.93,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-031,Producto Logistico 031,Seco,20.0,5.0,60.3,50.89,32,,identificador_normalizado,, prod-031 ,Producto Logistico 031,Seco,20.0,5.0,60.3,50.89,PROD-031,Producto Logistico 031,Seco,True,False,False,20.0,False,False,5.0,False,False,60.3,False,False,50.89,False,False,False,,,,True,False,1,0,sin_incidencias,valida_con_transformacion
PROD-032,Producto Logistico 032,Seco,20.0,5.0,40.9,33.13,33,,,,PROD-032,Producto Logistico 032,Seco,20.0,5.0,40.9,33.13,PROD-032,Producto Logistico 032,Seco,False,False,False,20.0,False,False,5.0,False,False,40.9,False,False,33.13,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-033,Producto Logistico 033,Seco,20.0,5.0,37.93,30.56,34,,,,PROD-033,Producto Logistico 033,Seco,20.0,5.0,37.93,30.56,PROD-033,Producto Logistico 033,Seco,False,False,False,20.0,False,False,5.0,False,False,37.93,False,False,30.56,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-034,Producto Logistico 034,Fresco,4.0,2.0,65.96,54.4,35,,,,PROD-034,Producto Logistico 034,Fresco,4.0,2.0,65.96,54.4,PROD-034,Producto Logistico 034,Fresco,False,False,False,4.0,False,False,2.0,False,False,65.96,False,False,54.4,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-035,Producto Logistico 035,Congelado,-18.0,2.0,45.08,37.84,36,,,,PROD-035,Producto Logistico 035,Congelado,-18.0,2.0,45.08,37.84,PROD-035,Producto Logistico 035,Congelado,False,False,False,-18.0,False,False,2.0,False,False,45.08,False,False,37.84,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-037,Producto Logistico 037,Fresco,4.0,2.0,31.41,25.76,38,,,,PROD-037,Producto Logistico 037,Fresco,4.0,2.0,31.41,25.76,PROD-037,Producto Logistico 037,Fresco,False,False,False,4.0,False,False,2.0,False,False,31.41,False,False,25.76,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-038,Producto Logistico 038,Seco,20.0,5.0,31.96,26.68,39,,,,PROD-038,Producto Logistico 038,Seco,20.0,5.0,31.96,26.68,PROD-038,Producto Logistico 038,Seco,False,False,False,20.0,False,False,5.0,False,False,31.96,False,False,26.68,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-039,Producto Logistico 039,Seco,20.0,5.0,61.51,53.27,40,,,,PROD-039,Producto Logistico 039,Seco,20.0,5.0,61.51,53.27,PROD-039,Producto Logistico 039,Seco,False,False,False,20.0,False,False,5.0,False,False,61.51,False,False,53.27,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-040,Producto Logistico 040,Seco,20.0,5.0,47.78,40.19,41,,,,PROD-040,Producto Logistico 040,Seco,20.0,5.0,47.78,40.19,PROD-040,Producto Logistico 040,Seco,False,False,False,20.0,False,False,5.0,False,False,47.78,False,False,40.19,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-041,Producto Logistico 041,Congelado,-18.0,2.0,57.88,48.44,42,,,,PROD-041,Producto Logistico 041,Congelado,-18.0,2.0,57.88,48.44,PROD-041,Producto Logistico 041,Congelado,False,False,False,-18.0,False,False,2.0,False,False,57.88,False,False,48.44,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-042,Producto Logistico 042,Seco,20.0,5.0,65.92,55.74,43,,,,PROD-042,Producto Logistico 042,Seco,20.0,5.0,65.92,55.74,PROD-042,Producto Logistico 042,Seco,False,False,False,20.0,False,False,5.0,False,False,65.92,False,False,55.74,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-043,Producto Logistico 043,Congelado,-18.0,2.0,19.19,16.46,44,,,,PROD-043,Producto Logistico 043,Congelado,-18.0,2.0,19.19,16.46,PROD-043,Producto Logistico 043,Congelado,False,False,False,-18.0,False,False,2.0,False,False,19.19,False,False,16.46,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-044,Producto Logistico 044,Fresco,4.0,2.0,44.85,38.35,45,,,,PROD-044,Producto Logistico 044,Fresco,4.0,2.0,44.85,38.35,PROD-044,Producto Logistico 044,Fresco,False,False,False,4.0,False,False,2.0,False,False,44.85,False,False,38.35,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-045,Producto Logistico 045,Fresco,4.0,2.0,33.35,27.1,46,,,,PROD-045,Producto Logistico 045,Fresco,4.0,2.0,33.35,27.1,PROD-045,Producto Logistico 045,Fresco,False,False,False,4.0,False,False,2.0,False,False,33.35,False,False,27.1,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-046,Producto Logistico 046,Seco,20.0,5.0,31.46,25.66,47,,identificador_normalizado,, prod-046 ,Producto Logistico 046,Seco,20.0,5.0,31.46,25.66,PROD-046,Producto Logistico 046,Seco,True,False,False,20.0,False,False,5.0,False,False,31.46,False,False,25.66,False,False,False,,,,True,False,1,0,sin_incidencias,valida_con_transformacion
PROD-047,Producto Logistico 047,Fresco,4.0,2.0,82.63,68.27,48,,,,PROD-047,Producto Logistico 047,Fresco,4.0,2.0,82.63,68.27,PROD-047,Producto Logistico 047,Fresco,False,False,False,4.0,False,False,2.0,False,False,82.63,False,False,68.27,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-048,Producto Logistico 048,Seco,20.0,5.0,58.99,49.21,49,,,,PROD-048,Producto Logistico 048,Seco,20.0,5.0,58.99,49.21,PROD-048,Producto Logistico 048,Seco,False,False,False,20.0,False,False,5.0,False,False,58.99,False,False,49.21,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-049,Producto Logistico 049,Fresco,4.0,2.0,65.44,53.71,50,,,categoria canonica con correspondencia unica declarada,PROD-049,Producto Logistico 049,Fresco,,2.0,65.44,53.71,PROD-049,Producto Logistico 049,Fresco,False,False,False,4.0,False,False,2.0,False,False,65.44,False,False,53.71,False,False,True,catalogo_deterministico_categoria,catalogo_deterministico_categoria,categoria canonica con correspondencia unica declarada,False,True,0,1,sin_incidencias,valida_con_imputacion
PROD-050,Producto Logistico 050,Seco,20.0,5.0,56.92,46.57,51,,,,PROD-050,Producto Logistico 050,Seco,20.0,5.0,56.92,46.57,PROD-050,Producto Logistico 050,Seco,False,False,False,20.0,False,False,5.0,False,False,56.92,False,False,46.57,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-051,Producto Logistico 051,Congelado,-18.0,2.0,28.88,24.83,52,,,,PROD-051,Producto Logistico 051,Congelado,-18.0,2.0,28.88,24.83,PROD-051,Producto Logistico 051,Congelado,False,False,False,-18.0,False,False,2.0,False,False,28.88,False,False,24.83,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-052,Producto Logistico 052,Fresco,4.0,2.0,48.09,41.48,53,,,,PROD-052,Producto Logistico 052,Fresco,4.0,2.0,48.09,41.48,PROD-052,Producto Logistico 052,Fresco,False,False,False,4.0,False,False,2.0,False,False,48.09,False,False,41.48,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-053,Producto Logistico 053,Fresco,4.0,2.0,62.8,52.38,54,,,,PROD-053,Producto Logistico 053,Fresco,4.0,2.0,62.8,52.38,PROD-053,Producto Logistico 053,Fresco,False,False,False,4.0,False,False,2.0,False,False,62.8,False,False,52.38,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-054,Producto Logistico 054,Congelado,-18.0,2.0,98.56,79.92,55,,,,PROD-054,Producto Logistico 054,Congelado,-18.0,2.0,98.56,79.92,PROD-054,Producto Logistico 054,Congelado,False,False,False,-18.0,False,False,2.0,False,False,98.56,False,False,79.92,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-055,Producto Logistico 055,Seco,20.0,5.0,82.15,69.47,56,,,,PROD-055,Producto Logistico 055,Seco,20.0,5.0,82.15,69.47,PROD-055,Producto Logistico 055,Seco,False,False,False,20.0,False,False,5.0,False,False,82.15,False,False,69.47,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-056,Producto Logistico 056,Fresco,4.0,2.0,41.14,33.35,57,,,,PROD-056,Producto Logistico 056,Fresco,4.0,2.0,41.14,33.35,PROD-056,Producto Logistico 056,Fresco,False,False,False,4.0,False,False,2.0,False,False,41.14,False,False,33.35,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-057,Producto Logistico 057,Seco,20.0,5.0,19.64,16.73,58,,,,PROD-057,Producto Logistico 057,Seco,20.0,5.0,19.64,16.73,PROD-057,Producto Logistico 057,Seco,False,False,False,20.0,False,False,5.0,False,False,19.64,False,False,16.73,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-058,Producto Logistico 058,Congelado,-18.0,2.0,98.86,82.19,59,,,,PROD-058,Producto Logistico 058,Congelado,-18.0,2.0,98.86,82.19,PROD-058,Producto Logistico 058,Congelado,False,False,False,-18.0,False,False,2.0,False,False,98.86,False,False,82.19,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-059,Producto Logistico 059,Seco,20.0,5.0,58.59,49.31,60,,,,PROD-059,Producto Logistico 059,Seco,20.0,5.0,58.59,49.31,PROD-059,Producto Logistico 059,Seco,False,False,False,20.0,False,False,5.0,False,False,58.59,False,False,49.31,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-060,Producto Logistico 060,Congelado,-18.0,2.0,35.8,30.63,61,,,,PROD-060,Producto Logistico 060,Congelado,-18.0,2.0,35.8,30.63,PROD-060,Producto Logistico 060,Congelado,False,False,False,-18.0,False,False,2.0,False,False,35.8,False,False,30.63,False,False,False,,,,False,False,0,0,sin_incidencias,valida
