_fila_fuente,chofer_id,centro_distribucion,horas_conduccion_mes,salario_base_bob,ausentismo_dias,chofer_id_original,centro_distribucion_original,horas_conduccion_mes_original,salario_base_bob_original,ausentismo_dias_original,errores_bloqueantes,motivos_transformacion,motivos_imputacion,fue_transformada,fue_imputada,chofer_id_normalizado,horas_conduccion_mes_conversion_invalida,horas_conduccion_mes_centinela_detectado,salario_base_bob_conversion_invalida,salario_base_bob_centinela_detectado,ausentismo_dias_conversion_invalida,ausentismo_dias_centinela_detectado,duplicado_operativo,copia_duplicada,conflicto_clave,calidad_motivo,calidad_estado,conteo_transformaciones,conteo_imputaciones,imputacion_metodo,imputacion_motivo
36,CHO-035,La Paz,168.0,5645.77,0,CHO-035,La Paz,168.0,5645.77,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
37,CHO-036,Santa Cruz,135.1,5485.66,1,CHO-036,Santa Cruz,135.1,5485.66,1,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
38,CHO-037,Santa Cruz,170.7,6137.34,0,CHO-037,Santa Cruz,170.7,6137.34,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
39,CHO-038,Oruro,225.6,5615.13,1, cho-038 ,Oruro,225.6,5615.13,1,,nombre_eliminado_por_privacidad;chofer_id:espacios_y_mayusculas_normalizados,,True,False,True,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,2,0,,
40,CHO-039,Santa Cruz,159.0,5020.13,0,CHO-039,Santa Cruz,159.0,5020.13,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
41,CHO-040,Cochabamba,189.9,5172.2,0,CHO-040,Cochabamba,189.9,5172.2,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
42,CHO-041,Santa Cruz,220.3,5077.15,0,CHO-041,Santa Cruz,220.3,5077.15,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
43,CHO-042,Cochabamba,181.6,6076.88,0,CHO-042,Cochabamba,181.6,6076.88,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
44,CHO-043,Tarija,209.3,4450.54,0,CHO-043,Tarija,209.3,4450.54,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
45,CHO-044,Cochabamba,155.8,4327.0,0,CHO-044,Cochabamba,155.8,4327.0,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
46,CHO-045,Santa Cruz,114.3,5980.33,0,CHO-045,Santa Cruz,114.3,5980.33,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
47,CHO-046,Oruro,205.4,4998.19,0,CHO-046,Oruro,205.4,4998.19,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
48,CHO-047,Cochabamba,132.0,4454.18,2,CHO-047,Cochabamba,132.0,4454.18,2,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
49,CHO-048,Santa Cruz,159.6,4251.02,0,CHO-048,Santa Cruz,159.6,4251.02,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
50,CHO-049,Cochabamba,166.4,3650.83,0,CHO-049,Cochabamba,166.4,3650.83,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
51,CHO-050,La Paz,157.1,4731.24,0,CHO-050,La Paz,157.1,4731.24,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
52,CHO-051,Cochabamba,172.6,4748.77,0,CHO-051,Cochabamba,172.6,4748.77,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
53,CHO-052,Santa Cruz,135.6,4570.4,0,CHO-052,Santa Cruz,135.6,4570.4,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
54,CHO-053,Santa Cruz,157.2,5725.3,0,CHO-053,Santa Cruz,157.2,5725.3,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
55,CHO-054,La Paz,195.5,5861.37,0,CHO-054,La Paz,195.5,5861.37,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
56,CHO-055,Tarija,141.8,5744.11,2,CHO-055,Tarija,141.8,5744.11,2,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
57,CHO-056,La Paz,119.7,5760.61,2,CHO-056,La Paz,119.7,5760.61,2,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,True,False,False,sin_incidencias,valida,1,0,,
58,CHO-057,Cochabamba,146.2,5396.02,0,CHO-057,Cochabamba,146.2,5396.02,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
59,CHO-058,Santa Cruz,161.8,5723.07,0,CHO-058,Santa Cruz,161.8,5723.07,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
60,CHO-059,Tarija,171.7,5878.44,0,CHO-059,Tarija,171.7,5878.44,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
61,CHO-060,La Paz,181.5,3597.56,0,CHO-060,La Paz,181.5,3597.56,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
62,CHO-061,Cochabamba,135.5,4871.79,1,CHO-061,Cochabamba,135.5,4871.79,1,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
63,CHO-062,Cochabamba,146.1,4529.86,0,CHO-062,Cochabamba,146.1,4529.86,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
64,CHO-063,Tarija,124.9,6255.55,0,CHO-063,Tarija,124.9,6255.55,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
65,CHO-064,La Paz,223.5,6042.6,3,CHO-064,La Paz,223.5,6042.6,3,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
66,CHO-065,Cochabamba,175.5,6413.82,0,CHO-065,Cochabamba,175.5,6413.82,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
67,CHO-066,Oruro,146.8,6429.89,0,CHO-066,Oruro,146.8,6429.89,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
68,CHO-067,Tarija,180.4,3737.6,5,CHO-067,Tarija,180.4,3737.6,5,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
69,CHO-068,Tarija,167.3,6453.03,0,CHO-068,Tarija,167.3,6453.03,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
70,CHO-069,Santa Cruz,123.8,5969.13,0,CHO-069,Santa Cruz,123.8,5969.13,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
71,CHO-070,Cochabamba,113.8,3809.55,0,CHO-070,Cochabamba,113.8,3809.55,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
72,CHO-071,Santa Cruz,163.4,4553.89,0,CHO-071,Santa Cruz,163.4,4553.89,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
73,CHO-072,Cochabamba,155.1,4051.1,0,CHO-072,Cochabamba,155.1,4051.1,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
74,CHO-073,La Paz,142.5,4515.61,0,CHO-073,La Paz,142.5,4515.61,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
75,CHO-074,Tarija,142.5,3551.08,2,CHO-074,Tarija,142.5,3551.08,2,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
76,CHO-075,Santa Cruz,188.9,4727.13,0,CHO-075,Santa Cruz,188.9,4727.13,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
77,CHO-076,La Paz,193.1,3836.4,1,CHO-076,La Paz,193.1,3836.4,1,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
78,CHO-077,Cochabamba,156.7,6089.19,0,CHO-077,Cochabamba,156.7,6089.19,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
79,CHO-078,Tarija,156.6,4574.42,0, cho-078 ,Tarija,156.6,4574.42,0,,nombre_eliminado_por_privacidad;chofer_id:espacios_y_mayusculas_normalizados,,True,False,True,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,2,0,,
80,CHO-079,Cochabamba,164.6,6033.17,0,CHO-079,Cochabamba,164.6,6033.17,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
81,CHO-080,Cochabamba,157.2,6300.88,0,CHO-080,Cochabamba,157.2,6300.88,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
82,CHO-081,Cochabamba,161.4,5619.82,0,CHO-081,Cochabamba,161.4,5619.82,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
83,CHO-082,Cochabamba,202.5,4086.2,3,CHO-082,Cochabamba,202.5,4086.2,3,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
84,CHO-083,Cochabamba,203.3,4372.07,2,CHO-083,Cochabamba,203.3,4372.07,2,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
85,CHO-084,Tarija,189.7,4947.58,0,CHO-084,Tarija,189.7,4947.58,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
86,CHO-085,Cochabamba,120.4,6058.36,0,CHO-085,Cochabamba,120.4,6058.36,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
87,CHO-086,Cochabamba,152.0,4749.5,0,CHO-086,Cochabamba,152.0,4749.5,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
88,CHO-087,Cochabamba,138.0,4446.91,0,CHO-087,Cochabamba,138.0,4446.91,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
89,CHO-088,Cochabamba,188.2,6487.49,0,CHO-088,Cochabamba,188.2,6487.49,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
90,CHO-089,Cochabamba,197.9,4756.2,0,CHO-089,Cochabamba,197.9,4756.2,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
91,CHO-090,Santa Cruz,157.6,6330.63,1,CHO-090,Santa Cruz,157.6,6330.63,1,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
92,CHO-091,Cochabamba,168.5,3526.97,0,CHO-091,Cochabamba,168.5,3526.97,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
93,CHO-092,Santa Cruz,188.7,3728.7,0,CHO-092,Santa Cruz,188.7,3728.7,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
94,CHO-093,Santa Cruz,160.0,6130.71,0,CHO-093,Santa Cruz,160.0,6130.71,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
95,CHO-094,La Paz,175.6,6029.32,3,CHO-094,La Paz,175.6,6029.32,3,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
96,CHO-095,Oruro,136.5,3598.47,0,CHO-095,Oruro,136.5,3598.47,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
97,CHO-096,Cochabamba,240.8,3856.26,0,CHO-096,Cochabamba,240.8,3856.26,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
98,CHO-097,Tarija,150.2,5450.37,0,CHO-097,Tarija,150.2,5450.37,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
99,CHO-098,Cochabamba,167.2,3545.27,0,CHO-098,Cochabamba,167.2,3545.27,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
100,CHO-099,Tarija,185.9,4341.24,0,CHO-099,Tarija,185.9,4341.24,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
101,CHO-100,Santa Cruz,143.6,5547.53,0,CHO-100,Santa Cruz,143.6,5547.53,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
102,CHO-101,La Paz,194.4,5366.68,0,CHO-101,La Paz,194.4,5366.68,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
103,CHO-102,Cochabamba,173.0,6270.32,0,CHO-102,Cochabamba,173.0,6270.32,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
104,CHO-103,La Paz,109.5,5168.77,0,CHO-103,La Paz,109.5,5168.77,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
105,CHO-104,La Paz,185.5,6452.59,0,CHO-104,La Paz,185.5,6452.59,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
106,CHO-105,Santa Cruz,152.8,3591.95,2,CHO-105,Santa Cruz,152.8,3591.95,2,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
107,CHO-106,Santa Cruz,166.8,4156.38,1, cho-106 ,Santa Cruz,166.8,4156.38,1,,nombre_eliminado_por_privacidad;chofer_id:espacios_y_mayusculas_normalizados,,True,False,True,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,2,0,,
108,CHO-107,Santa Cruz,126.0,6301.41,1,CHO-107,Santa Cruz,126.0,6301.41,1,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
109,CHO-108,Cochabamba,160.2,4042.38,2,CHO-108,Cochabamba,160.2,4042.38,2,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
110,CHO-109,Cochabamba,169.1,4433.97,3,CHO-109,Cochabamba,169.1,4433.97,3,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
111,CHO-110,La Paz,203.0,3829.66,0, cho-110 ,La Paz,203.0,3829.66,0,,nombre_eliminado_por_privacidad;chofer_id:espacios_y_mayusculas_normalizados,,True,False,True,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,2,0,,
112,CHO-111,Cochabamba,205.8,5422.82,1,CHO-111,Cochabamba,205.8,5422.82,1,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
113,CHO-112,Santa Cruz,153.9,5486.21,0,CHO-112,Santa Cruz,153.9,5486.21,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
114,CHO-113,Santa Cruz,149.8,4417.3,0,CHO-113,Santa Cruz,149.8,4417.3,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
115,CHO-114,Santa Cruz,161.7,4886.18,0,CHO-114,Santa Cruz,161.7,4886.18,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
116,CHO-115,Cochabamba,182.0,5136.08,0,CHO-115,Cochabamba,182.0,5136.08,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
117,CHO-116,Santa Cruz,219.7,4609.6,5,CHO-116,Santa Cruz,219.7,4609.6,5,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
118,CHO-117,La Paz,125.0,6247.79,0,CHO-117,La Paz,125.0,6247.79,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
119,CHO-118,Santa Cruz,166.5,3985.24,0,CHO-118,Santa Cruz,166.5,3985.24,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
120,CHO-119,Tarija,148.5,6359.67,0,CHO-119,Tarija,148.5,6359.67,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,True,False,False,sin_incidencias,valida,1,0,,
121,CHO-120,Cochabamba,135.6,5794.04,0,CHO-120,Cochabamba,135.6,5794.04,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
122,CHO-121,Cochabamba,137.8,4305.67,0,CHO-121,Cochabamba,137.8,4305.67,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
123,CHO-122,Cochabamba,180.0,5513.05,0,CHO-122,Cochabamba,180.0,5513.05,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
