order_id,cliente_id,producto_id,fecha_despacho,centro_distribucion,camion_id,chofer_id,cantidad_solicitada,cantidad_entregada,tiempo_entrega_prometido_hrs,tiempo_entrega_real_hrs,otif_on_time,otif_in_full,otif
ORD-2026-00027,CLI-039,PROD-032,2026-08-10 00:06:00,Santa Cruz,CAM-10,CHO-076,135,135.0,24,14.0,1,1,1
ORD-2026-00028,CLI-036,PROD-023,2026-08-09 02:21:00,La Paz,CAM-09,CHO-049,165,165.0,48,32.8,1,1,1
ORD-2026-00029,CLI-057,PROD-048,2026-08-12 18:33:00,Santa Cruz,CAM-04,CHO-096,35,18.0,24,28.6,0,0,0
ORD-2026-00030,CLI-086,PROD-051,2026-08-17 18:15:00,Cochabamba,CAM-08,CHO-014,201,201.0,48,51.7,0,1,0
ORD-2026-00031,CLI-012,PROD-035,2026-08-24 02:15:00,Santa Cruz,CAM-14,CHO-120,112,112.0,48,32.3,1,1,1
ORD-2026-00032,CLI-046,PROD-019,2026-08-16 00:40:00,La Paz,CAM-09,CHO-005,206,206.0,24,25.5,0,1,0
ORD-2026-00033,CLI-039,PROD-025,2026-08-03 23:29:00,Santa Cruz,CAM-13,CHO-053,185,185.0,24,25.7,0,1,0
ORD-2026-00034,CLI-085,PROD-010,2026-08-22 14:12:00,La Paz,CAM-09,CHO-021,380,380.0,72,65.8,1,1,1
ORD-2026-00035,CLI-081,PROD-053,2026-08-05 14:04:00,Oruro,CAM-05,CHO-110,370,358.0,48,35.8,1,0,0
ORD-2026-00036,CLI-089,PROD-003,2026-08-19 04:25:00,Cochabamba,CAM-23,CHO-077,376,376.0,72,48.2,1,1,1
ORD-2026-00037,CLI-049,PROD-051,2026-08-26 14:02:00,Santa Cruz,CAM-14,CHO-070,289,289.0,24,8.4,1,1,1
ORD-2026-00038,CLI-002,PROD-032,2026-08-30 09:44:00,La Paz,CAM-30,CHO-027,268,268.0,72,47.2,1,1,1
ORD-2026-00039,CLI-080,PROD-020,2026-08-21 23:16:00,Cochabamba,CAM-22,CHO-112,120,120.0,24,19.5,1,1,1
ORD-2026-00040,CLI-097,PROD-018,2026-08-10 20:01:00,La Paz,CAM-09,CHO-126,83,83.0,72,76.1,0,1,0
ORD-2026-00041,CLI-004,PROD-058,2026-08-11 00:02:00,La Paz,CAM-09,CHO-049,205,205.0,48,49.3,0,1,0
ORD-2026-00042,CLI-088,PROD-037,2026-08-13 12:26:00,Tarija,CAM-26,CHO-061,57,57.0,24,23.5,1,1,1
ORD-2026-00043,CLI-021,PROD-006,2026-08-23 06:39:00,Cochabamba,CAM-22,CHO-108,264,264.0,48,31.2,1,1,1
ORD-2026-00044,CLI-088,PROD-041,2026-08-27 00:19:00,Cochabamba,CAM-08,CHO-047,273,273.0,24,19.9,1,1,1
ORD-2026-00045,CLI-087,PROD-043,2026-08-02 02:36:00,Santa Cruz,CAM-13,CHO-060,33,33.0,48,56.9,0,1,0
ORD-2026-00046,CLI-031,PROD-048,2026-08-28 13:09:00,La Paz,CAM-28,CHO-127,272,272.0,48,47.5,1,1,1
ORD-2026-00047,CLI-038,PROD-015,2026-08-12 11:24:00,La Paz,CAM-09,CHO-071,238,238.0,48,38.7,1,1,1
ORD-2026-00048,CLI-002,PROD-002,2026-08-11 03:33:00,Cochabamba,CAM-08,CHO-125,57,57.0,72,52.4,1,1,1
ORD-2026-00049,CLI-012,PROD-017,2026-08-07 02:49:00,La Paz,CAM-09,CHO-039,477,477.0,72,69.0,1,1,1
ORD-2026-00050,CLI-026,PROD-017,2026-08-19 16:15:00,La Paz,CAM-28,CHO-071,195,195.0,72,65.9,1,1,1
ORD-2026-00051,CLI-002,PROD-045,2026-08-14 01:18:00,Oruro,CAM-02,CHO-022,374,361.0,48,36.8,1,0,0
ORD-2026-00052,CLI-061,PROD-051,2026-08-22 17:58:00,Tarija,CAM-26,CHO-082,220,220.0,72,47.9,1,1,1
ORD-2026-00053,CLI-052,PROD-007,2026-08-02 20:43:00,La Paz,CAM-30,CHO-126,310,310.0,24,27.6,0,1,0
ORD-2026-00054,CLI-023,PROD-001,2026-08-24 20:38:00,Tarija,CAM-12,CHO-132,221,221.0,72,37.7,1,1,1
ORD-2026-00055,CLI-066,PROD-015,2026-08-13 04:34:00,Santa Cruz,CAM-13,CHO-025,137,128.0,24,27.7,0,0,0
ORD-2026-00056,CLI-013,PROD-029,2026-08-10 22:22:00,Santa Cruz,CAM-10,CHO-129,346,346.0,48,32.3,1,1,1
ORD-2026-00057,CLI-084,PROD-034,2026-08-29 10:11:00,Santa Cruz,CAM-14,CHO-079,292,292.0,72,43.9,1,1,1
ORD-2026-00058,CLI-023,PROD-028,2026-08-15 16:09:00,Oruro,CAM-02,CHO-144,18,18.0,48,42.8,1,1,1
ORD-2026-00059,CLI-071,PROD-017,2026-08-19 04:59:00,Oruro,CAM-05,CHO-118,264,264.0,24,15.8,1,1,1
ORD-2026-00060,CLI-029,PROD-045,2026-08-08 14:11:00,Tarija,CAM-03,CHO-044,302,284.0,72,30.6,1,0,0
ORD-2026-00061,CLI-089,PROD-042,2026-08-12 14:56:00,Oruro,CAM-24,CHO-003,45,45.0,24,14.7,1,1,1
ORD-2026-00062,CLI-096,PROD-036,2026-08-25 13:59:00,Santa Cruz,CAM-13,CHO-011,217,217.0,48,34.7,1,1,1
ORD-2026-00063,CLI-076,PROD-002,2026-08-04 05:40:00,La Paz,CAM-09,CHO-007,102,102.0,48,30.1,1,1,1
ORD-2026-00064,CLI-087,PROD-036,2026-08-04 22:01:00,Tarija,CAM-03,CHO-031,355,355.0,24,22.3,1,1,1
ORD-2026-00065,CLI-072,PROD-002,2026-08-20 19:44:00,La Paz,CAM-09,CHO-148,366,366.0,48,51.3,0,1,0
ORD-2026-00066,CLI-053,PROD-041,2026-08-13 09:24:00,La Paz,CAM-15,CHO-063,256,256.0,24,21.0,1,1,1
ORD-2026-00067,CLI-047,PROD-030,2026-08-23 15:27:00,Tarija,CAM-26,CHO-036,11,11.0,72,53.3,1,1,1
ORD-2026-00068,CLI-075,PROD-001,2026-08-07 16:06:00,Oruro,CAM-05,CHO-136,52,52.0,72,65.0,1,1,1
ORD-2026-00069,CLI-031,PROD-004,2026-08-19 12:40:00,Tarija,CAM-26,CHO-043,293,293.0,48,33.0,1,1,1
ORD-2026-00070,CLI-050,PROD-055,2026-08-09 10:53:00,Santa Cruz,CAM-14,CHO-149,447,447.0,48,24.5,1,1,1
ORD-2026-00071,CLI-021,PROD-023,2026-08-03 19:24:00,Tarija,CAM-12,CHO-082,43,43.0,72,77.2,0,1,0
ORD-2026-00072,CLI-077,PROD-037,2026-08-24 00:46:00,Oruro,CAM-05,CHO-144,14,14.0,72,50.8,1,1,1
ORD-2026-00073,CLI-062,PROD-005,2026-08-19 19:33:00,La Paz,CAM-27,CHO-071,457,442.0,72,71.1,1,0,0
ORD-2026-00074,CLI-024,PROD-052,2026-08-14 18:51:00,Cochabamba,CAM-23,CHO-116,298,298.0,24,14.7,1,1,1
ORD-2026-00075,CLI-040,PROD-025,2026-08-15 00:48:00,Tarija,CAM-03,CHO-082,449,449.0,24,14.0,1,1,1
ORD-2026-00076,CLI-002,PROD-017,2026-08-26 23:41:00,Cochabamba,CAM-08,CHO-058,29,10.0,24,21.6,1,0,0
ORD-2026-00077,CLI-055,PROD-014,2026-08-29 09:30:00,Oruro,CAM-16,CHO-110,236,217.0,48,46.9,1,0,0
ORD-2026-00078,CLI-046,PROD-055,2026-08-27 14:14:00,La Paz,CAM-27,CHO-057,492,492.0,24,20.5,1,1,1
ORD-2026-00079,CLI-015,PROD-039,2026-08-10 05:45:00,Oruro,CAM-24,CHO-150,186,186.0,72,62.7,1,1,1
ORD-2026-00080,CLI-001,PROD-017,2026-08-29 09:29:00,Tarija,CAM-12,CHO-015,294,294.0,24,22.3,1,1,1
ORD-2026-00081,CLI-026,PROD-044,2026-08-09 16:35:00,Tarija,CAM-26,CHO-026,334,334.0,24,21.1,1,1,1
ORD-2026-00082,CLI-064,PROD-019,2026-08-18 21:50:00,Tarija,CAM-12,CHO-044,412,412.0,72,60.0,1,1,1
ORD-2026-00083,CLI-083,PROD-051,2026-08-04 01:39:00,Cochabamba,CAM-23,CHO-014,345,345.0,72,46.2,1,1,1
ORD-2026-00084,CLI-022,PROD-049,2026-08-07 12:02:00,Oruro,CAM-05,CHO-118,377,377.0,48,52.8,0,1,0
ORD-2026-00085,CLI-087,PROD-043,2026-08-04 04:51:00,Tarija,CAM-12,CHO-082,125,125.0,72,86.6,0,1,0
ORD-2026-00086,CLI-072,PROD-030,2026-08-25 15:52:00,Oruro,CAM-07,CHO-136,69,69.0,48,37.9,1,1,1
ORD-2026-00087,CLI-023,PROD-060,2026-08-12 17:32:00,Santa Cruz,CAM-13,CHO-103,159,159.0,72,63.9,1,1,1
ORD-2026-00088,CLI-021,PROD-033,2026-08-19 14:16:00,Santa Cruz,CAM-21,CHO-113,376,376.0,72,51.8,1,1,1
ORD-2026-00089,CLI-078,PROD-044,2026-08-07 22:56:00,Oruro,CAM-07,CHO-110,138,138.0,72,50.0,1,1,1
ORD-2026-00090,CLI-077,PROD-011,2026-08-28 19:25:00,La Paz,CAM-28,CHO-027,435,435.0,72,42.9,1,1,1
ORD-2026-00091,CLI-033,PROD-046,2026-08-21 00:09:00,Tarija,CAM-12,CHO-105,300,300.0,24,17.5,1,1,1
ORD-2026-00092,CLI-029,PROD-034,2026-08-01 06:47:00,Santa Cruz,CAM-21,CHO-034,302,302.0,24,15.1,1,1,1
ORD-2026-00093,CLI-006,PROD-027,2026-08-19 21:10:00,Oruro,CAM-07,CHO-098,499,499.0,48,46.0,1,1,1
ORD-2026-00094,CLI-031,PROD-035,2026-08-13 12:30:00,Tarija,CAM-03,CHO-044,115,115.0,24,12.6,1,1,1
ORD-2026-00095,CLI-055,PROD-059,2026-08-02 13:26:00,La Paz,CAM-28,CHO-052,279,279.0,48,33.1,1,1,1
ORD-2026-00096,CLI-032,PROD-055,2026-08-21 00:05:00,Cochabamba,CAM-19,CHO-016,116,116.0,72,35.8,1,1,1
ORD-2026-00097,CLI-081,PROD-001,2026-08-22 18:08:00,Santa Cruz,CAM-14,CHO-133,55,55.0,24,24.3,0,1,0
ORD-2026-00098,CLI-090,PROD-022,2026-08-13 12:54:00,La Paz,CAM-09,CHO-107,224,224.0,48,47.9,1,1,1
ORD-2026-00099,CLI-097,PROD-035,2026-08-18 22:46:00,Oruro,CAM-05,CHO-051,277,277.0,24,20.9,1,1,1
ORD-2026-00100,CLI-006,PROD-027,2026-08-16 07:53:00,La Paz,CAM-15,CHO-005,463,463.0,24,23.4,1,1,1
ORD-2026-00101,CLI-035,PROD-024,2026-08-30 07:19:00,La Paz,CAM-30,CHO-093,162,162.0,72,52.3,1,1,1
ORD-2026-00102,CLI-076,PROD-056,2026-08-02 02:13:00,Cochabamba,CAM-23,CHO-135,319,319.0,72,64.1,1,1,1
ORD-2026-00103,CLI-066,PROD-028,2026-08-09 09:23:00,La Paz,CAM-15,CHO-102,345,345.0,48,35.7,1,1,1
ORD-2026-00104,CLI-072,PROD-006,2026-08-13 13:45:00,Santa Cruz,CAM-13,CHO-120,406,406.0,48,39.0,1,1,1
ORD-2026-00105,CLI-088,PROD-024,2026-08-16 12:48:00,Cochabamba,CAM-01,CHO-087,143,143.0,48,34.3,1,1,1
ORD-2026-00106,CLI-065,PROD-023,2026-08-03 07:51:00,Tarija,CAM-03,CHO-082,235,221.0,48,38.4,1,0,0
ORD-2026-00107,CLI-095,PROD-048,2026-08-03 04:36:00,La Paz,CAM-27,CHO-091,24,24.0,24,17.1,1,1,1
ORD-2026-00108,CLI-100,PROD-044,2026-08-27 23:40:00,Cochabamba,CAM-23,CHO-108,289,289.0,48,32.8,1,1,1
ORD-2026-00109,CLI-030,PROD-013,2026-08-09 03:54:00,Santa Cruz,CAM-13,CHO-095,214,214.0,72,62.5,1,1,1
ORD-2026-00110,CLI-038,PROD-057,2026-08-11 16:09:00,Oruro,CAM-16,CHO-051,473,473.0,24,16.2,1,1,1
ORD-2026-00111,CLI-090,PROD-057,2026-08-30 11:03:00,La Paz,CAM-15,CHO-072,413,413.0,24,23.1,1,1,1
 ord-2026-00112 ,CLI-087,PROD-008,2026-08-28 11:29:00,La Paz,CAM-09,CHO-007,63,63.0,24,18.0,1,1,1
ORD-2026-00113,CLI-086,PROD-060,2026-08-10 04:44:00,Tarija,CAM-03,CHO-044,269,269.0,72,62.7,1,1,1
ORD-2026-00114,CLI-081,PROD-005,2026-08-16 15:22:00,Santa Cruz,CAM-11,CHO-074,159,159.0,24,18.3,1,1,1
ORD-2026-00115,CLI-014,PROD-015,2026-08-08 14:17:00,Cochabamba,CAM-08,CHO-058,467,467.0,48,48.3,0,1,0
ORD-2026-00116,CLI-015,PROD-046,2026-08-24 08:56:00,Santa Cruz,CAM-10,CHO-046,14,14.0,72,74.5,0,1,0
ORD-2026-00117,CLI-089,PROD-031,2026-08-19 07:34:00,Santa Cruz,CAM-14,CHO-030,345,345.0,72,53.6,1,1,1
ORD-2026-00118,CLI-028,PROD-058,2026-08-01 21:18:00,La Paz,CAM-27,CHO-057,140,140.0,48,46.2,1,1,1
ORD-2026-00119,CLI-002,PROD-037,2026-08-11 18:29:00,Oruro,CAM-07,CHO-150,285,285.0,48,54.4,0,1,0
ORD-2026-00120,CLI-094,PROD-004,2026-08-20 14:53:00,Tarija,CAM-12,CHO-122,384,384.0,48,28.7,1,1,1
ORD-2026-00121,CLI-033,PROD-040,2026-08-19 10:35:00,Tarija,CAM-03,CHO-122,102,102.0,24,23.5,1,1,1
ORD-2026-00122,CLI-070,PROD-017,2026-08-14 21:29:00,Oruro,CAM-05,CHO-144,108,100.0,72,43.0,1,0,0
ORD-2026-00123,CLI-024,PROD-002,2026-08-04 10:11:00,Oruro,CAM-24,CHO-117,402,402.0,72,50.7,1,1,1
ORD-2026-00124,CLI-011,PROD-011,2026-08-14 02:59:00,Santa Cruz,CAM-14,CHO-013,97,97.0,72,66.8,1,1,1
ORD-2026-00125,CLI-086,PROD-018,2026-08-21 12:21:00,Oruro,CAM-16,CHO-119,15,1.0,48,34.5,1,0,0
ORD-2026-00126,CLI-013,PROD-033,2026-08-04 21:45:00,La Paz,CAM-30,CHO-021,465,446.0,48,42.8,1,0,0
ORD-2026-00127,CLI-034,PROD-020,2026-08-01 16:18:00,La Paz,CAM-09,CHO-071,384,384.0,24,19.2,1,1,1
ORD-2026-00128,CLI-070,PROD-024,2026-08-15 22:21:00,Cochabamba,CAM-23,CHO-033,108,108.0,48,44.1,1,1,1
ORD-2026-00129,CLI-004,PROD-046,2026-08-15 23:13:00,Cochabamba,CAM-23,CHO-138,15,15.0,24,23.3,1,1,1
ORD-2026-00130,CLI-023,PROD-012,2026-08-09 14:49:00,La Paz,CAM-09,CHO-134,230,217.0,48,45.2,1,0,0
ORD-2026-00131,CLI-007,PROD-012,2026-08-17 13:15:00,Santa Cruz,CAM-20,CHO-128,367,367.0,24,25.8,0,1,0
ORD-2026-00132,CLI-089,PROD-012,2026-08-05 14:09:00,Oruro,CAM-05,CHO-150,206,206.0,24,23.3,1,1,1
ORD-2026-00133,CLI-066,PROD-015,2026-08-13 03:36:00,La Paz,CAM-09,CHO-093,420,420.0,24,19.4,1,1,1
ORD-2026-00134,CLI-006,PROD-006,2026-08-23 10:02:00,Santa Cruz,CAM-10,CHO-128,122,122.0,24,13.0,1,1,1
ORD-2026-00135,CLI-016,PROD-033,2026-08-13 04:58:00,Cochabamba,CAM-01,CHO-065,355,355.0,48,33.1,1,1,1
ORD-2026-00136,CLI-060,PROD-022,2026-08-15 05:03:00,Santa Cruz,CAM-13,CHO-133,455,455.0,24,18.5,1,1,1
 ord-2026-00137 ,CLI-005,PROD-031,2026-08-08 03:07:00,Tarija,CAM-03,CHO-012,306,306.0,24,19.9,1,1,1
ORD-2026-00138,CLI-071,PROD-019,2026-08-23 14:30:00,La Paz,CAM-28,CHO-063,431,431.0,48,40.9,1,1,1
ORD-2026-00139,CLI-070,PROD-054,2026-08-06 13:41:00,Cochabamba,CAM-08,CHO-135,397,397.0,72,71.6,1,1,1
ORD-2026-00140,CLI-004,PROD-056,2026-08-10 22:58:00,La Paz,CAM-09,CHO-102,158,146.0,48,54.0,0,0,0
ORD-2026-00141,CLI-048,PROD-052,2026-08-05 00:01:00,Tarija,CAM-12,CHO-031,30,30.0,72,51.6,1,1,1
ORD-2026-00142,CLI-036,PROD-005,2026-08-21 17:36:00,La Paz,CAM-09,CHO-134,42,42.0,72,64.3,1,1,1
ORD-2026-00143,CLI-037,PROD-059,2026-08-24 23:28:00,Oruro,CAM-05,CHO-067,194,194.0,24,16.6,1,1,1
ORD-2026-00144,CLI-076,PROD-017,2026-08-17 10:47:00,Cochabamba,CAM-22,CHO-140,484,476.0,24,19.2,1,0,0
ORD-2026-00145,CLI-059,PROD-024,2026-08-23 12:23:00,Santa Cruz,CAM-20,CHO-103,361,361.0,48,44.8,1,1,1
ORD-2026-00146,CLI-072,PROD-054,2026-08-24 04:31:00,Cochabamba,CAM-08,CHO-089,127,127.0,48,38.7,1,1,1
ORD-2026-00147,CLI-057,PROD-037,2026-08-25 02:16:00,Tarija,CAM-26,CHO-122,494,494.0,48,36.3,1,1,1
ORD-2026-00148,CLI-095,PROD-050,2026-08-14 07:59:00,La Paz,CAM-09,CHO-072,130,130.0,72,69.7,1,1,1
ORD-2026-00149,CLI-087,PROD-021,2026-08-08 20:45:00,La Paz,CAM-28,CHO-042,132,132.0,48,43.6,1,1,1
ORD-2026-00150,CLI-023,PROD-060,2026-08-13 17:42:00,Tarija,CAM-12,CHO-050,403,403.0,24,12.1,1,1,1
ORD-2026-00151,CLI-074,PROD-055,2026-08-03 12:30:00,Tarija,CAM-26,CHO-105,305,305.0,24,21.6,1,1,1
ORD-2026-00152,CLI-062,PROD-041,2026-08-28 22:00:00,Tarija,CAM-03,CHO-132,145,145.0,24,14.0,1,1,1
ORD-2026-00153,CLI-036,PROD-002,2026-08-24 22:01:00,Cochabamba,CAM-22,CHO-135,495,495.0,24,20.8,1,1,1
ORD-2026-00154,CLI-033,PROD-020,2026-08-26 21:16:00,Cochabamba,CAM-01,CHO-125,416,401.0,24,17.8,1,0,0
ORD-2026-00155,CLI-023,PROD-007,2026-08-28 00:37:00,Tarija,CAM-03,CHO-026,321,321.0,48,43.0,1,1,1
ORD-2026-00156,CLI-009,PROD-040,2026-08-28 11:11:00,Cochabamba,CAM-08,CHO-054,309,309.0,48,38.8,1,1,1
ORD-2026-00157,CLI-092,PROD-012,2026-08-10 06:43:00,Oruro,CAM-05,CHO-003,461,461.0,48,37.0,1,1,1
ORD-2026-00158,CLI-019,PROD-007,2026-08-17 23:07:00,Tarija,CAM-12,CHO-010,429,429.0,24,24.5,0,1,0
ORD-2026-00159,CLI-040,PROD-027,2026-08-25 10:22:00,Cochabamba,CAM-17,CHO-033,118,118.0,24,17.5,1,1,1
ORD-2026-00160,CLI-036,PROD-036,2026-08-06 05:48:00,Tarija,CAM-03,CHO-105,426,426.0,24,23.0,1,1,1
ORD-2026-00161,CLI-038,PROD-054,2026-08-17 09:49:00,Cochabamba,CAM-01,CHO-087,451,451.0,48,39.8,1,1,1
ORD-2026-00162,CLI-080,PROD-015,2026-08-29 01:24:00,La Paz,CAM-28,CHO-027,371,371.0,48,33.7,1,1,1
ORD-2026-00163,CLI-092,PROD-039,2026-08-17 03:47:00,Tarija,CAM-12,CHO-045,262,262.0,48,34.9,1,1,1
ORD-2026-00164,CLI-057,PROD-049,2026-08-30 07:31:00,La Paz,CAM-09,CHO-083,216,216.0,48,49.4,0,1,0
ORD-2026-00165,CLI-003,PROD-032,2026-08-08 04:08:00,Tarija,CAM-12,CHO-012,290,290.0,72,67.0,1,1,1
ORD-2026-00166,CLI-005,PROD-002,2026-08-04 12:23:00,La Paz,CAM-09,CHO-002,278,278.0,48,38.9,1,1,1
ORD-2026-00167,CLI-078,PROD-001,2026-08-16 06:32:00,Oruro,CAM-05,CHO-032,255,255.0,48,53.0,0,1,0
ORD-2026-00168,CLI-022,PROD-048,2026-08-01 02:51:00,Santa Cruz,CAM-11,CHO-020,465,465.0,24,22.3,1,1,1
ORD-2026-00169,CLI-038,PROD-027,2026-08-07 18:31:00,Oruro,CAM-07,CHO-110,188,188.0,24,23.4,1,1,1
ORD-2026-00170,CLI-070,PROD-015,2026-08-05 11:28:00,Santa Cruz,CAM-20,CHO-097,302,302.0,24,18.6,1,1,1
ORD-2026-00171,CLI-032,PROD-039,2026-08-04 00:52:00,La Paz,CAM-27,CHO-084,229,229.0,24,15.0,1,1,1
ORD-2026-00172,CLI-002,PROD-030,2026-08-02 09:11:00,Santa Cruz,CAM-20,CHO-080,167,167.0,48,42.1,1,1,1
ORD-2026-00173,CLI-006,PROD-038,2026-08-26 19:43:00,Tarija,CAM-12,CHO-061,455,455.0,48,43.7,1,1,1
ORD-2026-00174,CLI-051,PROD-058,2026-08-03 10:59:00,Cochabamba,CAM-01,CHO-041,32,32.0,48,22.6,1,1,1
ORD-2026-00175,CLI-081,PROD-006,2026-08-28 20:22:00,Cochabamba,CAM-01,CHO-047,406,393.0,24,12.8,1,0,0
ORD-2026-00176,CLI-005,PROD-042,2026-08-05 05:06:00,Santa Cruz,CAM-04,CHO-141,194,194.0,48,56.5,0,1,0
ORD-2026-00177,CLI-061,PROD-002,2026-08-08 14:39:00,La Paz,CAM-09,CHO-066,96,96.0,24,22.1,1,1,1
ORD-2026-00178,CLI-065,PROD-009,2026-08-27 00:48:00,Tarija,CAM-03,CHO-132,442,442.0,24,21.1,1,1,1
ORD-2026-00179,CLI-063,PROD-053,2026-08-21 14:44:00,Santa Cruz,CAM-13,CHO-076,119,119.0,24,22.0,1,1,1
ORD-2026-00180,CLI-028,PROD-031,2026-08-08 10:57:00,Cochabamba,CAM-08,CHO-073,12,12.0,48,45.2,1,1,1
ORD-2026-00181,CLI-079,PROD-009,2026-08-19 22:52:00,Tarija,CAM-26,CHO-146,186,184.0,48,44.4,1,0,0
ORD-2026-00182,CLI-022,PROD-010,2026-08-28 18:05:00,Cochabamba,CAM-19,CHO-041,488,472.0,24,15.0,1,0,0
ORD-2026-00183,CLI-018,PROD-049,2026-08-17 08:51:00,Oruro,CAM-05,CHO-150,390,390.0,48,54.1,0,1,0
ORD-2026-00184,CLI-083,PROD-051,2026-08-19 06:44:00,La Paz,CAM-09,CHO-093,77,72.0,24,19.6,1,0,0
ORD-2026-00185,CLI-014,PROD-007,2026-08-17 09:49:00,Cochabamba,CAM-17,CHO-131,173,173.0,24,17.7,1,1,1
ORD-2026-00186,CLI-090,PROD-037,2026-08-20 09:05:00,Cochabamba,CAM-23,CHO-065,399,383.0,72,80.1,0,0,0
ORD-2026-00187,CLI-044,PROD-011,2026-08-18 05:58:00,La Paz,CAM-09,CHO-137,471,471.0,24,13.9,1,1,1
ORD-2026-00188,CLI-078,PROD-029,2026-08-11 22:14:00,Oruro,CAM-16,CHO-067,127,127.0,72,52.8,1,1,1
ORD-2026-00189,CLI-097,PROD-024,2026-08-06 14:47:00,Tarija,CAM-03,CHO-082,256,256.0,24,20.7,1,1,1
ORD-2026-00190,CLI-064,PROD-055,2026-08-10 05:37:00,La Paz,CAM-27,CHO-007,158,158.0,24,25.0,0,1,0
ORD-2026-00191,CLI-057,PROD-013,2026-08-26 15:49:00,La Paz,CAM-09,CHO-057,195,195.0,48,32.5,1,1,1
ORD-2026-00192,CLI-080,PROD-022,2026-08-16 04:47:00,La Paz,CAM-28,CHO-084,384,384.0,24,19.1,1,1,1
ORD-2026-00193,CLI-096,PROD-054,2026-08-09 11:01:00,Tarija,CAM-12,CHO-009,69,69.0,24,20.9,1,1,1
ORD-2026-00194,CLI-006,PROD-003,2026-08-08 17:20:00,Cochabamba,CAM-08,CHO-086,274,274.0,48,31.8,1,1,1
