fila_bronze,timestamp,viaje_id,order_id,camion_id,producto_id,temperatura_cabina_c,temp_unit,humedad_cabina_pct,desviacion_termica_flag,desviacion_proximos_60min_flag,timestamp_estado,timestamp_motivo,viaje_id_estado,viaje_id_motivo,order_id_estado,order_id_motivo,camion_id_estado,camion_id_motivo,producto_id_estado,producto_id_motivo,temperatura_cabina_c_estado,temperatura_cabina_c_motivo,temp_unit_estado,temp_unit_motivo,humedad_cabina_pct_estado,humedad_cabina_pct_motivo,desviacion_termica_flag_estado,desviacion_termica_flag_motivo,desviacion_proximos_60min_flag_estado,desviacion_proximos_60min_flag_motivo,cantidad_problemas,en_cuarentena,severidad_maxima,columnas_con_problemas,motivos_fila,zona_horaria_origen,version_diagnostico,sha256_bronze,acciones_tratamiento,motivos_tratamiento,camion_id_tratado,temp_unit_tratado,temperatura_cabina_c_tratada,humedad_cabina_pct_tratada,timestamp_utc,temperatura_imputada,humedad_imputada,motivo_cuarentena_final,en_cuarentena_final,decision_tratamiento,umbral_producto_evaluable,flag_termico_coherente,apta_kpi_termico,apta_objetivo_60min
11,2026-08-11 19:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.17,C,87.7,0,0,OK,,OK,,OK,,REVISAR,Sin correspondencia en Flota Silver de cobertura parcial,OK,,OK,,OK,,OK,,OK,,OK,,1,False,REVISAR,camion_id,camion_id: Sin correspondencia en Flota Silver de cobertura parcial,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-20,C,4.17,87.7,2026-08-11T23:11:00Z,False,False,,False,TRATADO,True,True,True,True
12,2026-08-11 19:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.09,C,70.2,0,0,OK,,OK,,OK,,REVISAR,Sin correspondencia en Flota Silver de cobertura parcial,OK,,OK,,OK,,OK,,OK,,OK,,1,False,REVISAR,camion_id,camion_id: Sin correspondencia en Flota Silver de cobertura parcial,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-20,C,4.09,70.2,2026-08-11T23:41:00Z,False,False,,False,TRATADO,True,True,True,True
13,2026-08-11 20:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.63,C,78.9,0,0,OK,,OK,,OK,,REVISAR,Sin correspondencia en Flota Silver de cobertura parcial,OK,,OK,,OK,,OK,,OK,,OK,,1,False,REVISAR,camion_id,camion_id: Sin correspondencia en Flota Silver de cobertura parcial,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-20,C,3.63,78.9,2026-08-12T00:11:00Z,False,False,,False,TRATADO,True,True,True,True
14,2026-08-11 20:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2.13,C,73.2,0,0,OK,,OK,,OK,,REVISAR,Sin correspondencia en Flota Silver de cobertura parcial,OK,,OK,,OK,,OK,,OK,,OK,,1,False,REVISAR,camion_id,camion_id: Sin correspondencia en Flota Silver de cobertura parcial,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-20,C,2.13,73.2,2026-08-12T00:41:00Z,False,False,,False,TRATADO,True,True,True,True
15,2026-08-11 21:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.11,C,81.7,0,1,OK,,OK,,OK,,REVISAR,Sin correspondencia en Flota Silver de cobertura parcial,OK,,OK,,OK,,OK,,OK,,OK,,1,False,REVISAR,camion_id,camion_id: Sin correspondencia en Flota Silver de cobertura parcial,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-20,C,4.11,81.7,2026-08-12T01:11:00Z,False,False,,False,TRATADO,True,True,True,True
16,2026-08-11 21:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,5.29,C,76.7,0,1,OK,,OK,,OK,,REVISAR,Sin correspondencia en Flota Silver de cobertura parcial,OK,,OK,,OK,,OK,,OK,,OK,,1,False,REVISAR,camion_id,camion_id: Sin correspondencia en Flota Silver de cobertura parcial,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-20,C,5.29,76.7,2026-08-12T01:41:00Z,False,False,,False,TRATADO,True,True,True,True
17,2026-08-11 22:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,8.93,C,80.2,1,1,OK,,OK,,OK,,REVISAR,Sin correspondencia en Flota Silver de cobertura parcial,OK,,OK,,OK,,OK,,OK,,OK,,1,False,REVISAR,camion_id,camion_id: Sin correspondencia en Flota Silver de cobertura parcial,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-20,C,8.93,80.2,2026-08-12T02:11:00Z,False,False,,False,TRATADO,True,True,True,True
18,2026-08-11 22:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,9.42,C,75.2,1,1,OK,,OK,,OK,,REVISAR,Sin correspondencia en Flota Silver de cobertura parcial,OK,,OK,,OK,,OK,,OK,,OK,,1,False,REVISAR,camion_id,camion_id: Sin correspondencia en Flota Silver de cobertura parcial,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-20,C,9.42,75.2,2026-08-12T02:41:00Z,False,False,,False,TRATADO,True,True,True,True
19,2026-08-11 23:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,9.9,C,87.9,1,1,OK,,OK,,OK,,REVISAR,Sin correspondencia en Flota Silver de cobertura parcial,OK,,OK,,OK,,OK,,OK,,OK,,1,False,REVISAR,camion_id,camion_id: Sin correspondencia en Flota Silver de cobertura parcial,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-20,C,9.9,87.9,2026-08-12T03:11:00Z,False,False,,False,TRATADO,True,True,True,True
20,2026-08-11 23:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,9.28,C,87.0,1,1,OK,,OK,,OK,,REVISAR,Sin correspondencia en Flota Silver de cobertura parcial,OK,,OK,,OK,,OK,,OK,,OK,,1,False,REVISAR,camion_id,camion_id: Sin correspondencia en Flota Silver de cobertura parcial,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-20,C,9.28,87.0,2026-08-12T03:41:00Z,False,False,,False,TRATADO,True,True,True,True
21,2026-08-12 00:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,9.39,C,79.3,1,0,OK,,OK,,OK,,REVISAR,Sin correspondencia en Flota Silver de cobertura parcial,OK,,OK,,OK,,OK,,OK,,OK,,1,False,REVISAR,camion_id,camion_id: Sin correspondencia en Flota Silver de cobertura parcial,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-20,C,9.39,79.3,2026-08-12T04:11:00Z,False,False,,False,TRATADO,True,True,True,True
22,2026-08-12 00:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.39,C,82.1,0,0,OK,,OK,,OK,,REVISAR,Sin correspondencia en Flota Silver de cobertura parcial,OK,,OK,,OK,,OK,,OK,,OK,,1,False,REVISAR,camion_id,camion_id: Sin correspondencia en Flota Silver de cobertura parcial,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-20,C,3.39,82.1,2026-08-12T04:41:00Z,False,False,,False,TRATADO,True,True,True,True
23,2026-08-12 01:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.33,C,85.4,0,0,OK,,OK,,OK,,REVISAR,Sin correspondencia en Flota Silver de cobertura parcial,OK,,OK,,OK,,OK,,OK,,OK,,1,False,REVISAR,camion_id,camion_id: Sin correspondencia en Flota Silver de cobertura parcial,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-20,C,4.33,85.4,2026-08-12T05:11:00Z,False,False,,False,TRATADO,True,True,True,True
24,2026-08-12 01:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,5.13,C,85.7,0,0,OK,,OK,,OK,,REVISAR,Sin correspondencia en Flota Silver de cobertura parcial,OK,,OK,,OK,,OK,,OK,,OK,,1,False,REVISAR,camion_id,camion_id: Sin correspondencia en Flota Silver de cobertura parcial,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-20,C,5.13,85.7,2026-08-12T05:41:00Z,False,False,,False,TRATADO,True,True,True,True
25,2026-08-12 23:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.62,C,52.0,0,0,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-12,C,19.62,52.0,2026-08-13T03:30:00Z,False,False,,False,TRATADO,True,True,True,True
26,2026-08-13 00:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.82,C,43.4,0,0,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-12,C,19.82,43.4,2026-08-13T04:00:00Z,False,False,,False,TRATADO,True,True,True,True
27,2026-08-13 00:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,24.32,C,51.9,0,0,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-12,C,24.32,51.9,2026-08-13T04:30:00Z,False,False,,False,TRATADO,True,True,True,True
28,2026-08-13 01:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.16,C,55.7,0,0,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-12,C,19.16,55.7,2026-08-13T05:00:00Z,False,False,,False,TRATADO,True,True,True,True
29,2026-08-13 01:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.5,C,47.1,0,0,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-12,C,19.5,47.1,2026-08-13T05:30:00Z,False,False,,False,TRATADO,True,True,True,True
30,2026-08-13 02:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,18.05,C,53.7,0,0,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-12,C,18.05,53.7,2026-08-13T06:00:00Z,False,False,,False,TRATADO,True,True,True,True
31,2026-08-13 02:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,18.97,C,57.2,0,0,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-12,C,18.97,57.2,2026-08-13T06:30:00Z,False,False,,False,TRATADO,True,True,True,True
32,2026-08-13 03:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,18.59,C,46.7,0,0,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-12,C,18.59,46.7,2026-08-13T07:00:00Z,False,False,,False,TRATADO,True,True,True,True
33,2026-08-13 03:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.49,C,58.9,0,0,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-12,C,19.49,58.9,2026-08-13T07:30:00Z,False,False,,False,TRATADO,True,True,True,True
34,2026-08-13 04:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.63,C,59.6,0,0,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-12,C,19.63,59.6,2026-08-13T08:00:00Z,False,False,,False,TRATADO,True,True,True,True
35,2026-08-13 04:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.43,C,50.5,0,0,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-12,C,19.43,50.5,2026-08-13T08:30:00Z,False,False,,False,TRATADO,True,True,True,True
36,2026-08-13 05:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,17.12,C,61.2,0,0,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-12,C,17.12,61.2,2026-08-13T09:00:00Z,False,False,,False,TRATADO,True,True,True,True
37,2026-08-13 05:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,21.61,C,41.0,0,0,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-12,C,21.61,41.0,2026-08-13T09:30:00Z,False,False,,False,TRATADO,True,True,True,True
38,2026-08-13 06:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,18.43,C,48.0,0,0,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-12,C,18.43,48.0,2026-08-13T10:00:00Z,False,False,,False,TRATADO,True,True,True,True
39,2026-08-13 06:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,21.02,C,51.9,0,0,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-12,C,21.02,51.9,2026-08-13T10:30:00Z,False,False,,False,TRATADO,True,True,True,True
40,2026-08-13 07:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.71,C,41.7,0,0,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-12,C,19.71,41.7,2026-08-13T11:00:00Z,False,False,,False,TRATADO,True,True,True,True
41,2026-08-13 07:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,18.28,C,64.6,0,0,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf,DERIVAR_UTC,Timestamp local de Bolivia convertido a UTC,CAM-12,C,18.28,64.6,2026-08-13T11:30:00Z,False,False,,False,TRATADO,True,True,True,True
