fila_bronze,timestamp,viaje_id,order_id,camion_id,producto_id,temperatura_cabina_c,temp_unit,humedad_cabina_pct,desviacion_termica_flag,desviacion_proximos_60min_flag,timestamp_en_cuarentena,timestamp_motivo,viaje_id_en_cuarentena,viaje_id_motivo,order_id_en_cuarentena,order_id_motivo,camion_id_en_cuarentena,camion_id_motivo,producto_id_en_cuarentena,producto_id_motivo,temperatura_cabina_c_en_cuarentena,temperatura_cabina_c_motivo,temp_unit_en_cuarentena,temp_unit_motivo,humedad_cabina_pct_en_cuarentena,humedad_cabina_pct_motivo,desviacion_termica_flag_en_cuarentena,desviacion_termica_flag_motivo,desviacion_proximos_60min_flag_en_cuarentena,desviacion_proximos_60min_flag_motivo,en_cuarentena_diagnostico,zona_horaria_origen,acciones_tratamiento,motivos_tratamiento,camion_id_tratado,temp_unit_tratado,temperatura_cabina_c_tratada,temperatura_convertida_f_a_c,humedad_cabina_pct_tratada,timestamp_bolivia_tratado,temperatura_imputada,humedad_imputada,motivo_cuarentena_final,en_cuarentena_final,decision_tratamiento,umbral_producto_evaluable,flag_termico_coherente,apta_kpi_termico,categoria_producto_maestro,tipo_camion_maestro,compatibilidad_tipo_camion_estado,posible_incompatibilidad_termica,compatibilidad_tipo_camion_motivo,apta_objetivo_60min
12,2026-08-11 19:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.09,C,70.2,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-20,C,4.09,False,70.2,2026-08-11 19:41:00,False,False,,False,SILVER,True,True,True,Fresco,Refrigerado,SIN_ALERTA,False,,True
13,2026-08-11 20:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.63,C,78.9,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-20,C,3.63,False,78.9,2026-08-11 20:11:00,False,False,,False,SILVER,True,True,True,Fresco,Refrigerado,SIN_ALERTA,False,,True
14,2026-08-11 20:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2.13,C,73.2,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-20,C,2.13,False,73.2,2026-08-11 20:41:00,False,False,,False,SILVER,True,True,True,Fresco,Refrigerado,SIN_ALERTA,False,,True
15,2026-08-11 21:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.11,C,81.7,0,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-20,C,4.11,False,81.7,2026-08-11 21:11:00,False,False,,False,SILVER,True,True,True,Fresco,Refrigerado,SIN_ALERTA,False,,True
16,2026-08-11 21:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,5.29,C,76.7,0,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-20,C,5.29,False,76.7,2026-08-11 21:41:00,False,False,,False,SILVER,True,True,True,Fresco,Refrigerado,SIN_ALERTA,False,,True
17,2026-08-11 22:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,8.93,C,80.2,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-20,C,8.93,False,80.2,2026-08-11 22:11:00,False,False,,False,SILVER,True,True,True,Fresco,Refrigerado,SIN_ALERTA,False,,True
18,2026-08-11 22:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,9.42,C,75.2,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-20,C,9.42,False,75.2,2026-08-11 22:41:00,False,False,,False,SILVER,True,True,True,Fresco,Refrigerado,SIN_ALERTA,False,,True
19,2026-08-11 23:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,9.9,C,87.9,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-20,C,9.9,False,87.9,2026-08-11 23:11:00,False,False,,False,SILVER,True,True,True,Fresco,Refrigerado,SIN_ALERTA,False,,True
20,2026-08-11 23:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,9.28,C,87.0,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-20,C,9.28,False,87.0,2026-08-11 23:41:00,False,False,,False,SILVER,True,True,True,Fresco,Refrigerado,SIN_ALERTA,False,,True
21,2026-08-12 00:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,9.39,C,79.3,1,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-20,C,9.39,False,79.3,2026-08-12 00:11:00,False,False,,False,SILVER,True,True,True,Fresco,Refrigerado,SIN_ALERTA,False,,True
22,2026-08-12 00:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.39,C,82.1,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-20,C,3.39,False,82.1,2026-08-12 00:41:00,False,False,,False,SILVER,True,True,True,Fresco,Refrigerado,SIN_ALERTA,False,,True
23,2026-08-12 01:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.33,C,85.4,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-20,C,4.33,False,85.4,2026-08-12 01:11:00,False,False,,False,SILVER,True,True,True,Fresco,Refrigerado,SIN_ALERTA,False,,True
24,2026-08-12 01:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,5.13,C,85.7,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-20,C,5.13,False,85.7,2026-08-12 01:41:00,False,False,,False,SILVER,True,True,True,Fresco,Refrigerado,SIN_ALERTA,False,,True
25,2026-08-12 23:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.62,C,52.0,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,19.62,False,52.0,2026-08-12 23:30:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
26,2026-08-13 00:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.82,C,43.4,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,19.82,False,43.4,2026-08-13 00:00:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
27,2026-08-13 00:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,24.32,C,51.9,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,24.32,False,51.9,2026-08-13 00:30:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
28,2026-08-13 01:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.16,C,55.7,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,19.16,False,55.7,2026-08-13 01:00:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
29,2026-08-13 01:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.5,C,47.1,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,19.5,False,47.1,2026-08-13 01:30:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
30,2026-08-13 02:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,18.05,C,53.7,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,18.05,False,53.7,2026-08-13 02:00:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
31,2026-08-13 02:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,18.97,C,57.2,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,18.97,False,57.2,2026-08-13 02:30:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
32,2026-08-13 03:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,18.59,C,46.7,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,18.59,False,46.7,2026-08-13 03:00:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
33,2026-08-13 03:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.49,C,58.9,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,19.49,False,58.9,2026-08-13 03:30:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
34,2026-08-13 04:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.63,C,59.6,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,19.63,False,59.6,2026-08-13 04:00:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
35,2026-08-13 04:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.43,C,50.5,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,19.43,False,50.5,2026-08-13 04:30:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
36,2026-08-13 05:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,17.12,C,61.2,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,17.12,False,61.2,2026-08-13 05:00:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
37,2026-08-13 05:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,21.61,C,41.0,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,21.61,False,41.0,2026-08-13 05:30:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
38,2026-08-13 06:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,18.43,C,48.0,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,18.43,False,48.0,2026-08-13 06:00:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
39,2026-08-13 06:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,21.02,C,51.9,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,21.02,False,51.9,2026-08-13 06:30:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
40,2026-08-13 07:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.71,C,41.7,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,19.71,False,41.7,2026-08-13 07:00:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
41,2026-08-13 07:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,18.28,C,64.6,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,18.28,False,64.6,2026-08-13 07:30:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
42,2026-08-13 08:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.56,C,55.9,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,19.56,False,55.9,2026-08-13 08:00:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
43,2026-08-13 08:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,18.83,C,45.8,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,18.83,False,45.8,2026-08-13 08:30:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
44,2026-08-13 09:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,17.76,C,40.1,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,17.76,False,40.1,2026-08-13 09:00:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
45,2026-08-13 09:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,17.53,C,41.9,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,17.53,False,41.9,2026-08-13 09:30:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
46,2026-08-13 10:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.94,C,36.5,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,19.94,False,36.5,2026-08-13 10:00:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
47,2026-08-13 10:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.21,C,43.6,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,19.21,False,43.6,2026-08-13 10:30:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
48,2026-08-13 11:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,17.57,C,61.6,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-12,C,17.57,False,61.6,2026-08-13 11:00:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
49,2026-08-02 13:15:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,22.59,C,42.4,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,22.59,False,42.4,2026-08-02 13:15:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
50,2026-08-02 13:45:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,18.51,C,47.1,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,18.51,False,47.1,2026-08-02 13:45:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
51,2026-08-02 14:15:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,18.84,C,53.5,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,18.84,False,53.5,2026-08-02 14:15:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
52,2026-08-02 14:45:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,18.31,C,55.5,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,18.31,False,55.5,2026-08-02 14:45:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
53,2026-08-02 15:15:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,21.12,C,46.9,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,21.12,False,46.9,2026-08-02 15:15:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
54,2026-08-02 15:45:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,21.47,C,32.1,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,21.47,False,32.1,2026-08-02 15:45:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
55,2026-08-02 16:15:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,20.45,C,61.0,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,20.45,False,61.0,2026-08-02 16:15:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
56,2026-08-02 16:45:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,19.81,C,46.0,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,19.81,False,46.0,2026-08-02 16:45:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
57,2026-08-02 17:15:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,22.64,C,57.0,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,22.64,False,57.0,2026-08-02 17:15:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
58,2026-08-02 17:45:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,20.35,C,41.1,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,20.35,False,41.1,2026-08-02 17:45:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
59,2026-08-02 18:15:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,21.26,C,57.6,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,21.26,False,57.6,2026-08-02 18:15:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
60,2026-08-02 18:45:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,22.0,C,50.0,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,22.0,False,50.0,2026-08-02 18:45:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
61,2026-08-02 19:15:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,19.06,C,44.4,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,19.06,False,44.4,2026-08-02 19:15:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
62,2026-08-02 19:45:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,20.59,C,43.0,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,20.59,False,43.0,2026-08-02 19:45:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
63,2026-08-02 20:15:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,17.52,C,36.2,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,17.52,False,36.2,2026-08-02 20:15:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
64,2026-08-02 20:45:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,21.16,C,47.9,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,21.16,False,47.9,2026-08-02 20:45:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
65,2026-08-02 21:15:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,18.83,C,49.9,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,18.83,False,49.9,2026-08-02 21:15:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
66,2026-08-02 21:45:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,19.87,C,44.7,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,19.87,False,44.7,2026-08-02 21:45:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
67,2026-08-02 22:15:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,17.97,C,42.1,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,17.97,False,42.1,2026-08-02 22:15:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
68,2026-08-02 22:45:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,16.67,C,48.3,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,16.67,False,48.3,2026-08-02 22:45:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
69,2026-08-02 23:15:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,20.87,C,44.4,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,20.87,False,44.4,2026-08-02 23:15:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
70,2026-08-02 23:45:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,18.59,C,53.6,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,18.59,False,53.6,2026-08-02 23:45:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
71,2026-08-03 00:15:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,21.81,C,52.7,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,21.81,False,52.7,2026-08-03 00:15:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
72,2026-08-03 00:45:00,VIA-00003,ORD-2026-02991,CAM-29,PROD-057,19.67,C,58.9,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-29,C,19.67,False,58.9,2026-08-03 00:45:00,False,False,,False,SILVER,True,True,True,Seco,Seco,SIN_ALERTA,False,,True
73,2026-08-02 19:25:00,VIA-00004,ORD-2026-06185,CAM-10,PROD-048,20.85,C,39.7,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz,,,CAM-10,C,20.85,False,39.7,2026-08-02 19:25:00,False,False,,False,SILVER,True,True,True,Seco,Refrigerado,SIN_ALERTA,False,,True
