fila_bronze,movimiento_id,lote_id,producto_id,centro_distribucion,fecha_ingreso,fecha_salida,fecha_vencimiento,cantidad_ingreso,cantidad_salida,cantidad_merma,dias_en_almacen,costo_unitario_bob,columnas_con_problemas,en_cuarentena
3574,MOV-003574,LOT-2026-03574,PROD-006,La Paz,2026-07-30,2026-08-25,,425,420,3,26,29.49,fecha_vencimiento,True
3585,MOV-003585,LOT-2026-03585,PROD-050,Cochabamba,04/05/2026,2026-05-19,2027-05-04,720,714,6,15,46.57,fecha_ingreso,True
3609,MOV-003609,LOT-2026-03609,PROD-001,Tarija,2026-08-06,2026-08-11,,987,958,28,5,20.26,fecha_vencimiento,True
3861,MOV-003861,LOT-2026-03861,PROD-038,Santa Cruz,2026-08-08,2026-09-11,,931,922,5,34,26.68,fecha_vencimiento,True
3900,MOV-003900,LOT-2026-03900,PROD-048,Santa Cruz,06/07/2026,2026-07-29,2027-07-06,480,477,2,23,49.21,fecha_ingreso,True
3974,MOV-003974,LOT-2026-03974,PROD-038,Santa Cruz,2026-05-08,2026-06-13,,641,631,5,36,26.68,fecha_vencimiento,True
4180,MOV-004180,LOT-2026-04180, prod-024 ,La Paz,2026-05-17,2026-05-26,2027-05-17,302,297,2,9,16.74,producto_id,True
4195,MOV-004195,LOT-2026-04195, prod-045 ,Oruro,2026-07-21,2026-08-03,2026-08-08,459,446,13,13,27.1,producto_id,True
4203,MOV-004203,LOT-2026-04203, prod-054 ,Tarija,2026-05-12,2026-05-28,2026-11-08,476,465,8,16,79.92,producto_id,True
4439,MOV-004439,LOT-2026-04439,PROD-036,La Paz,13/06/2026,2026-06-19,2026-07-01,337,323,8,6,58.54,fecha_ingreso,True
4459,MOV-004459,LOT-2026-04459,PROD-014,Santa Cruz,2026-06-04,2026-07-08,,184,176,1,34,74.91,fecha_vencimiento,True
4700,MOV-004700,LOT-2026-04700,PROD-018,La Paz,2026-05-08,2026-05-21,,760,746,7,13,33.66,fecha_vencimiento,True
4884,MOV-004884,LOT-2026-04884, prod-048 ,Santa Cruz,2026-07-14,2026-07-25,2027-07-14,948,937,5,11,49.21,producto_id,True
4900,MOV-004900,LOT-2026-04900,PROD-040,La Paz,2026-07-07,2026-07-19,2027-07-07,367,358,-3,12,40.19,cantidad_merma,True
4915,MOV-004915,LOT-2026-04915,PROD-008,Cochabamba,2026-08-28,2026-09-02,,147,138,2,5,79.52,fecha_vencimiento,True
4930,MOV-004930,LOT-2026-04930,PROD-024,La Paz,17/05/2026,2026-06-22,2027-05-17,705,693,7,36,16.74,fecha_ingreso,True
4939,MOV-004939,LOT-2026-04939,PROD-008,Tarija,09/07/2026,2026-07-21,2027-01-05,364,354,5,12,79.52,fecha_ingreso,True
4971,MOV-004971,LOT-2026-04971,PROD-007,La Paz,2026-07-26,2026-02-31,2027-07-26,411,407,3,12,20.78,fecha_salida,True
4978,MOV-004978,LOT-2026-04978,PROD-029,La Paz,2026-05-14,2026-06-09,,924,913,6,26,81.05,fecha_vencimiento,True
4988,MOV-004988,LOT-2026-04988, prod-053 ,Oruro,2026-08-14,2026-08-26,2026-09-01,629,611,16,12,52.38,producto_id,True
5016,MOV-005016,LOT-2026-05016,PROD-029,Santa Cruz,28/06/2026,2026-08-10,2027-06-28,940,919,18,43,81.05,fecha_ingreso,True
5096,MOV-005096,LOT-2026-05096,PROD-041,Cochabamba,2026-05-02,2026-05-21,,630,614,9,19,48.44,fecha_vencimiento,True
5227,MOV-005227,LOT-2026-05227,PROD-035,Cochabamba,2026-08-19,2026-08-30,2027-02-15,cien,388,5,11,37.84,cantidad_ingreso,True
5254,MOV-005254,LOT-2026-05254,PROD-011,Oruro,2026-05-13,2026-05-28,,276,272,3,15,32.86,fecha_vencimiento,True
5265,MOV-005265,LOT-2026-05265,PROD-025,Santa Cruz,2026-05-11,2026-06-12,,111,103,2,32,54.32,fecha_vencimiento,True
5282,MOV-005282,LOT-2026-05282,PROD-002,Cochabamba,2026-07-05,2026-07-25,2027-07-05,cien,95,1,20,82.37,cantidad_ingreso,True
5369,MOV-005369,LOT-2026-05369, prod-004 ,Cochabamba,2026-06-13,2026-06-18,2026-07-01,386,369,10,5,16.27,producto_id,True
5378,MOV-005378,LOT-2026-05378, prod-037 ,Cochabamba,2026-07-11,2026-07-28,2026-07-29,351,337,13,17,25.76,producto_id,True
5468,MOV-005468,LOT-2026-05468,PROD-011,Tarija,2026-05-25,2026-06-17,,636,621,10,23,32.86,fecha_vencimiento,True
5524,MOV-005524,LOT-2026-05524, prod-040 ,La Paz,2026-05-06,2026-06-13,2027-05-06,710,698,9,38,40.19,producto_id,True
5603,MOV-005603,LOT-2026-05603, prod-054 ,Cochabamba,2026-07-05,2026-07-17,2027-01-01,281,273,4,12,79.92,producto_id,True
5660,MOV-005660,LOT-2026-05660, prod-032 ,La Paz,2026-05-12,2026-06-04,2027-05-12,912,897,8,23,33.13,producto_id,True
5732,MOV-005732,LOT-2026-05732, prod-016 ,Cochabamba,2026-06-19,2026-07-01,2027-06-19,208,202,1,12,25.77,producto_id,True
5769,MOV-005769,LOT-2026-05769,PROD-017,Cochabamba,2026-07-30,2026-02-31,2027-07-30,431,422,3,14,34.67,fecha_salida,True
5854,MOV-005854,LOT-2026-05854, prod-045 ,La Paz,2026-07-01,2026-07-07,2026-07-19,693,675,18,6,27.1,producto_id,True
5894,MOV-005894,LOT-2026-05894,PROD-002,Cochabamba,07/07/2026,2026-08-03,2027-07-07,119,113,1,27,82.37,fecha_ingreso,True
5909,MOV-005909,LOT-2026-05909,PROD-050,La Paz,2026-06-15,2026-06-26,2027-06-15,cien,389,2,11,46.57,cantidad_ingreso,True
5913,MOV-005913,LOT-2026-05913,PROD-030,Cochabamba,07/07/2026,2026-07-19,2027-07-07,119,111,1,12,34.93,fecha_ingreso,True
5943,MOV-005943,LOT-2026-05943, prod-041 ,Cochabamba,2026-08-16,2026-08-23,2027-02-12,405,394,5,7,48.44,producto_id,True
6001,MOV-004748,LOT-2026-04748,PROD-047,Tarija,2026-06-14,2026-06-28,2026-07-02,679,658,21,14,68.27,movimiento_id,True
6002,MOV-001735,LOT-2026-01735,PROD-022,Oruro,2026-07-24,2026-08-03,2026-08-11,958,933,24,10,24.66,movimiento_id,True
6003,MOV-003073,LOT-2026-03073,PROD-039,Santa Cruz,2026-05-27,2026-06-26,2027-05-27,343,335,4,30,53.27,movimiento_id,True
6004,MOV-003016,LOT-2026-03016,PROD-012,La Paz,2026-07-21,2026-08-08,2027-07-21,108,107,1,18,59.96,movimiento_id,True
6005,MOV-003990,LOT-2026-03990,PROD-004,Cochabamba,2026-05-21,2026-06-01,2026-06-08,150,145,4,11,16.27,movimiento_id,True
6006,MOV-001055,LOT-2026-01055,PROD-001,Tarija,2026-08-09,2026-08-19,2026-08-27,105,99,3,10,20.26,movimiento_id,True
6007,MOV-004746,LOT-2026-04746,PROD-051,Tarija,2026-08-27,2026-09-02,2027-02-23,222,215,3,6,24.83,movimiento_id,True
6008,MOV-004614,LOT-2026-04614,PROD-039,Cochabamba,2026-06-01,2026-07-09,2027-06-01,244,238,2,38,53.27,movimiento_id,True
6009,MOV-000978,LOT-2026-00978,PROD-006,Santa Cruz,2026-08-28,2026-09-10,2027-08-28,235,232,1,13,29.49,movimiento_id,True
6010,MOV-005017,LOT-2026-05017,PROD-045,La Paz,2026-07-27,2026-08-21,2026-08-14,768,731,36,25,27.1,movimiento_id,True
6011,MOV-000102,LOT-2026-00102,PROD-037,Tarija,2026-07-23,2026-08-16,2026-08-10,737,700,35,24,25.76,movimiento_id,True
6012,MOV-004597,LOT-2026-04597,PROD-037,La Paz,2026-06-15,2026-07-13,2026-07-03,230,218,12,28,25.76,movimiento_id,True
6013,MOV-004997,LOT-2026-04997,PROD-031,La Paz,2026-07-30,2026-08-12,2027-07-30,822,817,5,13,50.89,movimiento_id,True
6014,MOV-003224,LOT-2026-03224,PROD-048,Cochabamba,2026-06-06,2026-06-22,2027-06-06,131,123,1,16,49.21,movimiento_id,True
6015,MOV-004399,LOT-2026-04399,PROD-047,Tarija,2026-07-27,2026-08-16,2026-08-14,758,725,28,20,68.27,movimiento_id,True
6016,MOV-005441,LOT-2026-05441,PROD-003,Oruro,2026-08-07,2026-09-02,2027-08-07,450,444,3,26,68.01,movimiento_id,True
6017,MOV-005588,LOT-2026-05588,PROD-008,Cochabamba,2026-08-21,2026-09-05,2027-02-17,858,837,14,15,79.52,movimiento_id,True
6018,MOV-003592,LOT-2026-03592,PROD-016,Santa Cruz,2026-05-30,2026-06-18,2027-05-30,375,368,4,19,25.77,movimiento_id,True
6019,MOV-003014,LOT-2026-03014,PROD-033,Cochabamba,2026-07-24,2026-08-16,2027-07-24,528,519,3,23,30.56,movimiento_id,True
6020,MOV-004061,LOT-2026-04061,PROD-023,Cochabamba,2026-06-15,2026-06-20,2026-07-03,408,391,10,5,22.32,movimiento_id,True
6021,MOV-000734,LOT-2026-00734,PROD-006,Tarija,2026-05-26,2026-06-06,2027-05-26,362,353,3,11,29.49,movimiento_id,True
6022,MOV-002648,LOT-2026-02648,PROD-021,Cochabamba,2026-07-11,2026-07-16,2026-07-29,711,691,18,5,83.07,movimiento_id,True
6023,MOV-002305,LOT-2026-02305,PROD-015,Tarija,2026-08-15,2026-08-28,2026-09-02,559,538,16,13,68.74,movimiento_id,True
6024,MOV-001648,LOT-2026-01648,PROD-025,Oruro,2026-08-15,2026-08-26,2027-02-11,970,955,12,11,54.32,movimiento_id,True
6025,MOV-001094,LOT-2026-01094,PROD-044,Santa Cruz,2026-08-03,2026-08-15,2026-08-21,169,161,4,12,38.35,movimiento_id,True
6026,MOV-005267,LOT-2026-05267,PROD-006,La Paz,2026-06-25,2026-07-16,2027-06-25,884,876,5,21,29.49,movimiento_id,True
6027,MOV-004534,LOT-2026-04534,PROD-043,Oruro,2026-05-10,2026-06-01,2026-11-06,499,493,6,22,16.46,movimiento_id,True
6028,MOV-000190,LOT-2026-00190,PROD-042,La Paz,2026-05-15,2026-06-08,2027-05-15,599,595,3,24,55.74,movimiento_id,True
6029,MOV-000904,LOT-2026-00904,PROD-022,Cochabamba,2026-07-17,2026-08-14,2026-08-04,702,661,35,28,24.66,movimiento_id,True
6030,MOV-002656,LOT-2026-02656,PROD-057,Tarija,2026-08-10,2026-08-25,2027-08-10,850,838,6,15,16.73,movimiento_id,True
6031,MOV-002654,LOT-2026-02654,PROD-007,Santa Cruz,2026-08-13,2026-08-24,2027-08-13,98,95,1,11,20.78,movimiento_id,True
6032,MOV-003560,LOT-2026-03560,PROD-028,Cochabamba,2026-06-06,2026-06-18,2027-06-06,377,368,2,12,27.13,movimiento_id,True
6033,MOV-005749,LOT-2026-05749,PROD-016,Cochabamba,2026-05-17,2026-05-29,2027-05-17,173,165,2,12,25.77,movimiento_id,True
6034,MOV-004374,LOT-2026-04374,PROD-046,Tarija,2026-05-09,2026-06-06,2027-05-09,665,656,4,28,25.66,movimiento_id,True
6035,MOV-004588,LOT-2026-04588,PROD-015,Cochabamba,2026-07-16,2026-07-20,2026-08-03,767,742,19,4,68.74,movimiento_id,True
6036,MOV-004400,LOT-2026-04400,PROD-031,La Paz,2026-08-12,2026-09-11,2027-08-12,978,970,5,30,50.89,movimiento_id,True
6037,MOV-000486,LOT-2026-00486,PROD-003,Cochabamba,2026-06-28,2026-07-09,2027-06-28,877,866,5,11,68.01,movimiento_id,True
6038,MOV-005819,LOT-2026-05819,PROD-034,Tarija,2026-07-14,2026-07-18,2026-08-01,871,843,24,4,54.4,movimiento_id,True
6039,MOV-003665,LOT-2026-03665,PROD-032,Oruro,2026-06-02,2026-07-03,2027-06-02,756,744,5,31,33.13,movimiento_id,True
6040,MOV-004092,LOT-2026-04092,PROD-012,Oruro,2026-08-09,2026-08-24,2027-08-09,419,414,2,15,59.96,movimiento_id,True
