fila_bronze,camion_id,centro_distribucion_base,capacidad_kg,tipo_camion,camion_id_estado,camion_id_motivo,centro_distribucion_base_estado,centro_distribucion_base_motivo,capacidad_kg_estado,capacidad_kg_motivo,tipo_camion_estado,tipo_camion_motivo,cantidad_columnas_con_problemas,en_cuarentena,severidad_maxima,columnas_con_problemas,motivos_fila,version_diagnostico,sha256_bronze,acciones_tratamiento,motivos_tratamiento,camion_id_tratado,centro_distribucion_base_tratado,tipo_camion_tratado,capacidad_kg_tratada,camion_id_normalizado,motivo_cuarentena_final,capacidad_revisar_ficha,en_cuarentena_final,decision_tratamiento,version_tratamiento
20, cam-20 ,Oruro,12000,Refrigerado,CRITICO,Formato esperado: CAM-##,OK,,OK,,OK,,1,True,CRITICO,camion_id,camion_id: Formato esperado: CAM-##,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,NORMALIZAR_CAMION_ID,ID normalizado sin conflicto de atributos,CAM-20,Oruro,Refrigerado,12000,True,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
21,CAM-21,Tarija,12000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-21,Tarija,Seco,12000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
22,CAM-22,Cochabamba,8000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-22,Cochabamba,Refrigerado,8000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
23,CAM-23,Santa Cruz,5000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-23,Santa Cruz,Seco,5000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
24,CAM-24,Oruro,2000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-24,Oruro,Refrigerado,2000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
25,CAM-25,Cochabamba,2000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-25,Cochabamba,Refrigerado,2000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
26,CAM-26,Tarija,8000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-26,Tarija,Refrigerado,8000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
27,CAM-27,Cochabamba,5000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-27,Cochabamba,Refrigerado,5000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
28,CAM-28,La Paz,2000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-28,La Paz,Refrigerado,2000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
29,CAM-29,Santa Cruz,5000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-29,Santa Cruz,Seco,5000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
30, cam-30 ,Cochabamba,8000,Seco,CRITICO,Formato esperado: CAM-##,OK,,OK,,OK,,1,True,CRITICO,camion_id,camion_id: Formato esperado: CAM-##,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,NORMALIZAR_CAMION_ID,ID normalizado sin conflicto de atributos,CAM-30,Cochabamba,Seco,8000,True,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
