fila_bronze,order_id,cliente_id,producto_id,fecha_despacho,centro_distribucion,camion_id,chofer_id,cantidad_solicitada,cantidad_entregada,tiempo_entrega_prometido_hrs,tiempo_entrega_real_hrs,otif_on_time,otif_in_full,otif,order_id_en_cuarentena,order_id_motivo,cliente_id_en_cuarentena,cliente_id_motivo,producto_id_en_cuarentena,producto_id_motivo,fecha_despacho_en_cuarentena,fecha_despacho_motivo,centro_distribucion_en_cuarentena,centro_distribucion_motivo,camion_id_en_cuarentena,camion_id_motivo,chofer_id_en_cuarentena,chofer_id_motivo,cantidad_solicitada_en_cuarentena,cantidad_solicitada_motivo,cantidad_entregada_en_cuarentena,cantidad_entregada_motivo,tiempo_entrega_prometido_hrs_en_cuarentena,tiempo_entrega_prometido_hrs_motivo,tiempo_entrega_real_hrs_en_cuarentena,tiempo_entrega_real_hrs_motivo,otif_on_time_en_cuarentena,otif_on_time_motivo,otif_in_full_en_cuarentena,otif_in_full_motivo,otif_en_cuarentena,otif_motivo,en_cuarentena
1678, ord-2026-01678 ,CLI-100,PROD-009,2026-08-29 06:32:00,Cochabamba,CAM-22,CHO-079,289,289.0,24,23.9,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
1712,ORD-2026-01712, cli-044 ,PROD-059,2026-08-20 20:00:00,Oruro,CAM-24,CHO-095,197,197.0,48,35.0,1,1,1,False,,True,Formato esperado: CLI-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
1857,ORD-2026-01857,CLI-036, prod-047 ,2026-08-29 04:37:00,Santa Cruz,CAM-08,CHO-118,165,163.0,72,47.5,1,0,0,False,,False,,True,Formato esperado: PROD-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
1867, ord-2026-01867 ,CLI-089,PROD-027,2026-08-27 09:42:00,Tarija,CAM-19,CHO-059,170,170.0,48,32.4,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
1892,ORD-2026-01892,CLI-083,PROD-007,06/08/2026 18:49,La Paz,CAM-04,CHO-004,156,156.0,48,57.0,0,1,0,False,,False,,False,,True,Formato local convertible a AAAA-MM-DD HH:MM:SS,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
1907,ORD-2026-01907,CLI-010,PROD-003,2026-08-06 20:33:00,La Paz,CAM-15,CHO-011,cincuenta,430.0,48,35.3,1,1,1,False,,False,,False,,False,,False,,False,,False,,True,Valor no numérico,False,,False,,False,,False,,False,,False,,True
1963, ord-2026-01963 ,CLI-095,PROD-015,2026-08-27 17:34:00,Cochabamba,CAM-11,CHO-108,108,108.0,72,61.7,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
1966,ORD-2026-01966,CLI-082,PROD-024,2026-08-18 22:53:00,Tarija,CAM-19,CHO-025,cincuenta,236.0,72,71.7,1,1,1,False,,False,,False,,False,,False,,False,,False,,True,Valor no numérico,False,,False,,False,,False,,False,,False,,True
2014, ord-2026-02014 ,CLI-029,PROD-016,2026-08-12 14:50:00,Tarija,CAM-21,CHO-063,236,225.0,48,29.8,1,0,0,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
2043,ORD-2026-02043,CLI-013, prod-011 ,2026-08-25 13:28:00,Oruro,CAM-24,CHO-095,463,463.0,48,34.3,1,1,1,False,,False,,True,Formato esperado: PROD-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
2055, ord-2026-02055 ,CLI-048,PROD-039,2026-08-20 19:28:00,Santa Cruz,CAM-29,CHO-034,437,437.0,72,49.8,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
2133, ord-2026-02133 ,CLI-075,PROD-035,2026-08-02 18:40:00,Tarija,CAM-26,CHO-084,469,469.0,24,15.9,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
2227,ORD-2026-02227,CLI-032, prod-023 ,2026-08-08 18:27:00,Tarija,CAM-19,CHO-099,309,309.0,24,22.3,1,1,1,False,,False,,True,Formato esperado: PROD-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
2279, ord-2026-02279 ,CLI-072,PROD-060,2026-08-23 04:55:00,Cochabamba,CAM-22,CHO-024,95,95.0,24,20.1,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
2327,ORD-2026-02327,CLI-045,PROD-014,2026-08-22 20:49:00,Tarija,CAM-26,CHO-068,441,431.0,48,-25.0,1,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True
2351,ORD-2026-02351,CLI-013,PROD-024,2026-08-16 20:51:00,Cochabamba,CAM-30,CHO-081,483,483.0,24,-18.3,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True
2446,ORD-2026-02446,CLI-093,PROD-048,2026-08-06 16:04:00,Oruro,CAM-20,CHO-038,278,278.0,48,-54.9,0,1,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True
2449,ORD-2026-02449,CLI-028, prod-050 ,2026-08-06 01:50:00,Cochabamba,CAM-14,CHO-051,349,349.0,48,40.7,1,1,1,False,,False,,True,Formato esperado: PROD-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
2593,ORD-2026-02593,CLI-058,PROD-019,18/08/2026 13:28,Cochabamba,CAM-05,CHO-086,302,302.0,48,34.9,1,1,1,False,,False,,False,,True,Formato local convertible a AAAA-MM-DD HH:MM:SS,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
2596, ord-2026-02596 ,CLI-041,PROD-039,2026-08-09 13:40:00,Tarija,CAM-26,CHO-025,161,147.0,48,40.7,1,0,0,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
2701, ord-2026-02701 ,CLI-092,PROD-047,2026-08-27 22:11:00,Cochabamba,CAM-22,CHO-051,53,53.0,24,22.5,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
2742,ORD-2026-02742,CLI-090,PROD-055,24/08/2026 03:53,Cochabamba,CAM-22,CHO-086,407,407.0,24,27.1,0,1,0,False,,False,,False,,True,Formato local convertible a AAAA-MM-DD HH:MM:SS,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
2755,ORD-2026-02755,CLI-018, prod-014 ,2026-08-11 06:39:00,La Paz,CAM-04,CHO-011,144,144.0,72,67.1,1,1,1,False,,False,,True,Formato esperado: PROD-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
2784,ORD-2026-02784,CLI-025,PROD-012,2026-02-31 08:00:00,Tarija,CAM-19,CHO-010,73,73.0,48,36.8,1,1,1,False,,False,,False,,True,Fecha imposible o formato no reconocido,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
2894, ord-2026-02894 ,CLI-060,PROD-054,2026-08-12 01:02:00,Tarija,CAM-19,CHO-078,476,476.0,48,33.8,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
2904,ORD-2026-02904,CLI-081, prod-026 ,2026-08-27 21:02:00,Cochabamba,CAM-11,CHO-086,326,326.0,48,50.9,0,1,0,False,,False,,True,Formato esperado: PROD-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
2936,ORD-2026-02936,CLI-062,PROD-045,09/08/2026 15:13,Cochabamba,CAM-02,CHO-083,393,393.0,24,17.9,1,1,1,False,,False,,False,,True,Formato local convertible a AAAA-MM-DD HH:MM:SS,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
2954,ORD-2026-02954,CLI-002,PROD-004,2026-08-16 01:35:00,Cochabamba,CAM-02,CHO-070,279,279.0,48,-41.9,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True
3082,ORD-2026-03082,CLI-088,PROD-014,2026-02-31 08:00:00,Santa Cruz,CAM-08,CHO-132,351,351.0,24,21.4,1,1,1,False,,False,,False,,True,Fecha imposible o formato no reconocido,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
3164, ord-2026-03164 ,CLI-094,PROD-013,2026-08-07 07:24:00,La Paz,CAM-28,CHO-094,398,398.0,24,13.1,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
3242,ORD-2026-03242, cli-022 ,PROD-040,2026-08-11 14:54:00,Tarija,CAM-19,CHO-067,261,,48,48.2,0,1,0,False,,True,Formato esperado: CLI-\d{3},False,,False,,False,,False,,False,,False,,False,Valor faltante; Cantidad entregada ausente; no evaluable para KPI OTIF,False,,False,,False,,False,,False,,True
3325, ord-2026-03325 ,CLI-038,PROD-054,2026-08-03 21:26:00,Oruro,CAM-24,CHO-095,121,109.0,48,37.6,1,0,0,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
3349, ord-2026-03349 ,CLI-087,PROD-049,2026-08-05 06:19:00,La Paz,CAM-15,CHO-018,240,240.0,72,75.8,0,1,0,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
3402, ord-2026-03402 ,CLI-010,PROD-020,2026-08-11 03:58:00,Oruro,CAM-16,CHO-027,375,375.0,24,15.7,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
3404,ORD-2026-03404,CLI-049,PROD-002,02/08/2026 12:30,Oruro,CAM-03,CHO-095,111,111.0,48,27.5,1,1,1,False,,False,,False,,True,Formato local convertible a AAAA-MM-DD HH:MM:SS,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
3498,ORD-2026-03498,CLI-099,PROD-006,2026-08-10 05:29:00,La Paz,CAM-04,CHO-023,cincuenta,138.0,72,74.0,0,1,0,False,,False,,False,,False,,False,,False,,False,,True,Valor no numérico,False,,False,,False,,False,,False,,False,,True
3574, ord-2026-03574 ,CLI-030,PROD-027,2026-08-03 03:40:00,Cochabamba,CAM-01,CHO-083,172,172.0,72,56.5,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
3631,ORD-2026-03631,CLI-098, prod-053 ,2026-08-30 22:21:00,Tarija,CAM-26,CHO-055,164,156.0,24,20.2,1,0,0,False,,False,,True,Formato esperado: PROD-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
3671, ord-2026-03671 ,CLI-048,PROD-024,2026-08-30 08:10:00,Tarija,CAM-21,CHO-043,462,462.0,72,67.3,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
3673,ORD-2026-03673,CLI-043,PROD-006,20/08/2026 13:36,Santa Cruz,CAM-29,CHO-127,272,272.0,72,42.4,1,1,1,False,,False,,False,,True,Formato local convertible a AAAA-MM-DD HH:MM:SS,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
3718,ORD-2026-03718,CLI-030,PROD-045,08/08/2026 05:57,Tarija,CAM-19,CHO-099,188,188.0,24,24.1,0,1,0,False,,False,,False,,True,Formato local convertible a AAAA-MM-DD HH:MM:SS,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
3732,ORD-2026-03732, cli-023 ,PROD-002,2026-08-16 15:17:00,Santa Cruz,CAM-08,CHO-008,19,19.0,24,19.4,1,1,1,False,,True,Formato esperado: CLI-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
3747, ord-2026-03747 ,CLI-044,PROD-024,2026-08-24 14:20:00,Cochabamba,CAM-01,CHO-049,150,150.0,72,46.4,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
3781,ORD-2026-03781,CLI-073,PROD-018,2026-08-15 06:51:00,Santa Cruz,CAM-29,CHO-090,cincuenta,,48,24.9,1,1,1,False,,False,,False,,False,,False,,False,,False,,True,Valor no numérico,False,Valor faltante; Cantidad entregada ausente; no evaluable para KPI OTIF,False,,False,,False,,False,,False,,True
3811,ORD-2026-03811, cli-085 ,PROD-016,2026-08-28 11:27:00,Tarija,CAM-19,CHO-067,145,145.0,24,26.2,0,1,0,False,,True,Formato esperado: CLI-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
3900, ord-2026-03900 ,CLI-075,PROD-012,2026-08-26 01:35:00,Cochabamba,CAM-27,CHO-096,201,201.0,24,19.1,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
3979,ORD-2026-03979, cli-012 ,PROD-044,2026-08-05 17:01:00,Tarija,CAM-26,CHO-078,336,336.0,24,25.4,0,1,0,False,,True,Formato esperado: CLI-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
4029,ORD-2026-04029,CLI-099, prod-058 ,2026-08-01 12:05:00,Tarija,CAM-26,CHO-067,241,241.0,48,34.6,1,1,1,False,,False,,True,Formato esperado: PROD-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
4032, ord-2026-04032 ,CLI-073,PROD-005,2026-08-25 02:31:00,Santa Cruz,CAM-29,CHO-113,259,259.0,24,21.1,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
4171, ord-2026-04171 ,CLI-002,PROD-026,2026-08-20 15:19:00,Oruro,CAM-24,CHO-066,460,460.0,72,55.3,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
4288,ORD-2026-04288, cli-042 ,PROD-047,2026-08-21 18:17:00,Santa Cruz,CAM-08,CHO-034,158,158.0,72,56.3,1,1,1,False,,True,Formato esperado: CLI-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
4341,ORD-2026-04341,CLI-077,PROD-046,18/08/2026 05:19,Oruro,CAM-24,CHO-066,232,232.0,48,43.5,1,1,1,False,,False,,False,,True,Formato local convertible a AAAA-MM-DD HH:MM:SS,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
4343,ORD-2026-04343,CLI-081,PROD-045,2026-08-01 22:31:00,La Paz,CAM-10,CHO-018,cincuenta,299.0,72,69.9,1,0,0,False,,False,,False,,False,,False,,False,,False,,True,Valor no numérico,False,,False,,False,,False,,False,,False,,True
4390,ORD-2026-04390, cli-085 ,PROD-057,2026-08-27 19:07:00,Tarija,CAM-26,CHO-099,84,84.0,48,38.0,1,1,1,False,,True,Formato esperado: CLI-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
4539,ORD-2026-04539,CLI-015,PROD-048,2026-08-30 14:29:00,Cochabamba,CAM-17,CHO-096,cincuenta,70.0,24,19.6,1,1,1,False,,False,,False,,False,,False,,False,,False,,True,Valor no numérico,False,,False,,False,,False,,False,,False,,True
4784,ORD-2026-04784,CLI-065,PROD-023,2026-08-13 07:58:00,Oruro,CAM-24,CHO-095,173,173.0,24,-25.1,0,1,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True
4827,ORD-2026-04827,CLI-071,PROD-036,24/08/2026 07:14,Cochabamba,CAM-01,CHO-020,33,20.0,48,39.4,1,0,0,False,,False,,False,,True,Formato local convertible a AAAA-MM-DD HH:MM:SS,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
