fila_bronze,rule_id,columna_afectada,codigo_error,severidad,accion,tipo_problema,dimension_calidad,valor_original,detalle,estado_tratamiento,bloquea_silver,tratamiento_aplicado,detalle_resultado
10,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
11,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
12,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
13,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
14,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
15,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
16,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
17,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
18,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
19,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
20,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
21,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
22,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
23,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
24,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
121,IOT-R019,humedad_cabina_pct,FALTANTE,CRITICAL,CUARENTENA,FALTANTE,COMPLETITUD,,Humedad vacía,PENDIENTE,True,NINGUNO,Se resuelve solo al registrar una acción validada
125,IOT-R015,temp_unit,PENDIENTE_CONVERSION_F,WARNING,REVISAR,CONFORMIDAD,CONFORMIDAD,F,Lectura válida en F; estandarización corresponde al tratamiento,RESUELTO,False,F_A_C,Fahrenheit convertido a Celsius en columna preparada
146,IOT-R008,camion_id,FORMATO_INVALIDO,CRITICAL,CUARENTENA,FORMATO,CONFORMIDAD, cam-19 ,Formato esperado CAM-00,RESUELTO,False,CAMION_CANONICO,Formato canónico confirmado en Flota Silver
146,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD, cam-19 ,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
193,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
194,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
195,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
196,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
197,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
198,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
199,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
200,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
201,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
202,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
203,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
204,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
205,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
206,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
207,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
208,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
209,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
210,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
211,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
212,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
213,IOT-R019,humedad_cabina_pct,FALTANTE,CRITICAL,CUARENTENA,FALTANTE,COMPLETITUD,,Humedad vacía,PENDIENTE,True,NINGUNO,Se resuelve solo al registrar una acción validada
213,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
214,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
215,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
216,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
229,IOT-R018,temperatura_cabina_c,VALOR_CENTINELA,CRITICAL,CUARENTENA,VALIDEZ,VALIDEZ,-999.0,-999 es centinela: lectura no evaluable para rangos térmicos,PENDIENTE,True,NINGUNO,Se resuelve solo al registrar una acción validada
238,IOT-R016,temperatura_cabina_c,FALTANTE,CRITICAL,CUARENTENA,FALTANTE,COMPLETITUD,,Temperatura vacía,PENDIENTE,True,NINGUNO,Se resuelve solo al registrar una acción validada
265,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
266,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
267,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
268,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
269,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
270,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
271,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
272,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
273,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
274,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
275,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
276,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
277,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
278,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
279,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
280,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
281,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
282,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
283,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
284,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
285,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
286,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
287,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
288,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
361,IOT-R026,producto_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
362,IOT-R026,producto_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
363,IOT-R026,producto_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
364,IOT-R026,producto_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
365,IOT-R026,producto_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
366,IOT-R026,producto_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
367,IOT-R026,producto_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
368,IOT-R026,producto_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
369,IOT-R026,producto_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
370,IOT-R026,producto_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
371,IOT-R026,producto_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
372,IOT-R026,producto_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
373,IOT-R026,producto_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
374,IOT-R026,producto_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
375,IOT-R026,producto_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,PROD-031,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
