fila_bronze,clave_lectura,tipo_duplicado,decision_duplicado,fila_canonica
34,VIA-00002|2026-08-13 04:00:00,IDENTICO,CANONICA,34
8900,VIA-00371|2026-08-21 02:19:00,IDENTICO,CANONICA,8900
28875,VIA-00371|2026-08-21 02:19:00,IDENTICO,COPIA_EXCLUIDA,8900
8975,VIA-00374|2026-08-05 05:31:00,IDENTICO,CANONICA,8975
28863,VIA-00374|2026-08-05 05:31:00,IDENTICO,COPIA_EXCLUIDA,8975
9078,VIA-00379|2026-08-14 02:26:00,IDENTICO,CANONICA,9078
28852,VIA-00379|2026-08-14 02:26:00,IDENTICO,COPIA_EXCLUIDA,9078
9087,VIA-00379|2026-08-14 06:56:00,IDENTICO,CANONICA,9087
28832,VIA-00379|2026-08-14 06:56:00,IDENTICO,COPIA_EXCLUIDA,9087
9110,VIA-00380|2026-08-01 15:38:00,IDENTICO,CANONICA,9110
28824,VIA-00380|2026-08-01 15:38:00,IDENTICO,COPIA_EXCLUIDA,9110
9813,VIA-00409|2026-08-14 18:19:00,IDENTICO,CANONICA,9813
28897,VIA-00409|2026-08-14 18:19:00,IDENTICO,COPIA_EXCLUIDA,9813
10387,VIA-00433|2026-08-30 05:53:00,IDENTICO,CANONICA,10387
28856,VIA-00433|2026-08-30 05:53:00,IDENTICO,COPIA_EXCLUIDA,10387
10600,VIA-00442|2026-08-15 17:31:00,IDENTICO,CANONICA,10600
28867,VIA-00442|2026-08-15 17:31:00,IDENTICO,COPIA_EXCLUIDA,10600
10663,VIA-00445|2026-08-06 04:15:00,IDENTICO,CANONICA,10663
28872,VIA-00445|2026-08-06 04:15:00,IDENTICO,COPIA_EXCLUIDA,10663
10850,VIA-00453|2026-08-13 08:52:00,IDENTICO,CANONICA,10850
28882,VIA-00453|2026-08-13 08:52:00,IDENTICO,COPIA_EXCLUIDA,10850
11191,VIA-00467|2026-08-15 12:38:00,IDENTICO,CANONICA,11191
28880,VIA-00467|2026-08-15 12:38:00,IDENTICO,COPIA_EXCLUIDA,11191
11385,VIA-00475|2026-08-27 19:42:00,COMPLEMENTARIO,CANONICA,11385
28848,VIA-00475|2026-08-27 19:42:00,COMPLEMENTARIO,COPIA_EXCLUIDA,11385
11648,VIA-00486|2026-08-09 11:02:00,IDENTICO,CANONICA,11648
28814,VIA-00486|2026-08-09 11:02:00,IDENTICO,COPIA_EXCLUIDA,11648
12410,VIA-00518|2026-08-29 08:01:00,IDENTICO,CANONICA,12410
28881,VIA-00518|2026-08-29 08:01:00,IDENTICO,COPIA_EXCLUIDA,12410
12721,VIA-00531|2026-08-06 23:25:00,IDENTICO,CANONICA,12721
28841,VIA-00531|2026-08-06 23:25:00,IDENTICO,COPIA_EXCLUIDA,12721
13016,VIA-00543|2026-08-28 23:01:00,COMPLEMENTARIO,CANONICA,13016
28847,VIA-00543|2026-08-28 23:01:00,COMPLEMENTARIO,COPIA_EXCLUIDA,13016
13749,VIA-00573|2026-08-24 08:23:00,IDENTICO,CANONICA,13749
28887,VIA-00573|2026-08-24 08:23:00,IDENTICO,COPIA_EXCLUIDA,13749
14905,VIA-00622|2026-08-29 04:32:00,IDENTICO,CANONICA,14905
28879,VIA-00622|2026-08-29 04:32:00,IDENTICO,COPIA_EXCLUIDA,14905
15355,VIA-00640|2026-08-05 23:29:00,IDENTICO,CANONICA,15355
28846,VIA-00640|2026-08-05 23:29:00,IDENTICO,COPIA_EXCLUIDA,15355
15865,VIA-00662|2026-08-12 02:44:00,IDENTICO,CANONICA,15865
28808,VIA-00662|2026-08-12 02:44:00,IDENTICO,COPIA_EXCLUIDA,15865
16061,VIA-00670|2026-08-28 12:01:00,IDENTICO,CANONICA,16061
28868,VIA-00670|2026-08-28 12:01:00,IDENTICO,COPIA_EXCLUIDA,16061
16073,VIA-00670|2026-08-28 18:01:00,IDENTICO,CANONICA,16073
28816,VIA-00670|2026-08-28 18:01:00,IDENTICO,COPIA_EXCLUIDA,16073
16139,VIA-00673|2026-08-30 19:32:00,IDENTICO,CANONICA,16139
28837,VIA-00673|2026-08-30 19:32:00,IDENTICO,COPIA_EXCLUIDA,16139
16167,VIA-00674|2026-08-08 08:33:00,IDENTICO,CANONICA,16167
28858,VIA-00674|2026-08-08 08:33:00,IDENTICO,COPIA_EXCLUIDA,16167
16282,VIA-00679|2026-08-06 13:54:00,IDENTICO,CANONICA,16282
28825,VIA-00679|2026-08-06 13:54:00,IDENTICO,COPIA_EXCLUIDA,16282
16445,VIA-00686|2026-08-13 22:04:00,IDENTICO,CANONICA,16445
28917,VIA-00686|2026-08-13 22:04:00,IDENTICO,COPIA_EXCLUIDA,16445
16609,VIA-00693|2026-08-01 11:33:00,IDENTICO,CANONICA,16609
28885,VIA-00693|2026-08-01 11:33:00,IDENTICO,COPIA_EXCLUIDA,16609
16628,VIA-00693|2026-08-01 21:03:00,IDENTICO,CANONICA,16628
28916,VIA-00693|2026-08-01 21:03:00,IDENTICO,COPIA_EXCLUIDA,16628
16638,VIA-00694|2026-08-04 06:10:00,IDENTICO,CANONICA,16638
28870,VIA-00694|2026-08-04 06:10:00,IDENTICO,COPIA_EXCLUIDA,16638
16916,VIA-00705|2026-08-28 09:34:00,IDENTICO,CANONICA,16916
28884,VIA-00705|2026-08-28 09:34:00,IDENTICO,COPIA_EXCLUIDA,16916
17211,VIA-00718|2026-08-16 01:15:00,IDENTICO,CANONICA,17211
28861,VIA-00718|2026-08-16 01:15:00,IDENTICO,COPIA_EXCLUIDA,17211
17213,VIA-00718|2026-08-16 02:15:00,IDENTICO,CANONICA,17213
28893,VIA-00718|2026-08-16 02:15:00,IDENTICO,COPIA_EXCLUIDA,17213
18019,VIA-00751|2026-08-04 15:52:00,IDENTICO,CANONICA,18019
28860,VIA-00751|2026-08-04 15:52:00,IDENTICO,COPIA_EXCLUIDA,18019
18064,VIA-00753|2026-08-25 06:10:00,IDENTICO,CANONICA,18064
28907,VIA-00753|2026-08-25 06:10:00,IDENTICO,COPIA_EXCLUIDA,18064
18111,VIA-00755|2026-08-20 09:55:00,IDENTICO,CANONICA,18111
28840,VIA-00755|2026-08-20 09:55:00,IDENTICO,COPIA_EXCLUIDA,18111
18152,VIA-00757|2026-08-27 05:16:00,IDENTICO,CANONICA,18152
28842,VIA-00757|2026-08-27 05:16:00,IDENTICO,COPIA_EXCLUIDA,18152
18256,VIA-00761|2026-08-26 18:25:00,COMPLEMENTARIO,CANONICA,18256
28862,VIA-00761|2026-08-26 18:25:00,COMPLEMENTARIO,COPIA_EXCLUIDA,18256
18741,VIA-00781|2026-08-16 04:20:00,IDENTICO,CANONICA,18741
28817,VIA-00781|2026-08-16 04:20:00,IDENTICO,COPIA_EXCLUIDA,18741
18843,VIA-00786|2026-08-12 16:33:00,IDENTICO,CANONICA,18843
28866,VIA-00786|2026-08-12 16:33:00,IDENTICO,COPIA_EXCLUIDA,18843
19202,VIA-00801|2026-08-26 00:48:00,IDENTICO,CANONICA,19202
28920,VIA-00801|2026-08-26 00:48:00,IDENTICO,COPIA_EXCLUIDA,19202
19348,VIA-00807|2026-08-15 15:30:00,IDENTICO,CANONICA,19348
28813,VIA-00807|2026-08-15 15:30:00,IDENTICO,COPIA_EXCLUIDA,19348
19690,VIA-00821|2026-08-01 23:23:00,IDENTICO,CANONICA,19690
28839,VIA-00821|2026-08-01 23:23:00,IDENTICO,COPIA_EXCLUIDA,19690
19739,VIA-00823|2026-08-03 03:34:00,IDENTICO,CANONICA,19739
28822,VIA-00823|2026-08-03 03:34:00,IDENTICO,COPIA_EXCLUIDA,19739
19857,VIA-00828|2026-08-26 12:11:00,IDENTICO,CANONICA,19857
28859,VIA-00828|2026-08-26 12:11:00,IDENTICO,COPIA_EXCLUIDA,19857
20163,VIA-00841|2026-08-16 04:26:00,IDENTICO,CANONICA,20163
28878,VIA-00841|2026-08-16 04:26:00,IDENTICO,COPIA_EXCLUIDA,20163
20528,VIA-00856|2026-08-20 15:36:00,IDENTICO,CANONICA,20528
28831,VIA-00856|2026-08-20 15:36:00,IDENTICO,COPIA_EXCLUIDA,20528
20716,VIA-00864|2026-08-03 05:18:00,IDENTICO,CANONICA,20716
28829,VIA-00864|2026-08-03 05:18:00,IDENTICO,COPIA_EXCLUIDA,20716
20899,VIA-00871|2026-08-10 09:33:00,IDENTICO,CANONICA,20899
28904,VIA-00871|2026-08-10 09:33:00,IDENTICO,COPIA_EXCLUIDA,20899
21240,VIA-00885|2026-08-26 04:37:00,COMPLEMENTARIO,COPIA_EXCLUIDA,28901
28901,VIA-00885|2026-08-26 04:37:00,COMPLEMENTARIO,CANONICA,28901
21492,VIA-00896|2026-08-04 00:41:00,IDENTICO,CANONICA,21492
28823,VIA-00896|2026-08-04 00:41:00,IDENTICO,COPIA_EXCLUIDA,21492
21506,VIA-00897|2026-08-30 14:53:00,IDENTICO,CANONICA,21506
28843,VIA-00897|2026-08-30 14:53:00,IDENTICO,COPIA_EXCLUIDA,21506
21664,VIA-00903|2026-08-05 01:48:00,IDENTICO,CANONICA,21664
28886,VIA-00903|2026-08-05 01:48:00,IDENTICO,COPIA_EXCLUIDA,21664
21927,VIA-00914|2026-08-02 11:49:00,IDENTICO,CANONICA,21927
28805,VIA-00914|2026-08-02 11:49:00,IDENTICO,COPIA_EXCLUIDA,21927
22234,VIA-00927|2026-08-26 10:35:00,IDENTICO,CANONICA,22234
28812,VIA-00927|2026-08-26 10:35:00,IDENTICO,COPIA_EXCLUIDA,22234
22530,VIA-00939|2026-08-14 09:12:00,IDENTICO,CANONICA,22530
28854,VIA-00939|2026-08-14 09:12:00,IDENTICO,COPIA_EXCLUIDA,22530
22698,VIA-00946|2026-08-01 22:36:00,IDENTICO,CANONICA,22698
28918,VIA-00946|2026-08-01 22:36:00,IDENTICO,COPIA_EXCLUIDA,22698
23070,VIA-00962|2026-08-08 22:43:00,IDENTICO,CANONICA,23070
28869,VIA-00962|2026-08-08 22:43:00,IDENTICO,COPIA_EXCLUIDA,23070
23207,VIA-00967|2026-08-15 14:59:00,IDENTICO,CANONICA,23207
28906,VIA-00967|2026-08-15 14:59:00,IDENTICO,COPIA_EXCLUIDA,23207
23262,VIA-00970|2026-08-25 04:44:00,IDENTICO,CANONICA,23262
28803,VIA-00970|2026-08-25 04:44:00,IDENTICO,COPIA_EXCLUIDA,23262
23503,VIA-00980|2026-08-05 14:02:00,IDENTICO,CANONICA,23503
28845,VIA-00980|2026-08-05 14:02:00,IDENTICO,COPIA_EXCLUIDA,23503
23617,VIA-00985|2026-08-04 13:49:00,IDENTICO,CANONICA,23617
28850,VIA-00985|2026-08-04 13:49:00,IDENTICO,COPIA_EXCLUIDA,23617
23714,VIA-00989|2026-08-15 11:59:00,IDENTICO,CANONICA,23714
28874,VIA-00989|2026-08-15 11:59:00,IDENTICO,COPIA_EXCLUIDA,23714
24052,VIA-01003|2026-08-27 04:18:00,IDENTICO,CANONICA,24052
28915,VIA-01003|2026-08-27 04:18:00,IDENTICO,COPIA_EXCLUIDA,24052
24541,VIA-01023|2026-08-21 12:20:00,IDENTICO,CANONICA,24541
28834,VIA-01023|2026-08-21 12:20:00,IDENTICO,COPIA_EXCLUIDA,24541
24558,VIA-01024|2026-08-29 02:29:00,IDENTICO,CANONICA,24558
28900,VIA-01024|2026-08-29 02:29:00,IDENTICO,COPIA_EXCLUIDA,24558
24620,VIA-01026|2026-08-25 09:47:00,IDENTICO,CANONICA,24620
28891,VIA-01026|2026-08-25 09:47:00,IDENTICO,COPIA_EXCLUIDA,24620
24665,VIA-01028|2026-08-14 01:36:00,IDENTICO,CANONICA,24665
28864,VIA-01028|2026-08-14 01:36:00,IDENTICO,COPIA_EXCLUIDA,24665
24845,VIA-01036|2026-08-16 04:08:00,IDENTICO,CANONICA,24845
28903,VIA-01036|2026-08-16 04:08:00,IDENTICO,COPIA_EXCLUIDA,24845
24848,VIA-01036|2026-08-16 05:38:00,IDENTICO,CANONICA,24848
28809,VIA-01036|2026-08-16 05:38:00,IDENTICO,COPIA_EXCLUIDA,24848
25336,VIA-01056|2026-08-16 01:22:00,IDENTICO,CANONICA,25336
28865,VIA-01056|2026-08-16 01:22:00,IDENTICO,COPIA_EXCLUIDA,25336
25521,VIA-01064|2026-08-28 08:15:00,IDENTICO,CANONICA,25521
28914,VIA-01064|2026-08-28 08:15:00,IDENTICO,COPIA_EXCLUIDA,25521
25661,VIA-01070|2026-08-20 18:11:00,IDENTICO,CANONICA,25661
28830,VIA-01070|2026-08-20 18:11:00,IDENTICO,COPIA_EXCLUIDA,25661
26092,VIA-01088|2026-08-17 02:16:00,IDENTICO,CANONICA,26092
28876,VIA-01088|2026-08-17 02:16:00,IDENTICO,COPIA_EXCLUIDA,26092
27494,VIA-01146|2026-08-08 14:52:00,IDENTICO,CANONICA,27494
28835,VIA-01146|2026-08-08 14:52:00,IDENTICO,COPIA_EXCLUIDA,27494
27977,VIA-01166|2026-08-16 08:41:00,IDENTICO,CANONICA,27977
28855,VIA-01166|2026-08-16 08:41:00,IDENTICO,COPIA_EXCLUIDA,27977
28128,VIA-01172|2026-08-02 08:45:00,IDENTICO,CANONICA,28128
28810,VIA-01172|2026-08-02 08:45:00,IDENTICO,COPIA_EXCLUIDA,28128
28351,VIA-01182|2026-08-12 18:33:00,IDENTICO,CANONICA,28351
28851,VIA-01182|2026-08-12 18:33:00,IDENTICO,COPIA_EXCLUIDA,28351
28415,VIA-01184|2026-08-29 08:57:00,IDENTICO,CANONICA,28415
28889,VIA-01184|2026-08-29 08:57:00,IDENTICO,COPIA_EXCLUIDA,28415
